[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:        7447 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       14340 ops,    6892 (avg:    7169) ops/sec, 343.45KB/sec (avg: 326.15KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 10%,   3 secs]  1 threads:       20957 ops,    6616 (avg:    6985) ops/sec, 371.26KB/sec (avg: 341.19KB/sec),  0.30 (avg:  0.28) msec latency[RUN #1 13%,   4 secs]  1 threads:       26516 ops,    5558 (avg:    6628) ops/sec, 328.56KB/sec (avg: 338.03KB/sec),  0.35 (avg:  0.29) msec latency[RUN #1 17%,   5 secs]  1 threads:       32686 ops,    6169 (avg:    6536) ops/sec, 379.39KB/sec (avg: 346.30KB/sec),  0.32 (avg:  0.30) msec latency[RUN #1 20%,   6 secs]  1 threads:       39094 ops,    6407 (avg:    6515) ops/sec, 403.50KB/sec (avg: 355.83KB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 23%,   7 secs]  1 threads:       45450 ops,    6355 (avg:    6492) ops/sec, 411.20KB/sec (avg: 363.74KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 27%,   8 secs]  1 threads:       52479 ops,    7028 (avg:    6559) ops/sec, 462.87KB/sec (avg: 376.13KB/sec),  0.28 (avg:  0.30) msec latency[RUN #1 30%,   9 secs]  1 threads:       60673 ops,    8193 (avg:    6740) ops/sec, 548.00KB/sec (avg: 395.23KB/sec),  0.24 (avg:  0.29) msec latency[RUN #1 33%,  10 secs]  1 threads:       66616 ops,    5942 (avg:    6661) ops/sec, 399.91KB/sec (avg: 395.70KB/sec),  0.33 (avg:  0.29) msec latency[RUN #1 37%,  11 secs]  1 threads:       73228 ops,    6611 (avg:    6656) ops/sec, 449.22KB/sec (avg: 400.56KB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 40%,  12 secs]  1 threads:       79065 ops,    5836 (avg:    6588) ops/sec, 396.84KB/sec (avg: 400.25KB/sec),  0.34 (avg:  0.30) msec latency[RUN #1 43%,  13 secs]  1 threads:       85416 ops,    6350 (avg:    6569) ops/sec, 433.69KB/sec (avg: 402.83KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 47%,  14 secs]  1 threads:       91753 ops,    6336 (avg:    6553) ops/sec, 433.72KB/sec (avg: 405.03KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 50%,  15 secs]  1 threads:       98005 ops,    6251 (avg:    6533) ops/sec, 429.33KB/sec (avg: 406.65KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 53%,  16 secs]  1 threads:      103958 ops,    5952 (avg:    6496) ops/sec, 408.60KB/sec (avg: 406.77KB/sec),  0.33 (avg:  0.30) msec latency[RUN #1 57%,  17 secs]  1 threads:      110488 ops,    6529 (avg:    6498) ops/sec, 448.87KB/sec (avg: 409.25KB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 60%,  18 secs]  1 threads:      117458 ops,    6969 (avg:    6524) ops/sec, 478.84KB/sec (avg: 413.12KB/sec),  0.28 (avg:  0.30) msec latency[RUN #1 63%,  19 secs]  1 threads:      125233 ops,    7773 (avg:    6590) ops/sec, 534.58KB/sec (avg: 419.51KB/sec),  0.25 (avg:  0.30) msec latency[RUN #1 67%,  20 secs]  1 threads:      132207 ops,    6973 (avg:    6609) ops/sec, 479.78KB/sec (avg: 422.52KB/sec),  0.28 (avg:  0.30) msec latency[RUN #1 70%,  21 secs]  1 threads:      138324 ops,    6116 (avg:    6586) ops/sec, 420.84KB/sec (avg: 422.44KB/sec),  0.32 (avg:  0.30) msec latency[RUN #1 73%,  22 secs]  1 threads:      145126 ops,    6801 (avg:    6596) ops/sec, 467.96KB/sec (avg: 424.51KB/sec),  0.29 (avg:  0.30) msec latency[RUN #1 77%,  23 secs]  1 threads:      153313 ops,    8186 (avg:    6665) ops/sec, 563.25KB/sec (avg: 430.54KB/sec),  0.24 (avg:  0.29) msec latency[RUN #1 80%,  24 secs]  1 threads:      162514 ops,    9200 (avg:    6770) ops/sec, 633.01KB/sec (avg: 438.98KB/sec),  0.21 (avg:  0.29) msec latency[RUN #1 83%,  25 secs]  1 threads:      173730 ops,   11214 (avg:    6948) ops/sec, 771.63KB/sec (avg: 452.29KB/sec),  0.17 (avg:  0.28) msec latency[RUN #1 87%,  26 secs]  1 threads:      185678 ops,   11946 (avg:    7140) ops/sec, 822.01KB/sec (avg: 466.51KB/sec),  0.16 (avg:  0.27) msec latency[RUN #1 90%,  27 secs]  1 threads:      197485 ops,   11805 (avg:    7313) ops/sec, 812.31KB/sec (avg: 479.31KB/sec),  0.16 (avg:  0.27) msec latency[RUN #1 93%,  28 secs]  1 threads:      207663 ops,   10176 (avg:    7415) ops/sec, 700.21KB/sec (avg: 487.20KB/sec),  0.19 (avg:  0.26) msec latency[RUN #1 97%,  29 secs]  1 threads:      219303 ops,   11638 (avg:    7561) ops/sec, 800.78KB/sec (avg: 498.02KB/sec),  0.17 (avg:  0.26) msec latency[RUN #1 100%,  30 secs]  0 threads:      232217 ops,   11638 (avg:    7740) ops/sec, 800.78KB/sec (avg: 511.08KB/sec),  0.17 (avg:  0.25) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         703.70          ---          ---      0.25800        51.54
Gets        7036.84      6472.17       564.66      0.25100       459.54
Totals      7740.54      6472.17       564.66      0.25200       511.08


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.061      0.00047
GET       0.062      0.00095
GET       0.064      0.00189
GET       0.065      0.00284
GET       0.066      0.00379
GET       0.067      0.00474
GET       0.068      0.00663
GET       0.070      0.00947
GET       0.071      0.01326
GET       0.072      0.01705
GET       0.073      0.02084
GET       0.074      0.02463
GET       0.075      0.02842
GET       0.076      0.03221
GET       0.077      0.03742
GET       0.078      0.04358
GET       0.079      0.05495
GET       0.080      0.06300
GET       0.081      0.07769
GET       0.082      0.09711
GET       0.083      0.10942
GET       0.084      0.12742
GET       0.085      0.15632
GET       0.086      0.18285
GET       0.087      0.20937
GET       0.088      0.24680
GET       0.089      0.28895
GET       0.090      0.33206
GET       0.091      0.39411
GET       0.092      0.46849
GET       0.093      0.54759
GET       0.094      0.63854
GET       0.095      0.72902
GET       0.096      0.82518
GET       0.097      0.92323
GET       0.098      1.02081
GET       0.099      1.14492
GET       0.100      1.76736
GET       0.110      3.29455
GET       0.120      5.48397
GET       0.130      9.36638
GET       0.140     17.26858
GET       0.150     25.43698
GET       0.160     31.52682
GET       0.170     36.57925
GET       0.180     42.25744
GET       0.190     48.81481
GET       0.200     54.43853
GET       0.210     58.51042
GET       0.220     61.52549
GET       0.230     64.37808
GET       0.240     67.10941
GET       0.250     69.42579
GET       0.260     71.23199
GET       0.270     72.89324
GET       0.280     74.74634
GET       0.290     77.07692
GET       0.300     79.40892
GET       0.310     81.68740
GET       0.320     83.83135
GET       0.330     86.10508
GET       0.340     88.33098
GET       0.350     90.30677
GET       0.360     91.83112
GET       0.370     93.06178
GET       0.380     94.09775
GET       0.390     95.03046
GET       0.400     95.75284
GET       0.410     96.25544
GET       0.420     96.64245
GET       0.430     96.95082
GET       0.440     97.22367
GET       0.450     97.41410
GET       0.460     97.56331
GET       0.470     97.68221
GET       0.480     97.78500
GET       0.490     97.87311
GET       0.500     97.94274
GET       0.510     98.00195
GET       0.520     98.05785
GET       0.530     98.10380
GET       0.540     98.14596
GET       0.550     98.18906
GET       0.560     98.22743
GET       0.570     98.26343
GET       0.580     98.29991
GET       0.590     98.33543
GET       0.600     98.37238
GET       0.610     98.39986
GET       0.620     98.42875
GET       0.630     98.45386
GET       0.640     98.48323
GET       0.650     98.50502
GET       0.660     98.52539
GET       0.670     98.54149
GET       0.680     98.56233
GET       0.690     98.57512
GET       0.700     98.59265
GET       0.710     98.60733
GET       0.720     98.62628
GET       0.730     98.63765
GET       0.740     98.64807
GET       0.750     98.66276
GET       0.760     98.67507
GET       0.770     98.69023
GET       0.780     98.70207
GET       0.790     98.71202
GET       0.800     98.72576
GET       0.810     98.73950
GET       0.820     98.75276
GET       0.830     98.76460
GET       0.840     98.77834
GET       0.850     98.78734
GET       0.860     98.79871
GET       0.870     98.81197
GET       0.880     98.82145
GET       0.890     98.83092
GET       0.900     98.84229
GET       0.910     98.85271
GET       0.920     98.86313
GET       0.930     98.87213
GET       0.940     98.88255
GET       0.950     98.89013
GET       0.960     98.90339
GET       0.970     98.91003
GET       0.980     98.91571
GET       0.990     98.92139
GET       1.000     98.95929
GET       1.100     99.03224
GET       1.200     99.09003
GET       1.300     99.14830
GET       1.400     99.20088
GET       1.500     99.25156
GET       1.600     99.29230
GET       1.700     99.33114
GET       1.800     99.36951
GET       1.900     99.40693
GET       2.000     99.44057
GET       2.100     99.46899
GET       2.200     99.48746
GET       2.300     99.51162
GET       2.400     99.52630
GET       2.500     99.55378
GET       2.600     99.57462
GET       2.700     99.59499
GET       2.800     99.61820
GET       2.900     99.63573
GET       3.000     99.65278
GET       3.100     99.66604
GET       3.200     99.67931
GET       3.300     99.69636
GET       3.400     99.71105
GET       3.500     99.72573
GET       3.600     99.74278
GET       3.700     99.75273
GET       3.800     99.76647
GET       3.900     99.77878
GET       4.000     99.80200
GET       4.100     99.81242
GET       4.200     99.82236
GET       4.300     99.84226
GET       4.400     99.86689
GET       4.500     99.88015
GET       4.600     99.88726
GET       4.700     99.89294
GET       4.800     99.89389
GET       4.900     99.89673
GET       5.000     99.89958
GET       5.100     99.90337
GET       5.200     99.90763
GET       5.300     99.91189
GET       5.400     99.91568
GET       5.500     99.92184
GET       5.600     99.92421
GET       5.700     99.92847
GET       5.800     99.92989
GET       5.900     99.93179
GET       6.000     99.93463
GET       6.100     99.93605
GET       6.200     99.93700
GET       6.300     99.93747
GET       6.400     99.93842
GET       6.500     99.94031
GET       6.600     99.94174
GET       6.700     99.94268
GET       6.800     99.94552
GET       6.900     99.94647
GET       7.000     99.94931
GET       7.100     99.95026
GET       7.200     99.95121
GET       7.300     99.95216
GET       7.400     99.95358
GET       7.600     99.95500
GET       7.700     99.95595
GET       7.900     99.95689
GET       8.100     99.95879
GET       8.200     99.96210
GET       8.300     99.96589
GET       8.400     99.97537
GET       8.500     99.97821
GET       8.600     99.98153
GET       8.800     99.98342
GET       9.400     99.98437
GET       9.800     99.98484
GET      10.000     99.98579
GET      11.000     99.98674
GET      12.000     99.99195
GET      13.000     99.99242
GET      16.000     99.99763
GET      17.000     99.99858
GET      19.000     99.99953
GET      20.000    100.00000
