[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       14618 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  1 threads:       28280 ops,   13660 (avg:   14140) ops/sec, 611.26KB/sec (avg: 587.11KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 10%,   3 secs]  1 threads:       41987 ops,   13705 (avg:   13995) ops/sec, 684.67KB/sec (avg: 619.63KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 13%,   4 secs]  1 threads:       55631 ops,   13642 (avg:   13906) ops/sec, 727.23KB/sec (avg: 646.53KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 17%,   5 secs]  1 threads:       69301 ops,   13668 (avg:   13859) ops/sec, 772.02KB/sec (avg: 671.63KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 20%,   6 secs]  1 threads:       82862 ops,   13559 (avg:   13809) ops/sec, 801.75KB/sec (avg: 693.32KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 23%,   7 secs]  1 threads:       96388 ops,   13524 (avg:   13768) ops/sec, 821.18KB/sec (avg: 711.58KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 27%,   8 secs]  1 threads:      109851 ops,   13461 (avg:   13730) ops/sec, 846.18KB/sec (avg: 728.41KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 30%,   9 secs]  1 threads:      123330 ops,   13477 (avg:   13702) ops/sec, 866.46KB/sec (avg: 743.75KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 33%,  10 secs]  1 threads:      136833 ops,   13501 (avg:   13682) ops/sec, 883.22KB/sec (avg: 757.70KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 37%,  11 secs]  1 threads:      150271 ops,   13436 (avg:   13659) ops/sec, 885.77KB/sec (avg: 769.34KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 40%,  12 secs]  1 threads:      163745 ops,   13472 (avg:   13644) ops/sec, 896.40KB/sec (avg: 779.93KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 43%,  13 secs]  1 threads:      177208 ops,   13461 (avg:   13630) ops/sec, 902.48KB/sec (avg: 789.36KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 47%,  14 secs]  1 threads:      190646 ops,   13436 (avg:   13616) ops/sec, 908.14KB/sec (avg: 797.84KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 50%,  15 secs]  1 threads:      204060 ops,   13412 (avg:   13602) ops/sec, 910.73KB/sec (avg: 805.37KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 53%,  16 secs]  1 threads:      217488 ops,   13426 (avg:   13591) ops/sec, 919.47KB/sec (avg: 812.50KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 57%,  17 secs]  1 threads:      230982 ops,   13492 (avg:   13585) ops/sec, 926.05KB/sec (avg: 819.18KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 60%,  18 secs]  1 threads:      244376 ops,   13392 (avg:   13575) ops/sec, 919.54KB/sec (avg: 824.75KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 63%,  19 secs]  1 threads:      257765 ops,   13387 (avg:   13565) ops/sec, 922.06KB/sec (avg: 829.88KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 67%,  20 secs]  1 threads:      271201 ops,   13434 (avg:   13558) ops/sec, 927.31KB/sec (avg: 834.75KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 70%,  21 secs]  1 threads:      284605 ops,   13402 (avg:   13551) ops/sec, 926.22KB/sec (avg: 839.10KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 73%,  22 secs]  1 threads:      298071 ops,   13464 (avg:   13547) ops/sec, 930.79KB/sec (avg: 843.27KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 77%,  23 secs]  1 threads:      311482 ops,   13409 (avg:   13541) ops/sec, 927.30KB/sec (avg: 846.92KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 80%,  24 secs]  1 threads:      324904 ops,   13420 (avg:   13536) ops/sec, 927.34KB/sec (avg: 850.27KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 83%,  25 secs]  1 threads:      338301 ops,   13395 (avg:   13530) ops/sec, 926.52KB/sec (avg: 853.32KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 87%,  26 secs]  1 threads:      351873 ops,   13570 (avg:   13532) ops/sec, 938.04KB/sec (avg: 856.58KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 90%,  27 secs]  1 threads:      366210 ops,   14335 (avg:   13562) ops/sec, 991.34KB/sec (avg: 861.57KB/sec),  0.20 (avg:  0.22) msec latency[RUN #1 93%,  28 secs]  1 threads:      378546 ops,   12334 (avg:   13518) ops/sec, 852.91KB/sec (avg: 861.26KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 97%,  29 secs]  1 threads:      391245 ops,   12697 (avg:   13489) ops/sec, 878.56KB/sec (avg: 861.86KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 100%,  30 secs]  0 threads:      406754 ops,   12697 (avg:   13558) ops/sec, 878.56KB/sec (avg: 868.98KB/sec),  0.23 (avg:  0.22) msec latency

1         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1232.63          ---          ---      0.21700        90.92
Gets       12325.79     10465.66      1860.13      0.21600       778.06
Totals     13558.42     10465.66      1860.13      0.21600       868.98


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.079      0.00054
GET       0.080      0.00135
GET       0.081      0.00162
GET       0.082      0.00270
GET       0.083      0.00325
GET       0.084      0.00406
GET       0.085      0.00487
GET       0.086      0.00568
GET       0.087      0.00676
GET       0.088      0.00838
GET       0.089      0.01028
GET       0.090      0.01298
GET       0.091      0.01623
GET       0.092      0.01839
GET       0.093      0.02245
GET       0.094      0.02758
GET       0.095      0.03299
GET       0.096      0.03732
GET       0.097      0.04111
GET       0.098      0.04706
GET       0.099      0.05084
GET       0.100      0.07058
GET       0.110      0.11277
GET       0.120      0.16469
GET       0.130      0.28531
GET       0.140      0.70962
GET       0.150      1.63992
GET       0.160      3.12028
GET       0.170      5.77946
GET       0.180     11.30039
GET       0.190     23.89210
GET       0.200     39.04131
GET       0.210     51.89967
GET       0.220     62.77412
GET       0.230     72.92218
GET       0.240     83.36502
GET       0.250     90.62132
GET       0.260     94.59158
GET       0.270     96.73693
GET       0.280     97.98688
GET       0.290     98.73382
GET       0.300     99.13488
GET       0.310     99.33635
GET       0.320     99.45967
GET       0.330     99.53810
GET       0.340     99.59786
GET       0.350     99.64303
GET       0.360     99.68035
GET       0.370     99.72280
GET       0.380     99.76039
GET       0.390     99.80312
GET       0.400     99.84369
GET       0.410     99.88074
GET       0.420     99.90859
GET       0.430     99.93212
GET       0.440     99.95024
GET       0.450     99.96484
GET       0.460     99.97269
GET       0.470     99.98134
GET       0.480     99.98783
GET       0.490     99.98999
GET       0.500     99.99189
GET       0.510     99.99378
GET       0.520     99.99486
GET       0.530     99.99621
GET       0.540     99.99675
GET       0.550     99.99703
GET       0.570     99.99757
GET       0.580     99.99784
GET       0.600     99.99811
GET       0.630     99.99838
GET       0.640     99.99865
GET       0.650     99.99892
GET       0.660     99.99919
GET       0.730     99.99946
GET       0.770     99.99973
GET       0.810    100.00000
