[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       14141 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       27589 ops,   13446 (avg:   13794) ops/sec, 603.70KB/sec (avg: 577.17KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 10%,   3 secs]  1 threads:       40842 ops,   13251 (avg:   13613) ops/sec, 662.01KB/sec (avg: 605.45KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 13%,   4 secs]  1 threads:       54067 ops,   13223 (avg:   13515) ops/sec, 706.27KB/sec (avg: 630.66KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 17%,   5 secs]  1 threads:       67252 ops,   13183 (avg:   13449) ops/sec, 744.64KB/sec (avg: 653.45KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 20%,   6 secs]  1 threads:       80350 ops,   13096 (avg:   13390) ops/sec, 776.07KB/sec (avg: 673.89KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 23%,   7 secs]  1 threads:       93409 ops,   13057 (avg:   13343) ops/sec, 794.63KB/sec (avg: 691.14KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 27%,   8 secs]  1 threads:      106980 ops,   13569 (avg:   13371) ops/sec, 853.21KB/sec (avg: 711.40KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 30%,   9 secs]  1 threads:      120632 ops,   13650 (avg:   13402) ops/sec, 878.34KB/sec (avg: 729.95KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 33%,  10 secs]  1 threads:      133809 ops,   13175 (avg:   13379) ops/sec, 862.66KB/sec (avg: 743.22KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 37%,  11 secs]  1 threads:      146874 ops,   13063 (avg:   13351) ops/sec, 862.52KB/sec (avg: 754.06KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 40%,  12 secs]  1 threads:      160388 ops,   13512 (avg:   13364) ops/sec, 899.18KB/sec (avg: 766.16KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 43%,  13 secs]  1 threads:      173550 ops,   13160 (avg:   13348) ops/sec, 882.70KB/sec (avg: 775.12KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 47%,  14 secs]  1 threads:      186531 ops,   12978 (avg:   13322) ops/sec, 877.65KB/sec (avg: 782.45KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 50%,  15 secs]  1 threads:      200025 ops,   13492 (avg:   13333) ops/sec, 916.72KB/sec (avg: 791.40KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 53%,  16 secs]  1 threads:      213674 ops,   13647 (avg:   13353) ops/sec, 933.53KB/sec (avg: 800.28KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 57%,  17 secs]  1 threads:      226848 ops,   13172 (avg:   13342) ops/sec, 904.97KB/sec (avg: 806.44KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 60%,  18 secs]  1 threads:      239814 ops,   12964 (avg:   13321) ops/sec, 889.95KB/sec (avg: 811.08KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 63%,  19 secs]  1 threads:      252804 ops,   12988 (avg:   13304) ops/sec, 894.28KB/sec (avg: 815.46KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 67%,  20 secs]  1 threads:      266250 ops,   13444 (avg:   13311) ops/sec, 927.58KB/sec (avg: 821.06KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 70%,  21 secs]  1 threads:      279432 ops,   13180 (avg:   13305) ops/sec, 910.97KB/sec (avg: 825.35KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 73%,  22 secs]  1 threads:      292404 ops,   12970 (avg:   13289) ops/sec, 896.70KB/sec (avg: 828.59KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 77%,  23 secs]  1 threads:      305852 ops,   13446 (avg:   13296) ops/sec, 929.72KB/sec (avg: 832.99KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 80%,  24 secs]  1 threads:      319503 ops,   13649 (avg:   13311) ops/sec, 943.39KB/sec (avg: 837.59KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 83%,  25 secs]  1 threads:      333156 ops,   13651 (avg:   13324) ops/sec, 943.95KB/sec (avg: 841.84KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 87%,  26 secs]  1 threads:      346348 ops,   13190 (avg:   13319) ops/sec, 912.05KB/sec (avg: 844.54KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 90%,  27 secs]  1 threads:      359765 ops,   13415 (avg:   13323) ops/sec, 927.78KB/sec (avg: 847.62KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 93%,  28 secs]  1 threads:      373782 ops,   14015 (avg:   13348) ops/sec, 969.30KB/sec (avg: 851.97KB/sec),  0.21 (avg:  0.22) msec latency[RUN #1 97%,  29 secs]  1 threads:      388981 ops,   15197 (avg:   13411) ops/sec, 1.03MB/sec (avg: 858.84KB/sec),  0.19 (avg:  0.22) msec latency[RUN #1 100%,  30 secs]  0 threads:      405940 ops,   15197 (avg:   13531) ops/sec, 1.03MB/sec (avg: 869.41KB/sec),  0.19 (avg:  0.22) msec latency

1         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1230.16          ---          ---      0.21800        90.74
Gets       12301.14     10501.74      1799.40      0.21700       778.68
Totals     13531.30     10501.74      1799.40      0.21700       869.41


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.069      0.00054
GET       0.070      0.00081
GET       0.073      0.00135
GET       0.075      0.00217
GET       0.076      0.00244
GET       0.077      0.00271
GET       0.078      0.00325
GET       0.079      0.00406
GET       0.080      0.00461
GET       0.081      0.00515
GET       0.082      0.00569
GET       0.083      0.00650
GET       0.084      0.00786
GET       0.085      0.00894
GET       0.086      0.00921
GET       0.087      0.01030
GET       0.088      0.01192
GET       0.089      0.01490
GET       0.090      0.01816
GET       0.091      0.02005
GET       0.092      0.02357
GET       0.093      0.02683
GET       0.094      0.02927
GET       0.095      0.03225
GET       0.096      0.03631
GET       0.097      0.04010
GET       0.098      0.04390
GET       0.099      0.05121
GET       0.100      0.07994
GET       0.110      0.15012
GET       0.120      0.27965
GET       0.130      0.60834
GET       0.140      1.39634
GET       0.150      2.61655
GET       0.160      4.37276
GET       0.170      7.37681
GET       0.180     13.01150
GET       0.190     23.09700
GET       0.200     36.16784
GET       0.210     49.24763
GET       0.220     61.52994
GET       0.230     72.53756
GET       0.240     82.10847
GET       0.250     88.98478
GET       0.260     93.40171
GET       0.270     96.07571
GET       0.280     97.70293
GET       0.290     98.60582
GET       0.300     99.12420
GET       0.310     99.38353
GET       0.320     99.52769
GET       0.330     99.61115
GET       0.340     99.66480
GET       0.350     99.70897
GET       0.360     99.73959
GET       0.370     99.76994
GET       0.380     99.80029
GET       0.390     99.82874
GET       0.400     99.85936
GET       0.410     99.89215
GET       0.420     99.91735
GET       0.430     99.93957
GET       0.440     99.95746
GET       0.450     99.97263
GET       0.460     99.97941
GET       0.470     99.98537
GET       0.480     99.99133
GET       0.490     99.99350
GET       0.500     99.99512
GET       0.510     99.99702
GET       0.520     99.99810
GET       0.530     99.99865
GET       0.540     99.99919
GET       0.560     99.99946
GET       1.000     99.99973
GET       1.100    100.00000
