[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       13463 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       24363 ops,   10898 (avg:   12181) ops/sec, 496.05KB/sec (avg: 511.81KB/sec),  0.27 (avg:  0.24) msec latency[RUN #1 10%,   3 secs]  1 threads:       33461 ops,    9096 (avg:   11152) ops/sec, 459.89KB/sec (avg: 494.50KB/sec),  0.32 (avg:  0.26) msec latency[RUN #1 13%,   4 secs]  1 threads:       40786 ops,    7324 (avg:   10195) ops/sec, 386.45KB/sec (avg: 467.49KB/sec),  0.40 (avg:  0.29) msec latency[RUN #1 17%,   5 secs]  1 threads:       46918 ops,    6131 (avg:    9382) ops/sec, 339.29KB/sec (avg: 441.85KB/sec),  0.48 (avg:  0.31) msec latency[RUN #1 20%,   6 secs]  1 threads:       51936 ops,    5017 (avg:    8655) ops/sec, 288.09KB/sec (avg: 416.22KB/sec),  0.59 (avg:  0.34) msec latency[RUN #1 23%,   7 secs]  1 threads:       56940 ops,    5003 (avg:    8133) ops/sec, 287.60KB/sec (avg: 397.85KB/sec),  0.59 (avg:  0.36) msec latency[RUN #1 27%,   8 secs]  1 threads:       62004 ops,    5063 (avg:    7749) ops/sec, 295.40KB/sec (avg: 385.04KB/sec),  0.59 (avg:  0.38) msec latency[RUN #1 30%,   9 secs]  1 threads:       67221 ops,    5216 (avg:    7468) ops/sec, 313.67KB/sec (avg: 377.11KB/sec),  0.57 (avg:  0.40) msec latency[RUN #1 33%,  10 secs]  1 threads:       72301 ops,    5079 (avg:    7229) ops/sec, 308.75KB/sec (avg: 370.27KB/sec),  0.58 (avg:  0.41) msec latency[RUN #1 37%,  11 secs]  1 threads:       77447 ops,    5145 (avg:    7039) ops/sec, 315.37KB/sec (avg: 365.28KB/sec),  0.58 (avg:  0.42) msec latency[RUN #1 40%,  12 secs]  1 threads:       82597 ops,    5149 (avg:    6882) ops/sec, 322.47KB/sec (avg: 361.71KB/sec),  0.58 (avg:  0.43) msec latency[RUN #1 43%,  13 secs]  1 threads:       87633 ops,    5035 (avg:    6740) ops/sec, 318.67KB/sec (avg: 358.40KB/sec),  0.59 (avg:  0.44) msec latency[RUN #1 47%,  14 secs]  1 threads:       92924 ops,    5290 (avg:    6636) ops/sec, 338.59KB/sec (avg: 356.99KB/sec),  0.56 (avg:  0.45) msec latency[RUN #1 50%,  15 secs]  1 threads:       97955 ops,    5030 (avg:    6529) ops/sec, 324.10KB/sec (avg: 354.79KB/sec),  0.59 (avg:  0.45) msec latency[RUN #1 53%,  16 secs]  1 threads:      102975 ops,    5019 (avg:    6435) ops/sec, 328.97KB/sec (avg: 353.18KB/sec),  0.59 (avg:  0.46) msec latency[RUN #1 57%,  17 secs]  1 threads:      108104 ops,    5128 (avg:    6358) ops/sec, 334.04KB/sec (avg: 352.06KB/sec),  0.58 (avg:  0.47) msec latency[RUN #1 60%,  18 secs]  1 threads:      113268 ops,    5163 (avg:    6292) ops/sec, 339.61KB/sec (avg: 351.36KB/sec),  0.57 (avg:  0.47) msec latency[RUN #1 63%,  19 secs]  1 threads:      118397 ops,    5128 (avg:    6230) ops/sec, 340.35KB/sec (avg: 350.78KB/sec),  0.58 (avg:  0.48) msec latency[RUN #1 67%,  20 secs]  1 threads:      123446 ops,    5048 (avg:    6171) ops/sec, 338.11KB/sec (avg: 350.15KB/sec),  0.59 (avg:  0.48) msec latency[RUN #1 70%,  21 secs]  1 threads:      128537 ops,    5090 (avg:    6120) ops/sec, 341.83KB/sec (avg: 349.75KB/sec),  0.58 (avg:  0.48) msec latency[RUN #1 73%,  22 secs]  1 threads:      133494 ops,    4956 (avg:    6067) ops/sec, 334.52KB/sec (avg: 349.06KB/sec),  0.60 (avg:  0.49) msec latency[RUN #1 77%,  23 secs]  1 threads:      138474 ops,    4979 (avg:    6020) ops/sec, 335.97KB/sec (avg: 348.49KB/sec),  0.59 (avg:  0.49) msec latency[RUN #1 80%,  24 secs]  1 threads:      143554 ops,    5079 (avg:    5980) ops/sec, 343.33KB/sec (avg: 348.28KB/sec),  0.58 (avg:  0.50) msec latency[RUN #1 83%,  25 secs]  1 threads:      148761 ops,    5206 (avg:    5949) ops/sec, 354.09KB/sec (avg: 348.51KB/sec),  0.57 (avg:  0.50) msec latency[RUN #1 87%,  26 secs]  1 threads:      153902 ops,    5140 (avg:    5918) ops/sec, 349.53KB/sec (avg: 348.55KB/sec),  0.58 (avg:  0.50) msec latency[RUN #1 90%,  27 secs]  1 threads:      159096 ops,    5193 (avg:    5891) ops/sec, 353.82KB/sec (avg: 348.74KB/sec),  0.57 (avg:  0.50) msec latency[RUN #1 93%,  28 secs]  1 threads:      164241 ops,    5144 (avg:    5865) ops/sec, 351.24KB/sec (avg: 348.83KB/sec),  0.58 (avg:  0.50) msec latency[RUN #1 97%,  29 secs]  1 threads:      169420 ops,    5178 (avg:    5841) ops/sec, 353.81KB/sec (avg: 349.00KB/sec),  0.57 (avg:  0.51) msec latency[RUN #1 100%,  30 secs]  0 threads:      176140 ops,    5178 (avg:    5871) ops/sec, 353.81KB/sec (avg: 352.69KB/sec),  0.57 (avg:  0.50) msec latency

1         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         533.79          ---          ---      0.50800        39.32
Gets        5337.47      3927.36      1410.12      0.50300       313.37
Totals      5871.27      3927.36      1410.12      0.50400       352.69


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.100      0.00250
GET       0.110      0.00749
GET       0.120      0.01998
GET       0.130      0.04372
GET       0.140      0.12115
GET       0.150      0.24481
GET       0.160      0.40531
GET       0.170      0.64387
GET       0.180      1.09539
GET       0.190      1.95221
GET       0.200      3.17875
GET       0.210      4.48147
GET       0.220      5.82791
GET       0.230      7.21994
GET       0.240      8.65881
GET       0.250      9.91219
GET       0.260     11.03881
GET       0.270     12.07549
GET       0.280     13.19586
GET       0.290     14.31623
GET       0.300     15.39787
GET       0.310     16.31653
GET       0.320     17.21207
GET       0.330     18.15008
GET       0.340     19.27232
GET       0.350     20.31463
GET       0.360     21.25826
GET       0.370     22.20376
GET       0.380     23.33412
GET       0.390     24.68618
GET       0.400     26.05198
GET       0.410     27.50709
GET       0.420     29.15641
GET       0.430     31.31284
GET       0.440     33.84710
GET       0.450     36.47003
GET       0.460     39.10233
GET       0.470     41.85954
GET       0.480     45.00768
GET       0.490     48.21578
GET       0.500     51.05292
GET       0.510     53.45790
GET       0.520     55.63681
GET       0.530     57.82946
GET       0.540     59.86910
GET       0.550     61.60961
GET       0.560     63.12779
GET       0.570     64.64222
GET       0.580     66.30154
GET       0.590     67.95274
GET       0.600     69.58208
GET       0.610     71.29386
GET       0.620     72.98315
GET       0.630     74.88415
GET       0.640     76.82887
GET       0.650     78.71988
GET       0.660     80.60777
GET       0.670     82.54437
GET       0.680     84.50595
GET       0.690     86.35887
GET       0.700     88.05441
GET       0.710     89.60818
GET       0.720     91.00209
GET       0.730     92.39037
GET       0.740     93.58443
GET       0.750     94.59800
GET       0.760     95.47294
GET       0.770     96.24795
GET       0.780     96.93804
GET       0.790     97.48885
GET       0.800     97.94474
GET       0.810     98.37066
GET       0.820     98.67542
GET       0.830     98.95957
GET       0.840     99.18939
GET       0.850     99.34676
GET       0.860     99.46417
GET       0.870     99.56971
GET       0.880     99.66277
GET       0.890     99.73396
GET       0.900     99.79391
GET       0.910     99.83138
GET       0.920     99.86073
GET       0.930     99.88946
GET       0.940     99.91257
GET       0.950     99.92319
GET       0.960     99.93755
GET       0.970     99.94817
GET       0.980     99.95691
GET       0.990     99.96315
GET       1.000     99.98564
GET       1.100     99.99313
GET       1.200     99.99875
GET       1.300     99.99938
GET       1.400    100.00000
