[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       14390 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       27190 ops,   12798 (avg:   13594) ops/sec, 593.54KB/sec (avg: 582.97KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 10%,   3 secs]  1 threads:       39795 ops,   12603 (avg:   13264) ops/sec, 652.45KB/sec (avg: 606.13KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 13%,   4 secs]  1 threads:       52359 ops,   12562 (avg:   13088) ops/sec, 703.69KB/sec (avg: 630.52KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 17%,   5 secs]  1 threads:       64902 ops,   12541 (avg:   12979) ops/sec, 727.88KB/sec (avg: 650.00KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 20%,   6 secs]  1 threads:       77465 ops,   12561 (avg:   12909) ops/sec, 762.81KB/sec (avg: 668.80KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 23%,   7 secs]  1 threads:       89961 ops,   12494 (avg:   12850) ops/sec, 783.93KB/sec (avg: 685.25KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 27%,   8 secs]  1 threads:      102470 ops,   12507 (avg:   12807) ops/sec, 807.77KB/sec (avg: 700.56KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 30%,   9 secs]  1 threads:      114966 ops,   12494 (avg:   12772) ops/sec, 815.57KB/sec (avg: 713.34KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 33%,  10 secs]  1 threads:      126968 ops,   12000 (avg:   12695) ops/sec, 800.73KB/sec (avg: 722.08KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 37%,  11 secs]  1 threads:      138923 ops,   11953 (avg:   12628) ops/sec, 804.61KB/sec (avg: 729.58KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 40%,  12 secs]  1 threads:      150902 ops,   11977 (avg:   12574) ops/sec, 810.92KB/sec (avg: 736.36KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 43%,  13 secs]  1 threads:      162838 ops,   11934 (avg:   12524) ops/sec, 811.99KB/sec (avg: 742.18KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 47%,  14 secs]  1 threads:      174796 ops,   11956 (avg:   12484) ops/sec, 815.20KB/sec (avg: 747.40KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 50%,  15 secs]  1 threads:      186759 ops,   11961 (avg:   12449) ops/sec, 818.53KB/sec (avg: 752.14KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 53%,  16 secs]  1 threads:      198763 ops,   12002 (avg:   12421) ops/sec, 825.17KB/sec (avg: 756.70KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 57%,  17 secs]  1 threads:      210726 ops,   11961 (avg:   12394) ops/sec, 823.44KB/sec (avg: 760.63KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 60%,  18 secs]  1 threads:      222715 ops,   11987 (avg:   12371) ops/sec, 825.76KB/sec (avg: 764.25KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 63%,  19 secs]  1 threads:      234704 ops,   11987 (avg:   12351) ops/sec, 826.24KB/sec (avg: 767.51KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 67%,  20 secs]  1 threads:      246732 ops,   12026 (avg:   12335) ops/sec, 829.46KB/sec (avg: 770.61KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 70%,  21 secs]  1 threads:      258706 ops,   11972 (avg:   12318) ops/sec, 826.36KB/sec (avg: 773.26KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 73%,  22 secs]  1 threads:      270702 ops,   11994 (avg:   12303) ops/sec, 828.09KB/sec (avg: 775.75KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 77%,  23 secs]  1 threads:      282648 ops,   11944 (avg:   12287) ops/sec, 825.78KB/sec (avg: 777.93KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 80%,  24 secs]  1 threads:      294618 ops,   11968 (avg:   12274) ops/sec, 828.14KB/sec (avg: 780.02KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 83%,  25 secs]  1 threads:      306579 ops,   11959 (avg:   12262) ops/sec, 827.86KB/sec (avg: 781.93KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 87%,  26 secs]  1 threads:      318551 ops,   11970 (avg:   12250) ops/sec, 828.56KB/sec (avg: 783.73KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 90%,  27 secs]  1 threads:      330783 ops,   12230 (avg:   12250) ops/sec, 846.53KB/sec (avg: 786.05KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 93%,  28 secs]  1 threads:      344613 ops,   13828 (avg:   12306) ops/sec, 957.17KB/sec (avg: 792.17KB/sec),  0.21 (avg:  0.24) msec latency[RUN #1 97%,  29 secs]  1 threads:      359313 ops,   14698 (avg:   12388) ops/sec, 1017.42KB/sec (avg: 799.93KB/sec),  0.20 (avg:  0.24) msec latency[RUN #1 100%,  30 secs]  0 threads:      372734 ops,   14698 (avg:   12424) ops/sec, 1017.42KB/sec (avg: 804.31KB/sec),  0.20 (avg:  0.24) msec latency

1         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1129.53          ---          ---      0.23700        83.20
Gets       11294.91      9832.68      1462.23      0.23600       721.11
Totals     12424.44      9832.68      1462.23      0.23600       804.31


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.076      0.00030
GET       0.082      0.00059
GET       0.086      0.00118
GET       0.088      0.00207
GET       0.089      0.00236
GET       0.090      0.00266
GET       0.092      0.00443
GET       0.093      0.00531
GET       0.094      0.00797
GET       0.095      0.01239
GET       0.096      0.01417
GET       0.097      0.01623
GET       0.098      0.01918
GET       0.099      0.02066
GET       0.100      0.02656
GET       0.110      0.04102
GET       0.120      0.06079
GET       0.130      0.12513
GET       0.140      0.41582
GET       0.150      0.94408
GET       0.160      1.65413
GET       0.170      2.78148
GET       0.180      5.29057
GET       0.190     12.00863
GET       0.200     19.92988
GET       0.210     27.09593
GET       0.220     35.06144
GET       0.230     46.54890
GET       0.240     61.44525
GET       0.250     73.48900
GET       0.260     81.31463
GET       0.270     86.92068
GET       0.280     91.56111
GET       0.290     95.10666
GET       0.300     97.20376
GET       0.310     98.23608
GET       0.320     98.81658
GET       0.330     99.11937
GET       0.340     99.33156
GET       0.350     99.46230
GET       0.360     99.54375
GET       0.370     99.60779
GET       0.380     99.66740
GET       0.390     99.72141
GET       0.400     99.76892
GET       0.410     99.81349
GET       0.420     99.85333
GET       0.430     99.88372
GET       0.440     99.90999
GET       0.450     99.93094
GET       0.460     99.94747
GET       0.470     99.96311
GET       0.480     99.97137
GET       0.490     99.97846
GET       0.500     99.98495
GET       0.510     99.98879
GET       0.520     99.98967
GET       0.530     99.99233
GET       0.540     99.99498
GET       0.550     99.99528
GET       0.560     99.99557
GET       0.570     99.99587
GET       0.580     99.99646
GET       0.600     99.99675
GET       0.610     99.99734
GET       0.630     99.99764
GET       0.650     99.99793
GET       0.710     99.99823
GET       1.300     99.99882
GET       1.400     99.99970
GET       1.500    100.00000
