[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  1 threads:        8387 ops,    8386 (avg:    8386) ops/sec, 430.16KB/sec (avg: 430.16KB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 7%,   2 secs]  1 threads:       16076 ops,    7688 (avg:    8037) ops/sec, 492.71KB/sec (avg: 461.43KB/sec),  0.13 (avg:  0.12) msec latency[RUN #1 10%,   3 secs]  1 threads:       23853 ops,    7776 (avg:    7950) ops/sec, 522.39KB/sec (avg: 481.75KB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 13%,   4 secs]  1 threads:       30713 ops,    6859 (avg:    7677) ops/sec, 468.17KB/sec (avg: 478.36KB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 17%,   5 secs]  1 threads:       37119 ops,    6405 (avg:    7423) ops/sec, 437.62KB/sec (avg: 470.21KB/sec),  0.15 (avg:  0.13) msec latency[RUN #1 20%,   6 secs]  1 threads:       43244 ops,    6124 (avg:    7206) ops/sec, 419.44KB/sec (avg: 461.75KB/sec),  0.16 (avg:  0.13) msec latency[RUN #1 23%,   7 secs]  1 threads:       49074 ops,    5829 (avg:    7009) ops/sec, 399.83KB/sec (avg: 452.90KB/sec),  0.17 (avg:  0.14) msec latency[RUN #1 27%,   8 secs]  1 threads:       54620 ops,    5545 (avg:    6826) ops/sec, 380.40KB/sec (avg: 443.84KB/sec),  0.17 (avg:  0.14) msec latency[RUN #1 30%,   9 secs]  1 threads:       60142 ops,    5521 (avg:    6681) ops/sec, 378.77KB/sec (avg: 436.61KB/sec),  0.17 (avg:  0.14) msec latency[RUN #1 33%,  10 secs]  1 threads:       65794 ops,    5651 (avg:    6578) ops/sec, 387.74KB/sec (avg: 431.72KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 37%,  11 secs]  1 threads:       71452 ops,    5657 (avg:    6494) ops/sec, 388.11KB/sec (avg: 427.76KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 40%,  12 secs]  1 threads:       77112 ops,    5659 (avg:    6425) ops/sec, 388.25KB/sec (avg: 424.47KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 43%,  13 secs]  1 threads:       82784 ops,    5671 (avg:    6367) ops/sec, 389.06KB/sec (avg: 421.74KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 47%,  14 secs]  1 threads:       88254 ops,    5469 (avg:    6303) ops/sec, 375.23KB/sec (avg: 418.42KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 50%,  15 secs]  1 threads:       93880 ops,    5625 (avg:    6258) ops/sec, 385.94KB/sec (avg: 416.25KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 53%,  16 secs]  1 threads:       99482 ops,    5601 (avg:    6217) ops/sec, 384.29KB/sec (avg: 414.26KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 57%,  17 secs]  1 threads:      105036 ops,    5553 (avg:    6177) ops/sec, 381.05KB/sec (avg: 412.30KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 60%,  18 secs]  1 threads:      110573 ops,    5536 (avg:    6142) ops/sec, 379.77KB/sec (avg: 410.50KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 63%,  19 secs]  1 threads:      116138 ops,    5564 (avg:    6111) ops/sec, 381.76KB/sec (avg: 408.98KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 67%,  20 secs]  1 threads:      121815 ops,    5676 (avg:    6090) ops/sec, 389.45KB/sec (avg: 408.01KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 70%,  21 secs]  1 threads:      127345 ops,    5529 (avg:    6063) ops/sec, 379.33KB/sec (avg: 406.64KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 73%,  22 secs]  1 threads:      132907 ops,    5561 (avg:    6040) ops/sec, 381.52KB/sec (avg: 405.50KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 77%,  23 secs]  1 threads:      138498 ops,    5590 (avg:    6021) ops/sec, 383.54KB/sec (avg: 404.54KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 80%,  24 secs]  1 threads:      144234 ops,    5735 (avg:    6009) ops/sec, 393.43KB/sec (avg: 404.08KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 83%,  25 secs]  1 threads:      149807 ops,    5572 (avg:    5991) ops/sec, 382.27KB/sec (avg: 403.21KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 87%,  26 secs]  1 threads:      155398 ops,    5590 (avg:    5976) ops/sec, 383.47KB/sec (avg: 402.45KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 90%,  27 secs]  1 threads:      161092 ops,    5693 (avg:    5965) ops/sec, 390.57KB/sec (avg: 402.01KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 93%,  28 secs]  1 threads:      167136 ops,    6043 (avg:    5968) ops/sec, 414.55KB/sec (avg: 402.46KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 97%,  29 secs]  1 threads:      173586 ops,    6449 (avg:    5985) ops/sec, 442.49KB/sec (avg: 403.84KB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 100%,  30 secs]  0 threads:      180718 ops,    6449 (avg:    6023) ops/sec, 442.49KB/sec (avg: 406.72KB/sec),  0.15 (avg:  0.16) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         547.63          ---          ---      0.16200        40.00
Gets        5476.24      5304.75       171.50      0.15900       366.72
Totals      6023.87      5304.75       171.50      0.15900       406.72


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.057      0.00061
GET       0.059      0.00183
GET       0.060      0.00365
GET       0.061      0.00609
GET       0.062      0.01156
GET       0.063      0.01400
GET       0.064      0.02130
GET       0.065      0.03409
GET       0.066      0.05113
GET       0.067      0.07243
GET       0.068      0.10408
GET       0.069      0.15704
GET       0.070      0.20147
GET       0.071      0.26782
GET       0.072      0.34756
GET       0.073      0.44190
GET       0.074      0.55086
GET       0.075      0.66590
GET       0.076      0.79251
GET       0.077      0.93616
GET       0.078      1.10659
GET       0.079      1.28432
GET       0.080      1.47910
GET       0.081      1.72562
GET       0.082      2.00683
GET       0.083      2.32030
GET       0.084      2.65143
GET       0.085      2.99777
GET       0.086      3.39889
GET       0.087      3.85418
GET       0.088      4.34904
GET       0.089      4.87373
GET       0.090      5.49885
GET       0.091      6.21953
GET       0.092      7.05647
GET       0.093      7.98714
GET       0.094      9.13451
GET       0.095     10.31049
GET       0.096     11.33369
GET       0.097     12.25767
GET       0.098     13.14330
GET       0.099     14.05694
GET       0.100     18.53137
GET       0.110     27.47293
GET       0.120     36.68109
GET       0.130     45.84908
GET       0.140     54.68899
GET       0.150     62.47040
GET       0.160     68.68932
GET       0.170     73.96296
GET       0.180     78.91947
GET       0.190     83.23442
GET       0.200     86.48175
GET       0.210     88.97674
GET       0.220     90.97688
GET       0.230     92.52050
GET       0.240     93.70013
GET       0.250     94.60219
GET       0.260     95.20418
GET       0.270     95.69904
GET       0.280     96.09651
GET       0.290     96.40085
GET       0.300     96.65894
GET       0.310     96.86467
GET       0.320     97.02415
GET       0.330     97.17693
GET       0.340     97.32058
GET       0.350     97.44779
GET       0.360     97.55735
GET       0.370     97.67726
GET       0.380     97.80387
GET       0.390     97.90795
GET       0.400     98.00595
GET       0.410     98.09056
GET       0.420     98.16969
GET       0.430     98.25308
GET       0.440     98.32308
GET       0.450     98.38821
GET       0.460     98.44907
GET       0.470     98.51116
GET       0.480     98.57690
GET       0.490     98.63472
GET       0.500     98.69377
GET       0.510     98.73820
GET       0.520     98.78629
GET       0.530     98.82463
GET       0.540     98.86724
GET       0.550     98.90559
GET       0.560     98.94698
GET       0.570     98.96767
GET       0.580     98.99324
GET       0.590     99.02915
GET       0.600     99.05837
GET       0.610     99.08211
GET       0.620     99.10828
GET       0.630     99.13628
GET       0.640     99.16184
GET       0.650     99.19654
GET       0.660     99.22149
GET       0.670     99.23549
GET       0.680     99.26288
GET       0.690     99.29332
GET       0.700     99.31767
GET       0.710     99.33897
GET       0.720     99.36393
GET       0.730     99.38645
GET       0.740     99.41323
GET       0.750     99.43210
GET       0.760     99.44792
GET       0.770     99.46740
GET       0.780     99.48627
GET       0.790     99.50514
GET       0.800     99.52766
GET       0.810     99.54166
GET       0.820     99.55566
GET       0.830     99.57210
GET       0.840     99.58305
GET       0.850     99.59827
GET       0.860     99.60801
GET       0.870     99.61957
GET       0.880     99.63053
GET       0.890     99.63844
GET       0.900     99.64575
GET       0.910     99.65427
GET       0.920     99.66340
GET       0.930     99.67557
GET       0.940     99.68592
GET       0.950     99.69261
GET       0.960     99.69992
GET       0.970     99.70661
GET       0.980     99.71453
GET       0.990     99.72122
GET       1.000     99.75287
GET       1.100     99.78940
GET       1.200     99.81557
GET       1.300     99.84418
GET       1.400     99.86487
GET       1.500     99.88435
GET       1.600     99.89348
GET       1.700     99.90505
GET       1.800     99.91600
GET       1.900     99.92391
GET       2.000     99.93304
GET       2.100     99.94157
GET       2.200     99.94644
GET       2.300     99.95313
GET       2.400     99.95983
GET       2.500     99.96226
GET       2.600     99.96591
GET       2.700     99.97017
GET       2.800     99.97261
GET       2.900     99.97444
GET       3.000     99.97809
GET       3.100     99.98235
GET       3.200     99.98478
GET       3.300     99.98661
GET       3.400     99.98904
GET       3.500     99.99148
GET       3.800     99.99209
GET       4.000     99.99391
GET       4.200     99.99513
GET       4.400     99.99635
GET       4.600     99.99696
GET       4.900     99.99817
GET       5.100     99.99878
GET       5.300     99.99939
GET       6.300    100.00000
