[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  1 threads:        9554 ops,    9553 (avg:    9553) ops/sec, 567.52KB/sec (avg: 567.52KB/sec),  0.10 (avg:  0.10) msec latency[RUN #1 7%,   2 secs]  1 threads:       18353 ops,    8798 (avg:    9175) ops/sec, 599.88KB/sec (avg: 583.70KB/sec),  0.11 (avg:  0.10) msec latency[RUN #1 10%,   3 secs]  1 threads:       26500 ops,    8146 (avg:    8832) ops/sec, 557.21KB/sec (avg: 574.87KB/sec),  0.12 (avg:  0.11) msec latency[RUN #1 13%,   4 secs]  1 threads:       33958 ops,    7457 (avg:    8488) ops/sec, 510.08KB/sec (avg: 558.67KB/sec),  0.13 (avg:  0.11) msec latency[RUN #1 17%,   5 secs]  1 threads:       41406 ops,    7447 (avg:    8280) ops/sec, 509.46KB/sec (avg: 548.83KB/sec),  0.13 (avg:  0.12) msec latency[RUN #1 20%,   6 secs]  1 threads:       48314 ops,    6907 (avg:    8051) ops/sec, 472.49KB/sec (avg: 536.11KB/sec),  0.14 (avg:  0.12) msec latency[RUN #1 23%,   7 secs]  1 threads:       54593 ops,    6278 (avg:    7798) ops/sec, 429.40KB/sec (avg: 520.86KB/sec),  0.15 (avg:  0.12) msec latency[RUN #1 27%,   8 secs]  1 threads:       60398 ops,    5804 (avg:    7549) ops/sec, 397.01KB/sec (avg: 505.38KB/sec),  0.17 (avg:  0.13) msec latency[RUN #1 30%,   9 secs]  1 threads:       65843 ops,    5444 (avg:    7315) ops/sec, 372.45KB/sec (avg: 490.61KB/sec),  0.18 (avg:  0.13) msec latency[RUN #1 33%,  10 secs]  1 threads:       71146 ops,    5302 (avg:    7113) ops/sec, 362.71KB/sec (avg: 477.82KB/sec),  0.18 (avg:  0.14) msec latency[RUN #1 37%,  11 secs]  1 threads:       76442 ops,    5295 (avg:    6948) ops/sec, 362.19KB/sec (avg: 467.31KB/sec),  0.18 (avg:  0.14) msec latency[RUN #1 40%,  12 secs]  1 threads:       81715 ops,    5272 (avg:    6808) ops/sec, 360.56KB/sec (avg: 458.41KB/sec),  0.18 (avg:  0.14) msec latency[RUN #1 43%,  13 secs]  1 threads:       87028 ops,    5312 (avg:    6693) ops/sec, 363.44KB/sec (avg: 451.11KB/sec),  0.18 (avg:  0.14) msec latency[RUN #1 47%,  14 secs]  1 threads:       92321 ops,    5292 (avg:    6593) ops/sec, 361.97KB/sec (avg: 444.74KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 50%,  15 secs]  1 threads:       97575 ops,    5253 (avg:    6504) ops/sec, 359.41KB/sec (avg: 439.05KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 53%,  16 secs]  1 threads:      102909 ops,    5333 (avg:    6431) ops/sec, 364.78KB/sec (avg: 434.41KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 57%,  17 secs]  1 threads:      108149 ops,    5239 (avg:    6361) ops/sec, 358.40KB/sec (avg: 429.94KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 60%,  18 secs]  1 threads:      113406 ops,    5256 (avg:    6299) ops/sec, 359.57KB/sec (avg: 426.03KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 63%,  19 secs]  1 threads:      118695 ops,    5288 (avg:    6246) ops/sec, 361.70KB/sec (avg: 422.64KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 67%,  20 secs]  1 threads:      123972 ops,    5276 (avg:    6198) ops/sec, 360.85KB/sec (avg: 419.55KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 70%,  21 secs]  1 threads:      129189 ops,    5216 (avg:    6151) ops/sec, 356.78KB/sec (avg: 416.56KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 73%,  22 secs]  1 threads:      134462 ops,    5272 (avg:    6111) ops/sec, 360.63KB/sec (avg: 414.02KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 77%,  23 secs]  1 threads:      139749 ops,    5286 (avg:    6075) ops/sec, 361.65KB/sec (avg: 411.75KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 80%,  24 secs]  1 threads:      145026 ops,    5276 (avg:    6042) ops/sec, 360.95KB/sec (avg: 409.63KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 83%,  25 secs]  1 threads:      150263 ops,    5236 (avg:    6009) ops/sec, 358.19KB/sec (avg: 407.57KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 87%,  26 secs]  1 threads:      155534 ops,    5270 (avg:    5981) ops/sec, 360.50KB/sec (avg: 405.76KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 90%,  27 secs]  1 threads:      160849 ops,    5314 (avg:    5956) ops/sec, 363.51KB/sec (avg: 404.20KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 93%,  28 secs]  1 threads:      166189 ops,    5339 (avg:    5934) ops/sec, 365.25KB/sec (avg: 402.80KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 97%,  29 secs]  1 threads:      171432 ops,    5242 (avg:    5910) ops/sec, 358.63KB/sec (avg: 401.28KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 100%,  30 secs]  0 threads:      176894 ops,    5242 (avg:    5896) ops/sec, 358.63KB/sec (avg: 400.39KB/sec),  0.18 (avg:  0.16) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         536.07          ---          ---      0.16400        39.04
Gets        5360.40      5283.53        76.87      0.16300       361.35
Totals      5896.46      5283.53        76.87      0.16300       400.40


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.059      0.00062
GET       0.060      0.00124
GET       0.061      0.00187
GET       0.062      0.00373
GET       0.063      0.00684
GET       0.064      0.01057
GET       0.065      0.01679
GET       0.066      0.02923
GET       0.067      0.05223
GET       0.068      0.07773
GET       0.069      0.10820
GET       0.070      0.14862
GET       0.071      0.18904
GET       0.072      0.23817
GET       0.073      0.31030
GET       0.074      0.39425
GET       0.075      0.48442
GET       0.076      0.59946
GET       0.077      0.71885
GET       0.078      0.89359
GET       0.079      1.06024
GET       0.080      1.25923
GET       0.081      1.48869
GET       0.082      1.75360
GET       0.083      2.04027
GET       0.084      2.34000
GET       0.085      2.70627
GET       0.086      3.12352
GET       0.087      3.58307
GET       0.088      4.12220
GET       0.089      4.73099
GET       0.090      5.39947
GET       0.091      6.17864
GET       0.092      7.17670
GET       0.093      8.57896
GET       0.094     10.24550
GET       0.095     11.45934
GET       0.096     12.51959
GET       0.097     13.46479
GET       0.098     14.34097
GET       0.099     15.22026
GET       0.100     19.12917
GET       0.110     25.27672
GET       0.120     30.83476
GET       0.130     38.21232
GET       0.140     50.14613
GET       0.150     59.31274
GET       0.160     64.60961
GET       0.170     68.45820
GET       0.180     72.89008
GET       0.190     78.60981
GET       0.200     82.75751
GET       0.210     85.24737
GET       0.220     87.09114
GET       0.230     88.84971
GET       0.240     90.69037
GET       0.250     92.11813
GET       0.260     93.10935
GET       0.270     93.86737
GET       0.280     94.58871
GET       0.290     95.29761
GET       0.300     95.85354
GET       0.310     96.28386
GET       0.320     96.64266
GET       0.330     96.96105
GET       0.340     97.25642
GET       0.350     97.50019
GET       0.360     97.68798
GET       0.370     97.85028
GET       0.380     97.99891
GET       0.390     98.13944
GET       0.400     98.27065
GET       0.410     98.37823
GET       0.420     98.46902
GET       0.430     98.55794
GET       0.440     98.63754
GET       0.450     98.69661
GET       0.460     98.76191
GET       0.470     98.83218
GET       0.480     98.88441
GET       0.490     98.94535
GET       0.500     98.98888
GET       0.510     99.03676
GET       0.520     99.07532
GET       0.530     99.12258
GET       0.540     99.16175
GET       0.550     99.20964
GET       0.560     99.24508
GET       0.570     99.27680
GET       0.580     99.31784
GET       0.590     99.35826
GET       0.600     99.39495
GET       0.610     99.41920
GET       0.620     99.44967
GET       0.630     99.47827
GET       0.640     99.50066
GET       0.650     99.52118
GET       0.660     99.54108
GET       0.670     99.55911
GET       0.680     99.58647
GET       0.690     99.61570
GET       0.700     99.63125
GET       0.710     99.65177
GET       0.720     99.66731
GET       0.730     99.68473
GET       0.740     99.70089
GET       0.750     99.72204
GET       0.760     99.73572
GET       0.770     99.74877
GET       0.780     99.76556
GET       0.790     99.78111
GET       0.800     99.79168
GET       0.810     99.80163
GET       0.820     99.81469
GET       0.830     99.82588
GET       0.840     99.83708
GET       0.850     99.84578
GET       0.860     99.85884
GET       0.870     99.87003
GET       0.880     99.87998
GET       0.890     99.89180
GET       0.900     99.90175
GET       0.910     99.91045
GET       0.920     99.91481
GET       0.930     99.91978
GET       0.940     99.92724
GET       0.950     99.92911
GET       0.960     99.93284
GET       0.970     99.93906
GET       0.980     99.94092
GET       0.990     99.94466
GET       1.000     99.96207
GET       1.100     99.98072
GET       1.200     99.98943
GET       1.300     99.99440
GET       1.400     99.99627
GET       1.600     99.99689
GET       1.700     99.99751
GET       1.800     99.99876
GET       1.900     99.99938
GET       4.800    100.00000
