[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:        6575 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       12521 ops,    5945 (avg:    6260) ops/sec, 331.22KB/sec (avg: 311.87KB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 10%,   3 secs]  1 threads:       18085 ops,    5563 (avg:    6027) ops/sec, 340.19KB/sec (avg: 321.31KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 13%,   4 secs]  1 threads:       23513 ops,    5427 (avg:    5877) ops/sec, 349.28KB/sec (avg: 328.30KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 17%,   5 secs]  1 threads:       28792 ops,    5278 (avg:    5757) ops/sec, 348.50KB/sec (avg: 332.34KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 20%,   6 secs]  1 threads:       34126 ops,    5333 (avg:    5687) ops/sec, 356.22KB/sec (avg: 336.32KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 23%,   7 secs]  1 threads:       39552 ops,    5425 (avg:    5649) ops/sec, 366.66KB/sec (avg: 340.65KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 27%,   8 secs]  1 threads:       44846 ops,    5293 (avg:    5605) ops/sec, 360.80KB/sec (avg: 343.17KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 30%,   9 secs]  1 threads:       50070 ops,    5223 (avg:    5562) ops/sec, 356.84KB/sec (avg: 344.69KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 33%,  10 secs]  1 threads:       55405 ops,    5334 (avg:    5540) ops/sec, 365.11KB/sec (avg: 346.73KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 37%,  11 secs]  1 threads:       60741 ops,    5335 (avg:    5521) ops/sec, 365.62KB/sec (avg: 348.45KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 40%,  12 secs]  1 threads:       66075 ops,    5333 (avg:    5505) ops/sec, 365.96KB/sec (avg: 349.91KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 43%,  13 secs]  1 threads:       71450 ops,    5374 (avg:    5495) ops/sec, 369.20KB/sec (avg: 351.39KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 47%,  14 secs]  1 threads:       76746 ops,    5295 (avg:    5481) ops/sec, 363.70KB/sec (avg: 352.27KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 50%,  15 secs]  1 threads:       82100 ops,    5353 (avg:    5472) ops/sec, 367.76KB/sec (avg: 353.30KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 53%,  16 secs]  1 threads:       87419 ops,    5318 (avg:    5463) ops/sec, 365.35KB/sec (avg: 354.06KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 57%,  17 secs]  1 threads:       92805 ops,    5385 (avg:    5458) ops/sec, 369.92KB/sec (avg: 354.99KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 60%,  18 secs]  1 threads:       98104 ops,    5298 (avg:    5449) ops/sec, 363.89KB/sec (avg: 355.49KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 63%,  19 secs]  1 threads:      103439 ops,    5333 (avg:    5443) ops/sec, 366.35KB/sec (avg: 356.06KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 67%,  20 secs]  1 threads:      108692 ops,    5252 (avg:    5434) ops/sec, 360.76KB/sec (avg: 356.29KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 70%,  21 secs]  1 threads:      113978 ops,    5285 (avg:    5426) ops/sec, 363.00KB/sec (avg: 356.61KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 73%,  22 secs]  1 threads:      119315 ops,    5336 (avg:    5422) ops/sec, 366.54KB/sec (avg: 357.06KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 77%,  23 secs]  1 threads:      124705 ops,    5389 (avg:    5421) ops/sec, 370.18KB/sec (avg: 357.63KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 80%,  24 secs]  1 threads:      130169 ops,    5463 (avg:    5423) ops/sec, 375.25KB/sec (avg: 358.37KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 83%,  25 secs]  1 threads:      135985 ops,    5815 (avg:    5438) ops/sec, 399.48KB/sec (avg: 360.01KB/sec),  0.17 (avg:  0.18) msec latency[RUN #1 87%,  26 secs]  1 threads:      142091 ops,    6105 (avg:    5464) ops/sec, 419.36KB/sec (avg: 362.29KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 90%,  27 secs]  1 threads:      148724 ops,    6632 (avg:    5507) ops/sec, 455.53KB/sec (avg: 365.75KB/sec),  0.15 (avg:  0.17) msec latency[RUN #1 93%,  28 secs]  1 threads:      156072 ops,    7347 (avg:    5573) ops/sec, 504.73KB/sec (avg: 370.71KB/sec),  0.13 (avg:  0.17) msec latency[RUN #1 97%,  29 secs]  1 threads:      163415 ops,    7342 (avg:    5634) ops/sec, 504.37KB/sec (avg: 375.32KB/sec),  0.13 (avg:  0.17) msec latency[RUN #1 100%,  30 secs]  0 threads:      171025 ops,    7342 (avg:    5700) ops/sec, 504.37KB/sec (avg: 380.27KB/sec),  0.13 (avg:  0.17) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         518.26          ---          ---      0.17000        37.90
Gets        5182.55      4885.58       296.97      0.16800       342.37
Totals      5700.81      4885.58       296.97      0.16800       380.27


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.062      0.00064
GET       0.063      0.00129
GET       0.064      0.00257
GET       0.065      0.00643
GET       0.066      0.00836
GET       0.067      0.01222
GET       0.068      0.01801
GET       0.069      0.02637
GET       0.070      0.03730
GET       0.071      0.05403
GET       0.072      0.07075
GET       0.073      0.09390
GET       0.074      0.12092
GET       0.075      0.15050
GET       0.076      0.18588
GET       0.077      0.22254
GET       0.078      0.27785
GET       0.079      0.33703
GET       0.080      0.41550
GET       0.081      0.50425
GET       0.082      0.64061
GET       0.083      0.81363
GET       0.084      0.98085
GET       0.085      1.19117
GET       0.086      1.46453
GET       0.087      1.78612
GET       0.088      2.17395
GET       0.089      2.61389
GET       0.090      3.10914
GET       0.091      3.65520
GET       0.092      4.31253
GET       0.093      5.13838
GET       0.094      6.15396
GET       0.095      7.16183
GET       0.096      7.99990
GET       0.097      8.81738
GET       0.098      9.59242
GET       0.099     10.38739
GET       0.100     14.38348
GET       0.110     19.95987
GET       0.120     24.93038
GET       0.130     32.16424
GET       0.140     46.70594
GET       0.150     56.86629
GET       0.160     62.38929
GET       0.170     66.50437
GET       0.180     71.07546
GET       0.190     77.11301
GET       0.200     81.31814
GET       0.210     83.92881
GET       0.220     85.83199
GET       0.230     87.60267
GET       0.240     89.64541
GET       0.250     91.15175
GET       0.260     92.20849
GET       0.270     93.05171
GET       0.280     93.86597
GET       0.290     94.67831
GET       0.300     95.34658
GET       0.310     95.84504
GET       0.320     96.23417
GET       0.330     96.57570
GET       0.340     96.93459
GET       0.350     97.23046
GET       0.360     97.44078
GET       0.370     97.62023
GET       0.380     97.78231
GET       0.390     97.94053
GET       0.400     98.09232
GET       0.410     98.22675
GET       0.420     98.32966
GET       0.430     98.43128
GET       0.440     98.53483
GET       0.450     98.61716
GET       0.460     98.69756
GET       0.470     98.76509
GET       0.480     98.83262
GET       0.490     98.90466
GET       0.500     98.96062
GET       0.510     99.01657
GET       0.520     99.07253
GET       0.530     99.11755
GET       0.540     99.16708
GET       0.550     99.21467
GET       0.560     99.25584
GET       0.570     99.29314
GET       0.580     99.33559
GET       0.590     99.36325
GET       0.600     99.39477
GET       0.610     99.42049
GET       0.620     99.44493
GET       0.630     99.47516
GET       0.640     99.50153
GET       0.650     99.52147
GET       0.660     99.54656
GET       0.670     99.56907
GET       0.680     99.59865
GET       0.690     99.62117
GET       0.700     99.64303
GET       0.710     99.66040
GET       0.720     99.67777
GET       0.730     99.70285
GET       0.740     99.71957
GET       0.750     99.73630
GET       0.760     99.74852
GET       0.770     99.75688
GET       0.780     99.77489
GET       0.790     99.79032
GET       0.800     99.80576
GET       0.810     99.81476
GET       0.820     99.83213
GET       0.830     99.84757
GET       0.840     99.85593
GET       0.850     99.86236
GET       0.860     99.87522
GET       0.870     99.88551
GET       0.880     99.89387
GET       0.890     99.90352
GET       0.900     99.90995
GET       0.910     99.91703
GET       0.920     99.92796
GET       0.930     99.93182
GET       0.940     99.93825
GET       0.950     99.94211
GET       0.960     99.94597
GET       0.970     99.94919
GET       0.980     99.95433
GET       0.990     99.95819
GET       1.000     99.97685
GET       1.100     99.98778
GET       1.200     99.99357
GET       1.300     99.99678
GET       1.400     99.99743
GET       1.500     99.99871
GET       1.600     99.99936
GET       2.000    100.00000
