[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       13721 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       25139 ops,   11416 (avg:   12569) ops/sec, 521.29KB/sec (avg: 531.17KB/sec),  0.43 (avg:  0.39) msec latency[RUN #1 10%,   3 secs]  1 threads:       36492 ops,   11351 (avg:   12163) ops/sec, 574.91KB/sec (avg: 545.75KB/sec),  0.44 (avg:  0.41) msec latency[RUN #1 13%,   4 secs]  1 threads:       47767 ops,   11273 (avg:   11940) ops/sec, 612.43KB/sec (avg: 562.42KB/sec),  0.44 (avg:  0.41) msec latency[RUN #1 17%,   5 secs]  1 threads:       58894 ops,   11125 (avg:   11777) ops/sec, 639.19KB/sec (avg: 577.78KB/sec),  0.45 (avg:  0.42) msec latency[RUN #1 20%,   6 secs]  1 threads:       70162 ops,   11266 (avg:   11692) ops/sec, 678.25KB/sec (avg: 594.52KB/sec),  0.44 (avg:  0.42) msec latency[RUN #1 23%,   7 secs]  1 threads:       81508 ops,   11344 (avg:   11642) ops/sec, 695.13KB/sec (avg: 608.89KB/sec),  0.44 (avg:  0.43) msec latency[RUN #1 27%,   8 secs]  1 threads:       93001 ops,   11491 (avg:   11623) ops/sec, 725.72KB/sec (avg: 623.50KB/sec),  0.43 (avg:  0.43) msec latency[RUN #1 30%,   9 secs]  1 threads:      104302 ops,   11299 (avg:   11587) ops/sec, 726.10KB/sec (avg: 634.90KB/sec),  0.44 (avg:  0.43) msec latency[RUN #1 33%,  10 secs]  1 threads:      115385 ops,   11081 (avg:   11537) ops/sec, 721.28KB/sec (avg: 643.54KB/sec),  0.45 (avg:  0.43) msec latency[RUN #1 37%,  11 secs]  1 threads:      126320 ops,   10933 (avg:   11482) ops/sec, 718.13KB/sec (avg: 650.32KB/sec),  0.45 (avg:  0.43) msec latency[RUN #1 40%,  12 secs]  1 threads:      137381 ops,   11059 (avg:   11447) ops/sec, 735.74KB/sec (avg: 657.44KB/sec),  0.45 (avg:  0.43) msec latency[RUN #1 43%,  13 secs]  1 threads:      148625 ops,   11242 (avg:   11431) ops/sec, 752.96KB/sec (avg: 664.78KB/sec),  0.44 (avg:  0.43) msec latency[RUN #1 47%,  14 secs]  1 threads:      159967 ops,   11340 (avg:   11424) ops/sec, 759.99KB/sec (avg: 671.58KB/sec),  0.44 (avg:  0.43) msec latency[RUN #1 50%,  15 secs]  1 threads:      171304 ops,   11335 (avg:   11419) ops/sec, 763.90KB/sec (avg: 677.74KB/sec),  0.44 (avg:  0.43) msec latency[RUN #1 53%,  16 secs]  1 threads:      182453 ops,   11147 (avg:   11402) ops/sec, 755.05KB/sec (avg: 682.57KB/sec),  0.44 (avg:  0.43) msec latency[RUN #1 57%,  17 secs]  1 threads:      193683 ops,   11228 (avg:   11391) ops/sec, 763.29KB/sec (avg: 687.32KB/sec),  0.44 (avg:  0.43) msec latency[RUN #1 60%,  18 secs]  1 threads:      204744 ops,   11059 (avg:   11373) ops/sec, 755.04KB/sec (avg: 691.08KB/sec),  0.45 (avg:  0.44) msec latency[RUN #1 63%,  19 secs]  1 threads:      215924 ops,   11178 (avg:   11363) ops/sec, 764.87KB/sec (avg: 694.96KB/sec),  0.44 (avg:  0.44) msec latency[RUN #1 67%,  20 secs]  1 threads:      227141 ops,   11215 (avg:   11355) ops/sec, 768.01KB/sec (avg: 698.62KB/sec),  0.44 (avg:  0.44) msec latency[RUN #1 70%,  21 secs]  1 threads:      238196 ops,   11053 (avg:   11341) ops/sec, 758.03KB/sec (avg: 701.45KB/sec),  0.45 (avg:  0.44) msec latency[RUN #1 73%,  22 secs]  1 threads:      249267 ops,   11069 (avg:   11329) ops/sec, 759.73KB/sec (avg: 704.10KB/sec),  0.45 (avg:  0.44) msec latency[RUN #1 77%,  23 secs]  1 threads:      260387 ops,   11118 (avg:   11319) ops/sec, 763.01KB/sec (avg: 706.66KB/sec),  0.45 (avg:  0.44) msec latency[RUN #1 80%,  24 secs]  1 threads:      271660 ops,   11271 (avg:   11317) ops/sec, 773.51KB/sec (avg: 709.44KB/sec),  0.44 (avg:  0.44) msec latency[RUN #1 83%,  25 secs]  1 threads:      282764 ops,   11102 (avg:   11309) ops/sec, 762.42KB/sec (avg: 711.56KB/sec),  0.45 (avg:  0.44) msec latency[RUN #1 87%,  26 secs]  1 threads:      293676 ops,   10910 (avg:   11293) ops/sec, 749.32KB/sec (avg: 713.01KB/sec),  0.45 (avg:  0.44) msec latency[RUN #1 90%,  27 secs]  1 threads:      304619 ops,   10941 (avg:   11280) ops/sec, 751.50KB/sec (avg: 714.44KB/sec),  0.45 (avg:  0.44) msec latency[RUN #1 93%,  28 secs]  1 threads:      315584 ops,   10963 (avg:   11269) ops/sec, 753.04KB/sec (avg: 715.82KB/sec),  0.45 (avg:  0.44) msec latency[RUN #1 97%,  29 secs]  1 threads:      326719 ops,   11133 (avg:   11264) ops/sec, 764.73KB/sec (avg: 717.50KB/sec),  0.44 (avg:  0.44) msec latency[RUN #1 100%,  30 secs]  0 threads:      340076 ops,   11133 (avg:   11335) ops/sec, 764.73KB/sec (avg: 724.24KB/sec),  0.44 (avg:  0.44) msec latency

1         Threads
5         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1030.63          ---          ---      0.43900        75.36
Gets       10305.18      8878.62      1426.56      0.43600       648.88
Totals     11335.81      8878.62      1426.56      0.43600       724.24


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.120      0.00032
GET       0.130      0.00129
GET       0.140      0.00356
GET       0.150      0.00582
GET       0.160      0.00744
GET       0.170      0.01132
GET       0.180      0.01747
GET       0.190      0.03170
GET       0.200      0.04917
GET       0.210      0.08507
GET       0.220      0.13132
GET       0.230      0.20831
GET       0.240      0.35290
GET       0.250      0.59258
GET       0.260      0.95453
GET       0.270      1.44037
GET       0.280      2.19921
GET       0.290      3.29800
GET       0.300      4.75875
GET       0.310      6.70760
GET       0.320      9.39846
GET       0.330     13.51385
GET       0.340     19.19381
GET       0.350     25.01997
GET       0.360     30.45702
GET       0.370     35.50655
GET       0.380     39.82992
GET       0.390     43.32427
GET       0.400     45.79033
GET       0.410     47.74403
GET       0.420     49.30278
GET       0.430     50.68557
GET       0.440     52.14179
GET       0.450     53.71122
GET       0.460     55.70600
GET       0.470     58.26910
GET       0.480     61.48688
GET       0.490     65.34415
GET       0.500     69.53457
GET       0.510     73.92425
GET       0.520     78.33302
GET       0.530     82.65638
GET       0.540     86.52626
GET       0.550     89.75310
GET       0.560     92.36213
GET       0.570     94.45945
GET       0.580     96.08128
GET       0.590     97.24929
GET       0.600     98.09353
GET       0.610     98.66476
GET       0.620     99.05032
GET       0.630     99.29809
GET       0.640     99.47114
GET       0.650     99.58306
GET       0.660     99.66101
GET       0.670     99.70630
GET       0.680     99.74997
GET       0.690     99.78555
GET       0.700     99.81757
GET       0.710     99.84118
GET       0.720     99.87159
GET       0.730     99.89746
GET       0.740     99.91461
GET       0.750     99.93240
GET       0.760     99.94663
GET       0.770     99.96086
GET       0.780     99.96895
GET       0.790     99.97898
GET       0.800     99.98415
GET       0.810     99.98868
GET       0.820     99.99224
GET       0.830     99.99418
GET       0.840     99.99482
GET       0.850     99.99806
GET       0.860     99.99903
GET       0.870     99.99968
GET       0.890    100.00000
