[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       13579 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       26057 ops,   12476 (avg:   13028) ops/sec, 837.28KB/sec (avg: 821.82KB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 10%,   3 secs]  1 threads:       37922 ops,   11863 (avg:   12639) ops/sec, 809.04KB/sec (avg: 817.56KB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 13%,   4 secs]  1 threads:       47947 ops,   10024 (avg:   11985) ops/sec, 684.12KB/sec (avg: 784.20KB/sec),  0.20 (avg:  0.16) msec latency[RUN #1 17%,   5 secs]  1 threads:       60209 ops,   12260 (avg:   12040) ops/sec, 836.51KB/sec (avg: 794.66KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 20%,   6 secs]  1 threads:       72199 ops,   11988 (avg:   12032) ops/sec, 819.15KB/sec (avg: 798.74KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 23%,   7 secs]  1 threads:       84118 ops,   11917 (avg:   12015) ops/sec, 814.19KB/sec (avg: 800.95KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 27%,   8 secs]  1 threads:       95243 ops,   11123 (avg:   11904) ops/sec, 759.93KB/sec (avg: 795.82KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 30%,   9 secs]  1 threads:      106924 ops,   11679 (avg:   11879) ops/sec, 797.94KB/sec (avg: 796.06KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 33%,  10 secs]  1 threads:      118938 ops,   12012 (avg:   11892) ops/sec, 820.64KB/sec (avg: 798.51KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 37%,  11 secs]  1 threads:      131541 ops,   12601 (avg:   11957) ops/sec, 860.73KB/sec (avg: 804.17KB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 40%,  12 secs]  1 threads:      143160 ops,   11617 (avg:   11928) ops/sec, 793.87KB/sec (avg: 803.31KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 43%,  13 secs]  1 threads:      155862 ops,   12700 (avg:   11988) ops/sec, 867.80KB/sec (avg: 808.27KB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 47%,  14 secs]  1 threads:      168444 ops,   12580 (avg:   12030) ops/sec, 859.58KB/sec (avg: 811.94KB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 50%,  15 secs]  1 threads:      180646 ops,   12200 (avg:   12041) ops/sec, 833.52KB/sec (avg: 813.38KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 53%,  16 secs]  1 threads:      192905 ops,   12257 (avg:   12055) ops/sec, 837.41KB/sec (avg: 814.88KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 57%,  17 secs]  1 threads:      205254 ops,   12347 (avg:   12072) ops/sec, 843.66KB/sec (avg: 816.57KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 60%,  18 secs]  1 threads:      217270 ops,   12014 (avg:   12069) ops/sec, 820.92KB/sec (avg: 816.81KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 63%,  19 secs]  1 threads:      229311 ops,   12039 (avg:   12067) ops/sec, 822.30KB/sec (avg: 817.10KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 67%,  20 secs]  1 threads:      241564 ops,   12251 (avg:   12077) ops/sec, 837.14KB/sec (avg: 818.10KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 70%,  21 secs]  1 threads:      253084 ops,   11518 (avg:   12050) ops/sec, 787.16KB/sec (avg: 816.63KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 73%,  22 secs]  1 threads:      264842 ops,   11756 (avg:   12037) ops/sec, 803.32KB/sec (avg: 816.03KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 77%,  23 secs]  1 threads:      275899 ops,   11055 (avg:   11994) ops/sec, 755.44KB/sec (avg: 813.39KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 80%,  24 secs]  1 threads:      286462 ops,   10561 (avg:   11934) ops/sec, 721.62KB/sec (avg: 809.57KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 83%,  25 secs]  1 threads:      294642 ops,    8179 (avg:   11784) ops/sec, 558.80KB/sec (avg: 799.54KB/sec),  0.24 (avg:  0.17) msec latency[RUN #1 87%,  26 secs]  1 threads:      302863 ops,    8220 (avg:   11647) ops/sec, 561.62KB/sec (avg: 790.39KB/sec),  0.24 (avg:  0.17) msec latency[RUN #1 90%,  27 secs]  1 threads:      314143 ops,   11278 (avg:   11633) ops/sec, 770.46KB/sec (avg: 789.65KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 93%,  28 secs]  1 threads:      325989 ops,   11844 (avg:   11641) ops/sec, 809.16KB/sec (avg: 790.34KB/sec),  0.16 (avg:  0.17) msec latency[RUN #1 97%,  29 secs]  1 threads:      337514 ops,   11523 (avg:   11637) ops/sec, 787.46KB/sec (avg: 790.25KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 100%,  30 secs]  0 threads:      349725 ops,   11523 (avg:   11657) ops/sec, 787.46KB/sec (avg: 791.79KB/sec),  0.17 (avg:  0.17) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1059.83          ---          ---      0.16800        77.11
Gets       10597.64     10475.28       122.37      0.16700       714.68
Totals     11657.47     10475.28       122.37      0.16700       791.79


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.061      0.00094
GET       0.063      0.00126
GET       0.064      0.00189
GET       0.065      0.00283
GET       0.067      0.00377
GET       0.068      0.00472
GET       0.069      0.00755
GET       0.070      0.01069
GET       0.071      0.01384
GET       0.072      0.01730
GET       0.073      0.02233
GET       0.074      0.02516
GET       0.075      0.03145
GET       0.076      0.03995
GET       0.077      0.04875
GET       0.078      0.05819
GET       0.079      0.07077
GET       0.080      0.08807
GET       0.081      0.10505
GET       0.082      0.12802
GET       0.083      0.16104
GET       0.084      0.19847
GET       0.085      0.24597
GET       0.086      0.30384
GET       0.087      0.38342
GET       0.088      0.47998
GET       0.089      0.61146
GET       0.090      0.74450
GET       0.091      0.90680
GET       0.092      1.10748
GET       0.093      1.39119
GET       0.094      1.74724
GET       0.095      2.12814
GET       0.096      2.51911
GET       0.097      2.88711
GET       0.098      3.23813
GET       0.099      3.58003
GET       0.100      5.34237
GET       0.110      8.41632
GET       0.120     11.66578
GET       0.130     17.19813
GET       0.140     32.35335
GET       0.150     48.04013
GET       0.160     56.69330
GET       0.170     62.97707
GET       0.180     69.63451
GET       0.190     79.16585
GET       0.200     85.98339
GET       0.210     89.35615
GET       0.220     91.45787
GET       0.230     93.19787
GET       0.240     94.99953
GET       0.250     96.28126
GET       0.260     97.01821
GET       0.270     97.52681
GET       0.280     97.97314
GET       0.290     98.36348
GET       0.300     98.64939
GET       0.310     98.84346
GET       0.320     99.01079
GET       0.330     99.14793
GET       0.340     99.26934
GET       0.350     99.38571
GET       0.360     99.46844
GET       0.370     99.54204
GET       0.380     99.60715
GET       0.390     99.65496
GET       0.400     99.69270
GET       0.410     99.72227
GET       0.420     99.74774
GET       0.430     99.77794
GET       0.440     99.80247
GET       0.450     99.82292
GET       0.460     99.83959
GET       0.470     99.85814
GET       0.480     99.87230
GET       0.490     99.88331
GET       0.500     99.89463
GET       0.510     99.90564
GET       0.520     99.91445
GET       0.530     99.91916
GET       0.540     99.92640
GET       0.550     99.93049
GET       0.560     99.93709
GET       0.570     99.94370
GET       0.580     99.94967
GET       0.590     99.95597
GET       0.600     99.96005
GET       0.610     99.96414
GET       0.620     99.96760
GET       0.630     99.97075
GET       0.640     99.97295
GET       0.650     99.97358
GET       0.660     99.97452
GET       0.670     99.97547
GET       0.680     99.97641
GET       0.690     99.97735
GET       0.700     99.97798
GET       0.710     99.97861
GET       0.720     99.97924
GET       0.730     99.97956
GET       0.750     99.98081
GET       0.790     99.98113
GET       0.810     99.98176
GET       0.830     99.98207
GET       0.850     99.98239
GET       0.870     99.98302
GET       0.910     99.98333
GET       0.930     99.98364
GET       0.940     99.98396
GET       0.950     99.98427
GET       0.970     99.98459
GET       0.980     99.98522
GET       1.000     99.98710
GET       1.100     99.98742
GET       1.200     99.98993
GET       1.300     99.99182
GET       1.500     99.99214
GET       1.600     99.99245
GET       1.700     99.99434
GET       1.800     99.99497
GET       2.000     99.99528
GET       2.100     99.99560
GET       2.200     99.99591
GET       2.300     99.99654
GET       2.600     99.99717
GET       3.100     99.99780
GET       3.200     99.99843
GET       3.400     99.99906
GET       3.500     99.99937
GET       4.300    100.00000
