[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       12503 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       25047 ops,   12542 (avg:   12523) ops/sec, 635.30KB/sec (avg: 574.49KB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 10%,   3 secs]  1 threads:       37733 ops,   12684 (avg:   12577) ops/sec, 729.26KB/sec (avg: 626.08KB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 13%,   4 secs]  1 threads:       49824 ops,   12089 (avg:   12455) ops/sec, 749.67KB/sec (avg: 656.98KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 17%,   5 secs]  1 threads:       61727 ops,   11901 (avg:   12344) ops/sec, 763.64KB/sec (avg: 678.31KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 20%,   6 secs]  1 threads:       74154 ops,   12425 (avg:   12358) ops/sec, 821.85KB/sec (avg: 702.24KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 23%,   7 secs]  1 threads:       84943 ops,   10787 (avg:   12133) ops/sec, 723.49KB/sec (avg: 705.27KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 27%,   8 secs]  1 threads:       92358 ops,    7414 (avg:   11543) ops/sec, 501.78KB/sec (avg: 679.84KB/sec),  0.26 (avg:  0.17) msec latency[RUN #1 30%,   9 secs]  1 threads:       99782 ops,    7423 (avg:   11085) ops/sec, 504.56KB/sec (avg: 660.36KB/sec),  0.26 (avg:  0.18) msec latency[RUN #1 33%,  10 secs]  1 threads:      107213 ops,    7430 (avg:   10720) ops/sec, 505.63KB/sec (avg: 644.89KB/sec),  0.26 (avg:  0.18) msec latency[RUN #1 37%,  11 secs]  1 threads:      114951 ops,    7737 (avg:   10449) ops/sec, 527.77KB/sec (avg: 634.24KB/sec),  0.25 (avg:  0.19) msec latency[RUN #1 40%,  12 secs]  1 threads:      126141 ops,   11188 (avg:   10510) ops/sec, 764.98KB/sec (avg: 645.14KB/sec),  0.17 (avg:  0.18) msec latency[RUN #1 43%,  13 secs]  1 threads:      137886 ops,   11743 (avg:   10605) ops/sec, 806.46KB/sec (avg: 657.55KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 47%,  14 secs]  1 threads:      149746 ops,   11858 (avg:   10695) ops/sec, 816.70KB/sec (avg: 668.92KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 50%,  15 secs]  1 threads:      161962 ops,   12214 (avg:   10796) ops/sec, 842.06KB/sec (avg: 680.46KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 53%,  16 secs]  1 threads:      174343 ops,   12379 (avg:   10895) ops/sec, 854.53KB/sec (avg: 691.34KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 57%,  17 secs]  1 threads:      186434 ops,   12089 (avg:   10965) ops/sec, 834.49KB/sec (avg: 699.76KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 60%,  18 secs]  1 threads:      193998 ops,    7563 (avg:   10776) ops/sec, 522.17KB/sec (avg: 689.89KB/sec),  0.26 (avg:  0.18) msec latency[RUN #1 63%,  19 secs]  1 threads:      205791 ops,   11791 (avg:   10830) ops/sec, 813.86KB/sec (avg: 696.42KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 67%,  20 secs]  1 threads:      217392 ops,   11599 (avg:   10868) ops/sec, 800.74KB/sec (avg: 701.63KB/sec),  0.17 (avg:  0.18) msec latency[RUN #1 70%,  21 secs]  1 threads:      229483 ops,   12089 (avg:   10926) ops/sec, 834.32KB/sec (avg: 707.95KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 73%,  22 secs]  1 threads:      241657 ops,   12172 (avg:   10983) ops/sec, 840.19KB/sec (avg: 713.96KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 77%,  23 secs]  1 threads:      253312 ops,   11653 (avg:   11012) ops/sec, 804.44KB/sec (avg: 717.90KB/sec),  0.17 (avg:  0.18) msec latency[RUN #1 80%,  24 secs]  1 threads:      265078 ops,   11764 (avg:   11043) ops/sec, 811.87KB/sec (avg: 721.81KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 83%,  25 secs]  1 threads:      276903 ops,   11823 (avg:   11075) ops/sec, 816.04KB/sec (avg: 725.58KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 87%,  26 secs]  1 threads:      287025 ops,   10121 (avg:   11038) ops/sec, 698.43KB/sec (avg: 724.54KB/sec),  0.19 (avg:  0.18) msec latency[RUN #1 90%,  27 secs]  1 threads:      298624 ops,   11597 (avg:   11059) ops/sec, 800.59KB/sec (avg: 727.35KB/sec),  0.17 (avg:  0.18) msec latency[RUN #1 93%,  28 secs]  1 threads:      310587 ops,   11961 (avg:   11091) ops/sec, 825.65KB/sec (avg: 730.86KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 97%,  29 secs]  1 threads:      323020 ops,   12431 (avg:   11137) ops/sec, 858.01KB/sec (avg: 735.25KB/sec),  0.16 (avg:  0.17) msec latency[RUN #1 100%,  30 secs]  0 threads:      336902 ops,   12431 (avg:   11230) ops/sec, 858.01KB/sec (avg: 742.74KB/sec),  0.16 (avg:  0.17) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1020.93          ---          ---      0.17300        74.99
Gets       10209.13      9360.43       848.70      0.17200       667.75
Totals     11230.06      9360.43       848.70      0.17200       742.74


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.063      0.00033
GET       0.064      0.00098
GET       0.065      0.00196
GET       0.067      0.00327
GET       0.068      0.00424
GET       0.069      0.00555
GET       0.070      0.00718
GET       0.071      0.01012
GET       0.072      0.01273
GET       0.073      0.01796
GET       0.074      0.02253
GET       0.075      0.03102
GET       0.076      0.03853
GET       0.077      0.05126
GET       0.078      0.06661
GET       0.079      0.08065
GET       0.080      0.09926
GET       0.081      0.12407
GET       0.082      0.15346
GET       0.083      0.18970
GET       0.084      0.23933
GET       0.085      0.30006
GET       0.086      0.37548
GET       0.087      0.47539
GET       0.088      0.58934
GET       0.089      0.73072
GET       0.090      0.89136
GET       0.091      1.06669
GET       0.092      1.27729
GET       0.093      1.55123
GET       0.094      1.84084
GET       0.095      2.16767
GET       0.096      2.49809
GET       0.097      2.79913
GET       0.098      3.12727
GET       0.099      3.44855
GET       0.100      5.17413
GET       0.110      8.31347
GET       0.120     11.59485
GET       0.130     17.75110
GET       0.140     33.20295
GET       0.150     47.67398
GET       0.160     55.63711
GET       0.170     61.26442
GET       0.180     67.25253
GET       0.190     75.31100
GET       0.200     81.25175
GET       0.210     84.39665
GET       0.220     86.41837
GET       0.230     88.21807
GET       0.240     90.47193
GET       0.250     92.24453
GET       0.260     93.42452
GET       0.270     94.34918
GET       0.280     95.32086
GET       0.290     96.48060
GET       0.300     97.34192
GET       0.310     97.88229
GET       0.320     98.28650
GET       0.330     98.61529
GET       0.340     98.88009
GET       0.350     99.09623
GET       0.360     99.23892
GET       0.370     99.32936
GET       0.380     99.41066
GET       0.390     99.47596
GET       0.400     99.52820
GET       0.410     99.57097
GET       0.420     99.61701
GET       0.430     99.64803
GET       0.440     99.68264
GET       0.450     99.71627
GET       0.460     99.74304
GET       0.470     99.77112
GET       0.480     99.79887
GET       0.490     99.81781
GET       0.500     99.83903
GET       0.510     99.85340
GET       0.520     99.86777
GET       0.530     99.87919
GET       0.540     99.88899
GET       0.550     99.89813
GET       0.560     99.90499
GET       0.570     99.91315
GET       0.580     99.92197
GET       0.590     99.92817
GET       0.600     99.93535
GET       0.610     99.94090
GET       0.620     99.94613
GET       0.630     99.95102
GET       0.640     99.95396
GET       0.650     99.95723
GET       0.660     99.96049
GET       0.670     99.96310
GET       0.680     99.96539
GET       0.690     99.96735
GET       0.700     99.96833
GET       0.710     99.96931
GET       0.720     99.97029
GET       0.730     99.97257
GET       0.740     99.97323
GET       0.750     99.97453
GET       0.760     99.97519
GET       0.780     99.97617
GET       0.790     99.97714
GET       0.800     99.97780
GET       0.820     99.97812
GET       0.830     99.97878
GET       0.840     99.97910
GET       0.850     99.97976
GET       0.860     99.98008
GET       0.870     99.98074
GET       0.880     99.98106
GET       0.890     99.98172
GET       0.930     99.98204
GET       0.940     99.98237
GET       0.950     99.98302
GET       0.960     99.98367
GET       0.970     99.98400
GET       0.980     99.98498
GET       0.990     99.98531
GET       1.000     99.98661
GET       1.100     99.98694
GET       1.300     99.98759
GET       1.400     99.98890
GET       1.500     99.99020
GET       1.800     99.99151
GET       1.900     99.99216
GET       2.000     99.99347
GET       2.200     99.99412
GET       2.800     99.99445
GET       2.900     99.99478
GET       3.200     99.99510
GET       3.300     99.99543
GET       3.800     99.99576
GET       3.900     99.99608
GET       4.200     99.99641
GET       4.300     99.99673
GET       4.400     99.99706
GET       4.500     99.99739
GET       4.700     99.99804
GET       4.800     99.99869
GET       5.100     99.99935
GET       7.500    100.00000
