[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       14273 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       27139 ops,   12864 (avg:   13568) ops/sec, 492.88KB/sec (avg: 519.73KB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 10%,   3 secs]  1 threads:       39450 ops,   12309 (avg:   13149) ops/sec, 471.62KB/sec (avg: 503.69KB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 13%,   4 secs]  1 threads:       48858 ops,    9406 (avg:   12213) ops/sec, 360.28KB/sec (avg: 467.84KB/sec),  0.21 (avg:  0.16) msec latency[RUN #1 17%,   5 secs]  1 threads:       60575 ops,   11715 (avg:   12114) ops/sec, 448.83KB/sec (avg: 464.04KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 20%,   6 secs]  1 threads:       72627 ops,   12050 (avg:   12103) ops/sec, 461.98KB/sec (avg: 463.69KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 23%,   7 secs]  1 threads:       84602 ops,   11973 (avg:   12084) ops/sec, 458.66KB/sec (avg: 462.97KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 27%,   8 secs]  1 threads:       96511 ops,   11907 (avg:   12062) ops/sec, 456.24KB/sec (avg: 462.13KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 30%,   9 secs]  1 threads:      108705 ops,   12192 (avg:   12077) ops/sec, 467.36KB/sec (avg: 462.71KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 33%,  10 secs]  1 threads:      120320 ops,   11614 (avg:   12030) ops/sec, 445.26KB/sec (avg: 460.97KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 37%,  11 secs]  1 threads:      132578 ops,   12256 (avg:   12051) ops/sec, 469.70KB/sec (avg: 461.76KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 40%,  12 secs]  1 threads:      144104 ops,   11524 (avg:   12007) ops/sec, 441.53KB/sec (avg: 460.08KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 43%,  13 secs]  1 threads:      156520 ops,   12414 (avg:   12038) ops/sec, 475.72KB/sec (avg: 461.28KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 47%,  14 secs]  1 threads:      168385 ops,   11863 (avg:   12026) ops/sec, 454.49KB/sec (avg: 460.79KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 50%,  15 secs]  1 threads:      181211 ops,   12824 (avg:   12079) ops/sec, 491.48KB/sec (avg: 462.84KB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 53%,  16 secs]  1 threads:      194092 ops,   12879 (avg:   12129) ops/sec, 493.52KB/sec (avg: 464.76KB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 57%,  17 secs]  1 threads:      206540 ops,   12446 (avg:   12148) ops/sec, 476.97KB/sec (avg: 465.48KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 60%,  18 secs]  1 threads:      218363 ops,   11821 (avg:   12130) ops/sec, 453.07KB/sec (avg: 464.79KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 63%,  19 secs]  1 threads:      230471 ops,   12106 (avg:   12128) ops/sec, 464.18KB/sec (avg: 464.75KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 67%,  20 secs]  1 threads:      242727 ops,   12254 (avg:   12135) ops/sec, 469.45KB/sec (avg: 464.99KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 70%,  21 secs]  1 threads:      255392 ops,   12663 (avg:   12160) ops/sec, 485.32KB/sec (avg: 465.96KB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 73%,  22 secs]  1 threads:      267684 ops,   12290 (avg:   12166) ops/sec, 471.32KB/sec (avg: 466.20KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 77%,  23 secs]  1 threads:      279528 ops,   11842 (avg:   12152) ops/sec, 454.23KB/sec (avg: 465.68KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 80%,  24 secs]  1 threads:      291756 ops,   12226 (avg:   12155) ops/sec, 468.94KB/sec (avg: 465.82KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 83%,  25 secs]  1 threads:      303488 ops,   11730 (avg:   12138) ops/sec, 449.76KB/sec (avg: 465.17KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 87%,  26 secs]  1 threads:      315754 ops,   12264 (avg:   12143) ops/sec, 470.09KB/sec (avg: 465.36KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 90%,  27 secs]  1 threads:      328034 ops,   12278 (avg:   12148) ops/sec, 470.76KB/sec (avg: 465.56KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 93%,  28 secs]  1 threads:      340463 ops,   12427 (avg:   12158) ops/sec, 476.54KB/sec (avg: 465.96KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 97%,  29 secs]  1 threads:      352895 ops,   12430 (avg:   12167) ops/sec, 476.54KB/sec (avg: 466.32KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 100%,  30 secs]  0 threads:      364238 ops,   12430 (avg:   12141) ops/sec, 476.54KB/sec (avg: 465.32KB/sec),  0.16 (avg:  0.16) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1103.79          ---          ---      0.16100        85.39
Gets       11037.41         7.23     11030.18      0.15900       379.92
Totals     12141.21         7.23     11030.18      0.15900       465.32


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.058      0.00030
GET       0.059      0.00060
GET       0.060      0.00121
GET       0.061      0.00272
GET       0.062      0.00453
GET       0.063      0.00513
GET       0.064      0.00725
GET       0.065      0.01148
GET       0.066      0.01510
GET       0.067      0.01661
GET       0.068      0.01903
GET       0.069      0.02174
GET       0.070      0.02718
GET       0.071      0.03171
GET       0.072      0.03775
GET       0.073      0.04923
GET       0.074      0.06100
GET       0.075      0.07610
GET       0.076      0.09120
GET       0.077      0.10872
GET       0.078      0.13258
GET       0.079      0.16459
GET       0.080      0.19721
GET       0.081      0.23194
GET       0.082      0.27935
GET       0.083      0.32948
GET       0.084      0.39381
GET       0.085      0.47807
GET       0.086      0.58015
GET       0.087      0.69732
GET       0.088      0.83443
GET       0.089      1.00536
GET       0.090      1.19653
GET       0.091      1.44508
GET       0.092      1.70963
GET       0.093      2.03338
GET       0.094      2.40514
GET       0.095      2.80469
GET       0.096      3.20212
GET       0.097      3.60681
GET       0.098      4.01119
GET       0.099      4.45785
GET       0.100      6.68390
GET       0.110     11.31177
GET       0.120     16.78465
GET       0.130     24.92329
GET       0.140     40.18102
GET       0.150     54.77676
GET       0.160     64.53836
GET       0.170     71.84589
GET       0.180     78.30601
GET       0.190     84.69033
GET       0.200     89.34659
GET       0.210     92.30923
GET       0.220     94.22935
GET       0.230     95.60557
GET       0.240     96.64265
GET       0.250     97.32729
GET       0.260     97.76247
GET       0.270     98.08501
GET       0.280     98.33386
GET       0.290     98.55402
GET       0.300     98.71951
GET       0.310     98.87746
GET       0.320     99.03239
GET       0.330     99.17040
GET       0.340     99.30207
GET       0.350     99.40536
GET       0.360     99.50562
GET       0.370     99.57086
GET       0.380     99.63518
GET       0.390     99.68592
GET       0.400     99.72820
GET       0.410     99.76081
GET       0.420     99.78528
GET       0.430     99.81095
GET       0.440     99.82967
GET       0.450     99.84658
GET       0.460     99.86440
GET       0.470     99.88041
GET       0.480     99.89037
GET       0.490     99.90004
GET       0.500     99.90789
GET       0.510     99.91514
GET       0.520     99.92208
GET       0.530     99.93084
GET       0.540     99.93658
GET       0.550     99.94202
GET       0.560     99.94866
GET       0.570     99.95259
GET       0.580     99.95561
GET       0.590     99.95983
GET       0.600     99.96376
GET       0.610     99.96859
GET       0.620     99.97040
GET       0.630     99.97312
GET       0.640     99.97524
GET       0.650     99.97675
GET       0.660     99.97765
GET       0.670     99.97886
GET       0.680     99.97946
GET       0.690     99.98067
GET       0.700     99.98188
GET       0.710     99.98218
GET       0.720     99.98248
GET       0.730     99.98339
GET       0.740     99.98399
GET       0.750     99.98460
GET       0.760     99.98550
GET       0.770     99.98581
GET       0.790     99.98611
GET       0.800     99.98641
GET       0.810     99.98671
GET       0.820     99.98701
GET       0.840     99.98732
GET       0.860     99.98762
GET       0.870     99.98792
GET       0.890     99.98852
GET       0.910     99.98883
GET       0.940     99.98913
GET       0.950     99.98943
GET       0.960     99.98973
GET       0.980     99.99003
GET       0.990     99.99034
GET       1.000     99.99064
GET       1.100     99.99396
GET       1.200     99.99426
GET       1.300     99.99487
GET       1.500     99.99547
GET       1.700     99.99577
GET       1.900     99.99638
GET       2.100     99.99698
GET       2.300     99.99819
GET       2.800     99.99879
GET       3.000     99.99909
GET       3.100     99.99940
GET       3.300    100.00000
