[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       13419 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       25836 ops,   12415 (avg:   12917) ops/sec, 842.37KB/sec (avg: 810.93KB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 10%,   3 secs]  1 threads:       37508 ops,   11670 (avg:   12502) ops/sec, 795.57KB/sec (avg: 805.81KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 13%,   4 secs]  1 threads:       48875 ops,   11365 (avg:   12218) ops/sec, 774.65KB/sec (avg: 798.02KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 17%,   5 secs]  1 threads:       60715 ops,   11838 (avg:   12142) ops/sec, 807.00KB/sec (avg: 799.82KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 20%,   6 secs]  1 threads:       73252 ops,   12535 (avg:   12207) ops/sec, 854.41KB/sec (avg: 808.92KB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 23%,   7 secs]  1 threads:       84754 ops,   11500 (avg:   12106) ops/sec, 783.85KB/sec (avg: 805.34KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 27%,   8 secs]  1 threads:       95196 ops,   10440 (avg:   11898) ops/sec, 711.69KB/sec (avg: 793.63KB/sec),  0.19 (avg:  0.16) msec latency[RUN #1 30%,   9 secs]  1 threads:      103879 ops,    8682 (avg:   11541) ops/sec, 591.73KB/sec (avg: 771.20KB/sec),  0.22 (avg:  0.17) msec latency[RUN #1 33%,  10 secs]  1 threads:      112808 ops,    8928 (avg:   11279) ops/sec, 608.50KB/sec (avg: 754.93KB/sec),  0.22 (avg:  0.17) msec latency[RUN #1 37%,  11 secs]  1 threads:      121954 ops,    9145 (avg:   11085) ops/sec, 623.29KB/sec (avg: 742.96KB/sec),  0.21 (avg:  0.18) msec latency[RUN #1 40%,  12 secs]  1 threads:      130769 ops,    8814 (avg:   10896) ops/sec, 600.82KB/sec (avg: 731.11KB/sec),  0.22 (avg:  0.18) msec latency[RUN #1 43%,  13 secs]  1 threads:      139875 ops,    9105 (avg:   10758) ops/sec, 620.63KB/sec (avg: 722.62KB/sec),  0.21 (avg:  0.18) msec latency[RUN #1 47%,  14 secs]  1 threads:      145948 ops,    6072 (avg:   10423) ops/sec, 413.82KB/sec (avg: 700.56KB/sec),  0.32 (avg:  0.19) msec latency[RUN #1 50%,  15 secs]  1 threads:      151738 ops,    5789 (avg:   10114) ops/sec, 394.62KB/sec (avg: 680.16KB/sec),  0.34 (avg:  0.19) msec latency[RUN #1 53%,  16 secs]  1 threads:      157433 ops,    5694 (avg:    9838) ops/sec, 388.18KB/sec (avg: 661.91KB/sec),  0.34 (avg:  0.20) msec latency[RUN #1 57%,  17 secs]  1 threads:      163272 ops,    5838 (avg:    9603) ops/sec, 398.04KB/sec (avg: 646.39KB/sec),  0.34 (avg:  0.20) msec latency[RUN #1 60%,  18 secs]  1 threads:      169131 ops,    5858 (avg:    9395) ops/sec, 399.37KB/sec (avg: 632.67KB/sec),  0.33 (avg:  0.21) msec latency[RUN #1 63%,  19 secs]  1 threads:      174954 ops,    5822 (avg:    9207) ops/sec, 396.83KB/sec (avg: 620.25KB/sec),  0.34 (avg:  0.21) msec latency[RUN #1 67%,  20 secs]  1 threads:      180736 ops,    5781 (avg:    9035) ops/sec, 394.09KB/sec (avg: 608.95KB/sec),  0.34 (avg:  0.22) msec latency[RUN #1 70%,  21 secs]  1 threads:      186543 ops,    5806 (avg:    8882) ops/sec, 395.67KB/sec (avg: 598.79KB/sec),  0.34 (avg:  0.22) msec latency[RUN #1 73%,  22 secs]  1 threads:      194661 ops,    8117 (avg:    8847) ops/sec, 553.14KB/sec (avg: 596.72KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 77%,  23 secs]  1 threads:      204007 ops,    9345 (avg:    8869) ops/sec, 636.89KB/sec (avg: 598.46KB/sec),  0.21 (avg:  0.22) msec latency[RUN #1 80%,  24 secs]  1 threads:      213214 ops,    9205 (avg:    8883) ops/sec, 627.49KB/sec (avg: 599.67KB/sec),  0.21 (avg:  0.22) msec latency[RUN #1 83%,  25 secs]  1 threads:      221739 ops,    8524 (avg:    8868) ops/sec, 580.86KB/sec (avg: 598.92KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 87%,  26 secs]  1 threads:      230302 ops,    8562 (avg:    8856) ops/sec, 583.53KB/sec (avg: 598.33KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 90%,  27 secs]  1 threads:      236027 ops,    5724 (avg:    8740) ops/sec, 390.25KB/sec (avg: 590.62KB/sec),  0.34 (avg:  0.22) msec latency[RUN #1 93%,  28 secs]  1 threads:      241829 ops,    5801 (avg:    8635) ops/sec, 395.53KB/sec (avg: 583.65KB/sec),  0.34 (avg:  0.23) msec latency[RUN #1 97%,  29 secs]  1 threads:      247644 ops,    5814 (avg:    8538) ops/sec, 396.35KB/sec (avg: 577.20KB/sec),  0.34 (avg:  0.23) msec latency[RUN #1 100%,  30 secs]  0 threads:      253415 ops,    5814 (avg:    8447) ops/sec, 396.35KB/sec (avg: 571.11KB/sec),  0.34 (avg:  0.23) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         767.93          ---          ---      0.23100        55.74
Gets        7679.21      7557.41       121.80      0.23000       515.37
Totals      8447.14      7557.41       121.80      0.23000       571.11


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.066      0.00043
GET       0.067      0.00087
GET       0.069      0.00217
GET       0.070      0.00347
GET       0.071      0.00434
GET       0.072      0.00651
GET       0.073      0.00781
GET       0.074      0.00955
GET       0.075      0.01172
GET       0.076      0.01389
GET       0.077      0.01823
GET       0.078      0.02561
GET       0.079      0.03169
GET       0.080      0.03907
GET       0.081      0.05079
GET       0.082      0.06164
GET       0.083      0.07379
GET       0.084      0.09072
GET       0.085      0.11156
GET       0.086      0.13673
GET       0.087      0.17146
GET       0.088      0.21052
GET       0.089      0.26392
GET       0.090      0.31904
GET       0.091      0.40282
GET       0.092      0.50396
GET       0.093      0.62550
GET       0.094      0.74226
GET       0.095      0.86293
GET       0.096      0.99142
GET       0.097      1.13249
GET       0.098      1.26488
GET       0.099      1.42549
GET       0.100      2.19597
GET       0.110      4.24087
GET       0.120      7.07102
GET       0.130     11.81628
GET       0.140     21.82987
GET       0.150     31.29957
GET       0.160     38.19175
GET       0.170     43.70271
GET       0.180     48.98232
GET       0.190     54.35916
GET       0.200     58.63519
GET       0.210     61.69062
GET       0.220     63.94692
GET       0.230     65.95103
GET       0.240     67.85183
GET       0.250     69.36630
GET       0.260     70.72060
GET       0.270     72.01544
GET       0.280     73.50473
GET       0.290     75.29615
GET       0.300     77.20953
GET       0.310     79.14028
GET       0.320     81.14352
GET       0.330     83.21056
GET       0.340     85.35965
GET       0.350     87.39197
GET       0.360     89.22636
GET       0.370     90.83850
GET       0.380     92.30913
GET       0.390     93.61047
GET       0.400     94.71388
GET       0.410     95.62587
GET       0.420     96.30345
GET       0.430     96.90073
GET       0.440     97.39948
GET       0.450     97.77104
GET       0.460     98.08488
GET       0.470     98.31754
GET       0.480     98.50332
GET       0.490     98.65395
GET       0.500     98.77158
GET       0.510     98.86230
GET       0.520     98.93696
GET       0.530     99.01553
GET       0.540     99.07326
GET       0.550     99.13620
GET       0.560     99.18568
GET       0.570     99.23169
GET       0.580     99.27684
GET       0.590     99.31894
GET       0.600     99.35801
GET       0.610     99.39100
GET       0.620     99.41748
GET       0.630     99.44830
GET       0.640     99.46913
GET       0.650     99.48780
GET       0.660     99.49952
GET       0.670     99.51948
GET       0.680     99.53251
GET       0.690     99.54162
GET       0.700     99.54596
GET       0.710     99.55291
GET       0.720     99.56029
GET       0.730     99.56767
GET       0.740     99.57201
GET       0.750     99.57678
GET       0.760     99.57982
GET       0.770     99.58373
GET       0.780     99.58676
GET       0.790     99.59197
GET       0.800     99.59979
GET       0.810     99.60326
GET       0.820     99.60934
GET       0.830     99.61281
GET       0.840     99.61802
GET       0.850     99.62279
GET       0.860     99.62540
GET       0.870     99.62800
GET       0.880     99.63104
GET       0.890     99.63408
GET       0.900     99.63842
GET       0.910     99.64319
GET       0.920     99.64450
GET       0.930     99.64840
GET       0.940     99.65144
GET       0.950     99.65361
GET       0.960     99.65795
GET       0.970     99.66099
GET       0.980     99.66403
GET       0.990     99.66620
GET       1.000     99.67879
GET       1.100     99.70744
GET       1.200     99.72219
GET       1.300     99.73391
GET       1.400     99.75041
GET       1.500     99.76560
GET       1.600     99.77993
GET       1.700     99.79034
GET       1.800     99.79989
GET       1.900     99.81118
GET       2.000     99.81769
GET       2.100     99.82724
GET       2.200     99.83115
GET       2.300     99.83983
GET       2.400     99.84764
GET       2.500     99.85545
GET       2.600     99.86674
GET       2.700     99.87108
GET       2.800     99.88237
GET       2.900     99.88671
GET       3.000     99.89452
GET       3.100     99.89713
GET       3.200     99.89973
GET       3.300     99.90494
GET       3.400     99.90841
GET       3.500     99.91319
GET       3.600     99.91709
GET       3.700     99.92100
GET       3.800     99.92230
GET       3.900     99.92534
GET       4.000     99.92794
GET       4.100     99.93185
GET       4.200     99.93663
GET       4.300     99.94314
GET       4.400     99.95269
GET       4.500     99.95746
GET       4.600     99.96093
GET       4.700     99.96354
GET       4.800     99.96484
GET       4.900     99.96527
GET       5.100     99.96701
GET       5.200     99.96831
GET       5.300     99.96918
GET       5.400     99.97048
GET       5.500     99.97265
GET       5.700     99.97352
GET       5.800     99.97526
GET       5.900     99.97569
GET       6.000     99.97613
GET       6.300     99.97699
GET       6.400     99.97786
GET       6.600     99.97873
GET       6.700     99.97916
GET       6.800     99.97960
GET       6.900     99.98047
GET       7.300     99.98133
GET       7.500     99.98220
GET       7.800     99.98264
GET       7.900     99.98611
GET       8.000     99.98654
GET       8.200     99.98785
GET       8.300     99.99002
GET       8.400     99.99262
GET       8.500     99.99479
GET       8.900     99.99523
GET       9.000     99.99566
GET       9.100     99.99609
GET       9.200     99.99740
GET       9.700     99.99826
GET      11.000     99.99913
GET      12.000    100.00000
