[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  1 threads:        9625 ops,    9624 (avg:    9624) ops/sec, 515.30KB/sec (avg: 515.30KB/sec),  0.10 (avg:  0.10) msec latency[RUN #1 7%,   2 secs]  1 threads:       18339 ops,    8713 (avg:    9168) ops/sec, 574.20KB/sec (avg: 544.75KB/sec),  0.11 (avg:  0.10) msec latency[RUN #1 10%,   3 secs]  1 threads:       26077 ops,    7737 (avg:    8691) ops/sec, 525.78KB/sec (avg: 538.43KB/sec),  0.12 (avg:  0.11) msec latency[RUN #1 13%,   4 secs]  1 threads:       33474 ops,    7396 (avg:    8367) ops/sec, 506.82KB/sec (avg: 530.53KB/sec),  0.13 (avg:  0.12) msec latency[RUN #1 17%,   5 secs]  1 threads:       40120 ops,    6645 (avg:    8023) ops/sec, 455.59KB/sec (avg: 515.54KB/sec),  0.15 (avg:  0.12) msec latency[RUN #1 20%,   6 secs]  1 threads:       46182 ops,    6061 (avg:    7696) ops/sec, 415.51KB/sec (avg: 498.87KB/sec),  0.16 (avg:  0.13) msec latency[RUN #1 23%,   7 secs]  1 threads:       51914 ops,    5731 (avg:    7415) ops/sec, 392.94KB/sec (avg: 483.74KB/sec),  0.17 (avg:  0.13) msec latency[RUN #1 27%,   8 secs]  1 threads:       57495 ops,    5580 (avg:    7186) ops/sec, 382.62KB/sec (avg: 471.09KB/sec),  0.17 (avg:  0.13) msec latency[RUN #1 30%,   9 secs]  1 threads:       63026 ops,    5530 (avg:    7002) ops/sec, 379.14KB/sec (avg: 460.88KB/sec),  0.17 (avg:  0.14) msec latency[RUN #1 33%,  10 secs]  1 threads:       68683 ops,    5656 (avg:    6867) ops/sec, 387.83KB/sec (avg: 453.57KB/sec),  0.17 (avg:  0.14) msec latency[RUN #1 37%,  11 secs]  1 threads:       74236 ops,    5552 (avg:    6748) ops/sec, 380.76KB/sec (avg: 446.95KB/sec),  0.17 (avg:  0.14) msec latency[RUN #1 40%,  12 secs]  1 threads:       79952 ops,    5715 (avg:    6662) ops/sec, 391.84KB/sec (avg: 442.36KB/sec),  0.17 (avg:  0.14) msec latency[RUN #1 43%,  13 secs]  1 threads:       85503 ops,    5550 (avg:    6576) ops/sec, 380.57KB/sec (avg: 437.61KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 47%,  14 secs]  1 threads:       91189 ops,    5685 (avg:    6512) ops/sec, 389.82KB/sec (avg: 434.19KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 50%,  15 secs]  1 threads:       96694 ops,    5504 (avg:    6445) ops/sec, 377.43KB/sec (avg: 430.41KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 53%,  16 secs]  1 threads:      102206 ops,    5511 (avg:    6387) ops/sec, 377.86KB/sec (avg: 427.13KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 57%,  17 secs]  1 threads:      107841 ops,    5634 (avg:    6343) ops/sec, 386.35KB/sec (avg: 424.73KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 60%,  18 secs]  1 threads:      113417 ops,    5575 (avg:    6300) ops/sec, 382.27KB/sec (avg: 422.37KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 63%,  19 secs]  1 threads:      118929 ops,    5511 (avg:    6258) ops/sec, 377.91KB/sec (avg: 420.03KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 67%,  20 secs]  1 threads:      124551 ops,    5621 (avg:    6226) ops/sec, 385.49KB/sec (avg: 418.30KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 70%,  21 secs]  1 threads:      130162 ops,    5610 (avg:    6197) ops/sec, 384.68KB/sec (avg: 416.70KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 73%,  22 secs]  1 threads:      135856 ops,    5693 (avg:    6174) ops/sec, 390.41KB/sec (avg: 415.50KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 77%,  23 secs]  1 threads:      141515 ops,    5658 (avg:    6152) ops/sec, 387.96KB/sec (avg: 414.31KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 80%,  24 secs]  1 threads:      147104 ops,    5588 (avg:    6128) ops/sec, 383.20KB/sec (avg: 413.01KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 83%,  25 secs]  1 threads:      152675 ops,    5570 (avg:    6106) ops/sec, 381.92KB/sec (avg: 411.77KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 87%,  26 secs]  1 threads:      158365 ops,    5689 (avg:    6090) ops/sec, 390.01KB/sec (avg: 410.93KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 90%,  27 secs]  1 threads:      163897 ops,    5531 (avg:    6069) ops/sec, 379.24KB/sec (avg: 409.76KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 93%,  28 secs]  1 threads:      169463 ops,    5565 (avg:    6051) ops/sec, 381.51KB/sec (avg: 408.75KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 97%,  29 secs]  1 threads:      175343 ops,    5879 (avg:    6045) ops/sec, 403.11KB/sec (avg: 408.55KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 100%,  30 secs]  0 threads:      181835 ops,    5879 (avg:    6061) ops/sec, 403.11KB/sec (avg: 409.81KB/sec),  0.16 (avg:  0.16) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         551.03          ---          ---      0.15900        40.22
Gets        5510.13      5358.80       151.33      0.15900       369.58
Totals      6061.16      5358.80       151.33      0.15900       409.81


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.056      0.00060
GET       0.062      0.00302
GET       0.063      0.00847
GET       0.064      0.01331
GET       0.065      0.02359
GET       0.066      0.03993
GET       0.067      0.05868
GET       0.068      0.09316
GET       0.069      0.13188
GET       0.070      0.17846
GET       0.071      0.24379
GET       0.072      0.30852
GET       0.073      0.38717
GET       0.074      0.49727
GET       0.075      0.60737
GET       0.076      0.74832
GET       0.077      0.89593
GET       0.078      1.06350
GET       0.079      1.24558
GET       0.080      1.43251
GET       0.081      1.65211
GET       0.082      1.93583
GET       0.083      2.27460
GET       0.084      2.66176
GET       0.085      3.14693
GET       0.086      3.69138
GET       0.087      4.26850
GET       0.088      4.87707
GET       0.089      5.52316
GET       0.090      6.23034
GET       0.091      7.12929
GET       0.092      8.44384
GET       0.093     10.43290
GET       0.094     12.60224
GET       0.095     14.11158
GET       0.096     15.19624
GET       0.097     16.19985
GET       0.098     17.13449
GET       0.099     18.06792
GET       0.100     22.32856
GET       0.110     29.55040
GET       0.120     36.22901
GET       0.130     43.42424
GET       0.140     54.40280
GET       0.150     62.39716
GET       0.160     67.96629
GET       0.170     72.47435
GET       0.180     76.75071
GET       0.190     81.39307
GET       0.200     85.02335
GET       0.210     87.53206
GET       0.220     89.57073
GET       0.230     91.27365
GET       0.240     92.78239
GET       0.250     93.97232
GET       0.260     94.81622
GET       0.270     95.43024
GET       0.280     95.90814
GET       0.290     96.30075
GET       0.300     96.56875
GET       0.310     96.79621
GET       0.320     97.00552
GET       0.330     97.16583
GET       0.340     97.30799
GET       0.350     97.46346
GET       0.360     97.59534
GET       0.370     97.72117
GET       0.380     97.84034
GET       0.390     97.94560
GET       0.400     98.04905
GET       0.410     98.14584
GET       0.420     98.23719
GET       0.430     98.33700
GET       0.440     98.42775
GET       0.450     98.50518
GET       0.460     98.57535
GET       0.470     98.64190
GET       0.480     98.69513
GET       0.490     98.75502
GET       0.500     98.81854
GET       0.510     98.87117
GET       0.520     98.91473
GET       0.530     98.94921
GET       0.540     98.98974
GET       0.550     99.03693
GET       0.560     99.06778
GET       0.570     99.10649
GET       0.580     99.13553
GET       0.590     99.16578
GET       0.600     99.19240
GET       0.610     99.22264
GET       0.620     99.25531
GET       0.630     99.27951
GET       0.640     99.30673
GET       0.650     99.33395
GET       0.660     99.35573
GET       0.670     99.37933
GET       0.680     99.40413
GET       0.690     99.42409
GET       0.700     99.44708
GET       0.710     99.46523
GET       0.720     99.48822
GET       0.730     99.51241
GET       0.740     99.53117
GET       0.750     99.54750
GET       0.760     99.55960
GET       0.770     99.57714
GET       0.780     99.59650
GET       0.790     99.60981
GET       0.800     99.62554
GET       0.810     99.63522
GET       0.820     99.64732
GET       0.830     99.65821
GET       0.840     99.67212
GET       0.850     99.68361
GET       0.860     99.69390
GET       0.870     99.70176
GET       0.880     99.71447
GET       0.890     99.72717
GET       0.900     99.73745
GET       0.910     99.74713
GET       0.920     99.75863
GET       0.930     99.76710
GET       0.940     99.77798
GET       0.950     99.78524
GET       0.960     99.78887
GET       0.970     99.79795
GET       0.980     99.80400
GET       0.990     99.81005
GET       1.000     99.83303
GET       1.100     99.86449
GET       1.200     99.88869
GET       1.300     99.90744
GET       1.400     99.92136
GET       1.500     99.93225
GET       1.600     99.94072
GET       1.700     99.94979
GET       1.800     99.95644
GET       1.900     99.96612
GET       2.000     99.97036
GET       2.100     99.97399
GET       2.200     99.97580
GET       2.300     99.98125
GET       2.400     99.98488
GET       2.500     99.98548
GET       2.600     99.98730
GET       2.700     99.98851
GET       2.800     99.98972
GET       2.900     99.99032
GET       3.000     99.99214
GET       3.100     99.99274
GET       3.200     99.99335
GET       3.300     99.99698
GET       3.500     99.99758
GET       3.600     99.99819
GET       4.000     99.99940
GET       4.500    100.00000
