[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       22464 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       38989 ops,   16523 (avg:   19495) ops/sec, 710.52KB/sec (avg: 778.78KB/sec),  0.72 (avg:  0.61) msec latency[RUN #1 10%,   3 secs]  2 threads:       50197 ops,   11205 (avg:   16731) ops/sec, 512.21KB/sec (avg: 689.90KB/sec),  1.07 (avg:  0.71) msec latency[RUN #1 13%,   4 secs]  2 threads:       60981 ops,   10782 (avg:   15244) ops/sec, 509.89KB/sec (avg: 644.90KB/sec),  1.11 (avg:  0.78) msec latency[RUN #1 17%,   5 secs]  2 threads:       69355 ops,    8373 (avg:   13869) ops/sec, 413.21KB/sec (avg: 598.56KB/sec),  1.43 (avg:  0.86) msec latency[RUN #1 20%,   6 secs]  2 threads:       76741 ops,    7385 (avg:   12789) ops/sec, 377.11KB/sec (avg: 561.65KB/sec),  1.62 (avg:  0.93) msec latency[RUN #1 23%,   7 secs]  2 threads:       83336 ops,    6594 (avg:   11904) ops/sec, 337.92KB/sec (avg: 529.69KB/sec),  1.81 (avg:  1.00) msec latency[RUN #1 27%,   8 secs]  2 threads:       92897 ops,    9560 (avg:   11611) ops/sec, 506.76KB/sec (avg: 526.83KB/sec),  1.25 (avg:  1.03) msec latency[RUN #1 30%,   9 secs]  2 threads:      101012 ops,    8114 (avg:   11222) ops/sec, 437.24KB/sec (avg: 516.87KB/sec),  1.47 (avg:  1.06) msec latency[RUN #1 33%,  10 secs]  2 threads:      105582 ops,    4569 (avg:   10557) ops/sec, 250.89KB/sec (avg: 490.27KB/sec),  2.62 (avg:  1.13) msec latency[RUN #1 37%,  11 secs]  2 threads:      119570 ops,   13986 (avg:   10869) ops/sec, 783.10KB/sec (avg: 516.89KB/sec),  0.86 (avg:  1.10) msec latency[RUN #1 40%,  12 secs]  2 threads:      127492 ops,    7921 (avg:   10623) ops/sec, 462.77KB/sec (avg: 512.38KB/sec),  1.51 (avg:  1.12) msec latency[RUN #1 43%,  13 secs]  2 threads:      134321 ops,    6828 (avg:   10331) ops/sec, 394.18KB/sec (avg: 503.29KB/sec),  1.75 (avg:  1.16) msec latency[RUN #1 47%,  14 secs]  2 threads:      150404 ops,   16081 (avg:   10742) ops/sec, 941.80KB/sec (avg: 534.61KB/sec),  0.74 (avg:  1.11) msec latency[RUN #1 50%,  15 secs]  2 threads:      160765 ops,   10359 (avg:   10716) ops/sec, 618.84KB/sec (avg: 540.23KB/sec),  1.15 (avg:  1.11) msec latency[RUN #1 53%,  16 secs]  2 threads:      170874 ops,   10107 (avg:   10678) ops/sec, 614.71KB/sec (avg: 544.88KB/sec),  1.18 (avg:  1.12) msec latency[RUN #1 57%,  17 secs]  2 threads:      177676 ops,    6801 (avg:   10450) ops/sec, 412.02KB/sec (avg: 537.07KB/sec),  1.75 (avg:  1.14) msec latency[RUN #1 60%,  18 secs]  2 threads:      187225 ops,    9548 (avg:   10400) ops/sec, 583.36KB/sec (avg: 539.64KB/sec),  1.26 (avg:  1.15) msec latency[RUN #1 63%,  19 secs]  2 threads:      195847 ops,    8621 (avg:   10306) ops/sec, 530.33KB/sec (avg: 539.15KB/sec),  1.39 (avg:  1.16) msec latency[RUN #1 67%,  20 secs]  2 threads:      202290 ops,    6442 (avg:   10113) ops/sec, 395.28KB/sec (avg: 531.96KB/sec),  1.86 (avg:  1.18) msec latency[RUN #1 70%,  21 secs]  2 threads:      210998 ops,    8707 (avg:   10046) ops/sec, 537.62KB/sec (avg: 532.23KB/sec),  1.37 (avg:  1.19) msec latency[RUN #1 73%,  22 secs]  2 threads:      216681 ops,    5682 (avg:    9848) ops/sec, 357.34KB/sec (avg: 524.28KB/sec),  2.10 (avg:  1.21) msec latency[RUN #1 77%,  23 secs]  2 threads:      222758 ops,    6076 (avg:    9684) ops/sec, 382.40KB/sec (avg: 518.11KB/sec),  1.97 (avg:  1.23) msec latency[RUN #1 80%,  24 secs]  2 threads:      230454 ops,    7695 (avg:    9601) ops/sec, 483.97KB/sec (avg: 516.69KB/sec),  1.55 (avg:  1.24) msec latency[RUN #1 83%,  25 secs]  2 threads:      239537 ops,    9082 (avg:    9580) ops/sec, 580.03KB/sec (avg: 519.22KB/sec),  1.32 (avg:  1.25) msec latency[RUN #1 87%,  26 secs]  2 threads:      250319 ops,   10780 (avg:    9626) ops/sec, 691.34KB/sec (avg: 525.84KB/sec),  1.11 (avg:  1.24) msec latency[RUN #1 90%,  27 secs]  2 threads:      261587 ops,   11266 (avg:    9687) ops/sec, 716.60KB/sec (avg: 532.90KB/sec),  1.06 (avg:  1.23) msec latency[RUN #1 93%,  28 secs]  2 threads:      271713 ops,   10124 (avg:    9703) ops/sec, 659.33KB/sec (avg: 537.42KB/sec),  1.18 (avg:  1.23) msec latency[RUN #1 97%,  29 secs]  2 threads:      283610 ops,   11895 (avg:    9778) ops/sec, 777.60KB/sec (avg: 545.70KB/sec),  1.00 (avg:  1.22) msec latency[RUN #1 100%,  30 secs]  0 threads:      294676 ops,   11895 (avg:    9822) ops/sec, 777.60KB/sec (avg: 551.76KB/sec),  1.00 (avg:  1.22) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         893.12          ---          ---      1.21000        65.41
Gets        8929.23      5671.89      3257.34      1.21600       486.35
Totals      9822.34      5671.89      3257.34      1.21600       551.76


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.080      0.00037
GET       0.090      0.00075
GET       0.091      0.00149
GET       0.092      0.00224
GET       0.094      0.00299
GET       0.095      0.00336
GET       0.096      0.00448
GET       0.098      0.00523
GET       0.099      0.00560
GET       0.100      0.00859
GET       0.110      0.02501
GET       0.120      0.04890
GET       0.130      0.09780
GET       0.140      0.17918
GET       0.150      0.27736
GET       0.160      0.37517
GET       0.170      0.46326
GET       0.180      0.56853
GET       0.190      0.67716
GET       0.200      0.76825
GET       0.210      0.83358
GET       0.220      0.87949
GET       0.230      0.91533
GET       0.240      0.94258
GET       0.250      0.96012
GET       0.260      0.97580
GET       0.270      0.98738
GET       0.280      1.00529
GET       0.290      1.02135
GET       0.300      1.03292
GET       0.310      1.04449
GET       0.320      1.05830
GET       0.330      1.06913
GET       0.340      1.08406
GET       0.350      1.10086
GET       0.360      1.12550
GET       0.370      1.15424
GET       0.380      1.20762
GET       0.390      1.31140
GET       0.400      1.47528
GET       0.410      1.73136
GET       0.420      2.12892
GET       0.430      2.78929
GET       0.440      3.71731
GET       0.450      5.01303
GET       0.460      6.54505
GET       0.470      8.31971
GET       0.480     10.24182
GET       0.490     12.10085
GET       0.500     13.70342
GET       0.510     14.95995
GET       0.520     15.91111
GET       0.530     16.59611
GET       0.540     17.04221
GET       0.550     17.33077
GET       0.560     17.51741
GET       0.570     17.68876
GET       0.580     17.82277
GET       0.590     17.94671
GET       0.600     18.07848
GET       0.610     18.23788
GET       0.620     18.43424
GET       0.630     18.67203
GET       0.640     18.99082
GET       0.650     19.39847
GET       0.660     19.92370
GET       0.670     20.56876
GET       0.680     21.39039
GET       0.690     22.32587
GET       0.700     23.37746
GET       0.710     24.49922
GET       0.720     25.62136
GET       0.730     26.70019
GET       0.740     27.68196
GET       0.750     28.59916
GET       0.760     29.41556
GET       0.770     30.18643
GET       0.780     30.99910
GET       0.790     31.90435
GET       0.800     32.95481
GET       0.810     34.24306
GET       0.820     35.84825
GET       0.830     37.87339
GET       0.840     40.30095
GET       0.850     43.18618
GET       0.860     46.41969
GET       0.870     50.02090
GET       0.880     53.96630
GET       0.890     57.84860
GET       0.900     61.68649
GET       0.910     65.30077
GET       0.920     68.59475
GET       0.930     71.50947
GET       0.940     73.93031
GET       0.950     75.94277
GET       0.960     77.53264
GET       0.970     78.77125
GET       0.980     79.71644
GET       0.990     80.41974
GET       1.000     82.18245
GET       1.100     82.94212
GET       1.200     84.69513
GET       1.300     89.41810
GET       1.400     92.21224
GET       1.500     92.70612
GET       1.600     92.77592
GET       1.700     92.82035
GET       1.800     93.09883
GET       1.900     93.78607
GET       2.000     94.52557
GET       2.100     95.04297
GET       2.200     95.31212
GET       2.300     95.40843
GET       2.400     95.43866
GET       2.500     95.44165
GET       2.600     95.44464
GET       2.700     95.45210
GET       2.800     95.45882
GET       2.900     95.47301
GET       3.000     95.48533
GET       3.100     95.49690
GET       3.200     95.50063
GET       3.300     95.50474
GET       3.400     95.50586
GET       3.500     95.50660
GET       3.700     95.50772
GET       4.300     95.50810
GET       4.400     95.50922
GET       4.500     95.53945
GET       4.600     95.56484
GET       4.700     95.58201
GET       4.800     95.67533
GET       4.900     96.27971
GET       5.000     96.78702
GET       5.100     96.87512
GET       5.200     96.89789
GET       5.300     96.96583
GET       5.400     97.05019
GET       5.500     97.09051
GET       5.600     97.10171
GET       5.700     97.10544
GET       5.800     97.11888
GET       5.900     97.16853
GET       6.000     97.24468
GET       6.100     97.32121
GET       6.200     97.37422
GET       6.300     97.38878
GET       6.400     97.39736
GET       6.500     97.39997
GET       6.600     97.40072
GET       6.700     97.40333
GET       6.800     97.40707
GET       6.900     97.40744
GET       7.000     97.40819
GET       7.100     97.41379
GET       7.200     97.41491
GET       7.300     97.41827
GET       7.400     97.41976
GET       7.500     97.42088
GET       7.600     97.42163
GET       7.800     97.42461
GET       7.900     97.42685
GET       8.000     97.42723
GET       8.300     97.42835
GET       8.400     97.43432
GET       8.500     97.49815
GET       8.600     97.54407
GET       8.700     97.57692
GET       8.800     97.66726
GET       8.900     98.01293
GET       9.000     98.36383
GET       9.100     98.43513
GET       9.200     98.45902
GET       9.300     98.50494
GET       9.400     98.56168
GET       9.500     98.59042
GET       9.600     98.59789
GET       9.700     98.60088
GET       9.800     98.60797
GET       9.900     98.63895
GET      10.000     98.79238
GET      11.000     98.81142
GET      12.000     98.84576
GET      13.000     99.70584
GET      14.000     99.78461
GET      15.000     99.79394
GET      16.000     99.80103
GET      17.000     99.96678
GET      18.000     99.98507
GET      19.000     99.98619
GET      20.000     99.98731
GET      21.000     99.99552
GET      22.000     99.99589
GET      24.000     99.99627
GET      25.000    100.00000
