[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       13253 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       27532 ops,   14277 (avg:   13766) ops/sec, 590.97KB/sec (avg: 541.33KB/sec),  0.84 (avg:  0.87) msec latency[RUN #1 10%,   3 secs]  2 threads:       38320 ops,   10786 (avg:   12773) ops/sec, 476.52KB/sec (avg: 519.72KB/sec),  1.11 (avg:  0.93) msec latency[RUN #1 13%,   4 secs]  2 threads:       48505 ops,   10183 (avg:   12125) ops/sec, 473.42KB/sec (avg: 508.15KB/sec),  1.17 (avg:  0.98) msec latency[RUN #1 17%,   5 secs]  2 threads:       59256 ops,   10749 (avg:   11850) ops/sec, 517.89KB/sec (avg: 510.10KB/sec),  1.11 (avg:  1.01) msec latency[RUN #1 20%,   6 secs]  2 threads:       70135 ops,   10877 (avg:   11688) ops/sec, 543.35KB/sec (avg: 515.64KB/sec),  1.10 (avg:  1.02) msec latency[RUN #1 23%,   7 secs]  2 threads:       78095 ops,    7959 (avg:   11155) ops/sec, 417.01KB/sec (avg: 501.55KB/sec),  1.50 (avg:  1.07) msec latency[RUN #1 27%,   8 secs]  2 threads:       85157 ops,    7061 (avg:   10643) ops/sec, 366.98KB/sec (avg: 484.73KB/sec),  1.69 (avg:  1.12) msec latency[RUN #1 30%,   9 secs]  2 threads:       89414 ops,    4256 (avg:    9934) ops/sec, 233.25KB/sec (avg: 456.78KB/sec),  2.82 (avg:  1.20) msec latency[RUN #1 33%,  10 secs]  2 threads:       96850 ops,    7435 (avg:    9684) ops/sec, 403.93KB/sec (avg: 451.50KB/sec),  1.60 (avg:  1.23) msec latency[RUN #1 37%,  11 secs]  2 threads:      102703 ops,    5852 (avg:    9335) ops/sec, 318.56KB/sec (avg: 439.41KB/sec),  2.05 (avg:  1.28) msec latency[RUN #1 40%,  12 secs]  2 threads:      108209 ops,    5505 (avg:    9016) ops/sec, 305.72KB/sec (avg: 428.27KB/sec),  2.18 (avg:  1.33) msec latency[RUN #1 43%,  13 secs]  2 threads:      117479 ops,    9269 (avg:    9036) ops/sec, 524.40KB/sec (avg: 435.67KB/sec),  1.28 (avg:  1.32) msec latency[RUN #1 47%,  14 secs]  2 threads:      122322 ops,    4842 (avg:    8736) ops/sec, 284.14KB/sec (avg: 424.84KB/sec),  2.48 (avg:  1.37) msec latency[RUN #1 50%,  15 secs]  2 threads:      130399 ops,    8076 (avg:    8692) ops/sec, 474.37KB/sec (avg: 428.15KB/sec),  1.48 (avg:  1.37) msec latency[RUN #1 53%,  16 secs]  2 threads:      134277 ops,    3877 (avg:    8391) ops/sec, 227.02KB/sec (avg: 415.58KB/sec),  3.08 (avg:  1.42) msec latency[RUN #1 57%,  17 secs]  2 threads:      137477 ops,    3199 (avg:    8086) ops/sec, 187.71KB/sec (avg: 402.17KB/sec),  3.76 (avg:  1.48) msec latency[RUN #1 60%,  18 secs]  2 threads:      148043 ops,   10564 (avg:    8223) ops/sec, 623.45KB/sec (avg: 414.46KB/sec),  1.13 (avg:  1.45) msec latency[RUN #1 63%,  19 secs]  2 threads:      158309 ops,   10264 (avg:    8331) ops/sec, 616.85KB/sec (avg: 425.12KB/sec),  1.17 (avg:  1.43) msec latency[RUN #1 67%,  20 secs]  2 threads:      164917 ops,    6607 (avg:    8245) ops/sec, 403.49KB/sec (avg: 424.03KB/sec),  1.79 (avg:  1.45) msec latency[RUN #1 70%,  21 secs]  2 threads:      173083 ops,    8164 (avg:    8241) ops/sec, 499.92KB/sec (avg: 427.65KB/sec),  1.48 (avg:  1.45) msec latency[RUN #1 73%,  22 secs]  2 threads:      183129 ops,   10045 (avg:    8323) ops/sec, 609.87KB/sec (avg: 435.93KB/sec),  1.19 (avg:  1.44) msec latency[RUN #1 77%,  23 secs]  2 threads:      192822 ops,    9692 (avg:    8382) ops/sec, 600.59KB/sec (avg: 443.09KB/sec),  1.22 (avg:  1.43) msec latency[RUN #1 80%,  24 secs]  2 threads:      202657 ops,    9834 (avg:    8443) ops/sec, 607.23KB/sec (avg: 449.93KB/sec),  1.23 (avg:  1.42) msec latency[RUN #1 83%,  25 secs]  2 threads:      211897 ops,    9239 (avg:    8475) ops/sec, 577.00KB/sec (avg: 455.01KB/sec),  1.28 (avg:  1.41) msec latency[RUN #1 87%,  26 secs]  2 threads:      219509 ops,    7611 (avg:    8441) ops/sec, 482.52KB/sec (avg: 456.07KB/sec),  1.56 (avg:  1.41) msec latency[RUN #1 90%,  27 secs]  2 threads:      225987 ops,    6477 (avg:    8369) ops/sec, 409.60KB/sec (avg: 454.35KB/sec),  1.88 (avg:  1.43) msec latency[RUN #1 93%,  28 secs]  2 threads:      232405 ops,    6417 (avg:    8299) ops/sec, 407.95KB/sec (avg: 452.69KB/sec),  1.84 (avg:  1.44) msec latency[RUN #1 97%,  29 secs]  2 threads:      237905 ops,    5499 (avg:    8202) ops/sec, 351.53KB/sec (avg: 449.20KB/sec),  2.20 (avg:  1.46) msec latency[RUN #1 100%,  30 secs]  0 threads:      245894 ops,    5499 (avg:    8196) ops/sec, 351.53KB/sec (avg: 451.37KB/sec),  2.20 (avg:  1.46) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         745.29          ---          ---      1.45900        54.59
Gets        7451.07      4495.24      2955.83      1.45800       396.78
Totals      8196.36      4495.24      2955.83      1.45800       451.37


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.340      0.00179
GET       0.350      0.00268
GET       0.360      0.00582
GET       0.370      0.01029
GET       0.380      0.02013
GET       0.390      0.03981
GET       0.400      0.08992
GET       0.410      0.18073
GET       0.420      0.38025
GET       0.430      0.71667
GET       0.440      1.31836
GET       0.450      2.16834
GET       0.460      3.41960
GET       0.470      4.95582
GET       0.480      6.79804
GET       0.490      8.64697
GET       0.500     10.27669
GET       0.510     11.63084
GET       0.520     12.68258
GET       0.530     13.38538
GET       0.540     13.86718
GET       0.550     14.16467
GET       0.560     14.33690
GET       0.570     14.45903
GET       0.580     14.55074
GET       0.590     14.62008
GET       0.600     14.69032
GET       0.610     14.75787
GET       0.620     14.84376
GET       0.630     14.95828
GET       0.640     15.10725
GET       0.650     15.34301
GET       0.660     15.69821
GET       0.670     16.20059
GET       0.680     16.93381
GET       0.690     17.94797
GET       0.700     19.20997
GET       0.710     20.80256
GET       0.720     22.56828
GET       0.730     24.52144
GET       0.740     26.57660
GET       0.750     28.64920
GET       0.760     30.55718
GET       0.770     32.45308
GET       0.780     34.28993
GET       0.790     36.02747
GET       0.800     37.73950
GET       0.810     39.52178
GET       0.820     41.26065
GET       0.830     43.08005
GET       0.840     44.92585
GET       0.850     46.84949
GET       0.860     48.86080
GET       0.870     50.87481
GET       0.880     52.91520
GET       0.890     54.87821
GET       0.900     56.78574
GET       0.910     58.61364
GET       0.920     60.37086
GET       0.930     62.06142
GET       0.940     63.60928
GET       0.950     65.06543
GET       0.960     66.41018
GET       0.970     67.68560
GET       0.980     68.89123
GET       0.990     69.94699
GET       1.000     74.21567
GET       1.100     78.28528
GET       1.200     81.36981
GET       1.300     84.59212
GET       1.400     87.34113
GET       1.500     89.22495
GET       1.600     89.87004
GET       1.700     90.01633
GET       1.800     90.09104
GET       1.900     90.34200
GET       2.000     90.92402
GET       2.100     91.83260
GET       2.200     92.70092
GET       2.300     93.34511
GET       2.400     93.68332
GET       2.500     93.81752
GET       2.600     93.85779
GET       2.700     93.87657
GET       2.800     93.89178
GET       2.900     93.91594
GET       3.000     93.94949
GET       3.100     93.99736
GET       3.200     94.05865
GET       3.300     94.10965
GET       3.400     94.13694
GET       3.500     94.15930
GET       3.600     94.16691
GET       3.700     94.17407
GET       3.800     94.17541
GET       3.900     94.17630
GET       4.000     94.17675
GET       4.100     94.17765
GET       4.300     94.18212
GET       4.400     94.18615
GET       4.500     94.19867
GET       4.600     94.20493
GET       4.700     94.22104
GET       4.800     94.30738
GET       4.900     94.59727
GET       5.000     94.78560
GET       5.100     94.82139
GET       5.200     94.85405
GET       5.300     94.91310
GET       5.400     94.97618
GET       5.500     95.01912
GET       5.600     95.02986
GET       5.700     95.03657
GET       5.800     95.04597
GET       5.900     95.06297
GET       6.000     95.10636
GET       6.100     95.19896
GET       6.200     95.31617
GET       6.300     95.41414
GET       6.400     95.49645
GET       6.500     95.54790
GET       6.600     95.56848
GET       6.700     95.57787
GET       6.800     95.58324
GET       6.900     95.58906
GET       7.000     95.59666
GET       7.100     95.61187
GET       7.200     95.62619
GET       7.300     95.63648
GET       7.400     95.64408
GET       7.500     95.65258
GET       7.600     95.65482
GET       7.700     95.65840
GET       7.800     95.65974
GET       7.900     95.66019
GET       8.000     95.66242
GET       8.200     95.66287
GET       8.300     95.66377
GET       8.400     95.66556
GET       8.500     95.69106
GET       8.600     95.71521
GET       8.700     95.74071
GET       8.800     95.88387
GET       8.900     96.34464
GET       9.000     96.67345
GET       9.100     96.73877
GET       9.200     96.78619
GET       9.300     96.87968
GET       9.400     96.97989
GET       9.500     97.02060
GET       9.600     97.03715
GET       9.700     97.04386
GET       9.800     97.05326
GET       9.900     97.06713
GET      10.000     97.47019
GET      11.000     97.55922
GET      12.000     97.63930
GET      13.000     99.50835
GET      14.000     99.67030
GET      15.000     99.69893
GET      16.000     99.70877
GET      17.000     99.97853
GET      18.000     99.99374
GET      19.000     99.99642
GET      20.000     99.99866
GET      21.000    100.00000
