[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       10228 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       18739 ops,    8509 (avg:    9369) ops/sec, 332.00KB/sec (avg: 352.73KB/sec),  1.40 (avg:  1.27) msec latency[RUN #1 10%,   3 secs]  2 threads:       28445 ops,    9704 (avg:    9481) ops/sec, 409.63KB/sec (avg: 371.70KB/sec),  1.23 (avg:  1.26) msec latency[RUN #1 13%,   4 secs]  2 threads:       36951 ops,    8505 (avg:    9237) ops/sec, 369.20KB/sec (avg: 371.07KB/sec),  1.40 (avg:  1.29) msec latency[RUN #1 17%,   5 secs]  2 threads:       46469 ops,    9516 (avg:    9293) ops/sec, 431.19KB/sec (avg: 383.10KB/sec),  1.26 (avg:  1.29) msec latency[RUN #1 20%,   6 secs]  2 threads:       55810 ops,    9340 (avg:    9300) ops/sec, 436.53KB/sec (avg: 392.00KB/sec),  1.28 (avg:  1.28) msec latency[RUN #1 23%,   7 secs]  2 threads:       65189 ops,    9378 (avg:    9311) ops/sec, 454.68KB/sec (avg: 400.96KB/sec),  1.27 (avg:  1.28) msec latency[RUN #1 27%,   8 secs]  2 threads:       70743 ops,    5553 (avg:    8842) ops/sec, 278.68KB/sec (avg: 385.67KB/sec),  2.15 (avg:  1.35) msec latency[RUN #1 30%,   9 secs]  2 threads:       79747 ops,    9003 (avg:    8859) ops/sec, 460.62KB/sec (avg: 394.00KB/sec),  1.33 (avg:  1.35) msec latency[RUN #1 33%,  10 secs]  2 threads:       91325 ops,   11576 (avg:    9131) ops/sec, 608.55KB/sec (avg: 415.46KB/sec),  1.03 (avg:  1.31) msec latency[RUN #1 37%,  11 secs]  2 threads:       95486 ops,    4160 (avg:    8679) ops/sec, 224.43KB/sec (avg: 398.09KB/sec),  2.87 (avg:  1.38) msec latency[RUN #1 40%,  12 secs]  2 threads:      104788 ops,    9300 (avg:    8731) ops/sec, 505.53KB/sec (avg: 407.04KB/sec),  1.29 (avg:  1.37) msec latency[RUN #1 43%,  13 secs]  2 threads:      113340 ops,    8551 (avg:    8717) ops/sec, 474.25KB/sec (avg: 412.21KB/sec),  1.40 (avg:  1.37) msec latency[RUN #1 47%,  14 secs]  2 threads:      121911 ops,    8570 (avg:    8707) ops/sec, 492.85KB/sec (avg: 417.97KB/sec),  1.39 (avg:  1.37) msec latency[RUN #1 50%,  15 secs]  2 threads:      129916 ops,    8004 (avg:    8660) ops/sec, 467.04KB/sec (avg: 421.24KB/sec),  1.49 (avg:  1.38) msec latency[RUN #1 53%,  16 secs]  2 threads:      135892 ops,    5975 (avg:    8492) ops/sec, 347.27KB/sec (avg: 416.62KB/sec),  1.99 (avg:  1.41) msec latency[RUN #1 57%,  17 secs]  2 threads:      143320 ops,    7427 (avg:    8429) ops/sec, 435.09KB/sec (avg: 417.71KB/sec),  1.62 (avg:  1.42) msec latency[RUN #1 60%,  18 secs]  2 threads:      149504 ops,    6182 (avg:    8304) ops/sec, 364.63KB/sec (avg: 414.76KB/sec),  1.94 (avg:  1.44) msec latency[RUN #1 63%,  19 secs]  2 threads:      159298 ops,    9793 (avg:    8383) ops/sec, 585.75KB/sec (avg: 423.76KB/sec),  1.22 (avg:  1.43) msec latency[RUN #1 67%,  20 secs]  2 threads:      165807 ops,    6508 (avg:    8289) ops/sec, 394.47KB/sec (avg: 422.29KB/sec),  1.84 (avg:  1.44) msec latency[RUN #1 70%,  21 secs]  2 threads:      173432 ops,    7624 (avg:    8257) ops/sec, 465.05KB/sec (avg: 424.33KB/sec),  1.57 (avg:  1.45) msec latency[RUN #1 73%,  22 secs]  2 threads:      182004 ops,    8571 (avg:    8272) ops/sec, 521.31KB/sec (avg: 428.74KB/sec),  1.39 (avg:  1.44) msec latency[RUN #1 77%,  23 secs]  2 threads:      188922 ops,    6917 (avg:    8213) ops/sec, 425.12KB/sec (avg: 428.58KB/sec),  1.73 (avg:  1.45) msec latency[RUN #1 80%,  24 secs]  2 threads:      193698 ops,    4775 (avg:    8069) ops/sec, 294.57KB/sec (avg: 423.00KB/sec),  2.51 (avg:  1.48) msec latency[RUN #1 83%,  25 secs]  2 threads:      200195 ops,    6496 (avg:    8006) ops/sec, 401.47KB/sec (avg: 422.13KB/sec),  1.84 (avg:  1.49) msec latency[RUN #1 87%,  26 secs]  2 threads:      210393 ops,   10196 (avg:    8091) ops/sec, 632.83KB/sec (avg: 430.24KB/sec),  1.17 (avg:  1.48) msec latency[RUN #1 90%,  27 secs]  2 threads:      221380 ops,   10985 (avg:    8198) ops/sec, 691.88KB/sec (avg: 439.93KB/sec),  1.09 (avg:  1.46) msec latency[RUN #1 93%,  28 secs]  2 threads:      233541 ops,   12159 (avg:    8339) ops/sec, 770.92KB/sec (avg: 451.75KB/sec),  0.98 (avg:  1.43) msec latency[RUN #1 97%,  29 secs]  2 threads:      247491 ops,   13948 (avg:    8533) ops/sec, 893.92KB/sec (avg: 467.00KB/sec),  0.85 (avg:  1.40) msec latency[RUN #1 100%,  30 secs]  0 threads:      263739 ops,   13948 (avg:    8791) ops/sec, 893.92KB/sec (avg: 486.32KB/sec),  0.85 (avg:  1.36) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         799.33          ---          ---      1.38100        58.55
Gets        7991.93      4879.04      3112.88      1.35600       427.78
Totals      8791.26      4879.04      3112.88      1.35900       486.32


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     90.38365
SET       2.000     94.31610
SET       3.000     94.52043
SET       4.000     95.51710
SET       5.000     96.38449
SET       6.000     96.85571
SET       7.000     96.90158
SET       8.000     97.78565
SET       9.000     98.46956
SET      10.000     98.82819
SET      11.000     98.84904
SET      12.000     99.39116
SET      13.000     99.72477
SET      14.000     99.81234
SET      15.000     99.81651
SET      16.000     99.91243
SET      17.000     99.95830
SET      18.000     99.97498
SET      20.000     99.99166
SET      24.000    100.00000
---
GET       0.210      0.00042
GET       0.220      0.00125
GET       0.230      0.00209
GET       0.240      0.00250
GET       0.250      0.00542
GET       0.260      0.00751
GET       0.270      0.00834
GET       0.280      0.01126
GET       0.290      0.02002
GET       0.300      0.03337
GET       0.310      0.04838
GET       0.320      0.06423
GET       0.330      0.08634
GET       0.340      0.10719
GET       0.350      0.12387
GET       0.360      0.13806
GET       0.370      0.14973
GET       0.380      0.16391
GET       0.390      0.18769
GET       0.400      0.22022
GET       0.410      0.27945
GET       0.420      0.38956
GET       0.430      0.55889
GET       0.440      0.88839
GET       0.450      1.31173
GET       0.460      1.85395
GET       0.470      2.51795
GET       0.480      3.25368
GET       0.490      3.94646
GET       0.500      4.57501
GET       0.510      5.06842
GET       0.520      5.41586
GET       0.530      5.67278
GET       0.540      5.85922
GET       0.550      5.96641
GET       0.560      6.05358
GET       0.570      6.11447
GET       0.580      6.16536
GET       0.590      6.22959
GET       0.600      6.30216
GET       0.610      6.41728
GET       0.620      6.58661
GET       0.630      6.85188
GET       0.640      7.21433
GET       0.650      7.78073
GET       0.660      8.46684
GET       0.670      9.33312
GET       0.680     10.26739
GET       0.690     11.32012
GET       0.700     12.31820
GET       0.710     13.27291
GET       0.720     14.22470
GET       0.730     15.21653
GET       0.740     16.26341
GET       0.750     17.37244
GET       0.760     18.57407
GET       0.770     20.00717
GET       0.780     21.74433
GET       0.790     23.72049
GET       0.800     25.92103
GET       0.810     28.39143
GET       0.820     31.09748
GET       0.830     34.11968
GET       0.840     37.28744
GET       0.850     40.51610
GET       0.860     43.78313
GET       0.870     47.11314
GET       0.880     50.39227
GET       0.890     53.48204
GET       0.900     56.40581
GET       0.910     59.07390
GET       0.920     61.48925
GET       0.930     63.58635
GET       0.940     65.37023
GET       0.950     66.91761
GET       0.960     68.16762
GET       0.970     69.21200
GET       0.980     70.07245
GET       0.990     70.74854
GET       1.000     73.07463
GET       1.100     74.92941
GET       1.200     79.52694
GET       1.300     85.57802
GET       1.400     88.75037
GET       1.500     89.38476
GET       1.600     89.49862
GET       1.700     89.55159
GET       1.800     89.69465
GET       1.900     90.26105
GET       2.000     91.35298
GET       2.100     92.64345
GET       2.200     93.67907
GET       2.300     94.29552
GET       2.400     94.53785
GET       2.500     94.60708
GET       2.600     94.62001
GET       2.700     94.63753
GET       2.800     94.66089
GET       2.900     94.69467
GET       3.000     94.74264
GET       3.100     94.79602
GET       3.200     94.83481
GET       3.300     94.86735
GET       3.400     94.89112
GET       3.500     94.90196
GET       3.600     94.90864
GET       3.700     94.91031
GET       3.800     94.91781
GET       3.900     94.92240
GET       4.000     94.92532
GET       4.100     94.92824
GET       4.200     94.93033
GET       4.300     94.93074
GET       4.400     94.93158
GET       4.500     94.94451
GET       4.600     94.95577
GET       4.700     94.97078
GET       4.800     95.07881
GET       4.900     95.57597
GET       5.000     95.92758
GET       5.100     96.01558
GET       5.200     96.06855
GET       5.300     96.20911
GET       5.400     96.37261
GET       5.500     96.44476
GET       5.600     96.47688
GET       5.700     96.49773
GET       5.800     96.51025
GET       5.900     96.54528
GET       6.000     96.64246
GET       6.100     96.77051
GET       6.200     96.88479
GET       6.300     96.96070
GET       6.400     96.99281
GET       6.500     97.01033
GET       6.600     97.01826
GET       6.700     97.02660
GET       6.800     97.03119
GET       6.900     97.03619
GET       7.000     97.04453
GET       7.100     97.05663
GET       7.200     97.06997
GET       7.300     97.07665
GET       7.400     97.08207
GET       7.500     97.08541
GET       7.600     97.08749
GET       7.700     97.08999
GET       7.800     97.09125
GET       7.900     97.09208
GET       8.100     97.09333
GET       8.200     97.09583
GET       8.300     97.09667
GET       8.400     97.09792
GET       8.500     97.13796
GET       8.600     97.16799
GET       8.700     97.19176
GET       8.800     97.33232
GET       8.900     97.78277
GET       9.000     98.07890
GET       9.100     98.16733
GET       9.200     98.20403
GET       9.300     98.32957
GET       9.400     98.45428
GET       9.500     98.51059
GET       9.600     98.54020
GET       9.700     98.54979
GET       9.800     98.55522
GET       9.900     98.57232
GET      10.000     98.85593
GET      11.000     98.90140
GET      12.000     98.92225
GET      13.000     99.72639
GET      14.000     99.83984
GET      15.000     99.85485
GET      16.000     99.85861
GET      17.000     99.96580
GET      18.000     99.98165
GET      19.000     99.98248
GET      21.000     99.99082
GET      25.000    100.00000
