[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       14748 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       28745 ops,   13995 (avg:   14372) ops/sec, 591.73KB/sec (avg: 572.45KB/sec),  0.85 (avg:  0.83) msec latency[RUN #1 10%,   3 secs]  2 threads:       42472 ops,   13725 (avg:   14156) ops/sec, 626.24KB/sec (avg: 590.38KB/sec),  0.87 (avg:  0.84) msec latency[RUN #1 13%,   4 secs]  2 threads:       54858 ops,   12384 (avg:   13713) ops/sec, 589.58KB/sec (avg: 590.18KB/sec),  0.96 (avg:  0.87) msec latency[RUN #1 17%,   5 secs]  2 threads:       67569 ops,   12709 (avg:   13512) ops/sec, 635.98KB/sec (avg: 599.34KB/sec),  0.94 (avg:  0.88) msec latency[RUN #1 20%,   6 secs]  2 threads:       80116 ops,   12545 (avg:   13351) ops/sec, 661.00KB/sec (avg: 609.62KB/sec),  0.95 (avg:  0.89) msec latency[RUN #1 23%,   7 secs]  2 threads:       93638 ops,   13520 (avg:   13375) ops/sec, 732.27KB/sec (avg: 627.14KB/sec),  0.87 (avg:  0.89) msec latency[RUN #1 27%,   8 secs]  2 threads:      101179 ops,    7540 (avg:   12646) ops/sec, 416.63KB/sec (avg: 600.83KB/sec),  1.60 (avg:  0.94) msec latency[RUN #1 30%,   9 secs]  2 threads:      108961 ops,    7781 (avg:   12105) ops/sec, 439.91KB/sec (avg: 582.95KB/sec),  1.54 (avg:  0.99) msec latency[RUN #1 33%,  10 secs]  2 threads:      116551 ops,    7589 (avg:   11654) ops/sec, 438.83KB/sec (avg: 568.54KB/sec),  1.57 (avg:  1.02) msec latency[RUN #1 37%,  11 secs]  2 threads:      122094 ops,    5542 (avg:   11098) ops/sec, 325.66KB/sec (avg: 546.46KB/sec),  2.16 (avg:  1.08) msec latency[RUN #1 40%,  12 secs]  2 threads:      127139 ops,    5044 (avg:   10593) ops/sec, 304.51KB/sec (avg: 526.29KB/sec),  2.36 (avg:  1.13) msec latency[RUN #1 43%,  13 secs]  2 threads:      135934 ops,    8794 (avg:   10455) ops/sec, 520.76KB/sec (avg: 525.87KB/sec),  1.36 (avg:  1.14) msec latency[RUN #1 47%,  14 secs]  2 threads:      147050 ops,   11115 (avg:   10502) ops/sec, 662.35KB/sec (avg: 535.62KB/sec),  1.08 (avg:  1.14) msec latency[RUN #1 50%,  15 secs]  2 threads:      155633 ops,    8582 (avg:   10374) ops/sec, 519.86KB/sec (avg: 534.57KB/sec),  1.38 (avg:  1.15) msec latency[RUN #1 53%,  16 secs]  2 threads:      162674 ops,    7040 (avg:   10166) ops/sec, 432.55KB/sec (avg: 528.19KB/sec),  1.71 (avg:  1.17) msec latency[RUN #1 57%,  17 secs]  2 threads:      166849 ops,    4174 (avg:    9813) ops/sec, 257.80KB/sec (avg: 512.28KB/sec),  2.85 (avg:  1.22) msec latency[RUN #1 60%,  18 secs]  2 threads:      170156 ops,    3306 (avg:    9452) ops/sec, 204.35KB/sec (avg: 495.18KB/sec),  3.64 (avg:  1.26) msec latency[RUN #1 63%,  19 secs]  2 threads:      174099 ops,    3942 (avg:    9162) ops/sec, 243.59KB/sec (avg: 481.94KB/sec),  3.03 (avg:  1.30) msec latency[RUN #1 67%,  20 secs]  2 threads:      181342 ops,    7242 (avg:    9066) ops/sec, 445.25KB/sec (avg: 480.10KB/sec),  1.65 (avg:  1.32) msec latency[RUN #1 70%,  21 secs]  2 threads:      186900 ops,    5557 (avg:    8899) ops/sec, 346.04KB/sec (avg: 473.72KB/sec),  2.16 (avg:  1.34) msec latency[RUN #1 73%,  22 secs]  2 threads:      194612 ops,    7711 (avg:    8845) ops/sec, 482.70KB/sec (avg: 474.12KB/sec),  1.55 (avg:  1.35) msec latency[RUN #1 77%,  23 secs]  2 threads:      199292 ops,    4679 (avg:    8664) ops/sec, 293.55KB/sec (avg: 466.27KB/sec),  2.56 (avg:  1.38) msec latency[RUN #1 80%,  24 secs]  2 threads:      203792 ops,    4499 (avg:    8490) ops/sec, 282.71KB/sec (avg: 458.63KB/sec),  2.65 (avg:  1.41) msec latency[RUN #1 83%,  25 secs]  2 threads:      208761 ops,    4968 (avg:    8349) ops/sec, 314.88KB/sec (avg: 452.88KB/sec),  2.41 (avg:  1.43) msec latency[RUN #1 87%,  26 secs]  2 threads:      215323 ops,    6561 (avg:    8280) ops/sec, 417.25KB/sec (avg: 451.51KB/sec),  1.83 (avg:  1.44) msec latency[RUN #1 90%,  27 secs]  2 threads:      220510 ops,    5186 (avg:    8166) ops/sec, 332.70KB/sec (avg: 447.11KB/sec),  2.30 (avg:  1.46) msec latency[RUN #1 93%,  28 secs]  2 threads:      228145 ops,    7633 (avg:    8147) ops/sec, 487.83KB/sec (avg: 448.56KB/sec),  1.57 (avg:  1.47) msec latency[RUN #1 97%,  29 secs]  2 threads:      234506 ops,    6360 (avg:    8085) ops/sec, 410.12KB/sec (avg: 447.23KB/sec),  1.87 (avg:  1.48) msec latency[RUN #1 100%,  30 secs]  0 threads:      242741 ops,    6360 (avg:    8091) ops/sec, 410.12KB/sec (avg: 450.16KB/sec),  1.87 (avg:  1.48) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         735.79          ---          ---      1.48800        53.89
Gets        7355.51      4557.73      2797.78      1.47500       396.27
Totals      8091.31      4557.73      2797.78      1.47700       450.16


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.150      0.00091
GET       0.160      0.00136
GET       0.170      0.00181
GET       0.180      0.00317
GET       0.190      0.00498
GET       0.200      0.00634
GET       0.210      0.00952
GET       0.220      0.01224
GET       0.230      0.01586
GET       0.240      0.02039
GET       0.250      0.02492
GET       0.260      0.02674
GET       0.270      0.02855
GET       0.280      0.03172
GET       0.290      0.03671
GET       0.300      0.04079
GET       0.310      0.04169
GET       0.320      0.04396
GET       0.330      0.04668
GET       0.340      0.04804
GET       0.350      0.05076
GET       0.360      0.05393
GET       0.370      0.06390
GET       0.380      0.07387
GET       0.390      0.09879
GET       0.400      0.13595
GET       0.410      0.18943
GET       0.420      0.26329
GET       0.430      0.39788
GET       0.440      0.62946
GET       0.450      0.93444
GET       0.460      1.31828
GET       0.470      1.81722
GET       0.480      2.40407
GET       0.490      3.09063
GET       0.500      3.71918
GET       0.510      4.24259
GET       0.520      4.64184
GET       0.530      4.95181
GET       0.540      5.18927
GET       0.550      5.35241
GET       0.560      5.49244
GET       0.570      5.60890
GET       0.580      5.76253
GET       0.590      5.98821
GET       0.600      6.28005
GET       0.610      6.67068
GET       0.620      7.16872
GET       0.630      7.74244
GET       0.640      8.33654
GET       0.650      9.01041
GET       0.660      9.74727
GET       0.670     10.69304
GET       0.680     11.77566
GET       0.690     12.99560
GET       0.700     14.21780
GET       0.710     15.42777
GET       0.720     16.73925
GET       0.730     17.99182
GET       0.740     19.26931
GET       0.750     20.50103
GET       0.760     21.69785
GET       0.770     22.92006
GET       0.780     24.14860
GET       0.790     25.39664
GET       0.800     26.69951
GET       0.810     28.05222
GET       0.820     29.45660
GET       0.830     31.03001
GET       0.840     32.63696
GET       0.850     34.29965
GET       0.860     36.04526
GET       0.870     37.95493
GET       0.880     39.81701
GET       0.890     41.77698
GET       0.900     43.68302
GET       0.910     45.59268
GET       0.920     47.49419
GET       0.930     49.22621
GET       0.940     50.88300
GET       0.950     52.41336
GET       0.960     53.83632
GET       0.970     55.15596
GET       0.980     56.34100
GET       0.990     57.44040
GET       1.000     62.00701
GET       1.100     67.15458
GET       1.200     72.75805
GET       1.300     80.30109
GET       1.400     85.82797
GET       1.500     87.73491
GET       1.600     88.10923
GET       1.700     88.18038
GET       1.800     88.31679
GET       1.900     88.74730
GET       2.000     89.61240
GET       2.100     90.68597
GET       2.200     91.58325
GET       2.300     92.03823
GET       2.400     92.21859
GET       2.500     92.27388
GET       2.600     92.30515
GET       2.700     92.34865
GET       2.800     92.41346
GET       2.900     92.51769
GET       3.000     92.66950
GET       3.100     92.80364
GET       3.200     92.92599
GET       3.300     93.03611
GET       3.400     93.11225
GET       3.500     93.15122
GET       3.600     93.16935
GET       3.700     93.17161
GET       3.800     93.17206
GET       4.300     93.17252
GET       4.400     93.17342
GET       4.500     93.18385
GET       4.600     93.20061
GET       4.700     93.22418
GET       4.800     93.32388
GET       4.900     93.96647
GET       5.000     94.71511
GET       5.100     94.87871
GET       5.200     94.96345
GET       5.300     95.35952
GET       5.400     96.13127
GET       5.500     96.56632
GET       5.600     96.68641
GET       5.700     96.72538
GET       5.800     96.74578
GET       5.900     96.77433
GET       6.000     96.85272
GET       6.100     96.98732
GET       6.200     97.10197
GET       6.300     97.17629
GET       6.400     97.20892
GET       6.500     97.22840
GET       6.600     97.23248
GET       6.700     97.23429
GET       6.800     97.24336
GET       6.900     97.25831
GET       7.000     97.27644
GET       7.100     97.30000
GET       7.200     97.32674
GET       7.300     97.34215
GET       7.400     97.35167
GET       7.500     97.35620
GET       7.600     97.36345
GET       7.700     97.36571
GET       7.800     97.36753
GET       8.400     97.37115
GET       8.500     97.39562
GET       8.600     97.40741
GET       8.700     97.42372
GET       8.800     97.49895
GET       8.900     97.68928
GET       9.000     97.87780
GET       9.100     97.93082
GET       9.200     97.95846
GET       9.300     98.06088
GET       9.400     98.24169
GET       9.500     98.35499
GET       9.600     98.40302
GET       9.700     98.41299
GET       9.800     98.42885
GET       9.900     98.45151
GET      10.000     98.71163
GET      11.000     98.79366
GET      12.000     98.81314
GET      13.000     99.63384
GET      14.000     99.80378
GET      15.000     99.82281
GET      16.000     99.82462
GET      17.000     99.97054
GET      18.000     99.99955
GET      19.000    100.00000
