[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        8243 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       14669 ops,    6425 (avg:    7334) ops/sec, 243.14KB/sec (avg: 270.00KB/sec),  1.86 (avg:  1.63) msec latency[RUN #1 10%,   2 secs]  2 threads:       22965 ops,    8295 (avg:    7655) ops/sec, 330.71KB/sec (avg: 290.24KB/sec),  1.44 (avg:  1.56) msec latency[RUN #1 13%,   4 secs]  2 threads:       30353 ops,    7387 (avg:    7588) ops/sec, 315.30KB/sec (avg: 296.50KB/sec),  1.62 (avg:  1.58) msec latency[RUN #1 17%,   5 secs]  2 threads:       36000 ops,    5646 (avg:    7199) ops/sec, 251.21KB/sec (avg: 287.44KB/sec),  2.12 (avg:  1.66) msec latency[RUN #1 20%,   6 secs]  2 threads:       39115 ops,    3114 (avg:    6518) ops/sec, 142.79KB/sec (avg: 263.33KB/sec),  3.82 (avg:  1.83) msec latency[RUN #1 23%,   7 secs]  2 threads:       46206 ops,    7090 (avg:    6600) ops/sec, 333.57KB/sec (avg: 273.37KB/sec),  1.69 (avg:  1.81) msec latency[RUN #1 27%,   8 secs]  2 threads:       50953 ops,    4746 (avg:    6368) ops/sec, 233.58KB/sec (avg: 268.39KB/sec),  2.53 (avg:  1.88) msec latency[RUN #1 30%,   9 secs]  2 threads:       59772 ops,    8818 (avg:    6640) ops/sec, 432.35KB/sec (avg: 286.61KB/sec),  1.34 (avg:  1.80) msec latency[RUN #1 33%,  10 secs]  2 threads:       65938 ops,    6165 (avg:    6593) ops/sec, 317.33KB/sec (avg: 289.68KB/sec),  1.95 (avg:  1.81) msec latency[RUN #1 37%,  11 secs]  2 threads:       71745 ops,    5806 (avg:    6521) ops/sec, 296.54KB/sec (avg: 290.31KB/sec),  2.07 (avg:  1.83) msec latency[RUN #1 40%,  12 secs]  2 threads:       79149 ops,    7403 (avg:    6595) ops/sec, 397.14KB/sec (avg: 299.21KB/sec),  1.62 (avg:  1.81) msec latency[RUN #1 43%,  13 secs]  2 threads:       85113 ops,    5963 (avg:    6546) ops/sec, 320.31KB/sec (avg: 300.83KB/sec),  2.00 (avg:  1.83) msec latency[RUN #1 47%,  14 secs]  2 threads:       91096 ops,    5982 (avg:    6506) ops/sec, 322.35KB/sec (avg: 302.37KB/sec),  1.99 (avg:  1.84) msec latency[RUN #1 50%,  15 secs]  2 threads:       96788 ops,    5691 (avg:    6452) ops/sec, 315.23KB/sec (avg: 303.23KB/sec),  2.09 (avg:  1.85) msec latency[RUN #1 53%,  16 secs]  2 threads:      103000 ops,    6211 (avg:    6437) ops/sec, 347.28KB/sec (avg: 305.98KB/sec),  1.95 (avg:  1.86) msec latency[RUN #1 57%,  17 secs]  2 threads:      108762 ops,    5761 (avg:    6397) ops/sec, 329.99KB/sec (avg: 307.39KB/sec),  2.08 (avg:  1.87) msec latency[RUN #1 60%,  18 secs]  2 threads:      114740 ops,    5977 (avg:    6373) ops/sec, 345.81KB/sec (avg: 309.53KB/sec),  1.98 (avg:  1.88) msec latency[RUN #1 63%,  19 secs]  2 threads:      120620 ops,    5879 (avg:    6347) ops/sec, 340.40KB/sec (avg: 311.15KB/sec),  2.06 (avg:  1.88) msec latency[RUN #1 67%,  20 secs]  2 threads:      126809 ops,    6188 (avg:    6339) ops/sec, 364.93KB/sec (avg: 313.84KB/sec),  1.92 (avg:  1.89) msec latency[RUN #1 70%,  21 secs]  2 threads:      132557 ops,    5747 (avg:    6311) ops/sec, 338.78KB/sec (avg: 315.03KB/sec),  2.09 (avg:  1.90) msec latency[RUN #1 73%,  22 secs]  2 threads:      137829 ops,    5271 (avg:    6264) ops/sec, 317.20KB/sec (avg: 315.13KB/sec),  2.27 (avg:  1.91) msec latency[RUN #1 77%,  23 secs]  2 threads:      143100 ops,    5270 (avg:    6221) ops/sec, 319.73KB/sec (avg: 315.33KB/sec),  2.26 (avg:  1.92) msec latency[RUN #1 80%,  24 secs]  2 threads:      149821 ops,    6720 (avg:    6242) ops/sec, 406.84KB/sec (avg: 319.14KB/sec),  1.79 (avg:  1.92) msec latency[RUN #1 83%,  25 secs]  2 threads:      154914 ops,    5092 (avg:    6196) ops/sec, 306.81KB/sec (avg: 318.65KB/sec),  2.36 (avg:  1.93) msec latency[RUN #1 87%,  26 secs]  2 threads:      170270 ops,   15354 (avg:    6548) ops/sec, 942.43KB/sec (avg: 342.64KB/sec),  0.77 (avg:  1.83) msec latency[RUN #1 90%,  27 secs]  2 threads:      183049 ops,   12777 (avg:    6779) ops/sec, 797.02KB/sec (avg: 359.47KB/sec),  0.94 (avg:  1.76) msec latency[RUN #1 93%,  28 secs]  2 threads:      194945 ops,   11894 (avg:    6961) ops/sec, 747.42KB/sec (avg: 373.32KB/sec),  1.00 (avg:  1.72) msec latency[RUN #1 97%,  29 secs]  2 threads:      207059 ops,   12112 (avg:    7139) ops/sec, 772.39KB/sec (avg: 387.08KB/sec),  0.99 (avg:  1.67) msec latency[RUN #1 100%,  30 secs]  0 threads:      221910 ops,   12112 (avg:    7396) ops/sec, 772.39KB/sec (avg: 406.18KB/sec),  0.99 (avg:  1.62) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         672.60          ---          ---      1.61300        49.26
Gets        6724.36      4026.41      2697.95      1.61600       356.92
Totals      7396.95      4026.41      2697.95      1.61600       406.18


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.260      0.00099
GET       0.270      0.00297
GET       0.280      0.00446
GET       0.290      0.00843
GET       0.300      0.01091
GET       0.310      0.01487
GET       0.320      0.01685
GET       0.330      0.02280
GET       0.340      0.03371
GET       0.350      0.04610
GET       0.360      0.06048
GET       0.370      0.07584
GET       0.380      0.09765
GET       0.390      0.13136
GET       0.400      0.19531
GET       0.410      0.29544
GET       0.420      0.43721
GET       0.430      0.66673
GET       0.440      1.01273
GET       0.450      1.47027
GET       0.460      2.01951
GET       0.470      2.62874
GET       0.480      3.34156
GET       0.490      4.01672
GET       0.500      4.61850
GET       0.510      5.09835
GET       0.520      5.48302
GET       0.530      5.74772
GET       0.540      5.92667
GET       0.550      6.07787
GET       0.560      6.18345
GET       0.570      6.25037
GET       0.580      6.31928
GET       0.590      6.38719
GET       0.600      6.44766
GET       0.610      6.52499
GET       0.620      6.62413
GET       0.630      6.75698
GET       0.640      6.91412
GET       0.650      7.13868
GET       0.660      7.41132
GET       0.670      7.76476
GET       0.680      8.21684
GET       0.690      8.75617
GET       0.700      9.41397
GET       0.710     10.17241
GET       0.720     11.02155
GET       0.730     12.04816
GET       0.740     13.13277
GET       0.750     14.38245
GET       0.760     15.68616
GET       0.770     17.14602
GET       0.780     18.73724
GET       0.790     20.45585
GET       0.800     22.38614
GET       0.810     24.52908
GET       0.820     27.00662
GET       0.830     29.77515
GET       0.840     32.71469
GET       0.850     35.96405
GET       0.860     39.46325
GET       0.870     42.99863
GET       0.880     46.61630
GET       0.890     49.99504
GET       0.900     53.12940
GET       0.910     55.95096
GET       0.920     58.44883
GET       0.930     60.49115
GET       0.940     62.15722
GET       0.950     63.45944
GET       0.960     64.52372
GET       0.970     65.29653
GET       0.980     65.85569
GET       0.990     66.27308
GET       1.000     67.45335
GET       1.100     69.08225
GET       1.200     74.21827
GET       1.300     82.82771
GET       1.400     87.42292
GET       1.500     88.12781
GET       1.600     88.21456
GET       1.700     88.30528
GET       1.800     88.70729
GET       1.900     89.63179
GET       2.000     90.77043
GET       2.100     91.48970
GET       2.200     91.77126
GET       2.300     91.84116
GET       2.400     91.85305
GET       2.500     91.85553
GET       2.600     91.86346
GET       2.700     91.88379
GET       2.800     91.92443
GET       2.900     91.96260
GET       3.000     91.98888
GET       3.100     92.01217
GET       3.200     92.02209
GET       3.300     92.03002
GET       3.400     92.03399
GET       3.500     92.03993
GET       3.600     92.04836
GET       3.700     92.05332
GET       3.900     92.05629
GET       4.000     92.06026
GET       4.100     92.06075
GET       4.300     92.06125
GET       4.400     92.07612
GET       4.500     92.27341
GET       4.600     92.38990
GET       4.700     92.57183
GET       4.800     92.85934
GET       4.900     93.43832
GET       5.000     93.83439
GET       5.100     93.88149
GET       5.200     93.92660
GET       5.300     94.08770
GET       5.400     94.30482
GET       5.500     94.37818
GET       5.600     94.40446
GET       5.700     94.41883
GET       5.800     94.44659
GET       5.900     94.54276
GET       6.000     94.69692
GET       6.100     94.82085
GET       6.200     94.89075
GET       6.300     94.92545
GET       6.400     94.93982
GET       6.500     94.94280
GET       6.600     94.94379
GET       6.700     94.94527
GET       6.800     94.95618
GET       6.900     94.96956
GET       7.000     94.97749
GET       7.100     94.98840
GET       7.200     94.99385
GET       7.300     94.99980
GET       7.400     95.00476
GET       7.500     95.00724
GET       7.600     95.00823
GET       7.800     95.00872
GET       7.900     95.01517
GET       8.000     95.01715
GET       8.100     95.01765
GET       8.200     95.02211
GET       8.300     95.02558
GET       8.400     95.03103
GET       8.500     95.06871
GET       8.600     95.09845
GET       8.700     95.12422
GET       8.800     95.23576
GET       8.900     95.90199
GET       9.000     96.42397
GET       9.100     96.52014
GET       9.200     96.57119
GET       9.300     96.76601
GET       9.400     97.03815
GET       9.500     97.17496
GET       9.600     97.21115
GET       9.700     97.22255
GET       9.800     97.23990
GET       9.900     97.29393
GET      10.000     97.49023
GET      11.000     97.53138
GET      12.000     97.53881
GET      13.000     99.53354
GET      14.000     99.72934
GET      15.000     99.73926
GET      17.000     99.95043
GET      18.000     99.97621
GET      19.000     99.97918
GET      20.000     99.98315
GET      21.000     99.98909
GET      25.000     99.99455
GET      33.000    100.00000
