[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       10043 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       18745 ops,    8701 (avg:    9372) ops/sec, 338.02KB/sec (avg: 354.47KB/sec),  1.38 (avg:  1.27) msec latency[RUN #1 10%,   3 secs]  2 threads:       26123 ops,    7377 (avg:    8707) ops/sec, 309.14KB/sec (avg: 339.36KB/sec),  1.62 (avg:  1.37) msec latency[RUN #1 13%,   4 secs]  2 threads:       32730 ops,    6606 (avg:    8182) ops/sec, 287.05KB/sec (avg: 326.28KB/sec),  1.79 (avg:  1.46) msec latency[RUN #1 17%,   5 secs]  2 threads:       39431 ops,    6700 (avg:    7885) ops/sec, 307.99KB/sec (avg: 322.62KB/sec),  1.80 (avg:  1.51) msec latency[RUN #1 20%,   6 secs]  2 threads:       46277 ops,    6844 (avg:    7712) ops/sec, 326.85KB/sec (avg: 323.33KB/sec),  1.74 (avg:  1.55) msec latency[RUN #1 23%,   7 secs]  2 threads:       52860 ops,    6582 (avg:    7550) ops/sec, 321.91KB/sec (avg: 323.12KB/sec),  1.82 (avg:  1.58) msec latency[RUN #1 27%,   8 secs]  2 threads:       59354 ops,    6493 (avg:    7418) ops/sec, 322.85KB/sec (avg: 323.09KB/sec),  1.86 (avg:  1.61) msec latency[RUN #1 30%,   9 secs]  2 threads:       65833 ops,    6478 (avg:    7314) ops/sec, 330.57KB/sec (avg: 323.92KB/sec),  1.83 (avg:  1.63) msec latency[RUN #1 33%,  10 secs]  2 threads:       72130 ops,    6296 (avg:    7212) ops/sec, 328.06KB/sec (avg: 324.34KB/sec),  1.91 (avg:  1.66) msec latency[RUN #1 37%,  11 secs]  2 threads:       78620 ops,    6489 (avg:    7146) ops/sec, 348.24KB/sec (avg: 326.51KB/sec),  1.84 (avg:  1.67) msec latency[RUN #1 40%,  12 secs]  2 threads:       85089 ops,    6468 (avg:    7090) ops/sec, 348.12KB/sec (avg: 328.31KB/sec),  1.85 (avg:  1.69) msec latency[RUN #1 43%,  13 secs]  2 threads:       91820 ops,    6730 (avg:    7062) ops/sec, 364.32KB/sec (avg: 331.08KB/sec),  1.78 (avg:  1.69) msec latency[RUN #1 47%,  14 secs]  2 threads:       98032 ops,    6211 (avg:    7001) ops/sec, 344.92KB/sec (avg: 332.07KB/sec),  1.92 (avg:  1.71) msec latency[RUN #1 50%,  15 secs]  2 threads:      104379 ops,    6346 (avg:    6957) ops/sec, 359.69KB/sec (avg: 333.91KB/sec),  1.88 (avg:  1.72) msec latency[RUN #1 53%,  16 secs]  2 threads:      110420 ops,    6040 (avg:    6900) ops/sec, 345.37KB/sec (avg: 334.63KB/sec),  1.98 (avg:  1.73) msec latency[RUN #1 57%,  17 secs]  2 threads:      116662 ops,    6241 (avg:    6861) ops/sec, 364.52KB/sec (avg: 336.38KB/sec),  1.91 (avg:  1.74) msec latency[RUN #1 60%,  18 secs]  2 threads:      123145 ops,    6482 (avg:    6840) ops/sec, 379.38KB/sec (avg: 338.77KB/sec),  1.86 (avg:  1.75) msec latency[RUN #1 63%,  19 secs]  2 threads:      129516 ops,    6370 (avg:    6816) ops/sec, 376.79KB/sec (avg: 340.77KB/sec),  1.88 (avg:  1.75) msec latency[RUN #1 67%,  20 secs]  2 threads:      135915 ops,    6398 (avg:    6795) ops/sec, 383.10KB/sec (avg: 342.89KB/sec),  1.86 (avg:  1.76) msec latency[RUN #1 70%,  21 secs]  2 threads:      142206 ops,    6290 (avg:    6771) ops/sec, 381.59KB/sec (avg: 344.73KB/sec),  1.91 (avg:  1.77) msec latency[RUN #1 73%,  22 secs]  2 threads:      148910 ops,    6703 (avg:    6768) ops/sec, 408.27KB/sec (avg: 347.62KB/sec),  1.78 (avg:  1.77) msec latency[RUN #1 77%,  23 secs]  2 threads:      156385 ops,    7474 (avg:    6798) ops/sec, 455.61KB/sec (avg: 352.32KB/sec),  1.59 (avg:  1.76) msec latency[RUN #1 80%,  24 secs]  2 threads:      164014 ops,    7628 (avg:    6833) ops/sec, 469.86KB/sec (avg: 357.21KB/sec),  1.58 (avg:  1.75) msec latency[RUN #1 83%,  25 secs]  2 threads:      169386 ops,    5371 (avg:    6774) ops/sec, 334.87KB/sec (avg: 356.32KB/sec),  2.23 (avg:  1.76) msec latency[RUN #1 87%,  26 secs]  2 threads:      178509 ops,    9122 (avg:    6865) ops/sec, 571.02KB/sec (avg: 364.58KB/sec),  1.31 (avg:  1.74) msec latency[RUN #1 90%,  27 secs]  2 threads:      190653 ops,   12142 (avg:    7060) ops/sec, 767.93KB/sec (avg: 379.52KB/sec),  0.98 (avg:  1.69) msec latency[RUN #1 93%,  28 secs]  2 threads:      202902 ops,   12247 (avg:    7245) ops/sec, 780.35KB/sec (avg: 393.83KB/sec),  0.97 (avg:  1.65) msec latency[RUN #1 97%,  29 secs]  2 threads:      216260 ops,   13356 (avg:    7456) ops/sec, 863.32KB/sec (avg: 410.02KB/sec),  0.89 (avg:  1.60) msec latency[RUN #1 100%,  30 secs]  0 threads:      231386 ops,   13356 (avg:    7712) ops/sec, 863.32KB/sec (avg: 429.34KB/sec),  0.89 (avg:  1.55) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         701.37          ---          ---      1.54100        51.37
Gets        7011.48      4351.06      2660.43      1.55000       377.98
Totals      7712.85      4351.06      2660.43      1.54900       429.35


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     90.26187
SET       2.000     90.53752
SET       3.000     90.54227
SET       4.000     91.73518
SET       5.000     94.96222
SET       6.000     95.00974
SET       7.000     95.05252
SET       8.000     96.40701
SET       9.000     97.30526
SET      10.000     97.36705
SET      12.000     98.75481
SET      13.000     99.84316
SET      14.000     99.84792
SET      16.000     99.93346
SET      17.000     99.99525
SET      21.000    100.00000
---
GET       0.089      0.00048
GET       0.100      0.00095
GET       0.110      0.00523
GET       0.120      0.01521
GET       0.130      0.04089
GET       0.140      0.08890
GET       0.150      0.15879
GET       0.160      0.23105
GET       0.170      0.29095
GET       0.180      0.36416
GET       0.190      0.48444
GET       0.200      0.59188
GET       0.210      0.67270
GET       0.220      0.74306
GET       0.230      0.81295
GET       0.240      0.89282
GET       0.250      0.96365
GET       0.260      1.01785
GET       0.270      1.07252
GET       0.280      1.11484
GET       0.290      1.16951
GET       0.300      1.22323
GET       0.310      1.26982
GET       0.320      1.33162
GET       0.330      1.39485
GET       0.340      1.45951
GET       0.350      1.51846
GET       0.360      1.58026
GET       0.370      1.64111
GET       0.380      1.68247
GET       0.390      1.73097
GET       0.400      1.78801
GET       0.410      1.84887
GET       0.420      1.93349
GET       0.430      2.03570
GET       0.440      2.17642
GET       0.450      2.31952
GET       0.460      2.52823
GET       0.470      2.72933
GET       0.480      2.92092
GET       0.490      3.11869
GET       0.500      3.29221
GET       0.510      3.41249
GET       0.520      3.50092
GET       0.530      3.56557
GET       0.540      3.61169
GET       0.550      3.64021
GET       0.560      3.66018
GET       0.570      3.68062
GET       0.580      3.69583
GET       0.590      3.70724
GET       0.600      3.72578
GET       0.610      3.74955
GET       0.620      3.77665
GET       0.630      3.82087
GET       0.640      3.87411
GET       0.650      3.94114
GET       0.660      4.02672
GET       0.670      4.15175
GET       0.680      4.29723
GET       0.690      4.50260
GET       0.700      4.78262
GET       0.710      5.14013
GET       0.720      5.60983
GET       0.730      6.27778
GET       0.740      7.14445
GET       0.750      8.24170
GET       0.760      9.62181
GET       0.770     11.30524
GET       0.780     13.38705
GET       0.790     15.90958
GET       0.800     18.85569
GET       0.810     22.16406
GET       0.820     25.98208
GET       0.830     30.09342
GET       0.840     34.42440
GET       0.850     38.76346
GET       0.860     42.97178
GET       0.870     46.97616
GET       0.880     50.69243
GET       0.890     54.00889
GET       0.900     56.70113
GET       0.910     58.90038
GET       0.920     60.72262
GET       0.930     62.11890
GET       0.940     63.21567
GET       0.950     64.01436
GET       0.960     64.58532
GET       0.970     65.01319
GET       0.980     65.35454
GET       0.990     65.59319
GET       1.000     66.50550
GET       1.100     70.04920
GET       1.200     79.15139
GET       1.300     89.23816
GET       1.400     92.46286
GET       1.500     92.85887
GET       1.600     92.93351
GET       1.700     93.01196
GET       1.800     93.03097
GET       1.900     93.04048
GET       2.000     93.05094
GET       2.100     93.06758
GET       2.200     93.08089
GET       2.300     93.10609
GET       2.400     93.13128
GET       2.500     93.14602
GET       2.600     93.14887
GET       2.700     93.15078
GET       2.800     93.15220
GET       2.900     93.15315
GET       3.000     93.15458
GET       3.100     93.15553
GET       3.400     93.15601
GET       3.500     93.15696
GET       3.700     93.15791
GET       3.800     93.15838
GET       3.900     93.15886
GET       4.000     93.15933
GET       4.100     93.15981
GET       4.300     93.16028
GET       4.400     93.16361
GET       4.500     93.16646
GET       4.600     93.16789
GET       4.700     93.18453
GET       4.800     93.37992
GET       4.900     93.99510
GET       5.000     94.21237
GET       5.100     94.25135
GET       5.200     94.32837
GET       5.300     94.57700
GET       5.400     94.77763
GET       5.500     94.82992
GET       5.600     94.83800
GET       5.700     94.84276
GET       5.800     94.84561
GET       5.900     94.84704
GET       6.000     94.85084
GET       6.100     94.85987
GET       6.200     94.86748
GET       6.300     94.87936
GET       6.400     94.89410
GET       6.500     94.89838
GET       6.600     94.90218
GET       6.700     94.90266
GET       7.100     94.90361
GET       7.200     94.90504
GET       7.300     94.90694
GET       7.400     94.90884
GET       7.500     94.91074
GET       7.600     94.91645
GET       7.700     94.91977
GET       7.800     94.92168
GET       8.100     94.92263
GET       8.400     94.92500
GET       8.500     94.93641
GET       8.600     94.94402
GET       8.700     94.96351
GET       8.800     95.16509
GET       8.900     95.97233
GET       9.000     96.37072
GET       9.100     96.43015
GET       9.200     96.51097
GET       9.300     96.77245
GET       9.400     97.05912
GET       9.500     97.15800
GET       9.600     97.17274
GET       9.700     97.18082
GET       9.800     97.18320
GET       9.900     97.18463
GET      10.000     97.23217
GET      11.000     97.24310
GET      12.000     97.25451
GET      13.000     99.71713
GET      14.000     99.80366
GET      15.000     99.81221
GET      16.000     99.81649
GET      17.000     99.98241
GET      18.000     99.98907
GET      21.000     99.99952
GET      22.000    100.00000
