[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        9747 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       18149 ops,    8401 (avg:    9074) ops/sec, 324.85KB/sec (avg: 342.10KB/sec),  1.42 (avg:  1.32) msec latency[RUN #1 10%,   3 secs]  2 threads:       26121 ops,    7970 (avg:    8706) ops/sec, 333.64KB/sec (avg: 339.28KB/sec),  1.50 (avg:  1.37) msec latency[RUN #1 13%,   4 secs]  2 threads:       32851 ops,    6729 (avg:    8212) ops/sec, 291.67KB/sec (avg: 327.38KB/sec),  1.77 (avg:  1.45) msec latency[RUN #1 17%,   5 secs]  2 threads:       39310 ops,    6458 (avg:    7861) ops/sec, 296.56KB/sec (avg: 321.21KB/sec),  1.85 (avg:  1.52) msec latency[RUN #1 20%,   6 secs]  2 threads:       45903 ops,    6592 (avg:    7649) ops/sec, 313.09KB/sec (avg: 319.86KB/sec),  1.81 (avg:  1.56) msec latency[RUN #1 23%,   7 secs]  2 threads:       52753 ops,    6849 (avg:    7535) ops/sec, 336.37KB/sec (avg: 322.22KB/sec),  1.76 (avg:  1.59) msec latency[RUN #1 27%,   8 secs]  2 threads:       59145 ops,    6391 (avg:    7392) ops/sec, 315.26KB/sec (avg: 321.35KB/sec),  1.87 (avg:  1.62) msec latency[RUN #1 30%,   9 secs]  2 threads:       65323 ops,    6177 (avg:    7257) ops/sec, 318.70KB/sec (avg: 321.05KB/sec),  1.94 (avg:  1.65) msec latency[RUN #1 33%,  10 secs]  2 threads:       71366 ops,    6042 (avg:    7135) ops/sec, 311.83KB/sec (avg: 320.13KB/sec),  1.96 (avg:  1.67) msec latency[RUN #1 37%,  11 secs]  2 threads:       77681 ops,    6314 (avg:    7061) ops/sec, 338.89KB/sec (avg: 321.84KB/sec),  1.91 (avg:  1.69) msec latency[RUN #1 40%,  12 secs]  2 threads:       84454 ops,    6772 (avg:    7037) ops/sec, 364.63KB/sec (avg: 325.40KB/sec),  1.77 (avg:  1.70) msec latency[RUN #1 43%,  13 secs]  2 threads:       91011 ops,    6556 (avg:    7000) ops/sec, 354.33KB/sec (avg: 327.63KB/sec),  1.82 (avg:  1.71) msec latency[RUN #1 47%,  14 secs]  2 threads:       97823 ops,    6811 (avg:    6986) ops/sec, 378.54KB/sec (avg: 331.26KB/sec),  1.75 (avg:  1.71) msec latency[RUN #1 50%,  15 secs]  2 threads:      104889 ops,    7065 (avg:    6991) ops/sec, 399.06KB/sec (avg: 335.78KB/sec),  1.68 (avg:  1.71) msec latency[RUN #1 53%,  16 secs]  2 threads:      111736 ops,    6846 (avg:    6982) ops/sec, 393.37KB/sec (avg: 339.38KB/sec),  1.75 (avg:  1.71) msec latency[RUN #1 57%,  17 secs]  2 threads:      118092 ops,    6355 (avg:    6945) ops/sec, 370.21KB/sec (avg: 341.20KB/sec),  1.88 (avg:  1.72) msec latency[RUN #1 60%,  18 secs]  2 threads:      124515 ops,    6422 (avg:    6916) ops/sec, 375.49KB/sec (avg: 343.10KB/sec),  1.87 (avg:  1.73) msec latency[RUN #1 63%,  19 secs]  2 threads:      130720 ops,    6204 (avg:    6879) ops/sec, 367.97KB/sec (avg: 344.41KB/sec),  1.91 (avg:  1.74) msec latency[RUN #1 67%,  20 secs]  2 threads:      137485 ops,    6764 (avg:    6873) ops/sec, 405.19KB/sec (avg: 347.45KB/sec),  1.77 (avg:  1.74) msec latency[RUN #1 70%,  21 secs]  2 threads:      143926 ops,    6440 (avg:    6852) ops/sec, 391.67KB/sec (avg: 349.56KB/sec),  1.85 (avg:  1.74) msec latency[RUN #1 73%,  22 secs]  2 threads:      150106 ops,    6179 (avg:    6822) ops/sec, 375.02KB/sec (avg: 350.71KB/sec),  1.94 (avg:  1.75) msec latency[RUN #1 77%,  23 secs]  2 threads:      157739 ops,    7632 (avg:    6857) ops/sec, 462.93KB/sec (avg: 355.59KB/sec),  1.57 (avg:  1.74) msec latency[RUN #1 80%,  24 secs]  2 threads:      165553 ops,    7813 (avg:    6897) ops/sec, 480.77KB/sec (avg: 360.81KB/sec),  1.53 (avg:  1.73) msec latency[RUN #1 83%,  25 secs]  2 threads:      171719 ops,    6165 (avg:    6868) ops/sec, 385.24KB/sec (avg: 361.79KB/sec),  1.92 (avg:  1.74) msec latency[RUN #1 87%,  26 secs]  2 threads:      179814 ops,    8094 (avg:    6915) ops/sec, 507.03KB/sec (avg: 367.37KB/sec),  1.49 (avg:  1.73) msec latency[RUN #1 90%,  27 secs]  2 threads:      191662 ops,   11846 (avg:    7097) ops/sec, 745.26KB/sec (avg: 381.37KB/sec),  1.01 (avg:  1.68) msec latency[RUN #1 93%,  28 secs]  2 threads:      203542 ops,   11878 (avg:    7268) ops/sec, 759.03KB/sec (avg: 394.86KB/sec),  1.00 (avg:  1.64) msec latency[RUN #1 97%,  29 secs]  2 threads:      216293 ops,   12749 (avg:    7457) ops/sec, 822.95KB/sec (avg: 409.62KB/sec),  0.94 (avg:  1.60) msec latency[RUN #1 100%,  30 secs]  0 threads:      228970 ops,   12749 (avg:    7632) ops/sec, 822.95KB/sec (avg: 423.63KB/sec),  0.94 (avg:  1.57) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         694.06          ---          ---      1.58000        50.83
Gets        6938.23      4273.18      2665.05      1.56400       372.79
Totals      7632.30      4273.18      2665.05      1.56500       423.63


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     90.21708
SET       2.000     90.53885
SET       3.000     90.54366
SET       4.000     91.56661
SET       5.000     92.29181
SET       6.000     92.32062
SET       7.000     94.76995
SET       8.000     96.12429
SET       9.000     97.09442
SET      10.000     97.13284
SET      11.000     97.14725
SET      12.000     98.73691
SET      13.000     99.77428
SET      14.000     99.79349
SET      16.000     99.91355
SET      17.000     99.98559
SET      21.000    100.00000
---
GET       0.150      0.00048
GET       0.180      0.00144
GET       0.190      0.00432
GET       0.200      0.01057
GET       0.210      0.01537
GET       0.220      0.02306
GET       0.230      0.03219
GET       0.240      0.04660
GET       0.250      0.06198
GET       0.260      0.07399
GET       0.270      0.09512
GET       0.280      0.11915
GET       0.290      0.15278
GET       0.300      0.18496
GET       0.310      0.22532
GET       0.320      0.27817
GET       0.330      0.31900
GET       0.340      0.37954
GET       0.350      0.44199
GET       0.360      0.49052
GET       0.370      0.55153
GET       0.380      0.58516
GET       0.390      0.63416
GET       0.400      0.67260
GET       0.410      0.71776
GET       0.420      0.77061
GET       0.430      0.83498
GET       0.440      0.90609
GET       0.450      1.00746
GET       0.460      1.11651
GET       0.470      1.22605
GET       0.480      1.33367
GET       0.490      1.44657
GET       0.500      1.55034
GET       0.510      1.62625
GET       0.520      1.68870
GET       0.530      1.73578
GET       0.540      1.77134
GET       0.550      1.80545
GET       0.560      1.83908
GET       0.570      1.87319
GET       0.580      1.90441
GET       0.590      1.94093
GET       0.600      1.97071
GET       0.610      2.00626
GET       0.620      2.05191
GET       0.630      2.11676
GET       0.640      2.18883
GET       0.650      2.28731
GET       0.660      2.40934
GET       0.670      2.54771
GET       0.680      2.75189
GET       0.690      2.99306
GET       0.700      3.31159
GET       0.710      3.72523
GET       0.720      4.22824
GET       0.730      4.91381
GET       0.740      5.83719
GET       0.750      7.00896
GET       0.760      8.38874
GET       0.770     10.18170
GET       0.780     12.31672
GET       0.790     14.93985
GET       0.800     17.88439
GET       0.810     21.31032
GET       0.820     25.21811
GET       0.830     29.43146
GET       0.840     33.85284
GET       0.850     38.30592
GET       0.860     42.58508
GET       0.870     46.72973
GET       0.880     50.54577
GET       0.890     53.87224
GET       0.900     56.72454
GET       0.910     59.04260
GET       0.920     60.82307
GET       0.930     62.23264
GET       0.940     63.31937
GET       0.950     64.10535
GET       0.960     64.71981
GET       0.970     65.14740
GET       0.980     65.49907
GET       0.990     65.74553
GET       1.000     66.63912
GET       1.100     69.91131
GET       1.200     79.02502
GET       1.300     89.15099
GET       1.400     92.14886
GET       1.500     92.50773
GET       1.600     92.66580
GET       1.700     92.87670
GET       1.800     92.94252
GET       1.900     92.96798
GET       2.000     92.98000
GET       2.100     92.98912
GET       2.200     92.99969
GET       2.300     93.02852
GET       2.400     93.05638
GET       2.500     93.07464
GET       2.600     93.07896
GET       2.700     93.07944
GET       2.800     93.08088
GET       2.900     93.08185
GET       3.100     93.08233
GET       3.200     93.08473
GET       3.400     93.08617
GET       3.500     93.08761
GET       3.600     93.08905
GET       3.700     93.08953
GET       3.800     93.09193
GET       3.900     93.09242
GET       4.000     93.09290
GET       4.400     93.09674
GET       4.500     93.09818
GET       4.600     93.10058
GET       4.700     93.11259
GET       4.800     93.30813
GET       4.900     93.96823
GET       5.000     94.18875
GET       5.100     94.22815
GET       5.200     94.30646
GET       5.300     94.55436
GET       5.400     94.72971
GET       5.500     94.78160
GET       5.600     94.79361
GET       5.700     94.79553
GET       5.800     94.79841
GET       5.900     94.80322
GET       6.000     94.80466
GET       6.100     94.80898
GET       6.200     94.81955
GET       6.300     94.83060
GET       6.400     94.84982
GET       6.500     94.85847
GET       6.600     94.86327
GET       6.700     94.86471
GET       6.800     94.86567
GET       6.900     94.86615
GET       7.000     94.86711
GET       7.100     94.86807
GET       7.200     94.87096
GET       7.300     94.87384
GET       7.500     94.87432
GET       7.600     94.87480
GET       7.700     94.87768
GET       7.800     94.87864
GET       8.000     94.87912
GET       8.200     94.88105
GET       8.300     94.88249
GET       8.400     94.88297
GET       8.500     94.88969
GET       8.600     94.89930
GET       8.700     94.91131
GET       8.800     95.13471
GET       8.900     95.97018
GET       9.000     96.37662
GET       9.100     96.43667
GET       9.200     96.51930
GET       9.300     96.79171
GET       9.400     97.03961
GET       9.500     97.13425
GET       9.600     97.15299
GET       9.700     97.15395
GET       9.800     97.15539
GET       9.900     97.15683
GET      10.000     97.20776
GET      11.000     97.22313
GET      12.000     97.23082
GET      13.000     99.71895
GET      14.000     99.81071
GET      15.000     99.81888
GET      16.000     99.81936
GET      17.000     99.98222
GET      18.000     99.98991
GET      21.000    100.00000
