[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       14116 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       25755 ops,   11637 (avg:   12877) ops/sec, 474.65KB/sec (avg: 496.65KB/sec),  1.02 (avg:  0.93) msec latency[RUN #1 10%,   3 secs]  2 threads:       36614 ops,   10857 (avg:   12204) ops/sec, 478.81KB/sec (avg: 490.70KB/sec),  1.09 (avg:  0.97) msec latency[RUN #1 13%,   4 secs]  2 threads:       51416 ops,   14800 (avg:   12853) ops/sec, 697.29KB/sec (avg: 542.35KB/sec),  0.81 (avg:  0.93) msec latency[RUN #1 17%,   5 secs]  2 threads:       57879 ops,    6462 (avg:   11574) ops/sec, 313.65KB/sec (avg: 496.61KB/sec),  1.85 (avg:  1.03) msec latency[RUN #1 20%,   6 secs]  2 threads:       63083 ops,    5203 (avg:   10513) ops/sec, 257.79KB/sec (avg: 456.80KB/sec),  2.29 (avg:  1.13) msec latency[RUN #1 23%,   7 secs]  2 threads:       71896 ops,    8812 (avg:   10270) ops/sec, 457.75KB/sec (avg: 456.94KB/sec),  1.36 (avg:  1.16) msec latency[RUN #1 27%,   8 secs]  2 threads:       79162 ops,    7265 (avg:    9894) ops/sec, 395.62KB/sec (avg: 449.27KB/sec),  1.65 (avg:  1.21) msec latency[RUN #1 30%,   9 secs]  2 threads:       85240 ops,    6077 (avg:    9470) ops/sec, 332.26KB/sec (avg: 436.27KB/sec),  1.96 (avg:  1.26) msec latency[RUN #1 33%,  10 secs]  2 threads:       91204 ops,    5963 (avg:    9119) ops/sec, 326.94KB/sec (avg: 425.34KB/sec),  2.01 (avg:  1.31) msec latency[RUN #1 37%,  11 secs]  2 threads:       97333 ops,    6128 (avg:    8847) ops/sec, 347.73KB/sec (avg: 418.28KB/sec),  1.96 (avg:  1.35) msec latency[RUN #1 40%,  12 secs]  2 threads:      103104 ops,    5770 (avg:    8591) ops/sec, 331.31KB/sec (avg: 411.04KB/sec),  2.07 (avg:  1.39) msec latency[RUN #1 43%,  13 secs]  2 threads:      109050 ops,    5945 (avg:    8387) ops/sec, 337.73KB/sec (avg: 405.40KB/sec),  2.00 (avg:  1.42) msec latency[RUN #1 47%,  14 secs]  2 threads:      115162 ops,    6111 (avg:    8225) ops/sec, 354.87KB/sec (avg: 401.79KB/sec),  1.96 (avg:  1.45) msec latency[RUN #1 50%,  15 secs]  2 threads:      121176 ops,    6013 (avg:    8077) ops/sec, 352.10KB/sec (avg: 398.48KB/sec),  1.99 (avg:  1.48) msec latency[RUN #1 53%,  16 secs]  2 threads:      127309 ops,    6132 (avg:    7956) ops/sec, 371.14KB/sec (avg: 396.77KB/sec),  1.95 (avg:  1.50) msec latency[RUN #1 57%,  17 secs]  2 threads:      133348 ops,    6038 (avg:    7843) ops/sec, 369.08KB/sec (avg: 395.14KB/sec),  1.96 (avg:  1.52) msec latency[RUN #1 60%,  18 secs]  2 threads:      139446 ops,    6097 (avg:    7746) ops/sec, 370.32KB/sec (avg: 393.76KB/sec),  1.96 (avg:  1.54) msec latency[RUN #1 63%,  19 secs]  2 threads:      145704 ops,    6257 (avg:    7667) ops/sec, 380.06KB/sec (avg: 393.04KB/sec),  1.92 (avg:  1.56) msec latency[RUN #1 67%,  20 secs]  2 threads:      152120 ops,    6415 (avg:    7605) ops/sec, 395.13KB/sec (avg: 393.14KB/sec),  1.87 (avg:  1.57) msec latency[RUN #1 70%,  21 secs]  2 threads:      158557 ops,    6436 (avg:    7549) ops/sec, 397.06KB/sec (avg: 393.33KB/sec),  1.86 (avg:  1.58) msec latency[RUN #1 73%,  22 secs]  2 threads:      164633 ops,    6075 (avg:    7482) ops/sec, 379.12KB/sec (avg: 392.68KB/sec),  1.96 (avg:  1.60) msec latency[RUN #1 77%,  23 secs]  2 threads:      170785 ops,    6151 (avg:    7424) ops/sec, 386.34KB/sec (avg: 392.41KB/sec),  1.95 (avg:  1.61) msec latency[RUN #1 80%,  24 secs]  2 threads:      176250 ops,    5464 (avg:    7343) ops/sec, 344.66KB/sec (avg: 390.42KB/sec),  2.19 (avg:  1.63) msec latency[RUN #1 83%,  25 secs]  2 threads:      182278 ops,    6027 (avg:    7290) ops/sec, 384.13KB/sec (avg: 390.17KB/sec),  1.98 (avg:  1.64) msec latency[RUN #1 87%,  26 secs]  2 threads:      187939 ops,    5660 (avg:    7227) ops/sec, 363.63KB/sec (avg: 389.15KB/sec),  2.10 (avg:  1.65) msec latency[RUN #1 90%,  27 secs]  2 threads:      194176 ops,    6236 (avg:    7191) ops/sec, 402.69KB/sec (avg: 389.65KB/sec),  1.93 (avg:  1.66) msec latency[RUN #1 93%,  28 secs]  2 threads:      204427 ops,   10250 (avg:    7300) ops/sec, 664.38KB/sec (avg: 399.46KB/sec),  1.17 (avg:  1.64) msec latency[RUN #1 97%,  29 secs]  2 threads:      214699 ops,   10270 (avg:    7402) ops/sec, 668.70KB/sec (avg: 408.74KB/sec),  1.16 (avg:  1.61) msec latency[RUN #1 100%,  30 secs]  0 threads:      227319 ops,   10270 (avg:    7577) ops/sec, 668.70KB/sec (avg: 422.61KB/sec),  1.16 (avg:  1.58) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         689.03          ---          ---      1.59000        50.47
Gets        6888.19      4296.05      2592.14      1.57600       372.15
Totals      7577.21      4296.05      2592.14      1.57700       422.61


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.280      0.00048
GET       0.290      0.00145
GET       0.300      0.00242
GET       0.310      0.00339
GET       0.320      0.00677
GET       0.330      0.01113
GET       0.340      0.01984
GET       0.350      0.03000
GET       0.360      0.04210
GET       0.370      0.05759
GET       0.380      0.07501
GET       0.390      0.10791
GET       0.400      0.16018
GET       0.410      0.22696
GET       0.420      0.33293
GET       0.430      0.50327
GET       0.440      0.74571
GET       0.450      1.08494
GET       0.460      1.57805
GET       0.470      2.14955
GET       0.480      2.82703
GET       0.490      3.61291
GET       0.500      4.34991
GET       0.510      4.99400
GET       0.520      5.52582
GET       0.530      5.93328
GET       0.540      6.21879
GET       0.550      6.44332
GET       0.560      6.58753
GET       0.570      6.69641
GET       0.580      6.76997
GET       0.590      6.84062
GET       0.600      6.90933
GET       0.610      6.98870
GET       0.620      7.07822
GET       0.630      7.16823
GET       0.640      7.27808
GET       0.650      7.41357
GET       0.660      7.58778
GET       0.670      7.82200
GET       0.680      8.08089
GET       0.690      8.39592
GET       0.700      8.76031
GET       0.710      9.25342
GET       0.720      9.77169
GET       0.730     10.35965
GET       0.740     11.01874
GET       0.750     11.75671
GET       0.760     12.52371
GET       0.770     13.42089
GET       0.780     14.41098
GET       0.790     15.48866
GET       0.800     16.77345
GET       0.810     18.35053
GET       0.820     20.10520
GET       0.830     22.30072
GET       0.840     24.86015
GET       0.850     27.98479
GET       0.860     31.53188
GET       0.870     35.60838
GET       0.880     40.15766
GET       0.890     44.77566
GET       0.900     49.41882
GET       0.910     53.95745
GET       0.920     58.15348
GET       0.930     62.06883
GET       0.940     65.34929
GET       0.950     68.01711
GET       0.960     70.20731
GET       0.970     71.98424
GET       0.980     73.26565
GET       0.990     74.22187
GET       1.000     76.55724
GET       1.100     77.67024
GET       1.200     79.95771
GET       1.300     85.43998
GET       1.400     90.22299
GET       1.500     91.18453
GET       1.600     91.31325
GET       1.700     91.43084
GET       1.800     91.76038
GET       1.900     92.21478
GET       2.000     92.51094
GET       2.100     92.63627
GET       2.200     92.66240
GET       2.300     92.67111
GET       2.400     92.67256
GET       2.500     92.67547
GET       2.600     92.70257
GET       2.700     92.74467
GET       2.800     92.80225
GET       2.900     92.84242
GET       3.000     92.86081
GET       3.100     92.87049
GET       3.200     92.87242
GET       3.500     92.87484
GET       3.600     92.87774
GET       3.700     92.87920
GET       3.800     92.88162
GET       3.900     92.88355
GET       4.000     92.88403
GET       4.100     92.88500
GET       4.400     92.88597
GET       4.500     92.89129
GET       4.600     92.89807
GET       4.700     92.90194
GET       4.800     92.96049
GET       4.900     93.52232
GET       5.000     94.04107
GET       5.100     94.12092
GET       5.200     94.14463
GET       5.300     94.24577
GET       5.400     94.39094
GET       5.500     94.48531
GET       5.600     94.49741
GET       5.700     94.50031
GET       5.800     94.51047
GET       5.900     94.54677
GET       6.000     94.59661
GET       6.100     94.63871
GET       6.200     94.65274
GET       6.300     94.66194
GET       6.400     94.66339
GET       6.500     94.66484
GET       6.700     94.66581
GET       6.800     94.66871
GET       6.900     94.67452
GET       7.000     94.68129
GET       7.100     94.68565
GET       7.200     94.68662
GET       7.300     94.69097
GET       7.400     94.69194
GET       7.600     94.69388
GET       7.800     94.69436
GET       8.100     94.69533
GET       8.400     94.69581
GET       8.500     94.70501
GET       8.600     94.71710
GET       8.700     94.72388
GET       8.800     94.76937
GET       8.900     95.39894
GET       9.000     96.24918
GET       9.100     96.38467
GET       9.200     96.41226
GET       9.300     96.51243
GET       9.400     96.74277
GET       9.500     96.85891
GET       9.600     96.88988
GET       9.700     96.89714
GET       9.800     96.89859
GET       9.900     96.90924
GET      10.000     96.92472
GET      11.000     96.92811
GET      12.000     96.94069
GET      13.000     99.70917
GET      14.000     99.83353
GET      15.000     99.84031
GET      17.000     99.99274
GET      18.000    100.00000
