[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       20369 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       36798 ops,   16427 (avg:   18399) ops/sec, 721.02KB/sec (avg: 754.74KB/sec),  0.72 (avg:  0.65) msec latency[RUN #1 10%,   3 secs]  2 threads:       49511 ops,   12711 (avg:   16503) ops/sec, 605.09KB/sec (avg: 704.85KB/sec),  0.94 (avg:  0.72) msec latency[RUN #1 13%,   4 secs]  2 threads:       59116 ops,    9604 (avg:   14778) ops/sec, 472.02KB/sec (avg: 646.64KB/sec),  1.24 (avg:  0.81) msec latency[RUN #1 17%,   5 secs]  2 threads:       67149 ops,    8032 (avg:   13428) ops/sec, 411.21KB/sec (avg: 599.55KB/sec),  1.49 (avg:  0.89) msec latency[RUN #1 20%,   6 secs]  2 threads:       74816 ops,    7666 (avg:   12468) ops/sec, 411.91KB/sec (avg: 568.28KB/sec),  1.56 (avg:  0.96) msec latency[RUN #1 23%,   7 secs]  2 threads:       81748 ops,    6931 (avg:   11677) ops/sec, 383.02KB/sec (avg: 541.81KB/sec),  1.73 (avg:  1.02) msec latency[RUN #1 27%,   8 secs]  2 threads:       87984 ops,    6235 (avg:   10997) ops/sec, 343.86KB/sec (avg: 517.07KB/sec),  1.91 (avg:  1.09) msec latency[RUN #1 30%,   9 secs]  2 threads:       94200 ops,    6215 (avg:   10465) ops/sec, 349.05KB/sec (avg: 498.40KB/sec),  1.92 (avg:  1.14) msec latency[RUN #1 33%,  10 secs]  2 threads:      100034 ops,    5833 (avg:   10002) ops/sec, 337.22KB/sec (avg: 482.28KB/sec),  2.06 (avg:  1.19) msec latency[RUN #1 37%,  11 secs]  2 threads:      106053 ops,    6018 (avg:    9640) ops/sec, 346.23KB/sec (avg: 469.91KB/sec),  1.99 (avg:  1.24) msec latency[RUN #1 40%,  12 secs]  2 threads:      112064 ops,    6010 (avg:    9337) ops/sec, 348.46KB/sec (avg: 459.79KB/sec),  1.99 (avg:  1.28) msec latency[RUN #1 43%,  13 secs]  2 threads:      117967 ops,    5902 (avg:    9073) ops/sec, 346.13KB/sec (avg: 451.05KB/sec),  2.03 (avg:  1.32) msec latency[RUN #1 47%,  14 secs]  2 threads:      123488 ops,    5520 (avg:    8819) ops/sec, 328.84KB/sec (avg: 442.32KB/sec),  2.17 (avg:  1.35) msec latency[RUN #1 50%,  15 secs]  2 threads:      128783 ops,    5294 (avg:    8584) ops/sec, 326.92KB/sec (avg: 434.62KB/sec),  2.26 (avg:  1.39) msec latency[RUN #1 53%,  16 secs]  2 threads:      134232 ops,    5448 (avg:    8388) ops/sec, 335.30KB/sec (avg: 428.42KB/sec),  2.20 (avg:  1.42) msec latency[RUN #1 57%,  17 secs]  2 threads:      139746 ops,    5513 (avg:    8219) ops/sec, 336.73KB/sec (avg: 423.02KB/sec),  2.15 (avg:  1.45) msec latency[RUN #1 60%,  18 secs]  2 threads:      145505 ops,    5758 (avg:    8082) ops/sec, 352.48KB/sec (avg: 419.10KB/sec),  2.10 (avg:  1.48) msec latency[RUN #1 63%,  19 secs]  2 threads:      151383 ops,    5877 (avg:    7966) ops/sec, 365.08KB/sec (avg: 416.26KB/sec),  2.02 (avg:  1.50) msec latency[RUN #1 67%,  20 secs]  2 threads:      156937 ops,    5553 (avg:    7846) ops/sec, 348.58KB/sec (avg: 412.88KB/sec),  2.17 (avg:  1.52) msec latency[RUN #1 70%,  21 secs]  2 threads:      162721 ops,    5783 (avg:    7747) ops/sec, 362.40KB/sec (avg: 410.47KB/sec),  2.06 (avg:  1.54) msec latency[RUN #1 73%,  22 secs]  2 threads:      168392 ops,    5670 (avg:    7653) ops/sec, 359.55KB/sec (avg: 408.16KB/sec),  2.10 (avg:  1.56) msec latency[RUN #1 77%,  23 secs]  2 threads:      174321 ops,    5928 (avg:    7578) ops/sec, 377.57KB/sec (avg: 406.83KB/sec),  2.03 (avg:  1.58) msec latency[RUN #1 80%,  24 secs]  2 threads:      180589 ops,    6266 (avg:    7523) ops/sec, 401.39KB/sec (avg: 406.60KB/sec),  1.91 (avg:  1.59) msec latency[RUN #1 83%,  25 secs]  2 threads:      186258 ops,    5668 (avg:    7449) ops/sec, 366.64KB/sec (avg: 405.00KB/sec),  2.09 (avg:  1.60) msec latency[RUN #1 87%,  26 secs]  2 threads:      191862 ops,    5602 (avg:    7378) ops/sec, 362.89KB/sec (avg: 403.38KB/sec),  2.14 (avg:  1.62) msec latency[RUN #1 90%,  27 secs]  2 threads:      200469 ops,    8606 (avg:    7424) ops/sec, 559.45KB/sec (avg: 409.16KB/sec),  1.39 (avg:  1.61) msec latency[RUN #1 93%,  28 secs]  2 threads:      207940 ops,    7470 (avg:    7425) ops/sec, 487.82KB/sec (avg: 411.97KB/sec),  1.60 (avg:  1.61) msec latency[RUN #1 97%,  29 secs]  2 threads:      215657 ops,    7716 (avg:    7435) ops/sec, 503.52KB/sec (avg: 415.13KB/sec),  1.55 (avg:  1.61) msec latency[RUN #1 100%,  30 secs]  0 threads:      230278 ops,    7716 (avg:    7675) ops/sec, 503.52KB/sec (avg: 433.24KB/sec),  1.55 (avg:  1.56) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         698.03          ---          ---      1.56500        51.13
Gets        6977.86      4486.51      2491.35      1.55600       382.12
Totals      7675.89      4486.51      2491.35      1.55700       433.24


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.200      0.00096
GET       0.220      0.00143
GET       0.230      0.00239
GET       0.240      0.00478
GET       0.250      0.00764
GET       0.260      0.01338
GET       0.270      0.01767
GET       0.280      0.02388
GET       0.290      0.03057
GET       0.300      0.04013
GET       0.310      0.05255
GET       0.320      0.06544
GET       0.330      0.07500
GET       0.340      0.09172
GET       0.350      0.11560
GET       0.360      0.14809
GET       0.370      0.19968
GET       0.380      0.27898
GET       0.390      0.39315
GET       0.400      0.58996
GET       0.410      0.88135
GET       0.420      1.29934
GET       0.430      1.90554
GET       0.440      2.75107
GET       0.450      3.80296
GET       0.460      5.01870
GET       0.470      6.26597
GET       0.480      7.51802
GET       0.490      8.66259
GET       0.500      9.63327
GET       0.510     10.37561
GET       0.520     10.86955
GET       0.530     11.21589
GET       0.540     11.49916
GET       0.550     11.68976
GET       0.560     11.82973
GET       0.570     11.97256
GET       0.580     12.11109
GET       0.590     12.25536
GET       0.600     12.41491
GET       0.610     12.61984
GET       0.620     12.87207
GET       0.630     13.17206
GET       0.640     13.58336
GET       0.650     14.10310
GET       0.660     14.78095
GET       0.670     15.58778
GET       0.680     16.52216
GET       0.690     17.58791
GET       0.700     18.70047
GET       0.710     19.85459
GET       0.720     21.00393
GET       0.730     22.08210
GET       0.740     23.08192
GET       0.750     23.91789
GET       0.760     24.77059
GET       0.770     25.61086
GET       0.780     26.55240
GET       0.790     27.68598
GET       0.800     29.04933
GET       0.810     30.81586
GET       0.820     32.92920
GET       0.830     35.57899
GET       0.840     38.61238
GET       0.850     41.90277
GET       0.860     45.55334
GET       0.870     49.43799
GET       0.880     53.32884
GET       0.890     56.94645
GET       0.900     60.24066
GET       0.910     63.08632
GET       0.920     65.52449
GET       0.930     67.48688
GET       0.940     69.05755
GET       0.950     70.27520
GET       0.960     71.21675
GET       0.970     71.87263
GET       0.980     72.36370
GET       0.990     72.72054
GET       1.000     73.70842
GET       1.100     74.55825
GET       1.200     78.36407
GET       1.300     86.71377
GET       1.400     90.64618
GET       1.500     91.16353
GET       1.600     91.23375
GET       1.700     91.24999
GET       1.800     91.26624
GET       1.900     91.32022
GET       2.000     91.50079
GET       2.100     91.77928
GET       2.200     91.99282
GET       2.300     92.10746
GET       2.400     92.13660
GET       2.500     92.14281
GET       2.600     92.15141
GET       2.700     92.15523
GET       2.800     92.16240
GET       2.900     92.17673
GET       3.000     92.19106
GET       3.100     92.20205
GET       3.200     92.20969
GET       3.300     92.22545
GET       3.400     92.23596
GET       3.500     92.24265
GET       3.600     92.24791
GET       3.700     92.25173
GET       3.800     92.26033
GET       3.900     92.26463
GET       4.000     92.26654
GET       4.100     92.26797
GET       4.200     92.27322
GET       4.300     92.27609
GET       4.400     92.28230
GET       4.500     92.29711
GET       4.600     92.31526
GET       4.700     92.34010
GET       4.800     92.50204
GET       4.900     93.23244
GET       5.000     93.68769
GET       5.100     93.76747
GET       5.200     93.82479
GET       5.300     94.06842
GET       5.400     94.38752
GET       5.500     94.49357
GET       5.600     94.52175
GET       5.700     94.53226
GET       5.800     94.53656
GET       5.900     94.54325
GET       6.000     94.56092
GET       6.100     94.57955
GET       6.200     94.60535
GET       6.300     94.61777
GET       6.400     94.62589
GET       6.500     94.62828
GET       6.600     94.63067
GET       6.700     94.63162
GET       6.800     94.63353
GET       6.900     94.63592
GET       7.000     94.63831
GET       7.100     94.64261
GET       7.200     94.64357
GET       7.300     94.64452
GET       7.400     94.64595
GET       7.600     94.64739
GET       7.700     94.64882
GET       7.800     94.65169
GET       8.000     94.65455
GET       8.100     94.65694
GET       8.200     94.66028
GET       8.300     94.66458
GET       8.400     94.66888
GET       8.500     94.68369
GET       8.600     94.69516
GET       8.700     94.72477
GET       8.800     94.89340
GET       8.900     95.66584
GET       9.000     96.17698
GET       9.100     96.28637
GET       9.200     96.35898
GET       9.300     96.59974
GET       9.400     96.95563
GET       9.500     97.06741
GET       9.600     97.10180
GET       9.700     97.10801
GET       9.800     97.11040
GET       9.900     97.11422
GET      10.000     97.17011
GET      11.000     97.17155
GET      12.000     97.18683
GET      13.000     99.65606
GET      14.000     99.77883
GET      16.000     99.78504
GET      17.000     99.98519
GET      18.000     99.98854
GET      25.000     99.99427
GET      29.000    100.00000
