[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        3039 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:        6025 ops,    2985 (avg:    3012) ops/sec, 106.47KB/sec (avg: 107.43KB/sec),  4.01 (avg:  3.97) msec latency[RUN #1 10%,   2 secs]  2 threads:        9051 ops,    3025 (avg:    3017) ops/sec, 110.39KB/sec (avg: 108.42KB/sec),  3.96 (avg:  3.97) msec latency[RUN #1 13%,   4 secs]  2 threads:       12157 ops,    3105 (avg:    3039) ops/sec, 116.54KB/sec (avg: 110.45KB/sec),  3.86 (avg:  3.94) msec latency[RUN #1 17%,   5 secs]  2 threads:       15222 ops,    3064 (avg:    3044) ops/sec, 118.51KB/sec (avg: 112.06KB/sec),  3.90 (avg:  3.93) msec latency[RUN #1 20%,   6 secs]  2 threads:       18269 ops,    3046 (avg:    3044) ops/sec, 123.66KB/sec (avg: 113.99KB/sec),  3.94 (avg:  3.93) msec latency[RUN #1 23%,   7 secs]  2 threads:       21375 ops,    3105 (avg:    3053) ops/sec, 129.21KB/sec (avg: 116.17KB/sec),  3.86 (avg:  3.92) msec latency[RUN #1 27%,   8 secs]  2 threads:       24376 ops,    3000 (avg:    3046) ops/sec, 122.07KB/sec (avg: 116.91KB/sec),  3.98 (avg:  3.93) msec latency[RUN #1 30%,   9 secs]  2 threads:       27473 ops,    3096 (avg:    3052) ops/sec, 133.48KB/sec (avg: 118.75KB/sec),  3.85 (avg:  3.92) msec latency[RUN #1 33%,  10 secs]  2 threads:       30604 ops,    3130 (avg:    3060) ops/sec, 136.53KB/sec (avg: 120.53KB/sec),  3.85 (avg:  3.91) msec latency[RUN #1 37%,  11 secs]  2 threads:       33832 ops,    3227 (avg:    3075) ops/sec, 143.56KB/sec (avg: 122.62KB/sec),  3.70 (avg:  3.89) msec latency[RUN #1 40%,  12 secs]  2 threads:       37021 ops,    3188 (avg:    3084) ops/sec, 141.54KB/sec (avg: 124.20KB/sec),  3.76 (avg:  3.88) msec latency[RUN #1 43%,  13 secs]  2 threads:       40204 ops,    3182 (avg:    3092) ops/sec, 146.40KB/sec (avg: 125.90KB/sec),  3.76 (avg:  3.87) msec latency[RUN #1 47%,  14 secs]  2 threads:       43366 ops,    3161 (avg:    3097) ops/sec, 151.16KB/sec (avg: 127.71KB/sec),  3.79 (avg:  3.87) msec latency[RUN #1 50%,  15 secs]  2 threads:       46416 ops,    3049 (avg:    3094) ops/sec, 141.50KB/sec (avg: 128.63KB/sec),  3.93 (avg:  3.87) msec latency[RUN #1 53%,  16 secs]  2 threads:       49362 ops,    2945 (avg:    3084) ops/sec, 139.96KB/sec (avg: 129.34KB/sec),  4.08 (avg:  3.88) msec latency[RUN #1 57%,  17 secs]  2 threads:       52386 ops,    3023 (avg:    3081) ops/sec, 146.38KB/sec (avg: 130.34KB/sec),  3.96 (avg:  3.89) msec latency[RUN #1 60%,  18 secs]  2 threads:       55418 ops,    3031 (avg:    3078) ops/sec, 147.70KB/sec (avg: 131.30KB/sec),  3.94 (avg:  3.89) msec latency[RUN #1 63%,  19 secs]  2 threads:       58485 ops,    3066 (avg:    3077) ops/sec, 148.61KB/sec (avg: 132.21KB/sec),  3.92 (avg:  3.89) msec latency[RUN #1 67%,  20 secs]  2 threads:       61649 ops,    3163 (avg:    3082) ops/sec, 157.02KB/sec (avg: 133.46KB/sec),  3.78 (avg:  3.89) msec latency[RUN #1 70%,  21 secs]  2 threads:       65940 ops,    4290 (avg:    3139) ops/sec, 218.73KB/sec (avg: 137.52KB/sec),  2.78 (avg:  3.81) msec latency[RUN #1 73%,  22 secs]  2 threads:       78285 ops,   12343 (avg:    3558) ops/sec, 660.60KB/sec (avg: 161.29KB/sec),  0.96 (avg:  3.36) msec latency[RUN #1 77%,  23 secs]  2 threads:       83535 ops,    5249 (avg:    3631) ops/sec, 288.17KB/sec (avg: 166.81KB/sec),  2.30 (avg:  3.30) msec latency[RUN #1 80%,  24 secs]  2 threads:       92228 ops,    8692 (avg:    3842) ops/sec, 483.65KB/sec (avg: 180.01KB/sec),  1.37 (avg:  3.12) msec latency[RUN #1 83%,  25 secs]  2 threads:      104579 ops,   12349 (avg:    4182) ops/sec, 709.27KB/sec (avg: 201.18KB/sec),  0.97 (avg:  2.86) msec latency[RUN #1 87%,  26 secs]  2 threads:      117053 ops,   12472 (avg:    4501) ops/sec, 726.32KB/sec (avg: 221.38KB/sec),  0.96 (avg:  2.66) msec latency[RUN #1 90%,  27 secs]  2 threads:      130267 ops,   13212 (avg:    4824) ops/sec, 800.12KB/sec (avg: 242.81KB/sec),  0.90 (avg:  2.48) msec latency[RUN #1 93%,  28 secs]  2 threads:      143919 ops,   13650 (avg:    5139) ops/sec, 838.02KB/sec (avg: 264.07KB/sec),  0.87 (avg:  2.33) msec latency[RUN #1 97%,  29 secs]  2 threads:      160000 ops,   16079 (avg:    5516) ops/sec, 997.21KB/sec (avg: 289.35KB/sec),  0.74 (avg:  2.17) msec latency[RUN #1 100%,  30 secs]  0 threads:      177950 ops,   16079 (avg:    5931) ops/sec, 997.21KB/sec (avg: 317.52KB/sec),  0.74 (avg:  2.02) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         539.40          ---          ---      2.01400        39.51
Gets        5392.24      3013.38      2378.85      2.01700       278.01
Totals      5931.64      3013.38      2378.85      2.01700       317.52


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     80.50921
SET       2.000     82.57323
SET       3.000     82.71536
SET       4.000     82.84514
SET       5.000     94.54950
SET       6.000     97.83092
SET       7.000     97.97306
SET       8.000     98.13991
SET       9.000     99.11012
SET      10.000     99.51180
SET      11.000     99.53034
SET      12.000     99.81461
SET      13.000     99.86405
SET      14.000     99.88259
SET      15.000     99.88877
SET      16.000     99.95674
SET      17.000     99.99382
SET      20.000    100.00000
---
GET       0.120      0.00062
GET       0.150      0.00247
GET       0.170      0.00433
GET       0.180      0.00804
GET       0.190      0.01607
GET       0.200      0.03091
GET       0.210      0.05131
GET       0.220      0.07913
GET       0.230      0.11436
GET       0.240      0.14527
GET       0.250      0.16876
GET       0.260      0.18174
GET       0.270      0.19843
GET       0.280      0.22316
GET       0.290      0.26210
GET       0.300      0.32454
GET       0.310      0.40799
GET       0.320      0.50814
GET       0.330      0.65031
GET       0.340      0.78322
GET       0.350      0.93405
GET       0.360      1.05460
GET       0.370      1.14485
GET       0.380      1.22707
GET       0.390      1.28023
GET       0.400      1.32041
GET       0.410      1.37728
GET       0.420      1.47372
GET       0.430      1.61651
GET       0.440      1.84091
GET       0.450      2.13577
GET       0.460      2.49431
GET       0.470      2.89365
GET       0.480      3.33750
GET       0.490      3.75847
GET       0.500      4.09970
GET       0.510      4.38653
GET       0.520      4.58867
GET       0.530      4.73641
GET       0.540      4.83717
GET       0.550      4.92372
GET       0.560      5.00470
GET       0.570      5.06899
GET       0.580      5.14131
GET       0.590      5.23218
GET       0.600      5.37560
GET       0.610      5.58887
GET       0.620      5.96781
GET       0.630      6.55507
GET       0.640      7.51323
GET       0.650      8.85280
GET       0.660     10.51877
GET       0.670     12.36709
GET       0.680     14.24138
GET       0.690     16.06251
GET       0.700     17.94607
GET       0.710     19.82531
GET       0.720     21.69341
GET       0.730     23.59552
GET       0.740     25.32887
GET       0.750     27.01400
GET       0.760     28.63545
GET       0.770     30.32924
GET       0.780     32.04898
GET       0.790     33.65808
GET       0.800     35.19794
GET       0.810     36.63951
GET       0.820     38.01061
GET       0.830     39.36996
GET       0.840     40.65575
GET       0.850     41.92115
GET       0.860     43.12843
GET       0.870     44.27637
GET       0.880     45.35446
GET       0.890     46.26255
GET       0.900     47.06184
GET       0.910     47.71896
GET       0.920     48.24502
GET       0.930     48.67897
GET       0.940     49.04369
GET       0.950     49.34598
GET       0.960     49.62601
GET       0.970     49.86400
GET       0.980     50.08902
GET       0.990     50.32021
GET       1.000     51.72778
GET       1.100     54.87365
GET       1.200     58.67106
GET       1.300     61.56224
GET       1.400     62.60633
GET       1.500     62.96981
GET       1.600     64.43240
GET       1.700     69.24732
GET       1.800     75.57552
GET       1.900     79.54354
GET       2.000     81.00119
GET       2.100     81.35045
GET       2.200     81.44318
GET       2.300     81.49078
GET       2.400     81.55568
GET       2.500     81.70775
GET       2.600     81.95193
GET       2.700     82.17818
GET       2.800     82.35992
GET       2.900     82.45018
GET       3.000     82.49345
GET       3.100     82.51508
GET       3.200     82.52806
GET       3.300     82.54043
GET       3.400     82.56021
GET       3.500     82.58308
GET       3.600     82.60348
GET       3.700     82.62883
GET       3.800     82.64366
GET       3.900     82.65664
GET       4.000     82.65912
GET       4.100     82.66344
GET       4.200     82.66963
GET       4.300     82.67643
GET       4.400     82.68323
GET       4.500     82.69683
GET       4.600     82.70115
GET       4.700     82.71042
GET       4.800     82.73701
GET       4.900     82.79326
GET       5.000     82.82231
GET       5.100     82.83220
GET       5.200     82.84148
GET       5.300     82.86373
GET       5.400     82.91318
GET       5.500     82.97995
GET       5.600     83.39659
GET       5.700     85.15219
GET       5.800     88.99906
GET       5.900     93.09258
GET       6.000     95.37919
GET       6.100     96.24277
GET       6.200     96.50858
GET       6.300     96.58091
GET       6.400     96.63530
GET       6.500     96.76018
GET       6.600     96.99075
GET       6.700     97.34558
GET       6.800     97.66270
GET       6.900     97.83517
GET       7.000     97.92233
GET       7.100     97.97550
GET       7.200     97.99157
GET       7.300     97.99960
GET       7.400     98.00393
GET       7.500     98.00640
GET       7.800     98.00702
GET       8.000     98.00764
GET       8.300     98.00950
GET       8.400     98.01073
GET       8.500     98.01877
GET       8.600     98.02680
GET       8.700     98.03422
GET       8.800     98.05339
GET       8.900     98.11829
GET       9.000     98.16095
GET       9.100     98.16960
GET       9.200     98.18073
GET       9.300     98.19680
GET       9.400     98.23760
GET       9.500     98.27160
GET       9.600     98.32291
GET       9.700     98.45149
GET       9.800     98.72348
GET       9.900     99.03689
GET      10.000     99.37874
GET      11.000     99.50670
GET      12.000     99.52092
GET      13.000     99.83989
GET      14.000     99.86029
GET      15.000     99.86524
GET      16.000     99.87513
GET      17.000     99.96847
GET      18.000     99.97836
GET      21.000     99.99258
GET      25.000    100.00000
