[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       15073 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       29589 ops,   14514 (avg:   14794) ops/sec, 627.24KB/sec (avg: 601.61KB/sec),  0.82 (avg:  0.81) msec latency[RUN #1 10%,   3 secs]  2 threads:       44074 ops,   14483 (avg:   14690) ops/sec, 681.17KB/sec (avg: 628.13KB/sec),  0.82 (avg:  0.81) msec latency[RUN #1 13%,   4 secs]  2 threads:       57113 ops,   13037 (avg:   14277) ops/sec, 645.78KB/sec (avg: 632.55KB/sec),  0.91 (avg:  0.84) msec latency[RUN #1 17%,   5 secs]  2 threads:       69259 ops,   12144 (avg:   13850) ops/sec, 628.70KB/sec (avg: 631.78KB/sec),  0.98 (avg:  0.86) msec latency[RUN #1 20%,   6 secs]  2 threads:       80828 ops,   11567 (avg:   13470) ops/sec, 639.74KB/sec (avg: 633.10KB/sec),  1.03 (avg:  0.89) msec latency[RUN #1 23%,   7 secs]  2 threads:       91536 ops,   10706 (avg:   13075) ops/sec, 603.49KB/sec (avg: 628.87KB/sec),  1.12 (avg:  0.91) msec latency[RUN #1 27%,   8 secs]  2 threads:      102164 ops,   10627 (avg:   12769) ops/sec, 616.89KB/sec (avg: 627.37KB/sec),  1.12 (avg:  0.93) msec latency[RUN #1 30%,   9 secs]  2 threads:      111949 ops,    9784 (avg:   12437) ops/sec, 566.74KB/sec (avg: 620.64KB/sec),  1.22 (avg:  0.96) msec latency[RUN #1 33%,  10 secs]  2 threads:      119176 ops,    7226 (avg:   11916) ops/sec, 427.59KB/sec (avg: 601.33KB/sec),  1.65 (avg:  1.00) msec latency[RUN #1 37%,  11 secs]  2 threads:      125142 ops,    5965 (avg:   11375) ops/sec, 360.67KB/sec (avg: 579.45KB/sec),  2.00 (avg:  1.05) msec latency[RUN #1 40%,  12 secs]  2 threads:      131010 ops,    5867 (avg:   10916) ops/sec, 363.97KB/sec (avg: 561.50KB/sec),  2.06 (avg:  1.09) msec latency[RUN #1 43%,  13 secs]  2 threads:      137000 ops,    5989 (avg:   10537) ops/sec, 367.76KB/sec (avg: 546.59KB/sec),  2.00 (avg:  1.13) msec latency[RUN #1 47%,  14 secs]  2 threads:      143089 ops,    6088 (avg:   10219) ops/sec, 372.43KB/sec (avg: 534.15KB/sec),  1.96 (avg:  1.17) msec latency[RUN #1 50%,  15 secs]  2 threads:      149238 ops,    6148 (avg:    9948) ops/sec, 380.09KB/sec (avg: 523.88KB/sec),  1.94 (avg:  1.20) msec latency[RUN #1 53%,  16 secs]  2 threads:      155167 ops,    5928 (avg:    9697) ops/sec, 370.31KB/sec (avg: 514.28KB/sec),  2.02 (avg:  1.23) msec latency[RUN #1 57%,  17 secs]  2 threads:      160878 ops,    5710 (avg:    9462) ops/sec, 359.12KB/sec (avg: 505.16KB/sec),  2.10 (avg:  1.26) msec latency[RUN #1 60%,  18 secs]  2 threads:      166967 ops,    6088 (avg:    9275) ops/sec, 384.51KB/sec (avg: 498.45KB/sec),  1.96 (avg:  1.29) msec latency[RUN #1 63%,  19 secs]  2 threads:      172713 ops,    5745 (avg:    9089) ops/sec, 364.57KB/sec (avg: 491.41KB/sec),  2.07 (avg:  1.31) msec latency[RUN #1 67%,  20 secs]  2 threads:      178680 ops,    5966 (avg:    8933) ops/sec, 380.43KB/sec (avg: 485.86KB/sec),  2.02 (avg:  1.34) msec latency[RUN #1 70%,  21 secs]  2 threads:      184837 ops,    6156 (avg:    8800) ops/sec, 397.19KB/sec (avg: 481.63KB/sec),  1.94 (avg:  1.36) msec latency[RUN #1 73%,  22 secs]  2 threads:      190985 ops,    6146 (avg:    8680) ops/sec, 397.59KB/sec (avg: 477.81KB/sec),  1.95 (avg:  1.38) msec latency[RUN #1 77%,  23 secs]  2 threads:      197182 ops,    6196 (avg:    8572) ops/sec, 401.93KB/sec (avg: 474.51KB/sec),  1.91 (avg:  1.39) msec latency[RUN #1 80%,  24 secs]  2 threads:      203607 ops,    6424 (avg:    8482) ops/sec, 417.64KB/sec (avg: 472.15KB/sec),  1.88 (avg:  1.41) msec latency[RUN #1 83%,  25 secs]  2 threads:      210017 ops,    6409 (avg:    8399) ops/sec, 418.28KB/sec (avg: 469.99KB/sec),  1.87 (avg:  1.42) msec latency[RUN #1 87%,  26 secs]  2 threads:      216861 ops,    6842 (avg:    8340) ops/sec, 446.84KB/sec (avg: 469.10KB/sec),  1.75 (avg:  1.43) msec latency[RUN #1 90%,  27 secs]  2 threads:      223487 ops,    6625 (avg:    8276) ops/sec, 433.55KB/sec (avg: 467.78KB/sec),  1.81 (avg:  1.44) msec latency[RUN #1 93%,  28 secs]  2 threads:      230098 ops,    6610 (avg:    8216) ops/sec, 431.62KB/sec (avg: 466.49KB/sec),  1.81 (avg:  1.45) msec latency[RUN #1 97%,  29 secs]  2 threads:      236687 ops,    6588 (avg:    8160) ops/sec, 432.89KB/sec (avg: 465.33KB/sec),  1.82 (avg:  1.46) msec latency[RUN #1 100%,  30 secs]  0 threads:      243219 ops,    6588 (avg:    8107) ops/sec, 432.89KB/sec (avg: 464.24KB/sec),  1.82 (avg:  1.47) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         737.16          ---          ---      1.48500        53.99
Gets        7370.11      4913.45      2456.66      1.47300       410.25
Totals      8107.27      4913.45      2456.66      1.47400       464.24


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.093      0.00045
GET       0.100      0.00090
GET       0.110      0.00407
GET       0.120      0.00814
GET       0.130      0.01583
GET       0.140      0.02804
GET       0.150      0.04613
GET       0.160      0.05653
GET       0.170      0.07101
GET       0.180      0.08684
GET       0.190      0.10764
GET       0.200      0.12935
GET       0.210      0.14382
GET       0.220      0.15513
GET       0.230      0.16915
GET       0.240      0.18362
GET       0.250      0.19719
GET       0.260      0.20126
GET       0.270      0.20986
GET       0.280      0.21981
GET       0.290      0.22840
GET       0.300      0.23744
GET       0.310      0.24378
GET       0.320      0.25011
GET       0.330      0.25282
GET       0.340      0.25689
GET       0.350      0.25780
GET       0.360      0.25870
GET       0.370      0.25961
GET       0.380      0.26142
GET       0.390      0.26277
GET       0.400      0.26549
GET       0.410      0.26956
GET       0.420      0.27679
GET       0.430      0.29172
GET       0.440      0.32021
GET       0.450      0.36589
GET       0.460      0.41836
GET       0.470      0.49072
GET       0.480      0.57891
GET       0.490      0.66349
GET       0.500      0.73404
GET       0.510      0.78741
GET       0.520      0.84123
GET       0.530      0.87199
GET       0.540      0.90003
GET       0.550      0.91767
GET       0.560      0.95475
GET       0.570      0.99501
GET       0.580      1.07008
GET       0.590      1.19446
GET       0.600      1.40477
GET       0.610      1.72272
GET       0.620      2.17861
GET       0.630      2.77426
GET       0.640      3.48071
GET       0.650      4.21295
GET       0.660      4.93840
GET       0.670      5.77511
GET       0.680      6.64529
GET       0.690      7.52180
GET       0.700      8.36258
GET       0.710      9.20698
GET       0.720     10.12012
GET       0.730     11.01789
GET       0.740     11.97672
GET       0.750     13.01288
GET       0.760     14.09744
GET       0.770     15.34346
GET       0.780     16.75818
GET       0.790     18.45964
GET       0.800     20.46548
GET       0.810     22.81098
GET       0.820     25.58570
GET       0.830     28.90359
GET       0.840     32.52587
GET       0.850     36.36841
GET       0.860     40.51125
GET       0.870     44.73415
GET       0.880     48.73770
GET       0.890     52.63315
GET       0.900     56.14914
GET       0.910     59.33859
GET       0.920     62.10697
GET       0.930     64.44117
GET       0.940     66.39002
GET       0.950     68.00239
GET       0.960     69.38454
GET       0.970     70.51704
GET       0.980     71.41029
GET       0.990     72.15473
GET       1.000     74.98236
GET       1.100     78.20664
GET       1.200     83.14549
GET       1.300     89.73108
GET       1.400     92.85902
GET       1.500     93.33210
GET       1.600     93.39089
GET       1.700     93.40130
GET       1.800     93.40944
GET       1.900     93.41441
GET       2.000     93.41848
GET       2.100     93.42120
GET       2.200     93.42346
GET       2.300     93.42527
GET       2.400     93.42572
GET       2.500     93.42617
GET       2.600     93.42662
GET       2.700     93.42798
GET       2.800     93.42979
GET       3.400     93.43024
GET       3.600     93.43069
GET       4.000     93.43160
GET       4.200     93.43295
GET       4.300     93.43567
GET       4.400     93.43657
GET       4.500     93.43838
GET       4.600     93.44426
GET       4.700     93.46461
GET       4.800     93.69437
GET       4.900     94.46912
GET       5.000     94.85762
GET       5.100     94.95667
GET       5.200     95.02587
GET       5.300     95.24975
GET       5.400     95.43473
GET       5.500     95.50393
GET       5.600     95.51885
GET       5.700     95.52156
GET       5.800     95.52383
GET       5.900     95.52699
GET       6.000     95.52971
GET       6.100     95.53242
GET       6.300     95.53287
GET       6.400     95.53423
GET       6.500     95.53468
GET       7.700     95.53559
GET       7.900     95.53739
GET       8.000     95.53966
GET       8.400     95.54237
GET       8.500     95.55051
GET       8.600     95.55096
GET       8.700     95.56905
GET       8.800     95.73187
GET       8.900     96.52019
GET       9.000     96.98920
GET       9.100     97.09729
GET       9.200     97.15111
GET       9.300     97.30941
GET       9.400     97.50208
GET       9.500     97.58937
GET       9.600     97.60565
GET       9.700     97.61198
GET       9.800     97.61244
GET      12.000     97.61741
GET      13.000     99.80552
GET      14.000     99.87969
GET      17.000     99.98779
GET      18.000     99.99050
GET      21.000     99.99955
GET      22.000    100.00000
