[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        6471 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       13102 ops,    6630 (avg:    6551) ops/sec, 248.38KB/sec (avg: 241.86KB/sec),  1.81 (avg:  1.83) msec latency[RUN #1 10%,   3 secs]  2 threads:       19327 ops,    6224 (avg:    6442) ops/sec, 251.52KB/sec (avg: 245.08KB/sec),  1.91 (avg:  1.85) msec latency[RUN #1 13%,   4 secs]  2 threads:       25767 ops,    6439 (avg:    6441) ops/sec, 267.60KB/sec (avg: 250.71KB/sec),  1.86 (avg:  1.86) msec latency[RUN #1 17%,   5 secs]  2 threads:       32206 ops,    6438 (avg:    6440) ops/sec, 286.38KB/sec (avg: 257.85KB/sec),  1.85 (avg:  1.85) msec latency[RUN #1 20%,   6 secs]  2 threads:       38294 ops,    6087 (avg:    6381) ops/sec, 273.52KB/sec (avg: 260.46KB/sec),  1.98 (avg:  1.87) msec latency[RUN #1 23%,   7 secs]  2 threads:       44328 ops,    6033 (avg:    6332) ops/sec, 288.31KB/sec (avg: 264.44KB/sec),  1.98 (avg:  1.89) msec latency[RUN #1 27%,   8 secs]  2 threads:       50493 ops,    6164 (avg:    6311) ops/sec, 294.61KB/sec (avg: 268.21KB/sec),  1.95 (avg:  1.90) msec latency[RUN #1 30%,   9 secs]  2 threads:       57016 ops,    6522 (avg:    6334) ops/sec, 320.80KB/sec (avg: 274.05KB/sec),  1.83 (avg:  1.89) msec latency[RUN #1 33%,  10 secs]  2 threads:       63316 ops,    6299 (avg:    6331) ops/sec, 314.15KB/sec (avg: 278.06KB/sec),  1.89 (avg:  1.89) msec latency[RUN #1 37%,  11 secs]  2 threads:       69236 ops,    5919 (avg:    6293) ops/sec, 308.76KB/sec (avg: 280.85KB/sec),  2.03 (avg:  1.90) msec latency[RUN #1 40%,  12 secs]  2 threads:       74878 ops,    5641 (avg:    6239) ops/sec, 306.54KB/sec (avg: 282.99KB/sec),  2.12 (avg:  1.92) msec latency[RUN #1 43%,  13 secs]  2 threads:       80639 ops,    5760 (avg:    6202) ops/sec, 319.41KB/sec (avg: 285.79KB/sec),  2.08 (avg:  1.93) msec latency[RUN #1 47%,  14 secs]  2 threads:       86655 ops,    6015 (avg:    6189) ops/sec, 334.94KB/sec (avg: 289.31KB/sec),  1.98 (avg:  1.93) msec latency[RUN #1 50%,  15 secs]  2 threads:       92406 ops,    5750 (avg:    6159) ops/sec, 323.18KB/sec (avg: 291.56KB/sec),  2.09 (avg:  1.94) msec latency[RUN #1 53%,  16 secs]  2 threads:       97951 ops,    5544 (avg:    6121) ops/sec, 321.06KB/sec (avg: 293.41KB/sec),  2.16 (avg:  1.95) msec latency[RUN #1 57%,  17 secs]  2 threads:      103790 ops,    5838 (avg:    6104) ops/sec, 341.09KB/sec (avg: 296.21KB/sec),  2.03 (avg:  1.96) msec latency[RUN #1 60%,  18 secs]  2 threads:      109693 ops,    5902 (avg:    6093) ops/sec, 339.54KB/sec (avg: 298.62KB/sec),  2.04 (avg:  1.96) msec latency[RUN #1 63%,  19 secs]  2 threads:      115866 ops,    6172 (avg:    6097) ops/sec, 364.94KB/sec (avg: 302.11KB/sec),  1.94 (avg:  1.96) msec latency[RUN #1 67%,  20 secs]  2 threads:      123125 ops,    7258 (avg:    6155) ops/sec, 433.54KB/sec (avg: 308.68KB/sec),  1.65 (avg:  1.94) msec latency[RUN #1 70%,  21 secs]  2 threads:      132958 ops,    9832 (avg:    6330) ops/sec, 609.39KB/sec (avg: 323.00KB/sec),  1.20 (avg:  1.89) msec latency[RUN #1 73%,  22 secs]  2 threads:      141421 ops,    8462 (avg:    6427) ops/sec, 518.20KB/sec (avg: 331.87KB/sec),  1.42 (avg:  1.86) msec latency[RUN #1 77%,  23 secs]  2 threads:      150237 ops,    8815 (avg:    6531) ops/sec, 546.55KB/sec (avg: 341.21KB/sec),  1.36 (avg:  1.83) msec latency[RUN #1 80%,  24 secs]  2 threads:      161150 ops,   10911 (avg:    6714) ops/sec, 683.71KB/sec (avg: 355.48KB/sec),  1.09 (avg:  1.78) msec latency[RUN #1 83%,  25 secs]  2 threads:      174790 ops,   13638 (avg:    6990) ops/sec, 861.89KB/sec (avg: 375.74KB/sec),  0.87 (avg:  1.71) msec latency[RUN #1 87%,  26 secs]  2 threads:      189588 ops,   14796 (avg:    7291) ops/sec, 949.84KB/sec (avg: 397.82KB/sec),  0.81 (avg:  1.64) msec latency[RUN #1 90%,  27 secs]  2 threads:      205113 ops,   15522 (avg:    7596) ops/sec, 1007.27KB/sec (avg: 420.39KB/sec),  0.77 (avg:  1.57) msec latency[RUN #1 93%,  28 secs]  2 threads:      220294 ops,   15179 (avg:    7866) ops/sec, 989.18KB/sec (avg: 440.71KB/sec),  0.79 (avg:  1.52) msec latency[RUN #1 97%,  29 secs]  2 threads:      234888 ops,   14592 (avg:    8098) ops/sec, 953.48KB/sec (avg: 458.39KB/sec),  0.82 (avg:  1.48) msec latency[RUN #1 100%,  30 secs]  0 threads:      252506 ops,   14592 (avg:    8416) ops/sec, 953.48KB/sec (avg: 481.93KB/sec),  0.82 (avg:  1.42) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         765.36          ---          ---      1.44300        56.06
Gets        7651.46      5099.97      2551.49      1.41700       425.87
Totals      8416.82      5099.97      2551.49      1.42000       481.93


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.210      0.00044
GET       0.230      0.00087
GET       0.240      0.00131
GET       0.250      0.00174
GET       0.280      0.00218
GET       0.320      0.00305
GET       0.340      0.00392
GET       0.350      0.00436
GET       0.360      0.00523
GET       0.370      0.00697
GET       0.380      0.01133
GET       0.390      0.01525
GET       0.400      0.02265
GET       0.410      0.02483
GET       0.420      0.03485
GET       0.430      0.04313
GET       0.440      0.05446
GET       0.450      0.08103
GET       0.460      0.13026
GET       0.470      0.20257
GET       0.480      0.36376
GET       0.490      0.58551
GET       0.500      0.77937
GET       0.510      0.93489
GET       0.520      1.01592
GET       0.530      1.07735
GET       0.540      1.12788
GET       0.550      1.20369
GET       0.560      1.31434
GET       0.570      1.55264
GET       0.580      2.03620
GET       0.590      2.90270
GET       0.600      4.01229
GET       0.610      4.90013
GET       0.620      5.50829
GET       0.630      5.99752
GET       0.640      6.47193
GET       0.650      7.03087
GET       0.660      7.69522
GET       0.670      8.43408
GET       0.680      9.21867
GET       0.690     10.04945
GET       0.700     10.94862
GET       0.710     11.94363
GET       0.720     13.17868
GET       0.730     14.58668
GET       0.740     16.12581
GET       0.750     17.82918
GET       0.760     19.70986
GET       0.770     21.99874
GET       0.780     24.54290
GET       0.790     27.54710
GET       0.800     30.83186
GET       0.810     34.38106
GET       0.820     38.30099
GET       0.830     42.38515
GET       0.840     46.52595
GET       0.850     50.66806
GET       0.860     54.61239
GET       0.870     58.44736
GET       0.880     61.86804
GET       0.890     64.97506
GET       0.900     67.64120
GET       0.910     69.93618
GET       0.920     71.87480
GET       0.930     73.55638
GET       0.940     74.92431
GET       0.950     76.02562
GET       0.960     76.92348
GET       0.970     77.64621
GET       0.980     78.26439
GET       0.990     78.78281
GET       1.000     80.79026
GET       1.100     82.84389
GET       1.200     86.65360
GET       1.300     92.00592
GET       1.400     94.05650
GET       1.500     94.35710
GET       1.600     94.39500
GET       1.700     94.40153
GET       1.800     94.40328
GET       1.900     94.40502
GET       2.000     94.40633
GET       2.100     94.40807
GET       2.200     94.41112
GET       2.300     94.41330
GET       2.400     94.41373
GET       2.500     94.41460
GET       2.600     94.41635
GET       2.700     94.41809
GET       2.900     94.41896
GET       3.100     94.41939
GET       3.200     94.41983
GET       3.300     94.42070
GET       3.400     94.42419
GET       3.500     94.42506
GET       3.700     94.42593
GET       3.800     94.42767
GET       4.000     94.43029
GET       4.100     94.43072
GET       4.200     94.43159
GET       4.300     94.43203
GET       4.500     94.43290
GET       4.600     94.43334
GET       4.700     94.44423
GET       4.800     94.62676
GET       4.900     95.13167
GET       5.000     95.27631
GET       5.100     95.29112
GET       5.200     95.33948
GET       5.300     95.46276
GET       5.400     95.57342
GET       5.500     95.58997
GET       5.600     95.59607
GET       5.700     95.59738
GET       5.800     95.59781
GET       6.000     95.59868
GET       6.100     95.59912
GET       6.900     95.59956
GET       7.000     95.60391
GET       7.100     95.60522
GET       7.300     95.60609
GET       7.400     95.60870
GET       7.500     95.61132
GET       8.000     95.61175
GET       8.600     95.61611
GET       8.700     95.63005
GET       8.800     95.85659
GET       8.900     96.54011
GET       9.000     96.78494
GET       9.100     96.82546
GET       9.200     96.88514
GET       9.300     97.05940
GET       9.400     97.20186
GET       9.500     97.24760
GET       9.600     97.25500
GET       9.700     97.25588
GET      11.000     97.26067
GET      12.000     97.26285
GET      13.000     99.57089
GET      14.000     99.60661
GET      16.000     99.60748
GET      17.000     99.89588
GET      18.000     99.90285
GET      21.000     99.95339
GET      25.000     99.99782
GET      26.000    100.00000
