[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       13742 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       24882 ops,   11138 (avg:   12440) ops/sec, 453.90KB/sec (avg: 479.01KB/sec),  1.07 (avg:  0.96) msec latency[RUN #1 10%,   3 secs]  2 threads:       35498 ops,   10614 (avg:   11831) ops/sec, 469.83KB/sec (avg: 475.95KB/sec),  1.11 (avg:  1.00) msec latency[RUN #1 13%,   4 secs]  2 threads:       50040 ops,   14540 (avg:   12509) ops/sec, 685.29KB/sec (avg: 528.29KB/sec),  0.83 (avg:  0.95) msec latency[RUN #1 17%,   5 secs]  2 threads:       56474 ops,    6433 (avg:   11293) ops/sec, 314.26KB/sec (avg: 485.48KB/sec),  1.86 (avg:  1.06) msec latency[RUN #1 20%,   6 secs]  2 threads:       61347 ops,    4872 (avg:   10223) ops/sec, 240.57KB/sec (avg: 444.66KB/sec),  2.45 (avg:  1.17) msec latency[RUN #1 23%,   7 secs]  2 threads:       69420 ops,    8072 (avg:    9916) ops/sec, 416.78KB/sec (avg: 440.68KB/sec),  1.48 (avg:  1.20) msec latency[RUN #1 27%,   8 secs]  2 threads:       77025 ops,    7604 (avg:    9627) ops/sec, 411.37KB/sec (avg: 437.01KB/sec),  1.58 (avg:  1.24) msec latency[RUN #1 30%,   9 secs]  2 threads:       83043 ops,    6017 (avg:    9226) ops/sec, 332.04KB/sec (avg: 425.35KB/sec),  1.98 (avg:  1.29) msec latency[RUN #1 33%,  10 secs]  2 threads:       89100 ops,    6056 (avg:    8909) ops/sec, 333.13KB/sec (avg: 416.13KB/sec),  1.97 (avg:  1.34) msec latency[RUN #1 37%,  11 secs]  2 threads:       94815 ops,    5714 (avg:    8618) ops/sec, 321.36KB/sec (avg: 407.51KB/sec),  2.10 (avg:  1.39) msec latency[RUN #1 40%,  12 secs]  2 threads:      100501 ops,    5685 (avg:    8374) ops/sec, 328.87KB/sec (avg: 400.96KB/sec),  2.10 (avg:  1.43) msec latency[RUN #1 43%,  13 secs]  2 threads:      106400 ops,    5898 (avg:    8183) ops/sec, 336.95KB/sec (avg: 396.04KB/sec),  2.02 (avg:  1.46) msec latency[RUN #1 47%,  14 secs]  2 threads:      112361 ops,    5960 (avg:    8025) ops/sec, 345.09KB/sec (avg: 392.40KB/sec),  2.01 (avg:  1.49) msec latency[RUN #1 50%,  15 secs]  2 threads:      117802 ops,    5440 (avg:    7852) ops/sec, 318.30KB/sec (avg: 387.46KB/sec),  2.20 (avg:  1.52) msec latency[RUN #1 53%,  16 secs]  2 threads:      123321 ops,    5518 (avg:    7706) ops/sec, 329.11KB/sec (avg: 383.81KB/sec),  2.17 (avg:  1.55) msec latency[RUN #1 57%,  17 secs]  2 threads:      128897 ops,    5575 (avg:    7581) ops/sec, 342.10KB/sec (avg: 381.36KB/sec),  2.13 (avg:  1.58) msec latency[RUN #1 60%,  18 secs]  2 threads:      134446 ops,    5548 (avg:    7468) ops/sec, 341.51KB/sec (avg: 379.14KB/sec),  2.18 (avg:  1.60) msec latency[RUN #1 63%,  19 secs]  2 threads:      140386 ops,    5939 (avg:    7388) ops/sec, 360.59KB/sec (avg: 378.17KB/sec),  2.00 (avg:  1.62) msec latency[RUN #1 67%,  20 secs]  2 threads:      146157 ops,    5770 (avg:    7307) ops/sec, 354.53KB/sec (avg: 376.99KB/sec),  2.08 (avg:  1.64) msec latency[RUN #1 70%,  21 secs]  2 threads:      151970 ops,    5812 (avg:    7236) ops/sec, 361.98KB/sec (avg: 376.27KB/sec),  2.05 (avg:  1.65) msec latency[RUN #1 73%,  22 secs]  2 threads:      157815 ops,    5844 (avg:    7172) ops/sec, 361.49KB/sec (avg: 375.60KB/sec),  2.04 (avg:  1.67) msec latency[RUN #1 77%,  23 secs]  2 threads:      163920 ops,    6104 (avg:    7126) ops/sec, 384.73KB/sec (avg: 376.00KB/sec),  1.97 (avg:  1.68) msec latency[RUN #1 80%,  24 secs]  2 threads:      169508 ops,    5587 (avg:    7062) ops/sec, 352.93KB/sec (avg: 375.04KB/sec),  2.14 (avg:  1.69) msec latency[RUN #1 83%,  25 secs]  2 threads:      175182 ops,    5673 (avg:    7006) ops/sec, 359.31KB/sec (avg: 374.41KB/sec),  2.10 (avg:  1.71) msec latency[RUN #1 87%,  26 secs]  2 threads:      180537 ops,    5354 (avg:    6943) ops/sec, 344.15KB/sec (avg: 373.24KB/sec),  2.22 (avg:  1.72) msec latency[RUN #1 90%,  27 secs]  2 threads:      186378 ops,    5840 (avg:    6902) ops/sec, 376.44KB/sec (avg: 373.36KB/sec),  2.06 (avg:  1.73) msec latency[RUN #1 93%,  28 secs]  2 threads:      195517 ops,    9138 (avg:    6982) ops/sec, 592.40KB/sec (avg: 381.18KB/sec),  1.31 (avg:  1.71) msec latency[RUN #1 97%,  29 secs]  2 threads:      204461 ops,    8942 (avg:    7049) ops/sec, 582.55KB/sec (avg: 388.13KB/sec),  1.34 (avg:  1.70) msec latency[RUN #1 100%,  30 secs]  0 threads:      216340 ops,    8942 (avg:    7211) ops/sec, 582.55KB/sec (avg: 401.09KB/sec),  1.34 (avg:  1.66) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         655.82          ---          ---      1.66300        48.03
Gets        6555.41      4059.28      2496.13      1.65700       353.06
Totals      7211.24      4059.28      2496.13      1.65700       401.09


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.260      0.00051
GET       0.280      0.00102
GET       0.290      0.00153
GET       0.300      0.00203
GET       0.310      0.00305
GET       0.320      0.00610
GET       0.330      0.01170
GET       0.340      0.02441
GET       0.350      0.03102
GET       0.360      0.04220
GET       0.370      0.06203
GET       0.380      0.08898
GET       0.390      0.13017
GET       0.400      0.17898
GET       0.410      0.24661
GET       0.420      0.36356
GET       0.430      0.52221
GET       0.440      0.75357
GET       0.450      1.06425
GET       0.460      1.47357
GET       0.470      1.96476
GET       0.480      2.58002
GET       0.490      3.19426
GET       0.500      3.82274
GET       0.510      4.39377
GET       0.520      4.83157
GET       0.530      5.18648
GET       0.540      5.46310
GET       0.550      5.66751
GET       0.560      5.79971
GET       0.570      5.91259
GET       0.580      5.98429
GET       0.590      6.04836
GET       0.600      6.11293
GET       0.610      6.18107
GET       0.620      6.26700
GET       0.630      6.35548
GET       0.640      6.47141
GET       0.650      6.61480
GET       0.660      6.80396
GET       0.670      7.02616
GET       0.680      7.33074
GET       0.690      7.70346
GET       0.700      8.13922
GET       0.710      8.65838
GET       0.720      9.23296
GET       0.730      9.86042
GET       0.740     10.53975
GET       0.750     11.32891
GET       0.760     12.11248
GET       0.770     13.02164
GET       0.780     13.98622
GET       0.790     15.09216
GET       0.800     16.29573
GET       0.810     17.65337
GET       0.820     19.26220
GET       0.830     21.11153
GET       0.840     23.27918
GET       0.850     25.88361
GET       0.860     28.80940
GET       0.870     32.15265
GET       0.880     35.79742
GET       0.890     39.67813
GET       0.900     43.57054
GET       0.910     47.32820
GET       0.920     50.94552
GET       0.930     54.24249
GET       0.940     57.08743
GET       0.950     59.40559
GET       0.960     61.26052
GET       0.970     62.79358
GET       0.980     63.97834
GET       0.990     64.85038
GET       1.000     66.98752
GET       1.100     68.20482
GET       1.200     71.58620
GET       1.300     81.03679
GET       1.400     88.90499
GET       1.500     90.59975
GET       1.600     90.82450
GET       1.700     90.95619
GET       1.800     91.34416
GET       1.900     91.84857
GET       2.000     92.18010
GET       2.100     92.30926
GET       2.200     92.34332
GET       2.300     92.34892
GET       2.400     92.35451
GET       2.500     92.35858
GET       2.600     92.37790
GET       2.700     92.41299
GET       2.800     92.45011
GET       2.900     92.47960
GET       3.000     92.49638
GET       3.100     92.50095
GET       3.200     92.50299
GET       3.300     92.50502
GET       3.500     92.50655
GET       3.600     92.51011
GET       3.700     92.51163
GET       3.800     92.51265
GET       3.900     92.51519
GET       4.000     92.51773
GET       4.400     92.51824
GET       4.500     92.52536
GET       4.600     92.53045
GET       4.700     92.53502
GET       4.800     92.60367
GET       4.900     93.11113
GET       5.000     93.57588
GET       5.100     93.64757
GET       5.200     93.67351
GET       5.300     93.80164
GET       5.400     94.03961
GET       5.500     94.17843
GET       5.600     94.20741
GET       5.700     94.21402
GET       5.800     94.22470
GET       5.900     94.26690
GET       6.000     94.32843
GET       6.100     94.37063
GET       6.200     94.38690
GET       6.300     94.39555
GET       6.400     94.39860
GET       6.500     94.40063
GET       6.600     94.40114
GET       6.700     94.40165
GET       6.800     94.40521
GET       6.900     94.41233
GET       7.000     94.41588
GET       7.100     94.41741
GET       7.300     94.41894
GET       7.600     94.42148
GET       7.700     94.42250
GET       8.500     94.42656
GET       8.600     94.43622
GET       8.700     94.43877
GET       8.800     94.50182
GET       8.900     95.10742
GET       9.000     95.80149
GET       9.100     95.93217
GET       9.200     95.95963
GET       9.300     96.11471
GET       9.400     96.45031
GET       9.500     96.66692
GET       9.600     96.72184
GET       9.700     96.72896
GET       9.800     96.72946
GET       9.900     96.73811
GET      10.000     96.75692
GET      11.000     96.76048
GET      12.000     96.76658
GET      13.000     99.59983
GET      14.000     99.82203
GET      15.000     99.82712
GET      17.000     99.98576
GET      18.000    100.00000
