[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       13838 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       28634 ops,   14794 (avg:   14317) ops/sec, 569.36KB/sec (avg: 534.42KB/sec),  0.81 (avg:  0.83) msec latency[RUN #1 10%,   3 secs]  2 threads:       42200 ops,   13564 (avg:   14066) ops/sec, 542.93KB/sec (avg: 537.26KB/sec),  0.88 (avg:  0.85) msec latency[RUN #1 13%,   4 secs]  2 threads:       54803 ops,   12601 (avg:   13700) ops/sec, 528.11KB/sec (avg: 534.97KB/sec),  0.95 (avg:  0.87) msec latency[RUN #1 17%,   5 secs]  2 threads:       67398 ops,   12593 (avg:   13479) ops/sec, 550.22KB/sec (avg: 538.02KB/sec),  0.95 (avg:  0.88) msec latency[RUN #1 20%,   6 secs]  2 threads:       79877 ops,   12477 (avg:   13312) ops/sec, 558.68KB/sec (avg: 541.46KB/sec),  0.96 (avg:  0.90) msec latency[RUN #1 23%,   7 secs]  2 threads:       91533 ops,   11654 (avg:   13075) ops/sec, 533.00KB/sec (avg: 540.26KB/sec),  1.02 (avg:  0.91) msec latency[RUN #1 27%,   8 secs]  2 threads:      103351 ops,   11816 (avg:   12918) ops/sec, 559.02KB/sec (avg: 542.60KB/sec),  1.01 (avg:  0.92) msec latency[RUN #1 30%,   9 secs]  2 threads:      116135 ops,   12782 (avg:   12903) ops/sec, 621.96KB/sec (avg: 551.42KB/sec),  0.93 (avg:  0.92) msec latency[RUN #1 33%,  10 secs]  2 threads:      128846 ops,   12709 (avg:   12883) ops/sec, 641.55KB/sec (avg: 560.43KB/sec),  0.94 (avg:  0.93) msec latency[RUN #1 37%,  11 secs]  2 threads:      141964 ops,   13116 (avg:   12904) ops/sec, 670.40KB/sec (avg: 570.43KB/sec),  0.91 (avg:  0.92) msec latency[RUN #1 40%,  12 secs]  2 threads:      154883 ops,   12917 (avg:   12905) ops/sec, 668.97KB/sec (avg: 578.64KB/sec),  0.92 (avg:  0.92) msec latency[RUN #1 43%,  13 secs]  2 threads:      167401 ops,   12516 (avg:   12876) ops/sec, 665.57KB/sec (avg: 585.33KB/sec),  0.95 (avg:  0.93) msec latency[RUN #1 47%,  14 secs]  2 threads:      180185 ops,   12782 (avg:   12869) ops/sec, 677.43KB/sec (avg: 591.91KB/sec),  0.93 (avg:  0.93) msec latency[RUN #1 50%,  15 secs]  2 threads:      193022 ops,   12835 (avg:   12867) ops/sec, 696.61KB/sec (avg: 598.89KB/sec),  0.93 (avg:  0.93) msec latency[RUN #1 53%,  16 secs]  2 threads:      206154 ops,   13130 (avg:   12883) ops/sec, 726.29KB/sec (avg: 606.85KB/sec),  0.91 (avg:  0.93) msec latency[RUN #1 57%,  17 secs]  2 threads:      218344 ops,   12188 (avg:   12842) ops/sec, 681.04KB/sec (avg: 611.21KB/sec),  0.98 (avg:  0.93) msec latency[RUN #1 60%,  18 secs]  2 threads:      229645 ops,   11299 (avg:   12757) ops/sec, 637.62KB/sec (avg: 612.68KB/sec),  1.06 (avg:  0.93) msec latency[RUN #1 63%,  19 secs]  2 threads:      241541 ops,   11894 (avg:   12711) ops/sec, 680.77KB/sec (avg: 616.26KB/sec),  1.00 (avg:  0.94) msec latency[RUN #1 67%,  20 secs]  2 threads:      254352 ops,   12809 (avg:   12716) ops/sec, 747.45KB/sec (avg: 622.82KB/sec),  0.93 (avg:  0.94) msec latency[RUN #1 70%,  21 secs]  2 threads:      266399 ops,   12045 (avg:   12684) ops/sec, 706.71KB/sec (avg: 626.82KB/sec),  0.99 (avg:  0.94) msec latency[RUN #1 73%,  22 secs]  2 threads:      278290 ops,   11889 (avg:   12648) ops/sec, 704.76KB/sec (avg: 630.36KB/sec),  1.00 (avg:  0.94) msec latency[RUN #1 77%,  23 secs]  2 threads:      290658 ops,   12366 (avg:   12636) ops/sec, 744.62KB/sec (avg: 635.33KB/sec),  0.96 (avg:  0.94) msec latency[RUN #1 80%,  24 secs]  2 threads:      302793 ops,   12133 (avg:   12615) ops/sec, 735.30KB/sec (avg: 639.50KB/sec),  0.98 (avg:  0.95) msec latency[RUN #1 83%,  25 secs]  2 threads:      315562 ops,   12767 (avg:   12621) ops/sec, 775.56KB/sec (avg: 644.94KB/sec),  0.93 (avg:  0.94) msec latency[RUN #1 87%,  26 secs]  2 threads:      328140 ops,   12576 (avg:   12619) ops/sec, 767.89KB/sec (avg: 649.67KB/sec),  0.95 (avg:  0.95) msec latency[RUN #1 90%,  27 secs]  2 threads:      341815 ops,   13673 (avg:   12658) ops/sec, 838.31KB/sec (avg: 656.65KB/sec),  0.87 (avg:  0.94) msec latency[RUN #1 93%,  28 secs]  2 threads:      354338 ops,   12521 (avg:   12653) ops/sec, 772.74KB/sec (avg: 660.80KB/sec),  0.95 (avg:  0.94) msec latency[RUN #1 97%,  29 secs]  2 threads:      366977 ops,   12637 (avg:   12653) ops/sec, 786.48KB/sec (avg: 665.13KB/sec),  0.94 (avg:  0.94) msec latency[RUN #1 100%,  30 secs]  0 threads:      382712 ops,   12637 (avg:   12757) ops/sec, 786.48KB/sec (avg: 675.99KB/sec),  0.94 (avg:  0.93) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1159.93          ---          ---      0.93500        85.56
Gets       11597.09      6128.14      5468.95      0.93400       590.43
Totals     12757.02      6128.14      5468.95      0.93400       675.99


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.081      0.00029
GET       0.093      0.00057
GET       0.097      0.00086
GET       0.098      0.00115
GET       0.100      0.00144
GET       0.110      0.00431
GET       0.120      0.00862
GET       0.130      0.01408
GET       0.140      0.02989
GET       0.150      0.05835
GET       0.160      0.08594
GET       0.170      0.11440
GET       0.180      0.15176
GET       0.190      0.19200
GET       0.200      0.25265
GET       0.210      0.30036
GET       0.220      0.35296
GET       0.230      0.40757
GET       0.240      0.45701
GET       0.250      0.50501
GET       0.260      0.54697
GET       0.270      0.57802
GET       0.280      0.60503
GET       0.290      0.62803
GET       0.300      0.65045
GET       0.310      0.66827
GET       0.320      0.68609
GET       0.330      0.70017
GET       0.340      0.71138
GET       0.350      0.72230
GET       0.360      0.73294
GET       0.370      0.74156
GET       0.380      0.74731
GET       0.390      0.75593
GET       0.400      0.76226
GET       0.410      0.76743
GET       0.420      0.77232
GET       0.430      0.77720
GET       0.440      0.78180
GET       0.450      0.78353
GET       0.460      0.78726
GET       0.470      0.78985
GET       0.480      0.79272
GET       0.490      0.79359
GET       0.500      0.79560
GET       0.510      0.79617
GET       0.520      0.79761
GET       0.530      0.80020
GET       0.540      0.80221
GET       0.550      0.80652
GET       0.560      0.81399
GET       0.570      0.82147
GET       0.580      0.83498
GET       0.590      0.85481
GET       0.600      0.90195
GET       0.610      0.97265
GET       0.620      1.08159
GET       0.630      1.24399
GET       0.640      1.46071
GET       0.650      1.69611
GET       0.660      1.96198
GET       0.670      2.29999
GET       0.680      2.68371
GET       0.690      3.14848
GET       0.700      3.71931
GET       0.710      4.42667
GET       0.720      5.35822
GET       0.730      6.53782
GET       0.740      8.11781
GET       0.750     10.12175
GET       0.760     12.82501
GET       0.770     16.42676
GET       0.780     20.85860
GET       0.790     25.85898
GET       0.800     31.29509
GET       0.810     36.94304
GET       0.820     42.47774
GET       0.830     47.66350
GET       0.840     52.03441
GET       0.850     55.62811
GET       0.860     58.42909
GET       0.870     60.52300
GET       0.880     62.00900
GET       0.890     63.01758
GET       0.900     63.73730
GET       0.910     64.24145
GET       0.920     64.61194
GET       0.930     64.94536
GET       0.940     65.25492
GET       0.950     65.53976
GET       0.960     65.83753
GET       0.970     66.12209
GET       0.980     66.41411
GET       0.990     66.69091
GET       1.000     68.03779
GET       1.100     73.75012
GET       1.200     91.61000
GET       1.300     99.28747
GET       1.400     99.89796
GET       1.500     99.98793
GET       1.600     99.99598
GET       1.800     99.99655
GET       1.900     99.99828
GET       2.100     99.99914
GET       2.300     99.99943
GET       2.600     99.99971
GET       3.000    100.00000
