[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       14810 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       28161 ops,   13349 (avg:   14080) ops/sec, 515.51KB/sec (avg: 530.37KB/sec),  0.89 (avg:  0.85) msec latency[RUN #1 10%,   3 secs]  2 threads:       40310 ops,   12147 (avg:   13436) ops/sec, 503.82KB/sec (avg: 521.52KB/sec),  0.98 (avg:  0.89) msec latency[RUN #1 13%,   4 secs]  2 threads:       51888 ops,   11576 (avg:   12971) ops/sec, 484.18KB/sec (avg: 512.19KB/sec),  1.03 (avg:  0.92) msec latency[RUN #1 17%,   5 secs]  2 threads:       63090 ops,   11200 (avg:   12617) ops/sec, 490.26KB/sec (avg: 507.80KB/sec),  1.07 (avg:  0.95) msec latency[RUN #1 20%,   6 secs]  2 threads:       75457 ops,   12365 (avg:   12575) ops/sec, 557.02KB/sec (avg: 516.00KB/sec),  0.96 (avg:  0.95) msec latency[RUN #1 23%,   7 secs]  2 threads:       87587 ops,   12128 (avg:   12511) ops/sec, 561.73KB/sec (avg: 522.54KB/sec),  0.98 (avg:  0.95) msec latency[RUN #1 27%,   8 secs]  2 threads:       98792 ops,   11203 (avg:   12348) ops/sec, 538.40KB/sec (avg: 524.52KB/sec),  1.07 (avg:  0.97) msec latency[RUN #1 30%,   9 secs]  2 threads:      110506 ops,   11712 (avg:   12277) ops/sec, 579.38KB/sec (avg: 530.61KB/sec),  1.02 (avg:  0.97) msec latency[RUN #1 33%,  10 secs]  2 threads:      121813 ops,   11305 (avg:   12180) ops/sec, 592.13KB/sec (avg: 536.77KB/sec),  1.06 (avg:  0.98) msec latency[RUN #1 37%,  11 secs]  2 threads:      133718 ops,   11903 (avg:   12155) ops/sec, 616.21KB/sec (avg: 543.99KB/sec),  1.00 (avg:  0.98) msec latency[RUN #1 40%,  12 secs]  2 threads:      145445 ops,   11725 (avg:   12119) ops/sec, 617.24KB/sec (avg: 550.09KB/sec),  1.02 (avg:  0.98) msec latency[RUN #1 43%,  13 secs]  2 threads:      157745 ops,   12298 (avg:   12133) ops/sec, 659.62KB/sec (avg: 558.52KB/sec),  0.97 (avg:  0.98) msec latency[RUN #1 47%,  14 secs]  2 threads:      170365 ops,   12618 (avg:   12167) ops/sec, 693.92KB/sec (avg: 568.19KB/sec),  0.95 (avg:  0.98) msec latency[RUN #1 50%,  15 secs]  2 threads:      182550 ops,   12183 (avg:   12168) ops/sec, 678.06KB/sec (avg: 575.51KB/sec),  0.98 (avg:  0.98) msec latency[RUN #1 53%,  16 secs]  2 threads:      194127 ops,   11575 (avg:   12131) ops/sec, 662.01KB/sec (avg: 580.92KB/sec),  1.03 (avg:  0.98) msec latency[RUN #1 57%,  17 secs]  2 threads:      207184 ops,   13055 (avg:   12186) ops/sec, 755.19KB/sec (avg: 591.17KB/sec),  0.91 (avg:  0.98) msec latency[RUN #1 60%,  18 secs]  2 threads:      218749 ops,   11563 (avg:   12151) ops/sec, 669.51KB/sec (avg: 595.52KB/sec),  1.03 (avg:  0.98) msec latency[RUN #1 63%,  19 secs]  2 threads:      230381 ops,   11630 (avg:   12124) ops/sec, 673.78KB/sec (avg: 599.64KB/sec),  1.03 (avg:  0.98) msec latency[RUN #1 67%,  20 secs]  2 threads:      242413 ops,   12030 (avg:   12119) ops/sec, 703.28KB/sec (avg: 604.82KB/sec),  0.99 (avg:  0.98) msec latency[RUN #1 70%,  21 secs]  2 threads:      254353 ops,   11938 (avg:   12110) ops/sec, 712.76KB/sec (avg: 609.96KB/sec),  1.00 (avg:  0.98) msec latency[RUN #1 73%,  22 secs]  2 threads:      266116 ops,   11761 (avg:   12095) ops/sec, 711.18KB/sec (avg: 614.57KB/sec),  1.01 (avg:  0.99) msec latency[RUN #1 77%,  23 secs]  2 threads:      277867 ops,   11749 (avg:   12080) ops/sec, 717.77KB/sec (avg: 619.05KB/sec),  1.02 (avg:  0.99) msec latency[RUN #1 80%,  24 secs]  2 threads:      290334 ops,   12465 (avg:   12096) ops/sec, 761.67KB/sec (avg: 624.99KB/sec),  0.96 (avg:  0.99) msec latency[RUN #1 83%,  25 secs]  2 threads:      301837 ops,   11501 (avg:   12072) ops/sec, 705.09KB/sec (avg: 628.20KB/sec),  1.04 (avg:  0.99) msec latency[RUN #1 87%,  26 secs]  2 threads:      313049 ops,   11210 (avg:   12039) ops/sec, 699.33KB/sec (avg: 630.93KB/sec),  1.06 (avg:  0.99) msec latency[RUN #1 90%,  27 secs]  2 threads:      324309 ops,   11258 (avg:   12010) ops/sec, 704.85KB/sec (avg: 633.67KB/sec),  1.06 (avg:  0.99) msec latency[RUN #1 93%,  28 secs]  2 threads:      337141 ops,   12830 (avg:   12039) ops/sec, 817.47KB/sec (avg: 640.24KB/sec),  0.93 (avg:  0.99) msec latency[RUN #1 97%,  29 secs]  2 threads:      349439 ops,   12296 (avg:   12048) ops/sec, 776.79KB/sec (avg: 644.95KB/sec),  0.97 (avg:  0.99) msec latency[RUN #1 100%,  30 secs]  0 threads:      362291 ops,   12296 (avg:   12076) ops/sec, 776.79KB/sec (avg: 651.14KB/sec),  0.97 (avg:  0.99) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1098.05          ---          ---      0.98900        80.88
Gets       10978.16      6127.52      4850.64      0.98700       570.27
Totals     12076.21      6127.52      4850.64      0.98700       651.14


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.210      0.00121
GET       0.220      0.00273
GET       0.230      0.00516
GET       0.240      0.00698
GET       0.250      0.01032
GET       0.260      0.01488
GET       0.270      0.01761
GET       0.280      0.02125
GET       0.290      0.02490
GET       0.300      0.03006
GET       0.310      0.03644
GET       0.320      0.04433
GET       0.330      0.05587
GET       0.340      0.07469
GET       0.350      0.09655
GET       0.360      0.11842
GET       0.370      0.14301
GET       0.380      0.16821
GET       0.390      0.19463
GET       0.400      0.21345
GET       0.410      0.22681
GET       0.420      0.23896
GET       0.430      0.25262
GET       0.440      0.26234
GET       0.450      0.26537
GET       0.460      0.26750
GET       0.470      0.27448
GET       0.480      0.28025
GET       0.490      0.28359
GET       0.500      0.29179
GET       0.510      0.29907
GET       0.520      0.30818
GET       0.530      0.32094
GET       0.540      0.33430
GET       0.550      0.34735
GET       0.560      0.36436
GET       0.570      0.38197
GET       0.580      0.39958
GET       0.590      0.41931
GET       0.600      0.43753
GET       0.610      0.45878
GET       0.620      0.48277
GET       0.630      0.50888
GET       0.640      0.52923
GET       0.650      0.55807
GET       0.660      0.58752
GET       0.670      0.64066
GET       0.680      0.71171
GET       0.690      0.84591
GET       0.700      1.04266
GET       0.710      1.35358
GET       0.720      1.76894
GET       0.730      2.30880
GET       0.740      2.99895
GET       0.750      3.77988
GET       0.760      4.63885
GET       0.770      5.62230
GET       0.780      6.81648
GET       0.790      8.13210
GET       0.800      9.76381
GET       0.810     11.71250
GET       0.820     14.09174
GET       0.830     17.09554
GET       0.840     20.58880
GET       0.850     24.57211
GET       0.860     29.14963
GET       0.870     34.29219
GET       0.880     39.63911
GET       0.890     44.97661
GET       0.900     50.02049
GET       0.910     54.66542
GET       0.920     58.75105
GET       0.930     62.18267
GET       0.940     64.88831
GET       0.950     66.90410
GET       0.960     68.48905
GET       0.970     69.53019
GET       0.980     70.27014
GET       0.990     70.80817
GET       1.000     72.23978
GET       1.100     75.01374
GET       1.200     80.91052
GET       1.300     91.80596
GET       1.400     98.82040
GET       1.500     99.87855
GET       1.600     99.98603
GET       1.700     99.99636
GET       1.800     99.99909
GET       2.100    100.00000
