[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       19496 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       38595 ops,   19097 (avg:   19297) ops/sec, 766.53KB/sec (avg: 743.51KB/sec),  0.62 (avg:  0.62) msec latency[RUN #1 10%,   3 secs]  2 threads:       57532 ops,   18934 (avg:   19176) ops/sec, 807.10KB/sec (avg: 764.71KB/sec),  0.63 (avg:  0.62) msec latency[RUN #1 13%,   4 secs]  2 threads:       76896 ops,   19361 (avg:   19222) ops/sec, 876.32KB/sec (avg: 792.61KB/sec),  0.61 (avg:  0.62) msec latency[RUN #1 17%,   5 secs]  2 threads:       95857 ops,   18959 (avg:   19170) ops/sec, 896.77KB/sec (avg: 813.45KB/sec),  0.63 (avg:  0.62) msec latency[RUN #1 20%,   6 secs]  2 threads:      115073 ops,   19214 (avg:   19177) ops/sec, 965.15KB/sec (avg: 838.73KB/sec),  0.62 (avg:  0.62) msec latency[RUN #1 23%,   7 secs]  2 threads:      134653 ops,   19577 (avg:   19234) ops/sec, 1021.83KB/sec (avg: 864.89KB/sec),  0.61 (avg:  0.62) msec latency[RUN #1 27%,   8 secs]  2 threads:      154004 ops,   19349 (avg:   19249) ops/sec, 1.00MB/sec (avg: 885.19KB/sec),  0.61 (avg:  0.62) msec latency[RUN #1 30%,   9 secs]  2 threads:      172783 ops,   18777 (avg:   19196) ops/sec, 1.01MB/sec (avg: 901.45KB/sec),  0.63 (avg:  0.62) msec latency[RUN #1 33%,  10 secs]  2 threads:      192037 ops,   19251 (avg:   19202) ops/sec, 1.06MB/sec (avg: 920.20KB/sec),  0.62 (avg:  0.62) msec latency[RUN #1 37%,  11 secs]  2 threads:      210982 ops,   18942 (avg:   19178) ops/sec, 1.07MB/sec (avg: 936.45KB/sec),  0.63 (avg:  0.62) msec latency[RUN #1 40%,  12 secs]  2 threads:      230145 ops,   19161 (avg:   19177) ops/sec, 1.09MB/sec (avg: 951.24KB/sec),  0.62 (avg:  0.62) msec latency[RUN #1 43%,  13 secs]  2 threads:      248700 ops,   18553 (avg:   19129) ops/sec, 1.07MB/sec (avg: 962.28KB/sec),  0.64 (avg:  0.62) msec latency[RUN #1 47%,  14 secs]  2 threads:      267329 ops,   18627 (avg:   19093) ops/sec, 1.10MB/sec (avg: 974.22KB/sec),  0.64 (avg:  0.62) msec latency[RUN #1 50%,  15 secs]  2 threads:      286151 ops,   18820 (avg:   19075) ops/sec, 1.13MB/sec (avg: 986.09KB/sec),  0.63 (avg:  0.62) msec latency[RUN #1 53%,  16 secs]  2 threads:      305162 ops,   19009 (avg:   19070) ops/sec, 1.14MB/sec (avg: 997.71KB/sec),  0.63 (avg:  0.62) msec latency[RUN #1 57%,  17 secs]  2 threads:      323958 ops,   18794 (avg:   19054) ops/sec, 1.15MB/sec (avg: 1008.29KB/sec),  0.63 (avg:  0.62) msec latency[RUN #1 60%,  18 secs]  2 threads:      342873 ops,   18912 (avg:   19046) ops/sec, 1.17MB/sec (avg: 1018.91KB/sec),  0.63 (avg:  0.62) msec latency[RUN #1 63%,  19 secs]  2 threads:      361648 ops,   18772 (avg:   19032) ops/sec, 1.17MB/sec (avg: 1.00MB/sec),  0.63 (avg:  0.62) msec latency[RUN #1 67%,  20 secs]  2 threads:      380524 ops,   18873 (avg:   19024) ops/sec, 1.19MB/sec (avg: 1.01MB/sec),  0.63 (avg:  0.63) msec latency[RUN #1 70%,  21 secs]  2 threads:      399050 ops,   18523 (avg:   19000) ops/sec, 1.18MB/sec (avg: 1.02MB/sec),  0.64 (avg:  0.63) msec latency[RUN #1 73%,  22 secs]  2 threads:      417882 ops,   18829 (avg:   18992) ops/sec, 1.21MB/sec (avg: 1.03MB/sec),  0.63 (avg:  0.63) msec latency[RUN #1 77%,  23 secs]  2 threads:      436465 ops,   18581 (avg:   18974) ops/sec, 1.19MB/sec (avg: 1.04MB/sec),  0.64 (avg:  0.63) msec latency[RUN #1 80%,  24 secs]  2 threads:      455317 ops,   18850 (avg:   18969) ops/sec, 1.22MB/sec (avg: 1.04MB/sec),  0.63 (avg:  0.63) msec latency[RUN #1 83%,  25 secs]  2 threads:      474020 ops,   18698 (avg:   18958) ops/sec, 1.22MB/sec (avg: 1.05MB/sec),  0.64 (avg:  0.63) msec latency[RUN #1 87%,  26 secs]  2 threads:      492697 ops,   18675 (avg:   18947) ops/sec, 1.22MB/sec (avg: 1.06MB/sec),  0.64 (avg:  0.63) msec latency[RUN #1 90%,  27 secs]  2 threads:      511201 ops,   18502 (avg:   18931) ops/sec, 1.22MB/sec (avg: 1.06MB/sec),  0.64 (avg:  0.63) msec latency[RUN #1 93%,  28 secs]  2 threads:      528967 ops,   17763 (avg:   18889) ops/sec, 1.17MB/sec (avg: 1.07MB/sec),  0.67 (avg:  0.63) msec latency[RUN #1 97%,  29 secs]  2 threads:      547580 ops,   18610 (avg:   18880) ops/sec, 1.23MB/sec (avg: 1.07MB/sec),  0.64 (avg:  0.63) msec latency[RUN #1 100%,  30 secs]  0 threads:      564737 ops,   18610 (avg:   18824) ops/sec, 1.23MB/sec (avg: 1.08MB/sec),  0.64 (avg:  0.63) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1711.46          ---          ---      0.63300       126.06
Gets       17113.00     11814.13      5298.87      0.63100       975.11
Totals     18824.45     11814.13      5298.87      0.63100      1101.18


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.200      0.00019
GET       0.210      0.00117
GET       0.220      0.00156
GET       0.230      0.00390
GET       0.240      0.00701
GET       0.250      0.01636
GET       0.260      0.02571
GET       0.270      0.03253
GET       0.280      0.03642
GET       0.290      0.04071
GET       0.300      0.04324
GET       0.310      0.04655
GET       0.320      0.04889
GET       0.330      0.05395
GET       0.340      0.06623
GET       0.350      0.08317
GET       0.360      0.10791
GET       0.370      0.14531
GET       0.380      0.20608
GET       0.390      0.31087
GET       0.400      0.48968
GET       0.410      0.78906
GET       0.420      1.34692
GET       0.430      2.28422
GET       0.440      3.82670
GET       0.450      6.14870
GET       0.460      9.30846
GET       0.470     13.23918
GET       0.480     17.93499
GET       0.490     22.83377
GET       0.500     27.53699
GET       0.510     31.59626
GET       0.520     34.95860
GET       0.530     37.60063
GET       0.540     39.58488
GET       0.550     40.95479
GET       0.560     41.83598
GET       0.570     42.41040
GET       0.580     42.79412
GET       0.590     43.08960
GET       0.600     43.35061
GET       0.610     43.61493
GET       0.620     43.94937
GET       0.630     44.40049
GET       0.640     45.05009
GET       0.650     45.98115
GET       0.660     47.28210
GET       0.670     49.09416
GET       0.680     51.51843
GET       0.690     54.59677
GET       0.700     58.33952
GET       0.710     62.61519
GET       0.720     67.21478
GET       0.730     71.99300
GET       0.740     76.59571
GET       0.750     80.85034
GET       0.760     84.62562
GET       0.770     87.84927
GET       0.780     90.54915
GET       0.790     92.74493
GET       0.800     94.47538
GET       0.810     95.79815
GET       0.820     96.84705
GET       0.830     97.62326
GET       0.840     98.18268
GET       0.850     98.58471
GET       0.860     98.86890
GET       0.870     99.08004
GET       0.880     99.23801
GET       0.890     99.35663
GET       0.900     99.45071
GET       0.910     99.52376
GET       0.920     99.60011
GET       0.930     99.65251
GET       0.940     99.69984
GET       0.950     99.74074
GET       0.960     99.77464
GET       0.970     99.80775
GET       0.980     99.82976
GET       0.990     99.85002
GET       1.000     99.93280
GET       1.100     99.97448
GET       1.200     99.98442
GET       1.300     99.98968
GET       1.400     99.99065
GET       1.500     99.99123
GET       1.600     99.99162
GET       1.700     99.99221
GET       1.800     99.99240
GET       1.900     99.99396
GET       2.000     99.99474
GET       2.100     99.99649
GET       2.200     99.99786
GET       2.300     99.99883
GET       3.500     99.99942
GET       3.800     99.99961
GET       4.000    100.00000
