[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       10569 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       20528 ops,    9957 (avg:   10264) ops/sec, 379.29KB/sec (avg: 382.50KB/sec),  1.21 (avg:  1.16) msec latency[RUN #1 10%,   3 secs]  2 threads:       30278 ops,    9749 (avg:   10092) ops/sec, 380.16KB/sec (avg: 381.72KB/sec),  1.21 (avg:  1.18) msec latency[RUN #1 13%,   4 secs]  2 threads:       39184 ops,    8905 (avg:    9795) ops/sec, 367.60KB/sec (avg: 378.19KB/sec),  1.36 (avg:  1.22) msec latency[RUN #1 17%,   5 secs]  2 threads:       50281 ops,   11095 (avg:   10055) ops/sec, 482.80KB/sec (avg: 399.11KB/sec),  1.08 (avg:  1.19) msec latency[RUN #1 20%,   6 secs]  2 threads:       64649 ops,   14366 (avg:   10774) ops/sec, 645.36KB/sec (avg: 440.16KB/sec),  0.83 (avg:  1.11) msec latency[RUN #1 23%,   7 secs]  2 threads:       77050 ops,   12399 (avg:   11006) ops/sec, 583.78KB/sec (avg: 460.67KB/sec),  0.96 (avg:  1.08) msec latency[RUN #1 27%,   8 secs]  2 threads:       88958 ops,   11906 (avg:   11118) ops/sec, 564.12KB/sec (avg: 473.60KB/sec),  1.00 (avg:  1.07) msec latency[RUN #1 30%,   9 secs]  2 threads:       98185 ops,    9226 (avg:   10908) ops/sec, 444.59KB/sec (avg: 470.38KB/sec),  1.29 (avg:  1.09) msec latency[RUN #1 33%,  10 secs]  2 threads:      108619 ops,   10433 (avg:   10861) ops/sec, 529.84KB/sec (avg: 476.33KB/sec),  1.15 (avg:  1.10) msec latency[RUN #1 37%,  11 secs]  2 threads:      120307 ops,   11686 (avg:   10936) ops/sec, 598.94KB/sec (avg: 487.47KB/sec),  1.02 (avg:  1.09) msec latency[RUN #1 40%,  12 secs]  2 threads:      132961 ops,   12652 (avg:   11079) ops/sec, 669.95KB/sec (avg: 502.68KB/sec),  0.94 (avg:  1.08) msec latency[RUN #1 43%,  13 secs]  2 threads:      144626 ops,   11663 (avg:   11124) ops/sec, 629.93KB/sec (avg: 512.47KB/sec),  1.02 (avg:  1.07) msec latency[RUN #1 47%,  14 secs]  2 threads:      156333 ops,   11705 (avg:   11165) ops/sec, 638.79KB/sec (avg: 521.49KB/sec),  1.02 (avg:  1.07) msec latency[RUN #1 50%,  15 secs]  2 threads:      168482 ops,   12147 (avg:   11231) ops/sec, 673.82KB/sec (avg: 531.65KB/sec),  0.99 (avg:  1.06) msec latency[RUN #1 53%,  16 secs]  2 threads:      180756 ops,   12272 (avg:   11296) ops/sec, 692.75KB/sec (avg: 541.72KB/sec),  0.97 (avg:  1.06) msec latency[RUN #1 57%,  17 secs]  2 threads:      191920 ops,   11162 (avg:   11288) ops/sec, 636.57KB/sec (avg: 547.30KB/sec),  1.07 (avg:  1.06) msec latency[RUN #1 60%,  18 secs]  2 threads:      203631 ops,   11709 (avg:   11311) ops/sec, 671.70KB/sec (avg: 554.21KB/sec),  1.02 (avg:  1.06) msec latency[RUN #1 63%,  19 secs]  2 threads:      214758 ops,   11125 (avg:   11302) ops/sec, 655.95KB/sec (avg: 559.56KB/sec),  1.07 (avg:  1.06) msec latency[RUN #1 67%,  20 secs]  2 threads:      227170 ops,   12410 (avg:   11357) ops/sec, 737.66KB/sec (avg: 568.47KB/sec),  0.96 (avg:  1.05) msec latency[RUN #1 70%,  21 secs]  2 threads:      239348 ops,   12176 (avg:   11396) ops/sec, 731.14KB/sec (avg: 576.21KB/sec),  0.98 (avg:  1.05) msec latency[RUN #1 73%,  22 secs]  2 threads:      249674 ops,   10324 (avg:   11347) ops/sec, 629.38KB/sec (avg: 578.63KB/sec),  1.16 (avg:  1.05) msec latency[RUN #1 77%,  23 secs]  2 threads:      262778 ops,   13102 (avg:   11424) ops/sec, 804.02KB/sec (avg: 588.43KB/sec),  0.91 (avg:  1.04) msec latency[RUN #1 80%,  24 secs]  2 threads:      274914 ops,   12134 (avg:   11453) ops/sec, 748.37KB/sec (avg: 595.09KB/sec),  0.99 (avg:  1.04) msec latency[RUN #1 83%,  25 secs]  2 threads:      288133 ops,   13217 (avg:   11524) ops/sec, 820.73KB/sec (avg: 604.12KB/sec),  0.90 (avg:  1.04) msec latency[RUN #1 87%,  26 secs]  2 threads:      301804 ops,   13669 (avg:   11606) ops/sec, 862.68KB/sec (avg: 614.07KB/sec),  0.87 (avg:  1.03) msec latency[RUN #1 90%,  27 secs]  2 threads:      316170 ops,   14364 (avg:   11708) ops/sec, 910.75KB/sec (avg: 625.05KB/sec),  0.83 (avg:  1.02) msec latency[RUN #1 93%,  28 secs]  2 threads:      330877 ops,   14705 (avg:   11815) ops/sec, 933.72KB/sec (avg: 636.08KB/sec),  0.81 (avg:  1.01) msec latency[RUN #1 97%,  29 secs]  2 threads:      347013 ops,   16134 (avg:   11964) ops/sec, 1.02MB/sec (avg: 650.17KB/sec),  0.74 (avg:  1.00) msec latency[RUN #1 100%,  30 secs]  0 threads:      367019 ops,   16134 (avg:   12233) ops/sec, 1.02MB/sec (avg: 671.75KB/sec),  0.74 (avg:  0.98) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1112.36          ---          ---      0.98800        81.83
Gets       11121.54      6557.40      4564.14      0.97400       589.92
Totals     12233.90      6557.40      4564.14      0.97500       671.76


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.250      0.00120
GET       0.260      0.00360
GET       0.270      0.00929
GET       0.280      0.01918
GET       0.290      0.04136
GET       0.300      0.07223
GET       0.310      0.10100
GET       0.320      0.12378
GET       0.330      0.13847
GET       0.340      0.14267
GET       0.350      0.14536
GET       0.360      0.15046
GET       0.370      0.15525
GET       0.380      0.16574
GET       0.390      0.18642
GET       0.400      0.21969
GET       0.410      0.28833
GET       0.420      0.41061
GET       0.430      0.63030
GET       0.440      0.94830
GET       0.450      1.41287
GET       0.460      1.96704
GET       0.470      2.59345
GET       0.480      3.27920
GET       0.490      3.90981
GET       0.500      4.49306
GET       0.510      4.92225
GET       0.520      5.21777
GET       0.530      5.40959
GET       0.540      5.53278
GET       0.550      5.62869
GET       0.560      5.71860
GET       0.570      5.87326
GET       0.580      6.23352
GET       0.590      7.01758
GET       0.600      8.23143
GET       0.610      9.44259
GET       0.620     10.26951
GET       0.630     10.75655
GET       0.640     11.07335
GET       0.650     11.38415
GET       0.660     11.76150
GET       0.670     12.29020
GET       0.680     13.03350
GET       0.690     14.01177
GET       0.700     15.21394
GET       0.710     16.46256
GET       0.720     17.77082
GET       0.730     19.14593
GET       0.740     20.57318
GET       0.750     22.09994
GET       0.760     23.82181
GET       0.770     25.73611
GET       0.780     27.85061
GET       0.790     30.27922
GET       0.800     33.09985
GET       0.810     36.28375
GET       0.820     40.03021
GET       0.830     44.22895
GET       0.840     48.57365
GET       0.850     53.22825
GET       0.860     57.91763
GET       0.870     62.55785
GET       0.880     66.94420
GET       0.890     70.73682
GET       0.900     73.96688
GET       0.910     76.63046
GET       0.920     78.74197
GET       0.930     80.32387
GET       0.940     81.53863
GET       0.950     82.41770
GET       0.960     83.04770
GET       0.970     83.48709
GET       0.980     83.83026
GET       0.990     84.09222
GET       1.000     85.04742
GET       1.100     86.51603
GET       1.200     90.50376
GET       1.300     96.41748
GET       1.400     98.34197
GET       1.500     98.54308
GET       1.600     98.56705
GET       1.700     98.56945
GET       1.800     98.57155
GET       1.900     98.57275
GET       2.000     98.57604
GET       2.100     98.58174
GET       2.200     98.58653
GET       2.300     98.58863
GET       2.700     98.58923
GET       2.800     98.59073
GET       2.900     98.59133
GET       3.100     98.59163
GET       3.200     98.59223
GET       4.500     98.60122
GET       4.600     98.60811
GET       4.700     98.61980
GET       4.800     98.68154
GET       4.900     98.88595
GET       5.000     98.98756
GET       5.100     98.99325
GET       5.200     99.00854
GET       5.300     99.05709
GET       5.400     99.10265
GET       5.500     99.11374
GET       5.600     99.11673
GET       6.100     99.11703
GET       6.200     99.11913
GET       6.300     99.11973
GET       8.400     99.12153
GET       8.500     99.14281
GET       8.600     99.15600
GET       8.700     99.17518
GET       8.800     99.22463
GET       8.900     99.42095
GET       9.000     99.51086
GET       9.100     99.52105
GET       9.200     99.53274
GET       9.300     99.57620
GET       9.400     99.62026
GET       9.500     99.63375
GET       9.600     99.63824
GET       9.700     99.63854
GET       9.800     99.63884
GET       9.900     99.63974
GET      10.000     99.64004
GET      11.000     99.64304
GET      12.000     99.64603
GET      13.000     99.87802
GET      14.000     99.88371
GET      15.000     99.88431
GET      16.000     99.89000
GET      17.000     99.98741
GET      18.000     99.98921
GET      21.000     99.99550
GET      25.000    100.00000
