[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       16027 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       30946 ops,   14917 (avg:   15472) ops/sec, 602.59KB/sec (avg: 593.55KB/sec),  0.80 (avg:  0.77) msec latency[RUN #1 10%,   3 secs]  2 threads:       44857 ops,   13909 (avg:   14951) ops/sec, 600.60KB/sec (avg: 595.90KB/sec),  0.86 (avg:  0.80) msec latency[RUN #1 13%,   4 secs]  2 threads:       58606 ops,   13747 (avg:   14650) ops/sec, 633.77KB/sec (avg: 605.37KB/sec),  0.87 (avg:  0.81) msec latency[RUN #1 17%,   5 secs]  2 threads:       72108 ops,   13500 (avg:   14420) ops/sec, 634.87KB/sec (avg: 611.27KB/sec),  0.88 (avg:  0.83) msec latency[RUN #1 20%,   6 secs]  2 threads:       81475 ops,    9365 (avg:   13578) ops/sec, 459.38KB/sec (avg: 585.95KB/sec),  1.25 (avg:  0.88) msec latency[RUN #1 23%,   7 secs]  2 threads:       88750 ops,    7274 (avg:   12677) ops/sec, 362.50KB/sec (avg: 554.03KB/sec),  1.67 (avg:  0.94) msec latency[RUN #1 27%,   8 secs]  2 threads:       97064 ops,    8313 (avg:   12132) ops/sec, 418.42KB/sec (avg: 537.08KB/sec),  1.44 (avg:  0.98) msec latency[RUN #1 30%,   9 secs]  2 threads:      109845 ops,   12779 (avg:   12204) ops/sec, 666.16KB/sec (avg: 551.42KB/sec),  0.93 (avg:  0.98) msec latency[RUN #1 33%,  10 secs]  2 threads:      117892 ops,    8046 (avg:   11788) ops/sec, 430.20KB/sec (avg: 539.30KB/sec),  1.48 (avg:  1.01) msec latency[RUN #1 37%,  11 secs]  2 threads:      132469 ops,   14575 (avg:   12041) ops/sec, 795.21KB/sec (avg: 562.56KB/sec),  0.82 (avg:  0.99) msec latency[RUN #1 40%,  12 secs]  2 threads:      140385 ops,    7915 (avg:   11697) ops/sec, 442.12KB/sec (avg: 552.53KB/sec),  1.51 (avg:  1.02) msec latency[RUN #1 43%,  13 secs]  2 threads:      148870 ops,    8483 (avg:   11450) ops/sec, 481.13KB/sec (avg: 547.04KB/sec),  1.41 (avg:  1.04) msec latency[RUN #1 47%,  14 secs]  2 threads:      161325 ops,   12453 (avg:   11522) ops/sec, 711.61KB/sec (avg: 558.79KB/sec),  0.96 (avg:  1.04) msec latency[RUN #1 50%,  15 secs]  2 threads:      172697 ops,   11370 (avg:   11512) ops/sec, 660.16KB/sec (avg: 565.55KB/sec),  1.05 (avg:  1.04) msec latency[RUN #1 53%,  16 secs]  2 threads:      188847 ops,   16148 (avg:   11801) ops/sec, 961.18KB/sec (avg: 590.28KB/sec),  0.74 (avg:  1.01) msec latency[RUN #1 57%,  17 secs]  2 threads:      201647 ops,   12798 (avg:   11860) ops/sec, 770.68KB/sec (avg: 600.89KB/sec),  0.93 (avg:  1.01) msec latency[RUN #1 60%,  18 secs]  2 threads:      206761 ops,    5113 (avg:   11485) ops/sec, 311.22KB/sec (avg: 584.80KB/sec),  2.35 (avg:  1.04) msec latency[RUN #1 63%,  19 secs]  2 threads:      212354 ops,    5592 (avg:   11175) ops/sec, 342.11KB/sec (avg: 572.02KB/sec),  2.14 (avg:  1.07) msec latency[RUN #1 67%,  20 secs]  2 threads:      220826 ops,    8471 (avg:   11040) ops/sec, 525.00KB/sec (avg: 569.67KB/sec),  1.41 (avg:  1.08) msec latency[RUN #1 70%,  21 secs]  2 threads:      229860 ops,    9033 (avg:   10944) ops/sec, 566.04KB/sec (avg: 569.50KB/sec),  1.32 (avg:  1.09) msec latency[RUN #1 73%,  22 secs]  2 threads:      240510 ops,   10648 (avg:   10931) ops/sec, 669.34KB/sec (avg: 574.04KB/sec),  1.12 (avg:  1.09) msec latency[RUN #1 77%,  23 secs]  2 threads:      248385 ops,    7874 (avg:   10798) ops/sec, 496.63KB/sec (avg: 570.67KB/sec),  1.52 (avg:  1.11) msec latency[RUN #1 80%,  24 secs]  2 threads:      259288 ops,   10901 (avg:   10802) ops/sec, 687.49KB/sec (avg: 575.54KB/sec),  1.09 (avg:  1.11) msec latency[RUN #1 83%,  25 secs]  2 threads:      269518 ops,   10228 (avg:   10779) ops/sec, 651.19KB/sec (avg: 578.56KB/sec),  1.17 (avg:  1.11) msec latency[RUN #1 87%,  26 secs]  2 threads:      277057 ops,    7538 (avg:   10655) ops/sec, 483.73KB/sec (avg: 574.92KB/sec),  1.59 (avg:  1.12) msec latency[RUN #1 90%,  27 secs]  2 threads:      289095 ops,   12036 (avg:   10706) ops/sec, 774.85KB/sec (avg: 582.32KB/sec),  0.99 (avg:  1.12) msec latency[RUN #1 93%,  28 secs]  2 threads:      294320 ops,    5224 (avg:   10510) ops/sec, 338.42KB/sec (avg: 573.61KB/sec),  2.28 (avg:  1.14) msec latency[RUN #1 97%,  29 secs]  2 threads:      304451 ops,   10130 (avg:   10497) ops/sec, 658.51KB/sec (avg: 576.54KB/sec),  1.18 (avg:  1.14) msec latency[RUN #1 100%,  30 secs]  0 threads:      317586 ops,   10130 (avg:   10586) ops/sec, 658.51KB/sec (avg: 586.09KB/sec),  1.18 (avg:  1.13) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         962.52          ---          ---      1.12600        70.71
Gets        9623.58      5829.55      3794.03      1.12700       515.38
Totals     10586.11      5829.55      3794.03      1.12700       586.09


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.340      0.00069
GET       0.350      0.00208
GET       0.360      0.00554
GET       0.370      0.01385
GET       0.380      0.02979
GET       0.390      0.06858
GET       0.400      0.14928
GET       0.410      0.30065
GET       0.420      0.57047
GET       0.430      1.05435
GET       0.440      1.82432
GET       0.450      2.93859
GET       0.460      4.38537
GET       0.470      6.11167
GET       0.480      8.07592
GET       0.490     10.01940
GET       0.500     11.75747
GET       0.510     13.13325
GET       0.520     14.12213
GET       0.530     14.81694
GET       0.540     15.28697
GET       0.550     15.56649
GET       0.560     15.72962
GET       0.570     15.85882
GET       0.580     15.97000
GET       0.590     16.08742
GET       0.600     16.24294
GET       0.610     16.45353
GET       0.620     16.79090
GET       0.630     17.31495
GET       0.640     18.08805
GET       0.650     19.03987
GET       0.660     20.15968
GET       0.670     21.45163
GET       0.680     22.87486
GET       0.690     24.53050
GET       0.700     26.32572
GET       0.710     28.33466
GET       0.720     30.39313
GET       0.730     32.42215
GET       0.740     34.31402
GET       0.750     36.01434
GET       0.760     37.50546
GET       0.770     38.91033
GET       0.780     40.21232
GET       0.790     41.48315
GET       0.800     42.79623
GET       0.810     44.10412
GET       0.820     45.68633
GET       0.830     47.52173
GET       0.840     49.61934
GET       0.850     51.97291
GET       0.860     54.62402
GET       0.870     57.52624
GET       0.880     60.62242
GET       0.890     63.69021
GET       0.900     66.67798
GET       0.910     69.45551
GET       0.920     71.99231
GET       0.930     74.28631
GET       0.940     76.16743
GET       0.950     77.67137
GET       0.960     78.92626
GET       0.970     79.91514
GET       0.980     80.74469
GET       0.990     81.36365
GET       1.000     83.62890
GET       1.100     86.15081
GET       1.200     87.86845
GET       1.300     90.98957
GET       1.400     92.90187
GET       1.500     93.22469
GET       1.600     93.39718
GET       1.700     94.14741
GET       1.800     95.46015
GET       1.900     96.24883
GET       2.000     96.47328
GET       2.100     96.52904
GET       2.200     96.54255
GET       2.300     96.54705
GET       2.400     96.55606
GET       2.500     96.58308
GET       2.600     96.63088
GET       2.700     96.67660
GET       2.800     96.70431
GET       2.900     96.72232
GET       3.000     96.72890
GET       3.100     96.73028
GET       3.200     96.73063
GET       3.300     96.73340
GET       3.400     96.73479
GET       3.600     96.73548
GET       3.700     96.73617
GET       3.900     96.73825
GET       4.400     96.74275
GET       4.500     96.77947
GET       4.600     96.79609
GET       4.700     96.81584
GET       4.800     96.86779
GET       4.900     97.13830
GET       5.000     97.37868
GET       5.100     97.43203
GET       5.200     97.44900
GET       5.300     97.48918
GET       5.400     97.55672
GET       5.500     97.58893
GET       5.600     97.60659
GET       5.700     97.63881
GET       5.800     97.69769
GET       5.900     97.75519
GET       6.000     97.78151
GET       6.100     97.79363
GET       6.200     97.79918
GET       6.300     97.80229
GET       6.400     97.80402
GET       6.500     97.80853
GET       6.600     97.81199
GET       6.700     97.81476
GET       6.800     97.81996
GET       6.900     97.82238
GET       7.000     97.82585
GET       7.100     97.82689
GET       7.500     97.82723
GET       8.300     97.82758
GET       8.400     97.83000
GET       8.500     97.89893
GET       8.600     97.93357
GET       8.700     97.97097
GET       8.800     98.05687
GET       8.900     98.30349
GET       9.000     98.56915
GET       9.100     98.62215
GET       9.200     98.63427
GET       9.300     98.67930
GET       9.400     98.75584
GET       9.500     98.79983
GET       9.600     98.81230
GET       9.700     98.83135
GET       9.800     98.88746
GET       9.900     98.94773
GET      10.000     99.02289
GET      11.000     99.04437
GET      12.000     99.06619
GET      13.000     99.61172
GET      14.000     99.70732
GET      15.000     99.72117
GET      16.000     99.73607
GET      17.000     99.94631
GET      18.000     99.96432
GET      19.000     99.96536
GET      20.000     99.96571
GET      21.000     99.98337
GET      22.000     99.98788
GET      23.000     99.98822
GET      25.000     99.99931
GET      26.000    100.00000
