[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  2 threads:        7497 ops,    7496 (avg:    7496) ops/sec, 265.88KB/sec (avg: 265.88KB/sec),  1.59 (avg:  1.59) msec latency[RUN #1 7%,   2 secs]  2 threads:       12527 ops,    5029 (avg:    6263) ops/sec, 188.89KB/sec (avg: 227.38KB/sec),  2.37 (avg:  1.90) msec latency[RUN #1 10%,   3 secs]  2 threads:       25179 ops,   12650 (avg:    8392) ops/sec, 505.47KB/sec (avg: 320.08KB/sec),  0.94 (avg:  1.42) msec latency[RUN #1 13%,   4 secs]  2 threads:       32385 ops,    7205 (avg:    8095) ops/sec, 302.07KB/sec (avg: 315.58KB/sec),  1.66 (avg:  1.47) msec latency[RUN #1 17%,   5 secs]  2 threads:       38099 ops,    5713 (avg:    7619) ops/sec, 244.98KB/sec (avg: 301.46KB/sec),  2.12 (avg:  1.57) msec latency[RUN #1 20%,   6 secs]  2 threads:       42899 ops,    4799 (avg:    7149) ops/sec, 212.41KB/sec (avg: 286.62KB/sec),  2.46 (avg:  1.67) msec latency[RUN #1 23%,   7 secs]  2 threads:       47514 ops,    4614 (avg:    6787) ops/sec, 205.96KB/sec (avg: 275.09KB/sec),  2.63 (avg:  1.76) msec latency[RUN #1 27%,   8 secs]  2 threads:       51886 ops,    4371 (avg:    6485) ops/sec, 196.15KB/sec (avg: 265.22KB/sec),  2.74 (avg:  1.84) msec latency[RUN #1 30%,   9 secs]  2 threads:       60834 ops,    8947 (avg:    6758) ops/sec, 422.62KB/sec (avg: 282.71KB/sec),  1.33 (avg:  1.77) msec latency[RUN #1 33%,  10 secs]  2 threads:       65216 ops,    4381 (avg:    6520) ops/sec, 210.69KB/sec (avg: 275.51KB/sec),  2.73 (avg:  1.83) msec latency[RUN #1 37%,  11 secs]  2 threads:       71624 ops,    6407 (avg:    6510) ops/sec, 313.05KB/sec (avg: 278.92KB/sec),  1.87 (avg:  1.84) msec latency[RUN #1 40%,  12 secs]  2 threads:       77863 ops,    6238 (avg:    6487) ops/sec, 308.55KB/sec (avg: 281.39KB/sec),  1.90 (avg:  1.84) msec latency[RUN #1 43%,  13 secs]  2 threads:       84984 ops,    7120 (avg:    6536) ops/sec, 351.89KB/sec (avg: 286.82KB/sec),  1.70 (avg:  1.83) msec latency[RUN #1 47%,  14 secs]  2 threads:       92410 ops,    7425 (avg:    6600) ops/sec, 390.47KB/sec (avg: 294.22KB/sec),  1.61 (avg:  1.81) msec latency[RUN #1 50%,  15 secs]  2 threads:      101829 ops,    9418 (avg:    6787) ops/sec, 493.05KB/sec (avg: 307.48KB/sec),  1.27 (avg:  1.76) msec latency[RUN #1 53%,  16 secs]  2 threads:      110908 ops,    9078 (avg:    6931) ops/sec, 491.97KB/sec (avg: 319.01KB/sec),  1.32 (avg:  1.73) msec latency[RUN #1 57%,  17 secs]  2 threads:      114975 ops,    4066 (avg:    6762) ops/sec, 219.91KB/sec (avg: 313.18KB/sec),  2.94 (avg:  1.77) msec latency[RUN #1 60%,  18 secs]  2 threads:      119210 ops,    4234 (avg:    6622) ops/sec, 228.50KB/sec (avg: 308.47KB/sec),  2.83 (avg:  1.81) msec latency[RUN #1 63%,  19 secs]  2 threads:      126728 ops,    7517 (avg:    6669) ops/sec, 420.89KB/sec (avg: 314.39KB/sec),  1.59 (avg:  1.79) msec latency[RUN #1 67%,  20 secs]  2 threads:      135716 ops,    8987 (avg:    6785) ops/sec, 510.34KB/sec (avg: 324.19KB/sec),  1.34 (avg:  1.76) msec latency[RUN #1 70%,  21 secs]  2 threads:      143259 ops,    7542 (avg:    6821) ops/sec, 438.84KB/sec (avg: 329.65KB/sec),  1.58 (avg:  1.75) msec latency[RUN #1 73%,  22 secs]  2 threads:      153228 ops,    9967 (avg:    6964) ops/sec, 578.90KB/sec (avg: 340.98KB/sec),  1.20 (avg:  1.72) msec latency[RUN #1 77%,  23 secs]  2 threads:      169681 ops,   16451 (avg:    7376) ops/sec, 962.57KB/sec (avg: 368.00KB/sec),  0.72 (avg:  1.62) msec latency[RUN #1 80%,  24 secs]  2 threads:      181484 ops,   11801 (avg:    7561) ops/sec, 711.75KB/sec (avg: 382.33KB/sec),  1.01 (avg:  1.58) msec latency[RUN #1 83%,  25 secs]  2 threads:      194313 ops,   12827 (avg:    7771) ops/sec, 787.54KB/sec (avg: 398.54KB/sec),  0.93 (avg:  1.54) msec latency[RUN #1 87%,  26 secs]  2 threads:      207792 ops,   13477 (avg:    7991) ops/sec, 849.16KB/sec (avg: 415.87KB/sec),  0.89 (avg:  1.50) msec latency[RUN #1 90%,  27 secs]  2 threads:      222354 ops,   14560 (avg:    8234) ops/sec, 919.38KB/sec (avg: 434.52KB/sec),  0.82 (avg:  1.45) msec latency[RUN #1 93%,  28 secs]  2 threads:      238024 ops,   15668 (avg:    8500) ops/sec, 998.08KB/sec (avg: 454.64KB/sec),  0.76 (avg:  1.41) msec latency[RUN #1 97%,  29 secs]  2 threads:      252553 ops,   14527 (avg:    8707) ops/sec, 934.09KB/sec (avg: 471.17KB/sec),  0.82 (avg:  1.37) msec latency[RUN #1 100%,  30 secs]  0 threads:      270382 ops,   14527 (avg:    9012) ops/sec, 934.09KB/sec (avg: 494.29KB/sec),  0.82 (avg:  1.33) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         819.53          ---          ---      1.33400        60.12
Gets        8193.15      4864.14      3329.02      1.32500       434.17
Totals      9012.68      4864.14      3329.02      1.32500       494.29


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.290      0.00041
GET       0.310      0.00081
GET       0.320      0.00163
GET       0.330      0.00366
GET       0.340      0.00529
GET       0.350      0.00814
GET       0.360      0.01587
GET       0.370      0.02726
GET       0.380      0.05167
GET       0.390      0.11229
GET       0.400      0.23719
GET       0.410      0.42962
GET       0.420      0.72458
GET       0.430      1.17414
GET       0.440      1.83933
GET       0.450      2.74537
GET       0.460      3.84953
GET       0.470      5.12824
GET       0.480      6.43176
GET       0.490      7.66977
GET       0.500      8.69298
GET       0.510      9.51684
GET       0.520     10.10513
GET       0.530     10.53841
GET       0.540     10.82768
GET       0.550     11.04452
GET       0.560     11.23777
GET       0.570     11.50588
GET       0.580     11.92859
GET       0.590     12.61778
GET       0.600     13.62960
GET       0.610     14.75858
GET       0.620     15.75900
GET       0.630     16.47993
GET       0.640     17.15610
GET       0.650     17.88760
GET       0.660     18.84042
GET       0.670     20.10895
GET       0.680     21.74812
GET       0.690     23.75466
GET       0.700     25.87471
GET       0.710     28.08020
GET       0.720     30.25883
GET       0.730     32.35162
GET       0.740     34.19584
GET       0.750     35.90823
GET       0.760     37.50590
GET       0.770     39.09828
GET       0.780     40.69513
GET       0.790     42.35992
GET       0.800     44.20373
GET       0.810     46.23916
GET       0.820     48.52398
GET       0.830     50.97194
GET       0.840     53.55579
GET       0.850     56.09733
GET       0.860     58.69176
GET       0.870     61.19465
GET       0.880     63.61739
GET       0.890     65.79887
GET       0.900     67.74439
GET       0.910     69.41488
GET       0.920     70.79163
GET       0.930     71.92550
GET       0.940     72.77092
GET       0.950     73.43976
GET       0.960     73.96296
GET       0.970     74.34417
GET       0.980     74.66802
GET       0.990     74.92677
GET       1.000     76.67537
GET       1.100     79.32472
GET       1.200     82.35040
GET       1.300     85.55876
GET       1.400     86.65235
GET       1.500     86.79840
GET       1.600     86.81427
GET       1.700     86.81956
GET       1.800     86.86512
GET       1.900     87.17717
GET       2.000     88.32609
GET       2.100     90.33833
GET       2.200     92.44577
GET       2.300     93.74237
GET       2.400     94.24848
GET       2.500     94.38844
GET       2.600     94.43278
GET       2.700     94.44010
GET       2.800     94.44661
GET       2.900     94.46004
GET       3.000     94.47306
GET       3.100     94.49910
GET       3.200     94.52473
GET       3.300     94.55199
GET       3.400     94.58006
GET       3.500     94.59470
GET       3.600     94.60121
GET       3.700     94.60732
GET       3.800     94.61016
GET       3.900     94.61057
GET       4.000     94.61179
GET       4.100     94.61545
GET       4.300     94.61789
GET       4.400     94.61952
GET       4.500     94.63702
GET       4.600     94.64800
GET       4.700     94.67485
GET       4.800     94.89617
GET       4.900     95.67690
GET       5.000     95.98814
GET       5.100     96.02841
GET       5.200     96.08863
GET       5.300     96.23387
GET       5.400     96.36121
GET       5.500     96.39945
GET       5.600     96.41003
GET       5.700     96.41329
GET       5.800     96.41898
GET       5.900     96.43526
GET       6.000     96.49710
GET       6.100     96.64600
GET       6.200     96.85959
GET       6.300     97.05650
GET       6.400     97.15414
GET       6.500     97.19117
GET       6.600     97.20500
GET       6.700     97.20703
GET       6.800     97.20825
GET       6.900     97.20947
GET       7.000     97.21314
GET       7.100     97.21720
GET       7.200     97.22331
GET       7.300     97.23226
GET       7.400     97.24039
GET       7.500     97.24934
GET       7.600     97.25260
GET       7.700     97.25423
GET       7.800     97.25504
GET       8.400     97.25626
GET       8.500     97.28677
GET       8.600     97.30712
GET       8.700     97.32420
GET       8.800     97.44788
GET       8.900     97.84822
GET       9.000     98.01461
GET       9.100     98.03780
GET       9.200     98.06303
GET       9.300     98.12365
GET       9.400     98.18223
GET       9.500     98.20420
GET       9.600     98.20624
GET       9.700     98.20705
GET       9.800     98.20868
GET       9.900     98.21803
GET      10.000     98.67370
GET      11.000     98.71438
GET      12.000     98.78232
GET      13.000     99.65174
GET      14.000     99.79088
GET      15.000     99.80431
GET      16.000     99.81896
GET      17.000     99.96827
GET      18.000     99.97925
GET      19.000     99.98129
GET      20.000     99.98169
GET      21.000     99.98657
GET      24.000     99.98739
GET      25.000     99.99878
GET      26.000    100.00000
