[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       15902 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       29252 ops,   13348 (avg:   14626) ops/sec, 586.35KB/sec (avg: 595.22KB/sec),  0.59 (avg:  0.54) msec latency[RUN #1 10%,   3 secs]  2 threads:       38831 ops,    9578 (avg:   12943) ops/sec, 448.25KB/sec (avg: 546.23KB/sec),  0.83 (avg:  0.61) msec latency[RUN #1 13%,   4 secs]  2 threads:       50930 ops,   12097 (avg:   12731) ops/sec, 604.29KB/sec (avg: 560.74KB/sec),  0.66 (avg:  0.62) msec latency[RUN #1 17%,   5 secs]  2 threads:       58280 ops,    7349 (avg:   11655) ops/sec, 379.06KB/sec (avg: 524.40KB/sec),  1.08 (avg:  0.68) msec latency[RUN #1 20%,   6 secs]  2 threads:       63663 ops,    5382 (avg:   10609) ops/sec, 291.97KB/sec (avg: 485.66KB/sec),  1.48 (avg:  0.75) msec latency[RUN #1 23%,   7 secs]  2 threads:       72885 ops,    9221 (avg:   10411) ops/sec, 504.41KB/sec (avg: 488.34KB/sec),  0.85 (avg:  0.76) msec latency[RUN #1 27%,   8 secs]  2 threads:       80667 ops,    7781 (avg:   10082) ops/sec, 442.73KB/sec (avg: 482.64KB/sec),  1.03 (avg:  0.79) msec latency[RUN #1 30%,   9 secs]  2 threads:       87814 ops,    7146 (avg:    9756) ops/sec, 415.98KB/sec (avg: 475.23KB/sec),  1.12 (avg:  0.81) msec latency[RUN #1 33%,  10 secs]  2 threads:       94513 ops,    6698 (avg:    9450) ops/sec, 390.23KB/sec (avg: 466.73KB/sec),  1.18 (avg:  0.84) msec latency[RUN #1 37%,  11 secs]  2 threads:      102087 ops,    7573 (avg:    9279) ops/sec, 446.54KB/sec (avg: 464.90KB/sec),  1.05 (avg:  0.86) msec latency[RUN #1 40%,  12 secs]  2 threads:      108882 ops,    6794 (avg:    9072) ops/sec, 408.23KB/sec (avg: 460.17KB/sec),  1.16 (avg:  0.87) msec latency[RUN #1 43%,  13 secs]  2 threads:      114792 ops,    5909 (avg:    8829) ops/sec, 360.62KB/sec (avg: 452.52KB/sec),  1.36 (avg:  0.90) msec latency[RUN #1 47%,  14 secs]  2 threads:      122267 ops,    7474 (avg:    8732) ops/sec, 453.90KB/sec (avg: 452.61KB/sec),  1.06 (avg:  0.91) msec latency[RUN #1 50%,  15 secs]  2 threads:      128643 ops,    6375 (avg:    8575) ops/sec, 392.76KB/sec (avg: 448.62KB/sec),  1.24 (avg:  0.93) msec latency[RUN #1 53%,  16 secs]  2 threads:      135089 ops,    6445 (avg:    8442) ops/sec, 396.06KB/sec (avg: 445.34KB/sec),  1.23 (avg:  0.94) msec latency[RUN #1 57%,  17 secs]  2 threads:      142331 ops,    7241 (avg:    8371) ops/sec, 450.47KB/sec (avg: 445.64KB/sec),  1.11 (avg:  0.95) msec latency[RUN #1 60%,  18 secs]  2 threads:      146765 ops,    4433 (avg:    8152) ops/sec, 280.37KB/sec (avg: 436.46KB/sec),  1.79 (avg:  0.97) msec latency[RUN #1 63%,  19 secs]  2 threads:      157886 ops,   11119 (avg:    8309) ops/sec, 704.42KB/sec (avg: 450.56KB/sec),  0.71 (avg:  0.96) msec latency[RUN #1 67%,  20 secs]  2 threads:      167642 ops,    9754 (avg:    8381) ops/sec, 625.34KB/sec (avg: 459.30KB/sec),  0.82 (avg:  0.95) msec latency[RUN #1 70%,  21 secs]  2 threads:      177352 ops,    9709 (avg:    8444) ops/sec, 622.52KB/sec (avg: 467.07KB/sec),  0.81 (avg:  0.94) msec latency[RUN #1 73%,  22 secs]  2 threads:      187339 ops,    9986 (avg:    8514) ops/sec, 653.16KB/sec (avg: 475.53KB/sec),  0.80 (avg:  0.93) msec latency[RUN #1 77%,  23 secs]  2 threads:      196539 ops,    9198 (avg:    8544) ops/sec, 605.02KB/sec (avg: 481.16KB/sec),  0.86 (avg:  0.93) msec latency[RUN #1 80%,  24 secs]  2 threads:      205494 ops,    8953 (avg:    8561) ops/sec, 587.16KB/sec (avg: 485.58KB/sec),  0.89 (avg:  0.93) msec latency[RUN #1 83%,  25 secs]  2 threads:      214099 ops,    8604 (avg:    8563) ops/sec, 568.96KB/sec (avg: 488.92KB/sec),  0.92 (avg:  0.93) msec latency[RUN #1 87%,  26 secs]  2 threads:      219925 ops,    5825 (avg:    8457) ops/sec, 388.09KB/sec (avg: 485.04KB/sec),  1.36 (avg:  0.94) msec latency[RUN #1 90%,  27 secs]  2 threads:      226318 ops,    6392 (avg:    8381) ops/sec, 426.12KB/sec (avg: 482.85KB/sec),  1.25 (avg:  0.95) msec latency[RUN #1 93%,  28 secs]  2 threads:      231519 ops,    5200 (avg:    8267) ops/sec, 346.16KB/sec (avg: 477.97KB/sec),  1.53 (avg:  0.96) msec latency[RUN #1 97%,  29 secs]  2 threads:      242068 ops,   10547 (avg:    8346) ops/sec, 706.09KB/sec (avg: 485.84KB/sec),  0.75 (avg:  0.95) msec latency[RUN #1 100%,  30 secs]  0 threads:      254492 ops,   10547 (avg:    8483) ops/sec, 706.09KB/sec (avg: 497.45KB/sec),  0.75 (avg:  0.94) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         771.30          ---          ---      0.94000        56.49
Gets        7711.72      5447.97      2263.75      0.93600       440.96
Totals      8483.02      5447.97      2263.75      0.93600       497.45


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.083      0.00043
GET       0.110      0.00303
GET       0.120      0.00562
GET       0.130      0.01037
GET       0.140      0.02204
GET       0.150      0.03285
GET       0.160      0.04582
GET       0.170      0.06354
GET       0.180      0.08947
GET       0.190      0.13616
GET       0.200      0.17765
GET       0.210      0.24119
GET       0.220      0.31856
GET       0.230      0.43440
GET       0.240      0.61248
GET       0.250      0.89344
GET       0.260      1.23232
GET       0.270      1.62565
GET       0.280      2.08426
GET       0.290      2.63926
GET       0.300      3.12509
GET       0.310      3.49682
GET       0.320      3.76395
GET       0.330      3.98914
GET       0.340      4.22904
GET       0.350      4.54846
GET       0.360      5.02436
GET       0.370      5.78337
GET       0.380      6.96814
GET       0.390      8.70056
GET       0.400     10.86305
GET       0.410     13.39728
GET       0.420     16.17571
GET       0.430     19.06740
GET       0.440     22.01225
GET       0.450     24.83132
GET       0.460     27.42173
GET       0.470     30.07180
GET       0.480     32.75298
GET       0.490     35.54482
GET       0.500     38.28781
GET       0.510     41.03988
GET       0.520     43.71718
GET       0.530     46.35600
GET       0.540     48.76401
GET       0.550     50.98616
GET       0.560     52.93167
GET       0.570     54.76307
GET       0.580     56.49592
GET       0.590     58.07057
GET       0.600     59.51814
GET       0.610     60.80405
GET       0.620     62.00438
GET       0.630     63.05818
GET       0.640     64.05147
GET       0.650     64.92416
GET       0.660     65.78432
GET       0.670     66.71234
GET       0.680     67.65549
GET       0.690     68.64921
GET       0.700     69.71770
GET       0.710     70.88735
GET       0.720     72.13652
GET       0.730     73.45269
GET       0.740     74.85531
GET       0.750     76.23804
GET       0.760     77.61300
GET       0.770     78.97110
GET       0.780     80.20255
GET       0.790     81.44610
GET       0.800     82.55350
GET       0.810     83.63713
GET       0.820     84.61399
GET       0.830     85.48495
GET       0.840     86.33041
GET       0.850     87.10801
GET       0.860     87.82985
GET       0.870     88.50155
GET       0.880     89.07600
GET       0.890     89.59512
GET       0.900     90.04768
GET       0.910     90.45441
GET       0.920     90.80842
GET       0.930     91.10191
GET       0.940     91.36687
GET       0.950     91.55576
GET       0.960     91.72779
GET       0.970     91.86784
GET       0.980     91.97071
GET       0.990     92.06105
GET       1.000     92.32255
GET       1.100     92.68045
GET       1.200     93.40056
GET       1.300     94.37613
GET       1.400     95.17447
GET       1.500     95.54750
GET       1.600     95.66463
GET       1.700     95.71910
GET       1.800     95.81160
GET       1.900     95.89934
GET       2.000     95.99141
GET       2.100     96.06618
GET       2.200     96.10206
GET       2.300     96.11027
GET       2.400     96.11373
GET       2.500     96.11719
GET       2.600     96.11805
GET       2.700     96.11935
GET       2.800     96.12065
GET       3.100     96.12108
GET       3.200     96.12281
GET       3.300     96.12367
GET       3.500     96.12454
GET       3.600     96.12670
GET       3.700     96.12843
GET       3.800     96.12929
GET       3.900     96.12972
GET       4.000     96.13145
GET       4.100     96.13361
GET       4.200     96.13534
GET       4.300     96.14745
GET       4.400     96.17252
GET       4.500     96.33201
GET       4.600     96.60735
GET       4.700     96.72060
GET       4.800     96.86799
GET       4.900     97.00026
GET       5.000     97.04953
GET       5.100     97.06682
GET       5.200     97.10313
GET       5.300     97.16191
GET       5.400     97.22675
GET       5.500     97.28726
GET       5.600     97.31622
GET       5.700     97.32227
GET       5.800     97.32703
GET       5.900     97.33308
GET       6.000     97.34086
GET       6.100     97.34950
GET       6.200     97.35469
GET       6.300     97.35685
GET       6.500     97.35729
GET       6.700     97.35772
GET       6.800     97.35858
GET       7.700     97.36074
GET       7.800     97.36204
GET       7.900     97.36463
GET       8.000     97.36550
GET       8.100     97.36593
GET       8.200     97.36766
GET       8.300     97.38884
GET       8.400     97.43466
GET       8.500     97.60237
GET       8.600     97.86819
GET       8.700     98.00305
GET       8.800     98.14353
GET       8.900     98.27190
GET       9.000     98.35144
GET       9.100     98.36786
GET       9.200     98.37824
GET       9.300     98.40849
GET       9.400     98.45172
GET       9.500     98.48241
GET       9.600     98.50488
GET       9.700     98.50920
GET       9.800     98.51093
GET       9.900     98.51396
GET      10.000     98.52433
GET      12.000     98.82085
GET      13.000     99.80549
GET      14.000     99.82451
GET      16.000     99.87162
GET      17.000     99.99136
GET      18.000     99.99525
GET      20.000     99.99741
GET      24.000    100.00000
