[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        5519 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       13651 ops,    8131 (avg:    6825) ops/sec, 315.16KB/sec (avg: 255.96KB/sec),  0.97 (avg:  1.16) msec latency[RUN #1 10%,   3 secs]  2 threads:       20487 ops,    6835 (avg:    6828) ops/sec, 288.46KB/sec (avg: 266.80KB/sec),  1.17 (avg:  1.16) msec latency[RUN #1 13%,   4 secs]  2 threads:       29227 ops,    8739 (avg:    7306) ops/sec, 389.64KB/sec (avg: 297.51KB/sec),  0.91 (avg:  1.09) msec latency[RUN #1 17%,   5 secs]  2 threads:       36806 ops,    7577 (avg:    7360) ops/sec, 353.53KB/sec (avg: 308.71KB/sec),  1.05 (avg:  1.08) msec latency[RUN #1 20%,   6 secs]  2 threads:       44714 ops,    7907 (avg:    7451) ops/sec, 388.36KB/sec (avg: 321.99KB/sec),  1.01 (avg:  1.07) msec latency[RUN #1 23%,   7 secs]  2 threads:       53612 ops,    8896 (avg:    7658) ops/sec, 459.91KB/sec (avg: 341.69KB/sec),  0.89 (avg:  1.04) msec latency[RUN #1 27%,   8 secs]  2 threads:       58306 ops,    4693 (avg:    7287) ops/sec, 247.60KB/sec (avg: 329.93KB/sec),  1.70 (avg:  1.09) msec latency[RUN #1 30%,   9 secs]  2 threads:       70799 ops,   12491 (avg:    7865) ops/sec, 683.60KB/sec (avg: 369.23KB/sec),  0.63 (avg:  1.01) msec latency[RUN #1 33%,  10 secs]  2 threads:       79451 ops,    8651 (avg:    7944) ops/sec, 489.13KB/sec (avg: 381.22KB/sec),  0.92 (avg:  1.00) msec latency[RUN #1 37%,  11 secs]  2 threads:       86644 ops,    7192 (avg:    7876) ops/sec, 423.33KB/sec (avg: 385.05KB/sec),  1.10 (avg:  1.01) msec latency[RUN #1 40%,  12 secs]  2 threads:       92792 ops,    6147 (avg:    7731) ops/sec, 360.78KB/sec (avg: 383.02KB/sec),  1.29 (avg:  1.03) msec latency[RUN #1 43%,  13 secs]  2 threads:       99118 ops,    6325 (avg:    7623) ops/sec, 374.70KB/sec (avg: 382.38KB/sec),  1.26 (avg:  1.04) msec latency[RUN #1 47%,  14 secs]  2 threads:      105258 ops,    6139 (avg:    7517) ops/sec, 369.65KB/sec (avg: 381.47KB/sec),  1.30 (avg:  1.06) msec latency[RUN #1 50%,  15 secs]  2 threads:      111123 ops,    5864 (avg:    7407) ops/sec, 359.18KB/sec (avg: 379.99KB/sec),  1.36 (avg:  1.07) msec latency[RUN #1 53%,  16 secs]  2 threads:      117054 ops,    5930 (avg:    7315) ops/sec, 363.14KB/sec (avg: 378.94KB/sec),  1.34 (avg:  1.09) msec latency[RUN #1 57%,  17 secs]  2 threads:      123221 ops,    6166 (avg:    7247) ops/sec, 377.34KB/sec (avg: 378.84KB/sec),  1.29 (avg:  1.10) msec latency[RUN #1 60%,  18 secs]  2 threads:      131447 ops,    8225 (avg:    7301) ops/sec, 510.59KB/sec (avg: 386.16KB/sec),  0.97 (avg:  1.09) msec latency[RUN #1 63%,  19 secs]  2 threads:      138603 ops,    7155 (avg:    7294) ops/sec, 445.85KB/sec (avg: 389.30KB/sec),  1.11 (avg:  1.09) msec latency[RUN #1 67%,  20 secs]  2 threads:      149840 ops,   11235 (avg:    7491) ops/sec, 712.33KB/sec (avg: 405.46KB/sec),  0.71 (avg:  1.06) msec latency[RUN #1 70%,  21 secs]  2 threads:      157269 ops,    7428 (avg:    7488) ops/sec, 473.70KB/sec (avg: 408.71KB/sec),  1.07 (avg:  1.06) msec latency[RUN #1 73%,  22 secs]  2 threads:      165314 ops,    8044 (avg:    7513) ops/sec, 518.05KB/sec (avg: 413.67KB/sec),  0.99 (avg:  1.06) msec latency[RUN #1 77%,  23 secs]  2 threads:      171179 ops,    5864 (avg:    7441) ops/sec, 376.73KB/sec (avg: 412.07KB/sec),  1.36 (avg:  1.07) msec latency[RUN #1 80%,  24 secs]  2 threads:      177778 ops,    6598 (avg:    7406) ops/sec, 428.10KB/sec (avg: 412.74KB/sec),  1.20 (avg:  1.07) msec latency[RUN #1 83%,  25 secs]  2 threads:      184253 ops,    6474 (avg:    7369) ops/sec, 425.33KB/sec (avg: 413.24KB/sec),  1.23 (avg:  1.08) msec latency[RUN #1 87%,  26 secs]  2 threads:      192001 ops,    7747 (avg:    7383) ops/sec, 512.37KB/sec (avg: 417.05KB/sec),  1.03 (avg:  1.08) msec latency[RUN #1 90%,  27 secs]  2 threads:      201256 ops,    9254 (avg:    7453) ops/sec, 609.96KB/sec (avg: 424.20KB/sec),  0.86 (avg:  1.07) msec latency[RUN #1 93%,  28 secs]  2 threads:      212367 ops,   11109 (avg:    7583) ops/sec, 734.49KB/sec (avg: 435.28KB/sec),  0.71 (avg:  1.05) msec latency[RUN #1 97%,  29 secs]  2 threads:      224116 ops,   11747 (avg:    7727) ops/sec, 784.76KB/sec (avg: 447.33KB/sec),  0.68 (avg:  1.03) msec latency[RUN #1 100%,  30 secs]  0 threads:      240132 ops,   11747 (avg:    8004) ops/sec, 784.76KB/sec (avg: 468.21KB/sec),  0.68 (avg:  0.99) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         727.79          ---          ---      1.00100        53.31
Gets        7276.49      5109.86      2166.63      0.99200       414.91
Totals      8004.28      5109.86      2166.63      0.99300       468.21


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.160      0.00183
GET       0.170      0.00275
GET       0.180      0.00596
GET       0.190      0.00962
GET       0.200      0.01466
GET       0.210      0.02474
GET       0.220      0.03802
GET       0.230      0.07650
GET       0.240      0.16400
GET       0.250      0.30600
GET       0.260      0.50665
GET       0.270      0.75081
GET       0.280      1.07010
GET       0.290      1.44298
GET       0.300      1.76456
GET       0.310      2.02979
GET       0.320      2.21761
GET       0.330      2.37565
GET       0.340      2.52270
GET       0.350      2.68624
GET       0.360      2.92307
GET       0.370      3.33123
GET       0.380      3.98446
GET       0.390      5.13701
GET       0.400      6.91119
GET       0.410      9.23462
GET       0.420     11.55210
GET       0.430     13.46829
GET       0.440     15.06656
GET       0.450     16.49305
GET       0.460     17.85449
GET       0.470     19.26037
GET       0.480     20.79314
GET       0.490     22.47753
GET       0.500     24.33417
GET       0.510     26.35388
GET       0.520     28.52614
GET       0.530     30.80972
GET       0.540     33.17071
GET       0.550     35.47169
GET       0.560     37.62746
GET       0.570     39.58396
GET       0.580     41.42548
GET       0.590     43.08102
GET       0.600     44.57622
GET       0.610     46.05906
GET       0.620     47.45348
GET       0.630     48.73292
GET       0.640     49.94366
GET       0.650     51.05727
GET       0.660     52.06140
GET       0.670     53.04355
GET       0.680     53.97484
GET       0.690     54.94004
GET       0.700     55.95837
GET       0.710     57.02480
GET       0.720     58.20759
GET       0.730     59.42977
GET       0.740     60.76235
GET       0.750     62.15403
GET       0.760     63.66160
GET       0.770     65.27316
GET       0.780     66.94839
GET       0.790     68.63828
GET       0.800     70.27412
GET       0.810     71.83346
GET       0.820     73.40333
GET       0.830     74.91915
GET       0.840     76.31128
GET       0.850     77.59256
GET       0.860     78.76710
GET       0.870     79.79047
GET       0.880     80.66725
GET       0.890     81.42447
GET       0.900     82.07496
GET       0.910     82.63933
GET       0.920     83.12811
GET       0.930     83.54634
GET       0.940     83.91923
GET       0.950     84.24356
GET       0.960     84.55368
GET       0.970     84.83266
GET       0.980     85.10385
GET       0.990     85.33656
GET       1.000     86.59401
GET       1.100     88.21886
GET       1.200     89.63619
GET       1.300     91.62384
GET       1.400     92.88770
GET       1.500     93.43879
GET       1.600     93.77090
GET       1.700     93.93306
GET       1.800     94.05308
GET       1.900     94.20792
GET       2.000     94.33893
GET       2.100     94.42963
GET       2.200     94.47361
GET       2.300     94.48552
GET       2.400     94.49102
GET       2.500     94.49697
GET       2.600     94.49926
GET       2.700     94.50155
GET       2.800     94.50339
GET       2.900     94.50430
GET       3.000     94.50568
GET       3.100     94.50751
GET       3.200     94.50842
GET       3.300     94.50980
GET       3.400     94.51026
GET       3.500     94.51117
GET       3.600     94.51209
GET       3.700     94.51255
GET       3.800     94.51438
GET       3.900     94.52171
GET       4.000     94.52354
GET       4.200     94.52537
GET       4.300     94.53087
GET       4.400     94.56339
GET       4.500     95.07371
GET       4.600     96.22030
GET       4.700     96.63350
GET       4.800     97.61381
GET       4.900     98.35729
GET       5.000     98.53045
GET       5.100     98.55977
GET       5.200     98.56297
GET       5.300     98.58267
GET       5.400     98.60878
GET       5.500     98.63306
GET       5.600     98.64176
GET       5.700     98.64451
GET       5.800     98.64635
GET       5.900     98.65093
GET       6.000     98.66604
GET       6.100     98.67292
GET       6.200     98.67658
GET       6.300     98.67887
GET       6.400     98.68024
GET       6.800     98.68070
GET       7.400     98.68253
GET       7.600     98.68391
GET       7.700     98.68712
GET       7.800     98.68941
GET       7.900     98.69170
GET       8.300     98.70223
GET       8.400     98.72743
GET       8.500     98.81355
GET       8.600     98.94777
GET       8.700     99.01557
GET       8.800     99.13375
GET       8.900     99.22033
GET       9.000     99.26385
GET       9.100     99.27347
GET       9.200     99.27576
GET       9.300     99.28401
GET       9.400     99.29637
GET       9.500     99.30645
GET       9.600     99.31241
GET       9.700     99.31516
GET       9.800     99.31607
GET       9.900     99.31836
GET      10.000     99.33211
GET      12.000     99.44983
GET      13.000     99.84058
GET      14.000     99.85204
GET      16.000     99.89876
GET      17.000     99.99725
GET      18.000    100.00000
