[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        6110 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       12172 ops,    6061 (avg:    6086) ops/sec, 231.06KB/sec (avg: 224.57KB/sec),  1.31 (avg:  1.31) msec latency[RUN #1 10%,   3 secs]  2 threads:       18228 ops,    6055 (avg:    6075) ops/sec, 248.94KB/sec (avg: 232.69KB/sec),  1.31 (avg:  1.31) msec latency[RUN #1 13%,   4 secs]  2 threads:       24335 ops,    6106 (avg:    6083) ops/sec, 266.94KB/sec (avg: 241.26KB/sec),  1.30 (avg:  1.31) msec latency[RUN #1 17%,   5 secs]  2 threads:       30366 ops,    6030 (avg:    6072) ops/sec, 281.79KB/sec (avg: 249.36KB/sec),  1.33 (avg:  1.31) msec latency[RUN #1 20%,   6 secs]  2 threads:       36504 ops,    6137 (avg:    6083) ops/sec, 298.16KB/sec (avg: 257.50KB/sec),  1.30 (avg:  1.31) msec latency[RUN #1 23%,   7 secs]  2 threads:       42467 ops,    5962 (avg:    6066) ops/sec, 298.50KB/sec (avg: 263.35KB/sec),  1.34 (avg:  1.31) msec latency[RUN #1 27%,   8 secs]  2 threads:       48581 ops,    6113 (avg:    6072) ops/sec, 314.50KB/sec (avg: 269.75KB/sec),  1.30 (avg:  1.31) msec latency[RUN #1 30%,   9 secs]  2 threads:       54348 ops,    5766 (avg:    6038) ops/sec, 308.89KB/sec (avg: 274.10KB/sec),  1.39 (avg:  1.32) msec latency[RUN #1 33%,  10 secs]  2 threads:       60186 ops,    5837 (avg:    6018) ops/sec, 314.00KB/sec (avg: 278.09KB/sec),  1.35 (avg:  1.32) msec latency[RUN #1 37%,  11 secs]  2 threads:       65995 ops,    5808 (avg:    5999) ops/sec, 319.89KB/sec (avg: 281.89KB/sec),  1.38 (avg:  1.33) msec latency[RUN #1 40%,  12 secs]  2 threads:       71658 ops,    5662 (avg:    5970) ops/sec, 320.74KB/sec (avg: 285.12KB/sec),  1.40 (avg:  1.33) msec latency[RUN #1 43%,  13 secs]  2 threads:       77877 ops,    6218 (avg:    5989) ops/sec, 357.78KB/sec (avg: 290.71KB/sec),  1.29 (avg:  1.33) msec latency[RUN #1 47%,  14 secs]  2 threads:       83691 ops,    5813 (avg:    5977) ops/sec, 338.48KB/sec (avg: 294.12KB/sec),  1.37 (avg:  1.33) msec latency[RUN #1 50%,  15 secs]  2 threads:       89648 ops,    5956 (avg:    5975) ops/sec, 353.26KB/sec (avg: 298.07KB/sec),  1.31 (avg:  1.33) msec latency[RUN #1 53%,  16 secs]  2 threads:       95415 ops,    5766 (avg:    5962) ops/sec, 345.50KB/sec (avg: 301.03KB/sec),  1.39 (avg:  1.33) msec latency[RUN #1 57%,  17 secs]  2 threads:      101068 ops,    5652 (avg:    5944) ops/sec, 341.34KB/sec (avg: 303.40KB/sec),  1.42 (avg:  1.34) msec latency[RUN #1 60%,  18 secs]  2 threads:      107049 ops,    5980 (avg:    5946) ops/sec, 361.01KB/sec (avg: 306.60KB/sec),  1.33 (avg:  1.34) msec latency[RUN #1 63%,  19 secs]  2 threads:      113135 ops,    6085 (avg:    5953) ops/sec, 374.75KB/sec (avg: 310.19KB/sec),  1.32 (avg:  1.34) msec latency[RUN #1 67%,  20 secs]  2 threads:      119212 ops,    6076 (avg:    5960) ops/sec, 378.78KB/sec (avg: 313.62KB/sec),  1.31 (avg:  1.34) msec latency[RUN #1 70%,  21 secs]  2 threads:      125211 ops,    5998 (avg:    5961) ops/sec, 374.40KB/sec (avg: 316.51KB/sec),  1.33 (avg:  1.34) msec latency[RUN #1 73%,  22 secs]  2 threads:      133241 ops,    8029 (avg:    6055) ops/sec, 507.08KB/sec (avg: 325.18KB/sec),  0.99 (avg:  1.31) msec latency[RUN #1 77%,  23 secs]  2 threads:      140875 ops,    7633 (avg:    6124) ops/sec, 488.26KB/sec (avg: 332.27KB/sec),  1.04 (avg:  1.30) msec latency[RUN #1 80%,  24 secs]  2 threads:      150608 ops,    9732 (avg:    6274) ops/sec, 630.91KB/sec (avg: 344.71KB/sec),  0.81 (avg:  1.27) msec latency[RUN #1 83%,  25 secs]  2 threads:      155533 ops,    4924 (avg:    6220) ops/sec, 322.67KB/sec (avg: 343.83KB/sec),  1.62 (avg:  1.28) msec latency[RUN #1 87%,  26 secs]  2 threads:      161399 ops,    5865 (avg:    6207) ops/sec, 386.50KB/sec (avg: 345.47KB/sec),  1.36 (avg:  1.28) msec latency[RUN #1 90%,  27 secs]  2 threads:      168325 ops,    6925 (avg:    6233) ops/sec, 460.64KB/sec (avg: 349.74KB/sec),  1.15 (avg:  1.28) msec latency[RUN #1 93%,  28 secs]  2 threads:      176799 ops,    8473 (avg:    6313) ops/sec, 564.17KB/sec (avg: 357.39KB/sec),  0.94 (avg:  1.26) msec latency[RUN #1 97%,  29 secs]  2 threads:      187388 ops,   10587 (avg:    6461) ops/sec, 708.10KB/sec (avg: 369.49KB/sec),  0.75 (avg:  1.23) msec latency[RUN #1 100%,  30 secs]  0 threads:      199453 ops,   10587 (avg:    6648) ops/sec, 708.10KB/sec (avg: 384.09KB/sec),  0.75 (avg:  1.20) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         604.49          ---          ---      1.21500        44.27
Gets        6043.86      4118.21      1925.64      1.19500       339.81
Totals      6648.35      4118.21      1925.64      1.19700       384.09


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.160      0.00055
GET       0.170      0.00110
GET       0.190      0.00221
GET       0.220      0.00386
GET       0.230      0.00441
GET       0.240      0.00662
GET       0.250      0.01268
GET       0.260      0.01930
GET       0.270      0.02758
GET       0.280      0.03805
GET       0.290      0.05019
GET       0.300      0.06067
GET       0.310      0.07280
GET       0.320      0.07832
GET       0.330      0.08493
GET       0.340      0.09376
GET       0.350      0.10369
GET       0.360      0.12409
GET       0.370      0.15442
GET       0.380      0.20847
GET       0.390      0.28017
GET       0.400      0.39764
GET       0.410      0.56586
GET       0.420      0.84382
GET       0.430      1.24147
GET       0.440      1.86744
GET       0.450      2.72119
GET       0.460      3.91081
GET       0.470      5.47767
GET       0.480      7.51828
GET       0.490     10.15398
GET       0.500     13.08254
GET       0.510     16.30781
GET       0.520     19.66710
GET       0.530     23.25583
GET       0.540     26.65538
GET       0.550     29.75601
GET       0.560     32.33821
GET       0.570     34.56579
GET       0.580     36.33120
GET       0.590     37.76459
GET       0.600     38.89465
GET       0.610     39.78976
GET       0.620     40.54479
GET       0.630     41.17352
GET       0.640     41.80059
GET       0.650     42.49440
GET       0.660     43.35422
GET       0.670     44.31551
GET       0.680     45.54981
GET       0.690     46.95452
GET       0.700     48.58370
GET       0.710     50.44783
GET       0.720     52.51161
GET       0.730     54.74691
GET       0.740     57.06604
GET       0.750     59.42819
GET       0.760     61.81626
GET       0.770     64.16351
GET       0.780     66.38558
GET       0.790     68.48355
GET       0.800     70.47453
GET       0.810     72.32156
GET       0.820     74.04339
GET       0.830     75.58213
GET       0.840     76.95375
GET       0.850     78.13014
GET       0.860     79.17526
GET       0.870     80.06045
GET       0.880     80.85463
GET       0.890     81.54458
GET       0.900     82.14904
GET       0.910     82.69780
GET       0.920     83.21568
GET       0.930     83.69881
GET       0.940     84.13064
GET       0.950     84.53601
GET       0.960     84.92648
GET       0.970     85.28276
GET       0.980     85.59216
GET       0.990     85.89770
GET       1.000     87.10387
GET       1.100     89.18695
GET       1.200     90.44221
GET       1.300     91.42832
GET       1.400     92.81980
GET       1.500     93.77447
GET       1.600     94.15723
GET       1.700     94.39272
GET       1.800     94.52509
GET       1.900     94.64642
GET       2.000     94.75728
GET       2.100     94.85379
GET       2.200     94.94590
GET       2.300     94.99884
GET       2.400     95.01373
GET       2.500     95.01980
GET       2.700     95.02035
GET       2.800     95.02145
GET       3.000     95.02201
GET       4.400     95.02476
GET       4.500     95.16319
GET       4.600     95.52223
GET       4.700     95.63309
GET       4.800     95.86748
GET       4.900     96.08974
GET       5.000     96.15648
GET       5.100     96.16640
GET       5.200     96.16971
GET       5.300     96.17357
GET       5.400     96.17688
GET       5.500     96.17799
GET       5.700     96.17964
GET       5.800     96.18074
GET       5.900     96.18240
GET       6.000     96.18295
GET       7.100     96.18460
GET       7.200     96.18571
GET       7.700     96.18681
GET       7.800     96.18736
GET       8.300     96.18791
GET       8.400     96.19288
GET       8.500     96.36660
GET       8.600     96.72950
GET       8.700     96.86683
GET       8.800     97.17844
GET       8.900     97.39188
GET       9.000     97.42993
GET       9.100     97.43544
GET       9.200     97.43710
GET       9.300     97.44151
GET       9.400     97.44592
GET       9.500     97.44648
GET       9.700     97.44703
GET       9.800     97.44813
GET       9.900     97.44923
GET      11.000     97.44978
GET      12.000     97.51321
GET      13.000     99.60567
GET      14.000     99.60897
GET      16.000     99.62387
GET      17.000     99.93051
GET      18.000     99.93161
GET      21.000     99.96360
GET      24.000     99.96525
GET      25.000     99.99945
GET      28.000    100.00000
