[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       16621 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       32351 ops,   15728 (avg:   16175) ops/sec, 726.81KB/sec (avg: 681.64KB/sec),  0.50 (avg:  0.49) msec latency[RUN #1 10%,   3 secs]  2 threads:       46643 ops,   14290 (avg:   15547) ops/sec, 728.61KB/sec (avg: 697.30KB/sec),  0.55 (avg:  0.51) msec latency[RUN #1 13%,   4 secs]  2 threads:       60263 ops,   13618 (avg:   15065) ops/sec, 738.26KB/sec (avg: 707.54KB/sec),  0.58 (avg:  0.53) msec latency[RUN #1 17%,   5 secs]  2 threads:       73144 ops,   12879 (avg:   14627) ops/sec, 728.43KB/sec (avg: 711.72KB/sec),  0.61 (avg:  0.54) msec latency[RUN #1 20%,   6 secs]  2 threads:       85375 ops,   12229 (avg:   14228) ops/sec, 720.32KB/sec (avg: 713.15KB/sec),  0.65 (avg:  0.56) msec latency[RUN #1 23%,   7 secs]  2 threads:       97391 ops,   12014 (avg:   13912) ops/sec, 729.85KB/sec (avg: 715.54KB/sec),  0.66 (avg:  0.57) msec latency[RUN #1 27%,   8 secs]  2 threads:      106836 ops,    9444 (avg:   13353) ops/sec, 577.05KB/sec (avg: 698.22KB/sec),  0.84 (avg:  0.59) msec latency[RUN #1 30%,   9 secs]  2 threads:      115728 ops,    8890 (avg:   12857) ops/sec, 556.26KB/sec (avg: 682.45KB/sec),  0.89 (avg:  0.62) msec latency[RUN #1 33%,  10 secs]  2 threads:      125156 ops,    9426 (avg:   12514) ops/sec, 594.85KB/sec (avg: 673.69KB/sec),  0.84 (avg:  0.63) msec latency[RUN #1 37%,  11 secs]  2 threads:      131172 ops,    6015 (avg:   11923) ops/sec, 382.80KB/sec (avg: 647.24KB/sec),  1.31 (avg:  0.66) msec latency[RUN #1 40%,  12 secs]  2 threads:      137617 ops,    6444 (avg:   11467) ops/sec, 415.44KB/sec (avg: 627.93KB/sec),  1.24 (avg:  0.69) msec latency[RUN #1 43%,  13 secs]  2 threads:      144601 ops,    6983 (avg:   11122) ops/sec, 452.42KB/sec (avg: 614.43KB/sec),  1.14 (avg:  0.71) msec latency[RUN #1 47%,  14 secs]  2 threads:      151643 ops,    7041 (avg:   10830) ops/sec, 461.08KB/sec (avg: 603.47KB/sec),  1.13 (avg:  0.73) msec latency[RUN #1 50%,  15 secs]  2 threads:      157589 ops,    5945 (avg:   10505) ops/sec, 392.62KB/sec (avg: 589.42KB/sec),  1.34 (avg:  0.76) msec latency[RUN #1 53%,  16 secs]  2 threads:      163421 ops,    5831 (avg:   10212) ops/sec, 388.15KB/sec (avg: 576.84KB/sec),  1.37 (avg:  0.78) msec latency[RUN #1 57%,  17 secs]  2 threads:      169015 ops,    5593 (avg:    9941) ops/sec, 373.72KB/sec (avg: 564.89KB/sec),  1.42 (avg:  0.80) msec latency[RUN #1 60%,  18 secs]  2 threads:      174620 ops,    5604 (avg:    9700) ops/sec, 375.51KB/sec (avg: 554.37KB/sec),  1.42 (avg:  0.82) msec latency[RUN #1 63%,  19 secs]  2 threads:      180191 ops,    5570 (avg:    9482) ops/sec, 374.33KB/sec (avg: 544.89KB/sec),  1.42 (avg:  0.84) msec latency[RUN #1 67%,  20 secs]  2 threads:      185929 ops,    5737 (avg:    9295) ops/sec, 384.70KB/sec (avg: 536.88KB/sec),  1.39 (avg:  0.85) msec latency[RUN #1 70%,  21 secs]  2 threads:      191532 ops,    5602 (avg:    9119) ops/sec, 376.17KB/sec (avg: 529.23KB/sec),  1.42 (avg:  0.87) msec latency[RUN #1 73%,  22 secs]  2 threads:      197269 ops,    5736 (avg:    8965) ops/sec, 384.42KB/sec (avg: 522.65KB/sec),  1.39 (avg:  0.89) msec latency[RUN #1 77%,  23 secs]  2 threads:      203250 ops,    5980 (avg:    8836) ops/sec, 401.64KB/sec (avg: 517.38KB/sec),  1.33 (avg:  0.90) msec latency[RUN #1 80%,  24 secs]  2 threads:      211949 ops,    8697 (avg:    8830) ops/sec, 585.84KB/sec (avg: 520.24KB/sec),  0.92 (avg:  0.90) msec latency[RUN #1 83%,  25 secs]  2 threads:      216874 ops,    4923 (avg:    8674) ops/sec, 332.95KB/sec (avg: 512.75KB/sec),  1.62 (avg:  0.92) msec latency[RUN #1 87%,  26 secs]  2 threads:      222573 ops,    5698 (avg:    8559) ops/sec, 384.64KB/sec (avg: 507.82KB/sec),  1.40 (avg:  0.93) msec latency[RUN #1 90%,  27 secs]  2 threads:      229271 ops,    6695 (avg:    8490) ops/sec, 452.70KB/sec (avg: 505.78KB/sec),  1.19 (avg:  0.94) msec latency[RUN #1 93%,  28 secs]  2 threads:      234950 ops,    5677 (avg:    8390) ops/sec, 384.14KB/sec (avg: 501.43KB/sec),  1.40 (avg:  0.95) msec latency[RUN #1 97%,  29 secs]  2 threads:      245048 ops,   10096 (avg:    8449) ops/sec, 684.77KB/sec (avg: 507.75KB/sec),  0.79 (avg:  0.94) msec latency[RUN #1 100%,  30 secs]  0 threads:      249952 ops,   10096 (avg:    8331) ops/sec, 684.77KB/sec (avg: 502.00KB/sec),  0.79 (avg:  0.95) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         757.53          ---          ---      0.95700        55.48
Gets        7573.85      5703.49      1870.36      0.95300       446.51
Totals      8331.38      5703.49      1870.36      0.95300       501.99


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.087      0.00044
GET       0.088      0.00088
GET       0.094      0.00132
GET       0.095      0.00176
GET       0.097      0.00220
GET       0.099      0.00264
GET       0.100      0.00440
GET       0.110      0.01276
GET       0.120      0.02817
GET       0.130      0.06337
GET       0.140      0.12851
GET       0.150      0.21873
GET       0.160      0.30454
GET       0.170      0.37364
GET       0.180      0.44273
GET       0.190      0.51447
GET       0.200      0.55232
GET       0.210      0.58004
GET       0.220      0.60997
GET       0.230      0.64121
GET       0.240      0.70195
GET       0.250      0.78512
GET       0.260      0.91583
GET       0.270      1.08703
GET       0.280      1.29123
GET       0.290      1.53592
GET       0.300      1.74057
GET       0.310      1.88624
GET       0.320      2.02399
GET       0.330      2.18198
GET       0.340      2.39322
GET       0.350      2.74926
GET       0.360      3.26637
GET       0.370      4.00220
GET       0.380      5.04786
GET       0.390      6.42359
GET       0.400      8.02068
GET       0.410      9.70932
GET       0.420     11.45076
GET       0.430     13.19705
GET       0.440     15.00847
GET       0.450     16.67730
GET       0.460     18.30256
GET       0.470     19.93443
GET       0.480     21.71504
GET       0.490     23.66905
GET       0.500     25.83827
GET       0.510     28.21961
GET       0.520     30.90329
GET       0.530     33.89812
GET       0.540     36.94312
GET       0.550     39.83100
GET       0.560     42.59390
GET       0.570     45.10287
GET       0.580     47.41380
GET       0.590     49.50600
GET       0.600     51.34690
GET       0.610     53.08087
GET       0.620     54.62999
GET       0.630     56.12807
GET       0.640     57.59445
GET       0.650     59.02299
GET       0.660     60.44141
GET       0.670     61.79294
GET       0.680     63.23336
GET       0.690     64.63857
GET       0.700     66.03323
GET       0.710     67.53614
GET       0.720     69.04346
GET       0.730     70.59082
GET       0.740     72.18968
GET       0.750     73.82726
GET       0.760     75.45297
GET       0.770     77.09759
GET       0.780     78.69073
GET       0.790     80.24293
GET       0.800     81.77841
GET       0.810     83.22412
GET       0.820     84.58532
GET       0.830     85.80482
GET       0.840     86.88789
GET       0.850     87.85697
GET       0.860     88.72043
GET       0.870     89.41050
GET       0.880     89.97205
GET       0.890     90.44031
GET       0.900     90.79855
GET       0.910     91.06656
GET       0.920     91.27033
GET       0.930     91.43316
GET       0.940     91.53702
GET       0.950     91.63472
GET       0.960     91.70910
GET       0.970     91.75751
GET       0.980     91.80636
GET       0.990     91.83805
GET       1.000     91.94323
GET       1.100     92.00748
GET       1.200     92.03961
GET       1.300     92.13115
GET       1.400     92.38200
GET       1.500     92.83530
GET       1.600     93.27671
GET       1.700     93.48487
GET       1.800     93.57773
GET       1.900     93.63098
GET       2.000     93.66487
GET       2.100     93.70140
GET       2.200     93.75025
GET       2.300     93.78810
GET       2.400     93.82242
GET       2.500     93.84135
GET       2.600     93.85895
GET       2.700     93.86819
GET       2.800     93.87215
GET       2.900     93.87391
GET       3.000     93.87479
GET       3.100     93.87611
GET       3.200     93.87743
GET       3.300     93.87919
GET       3.400     93.88051
GET       3.500     93.88184
GET       3.600     93.88228
GET       3.800     93.88360
GET       3.900     93.88536
GET       4.000     93.88624
GET       4.100     93.88888
GET       4.200     93.89240
GET       4.300     93.89856
GET       4.400     93.91660
GET       4.500     94.25723
GET       4.600     95.66861
GET       4.700     96.19848
GET       4.800     97.00869
GET       4.900     98.13621
GET       5.000     98.50501
GET       5.100     98.56486
GET       5.200     98.57850
GET       5.300     98.58686
GET       5.400     98.60887
GET       5.500     98.64540
GET       5.600     98.69337
GET       5.700     98.73121
GET       5.800     98.75102
GET       5.900     98.76510
GET       6.000     98.77654
GET       6.100     98.78050
GET       6.200     98.78358
GET       6.300     98.79019
GET       6.400     98.79371
GET       6.500     98.79855
GET       6.600     98.80119
GET       6.700     98.80251
GET       6.800     98.80427
GET       6.900     98.80471
GET       8.300     98.81219
GET       8.400     98.82803
GET       8.500     98.89449
GET       8.600     99.02255
GET       8.700     99.08373
GET       8.800     99.16250
GET       8.900     99.25448
GET       9.000     99.29629
GET       9.100     99.29805
GET       9.200     99.30025
GET       9.300     99.30817
GET       9.400     99.31698
GET       9.500     99.32710
GET       9.600     99.34910
GET       9.700     99.36715
GET       9.800     99.37771
GET       9.900     99.37991
GET      10.000     99.39487
GET      11.000     99.40279
GET      12.000     99.47893
GET      13.000     99.84861
GET      14.000     99.89438
GET      15.000     99.89790
GET      16.000     99.92782
GET      17.000     99.98020
GET      20.000     99.98988
GET      21.000     99.99692
GET      24.000     99.99868
GET      25.000    100.00000
