[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       16753 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       33020 ops,   16265 (avg:   16509) ops/sec, 760.26KB/sec (avg: 709.37KB/sec),  0.49 (avg:  0.48) msec latency[RUN #1 10%,   3 secs]  2 threads:       48489 ops,   15467 (avg:   16162) ops/sec, 796.51KB/sec (avg: 738.42KB/sec),  0.51 (avg:  0.49) msec latency[RUN #1 13%,   4 secs]  2 threads:       62708 ops,   14217 (avg:   15676) ops/sec, 800.91KB/sec (avg: 754.04KB/sec),  0.56 (avg:  0.51) msec latency[RUN #1 17%,   5 secs]  2 threads:       76612 ops,   13902 (avg:   15321) ops/sec, 811.07KB/sec (avg: 765.45KB/sec),  0.57 (avg:  0.52) msec latency[RUN #1 20%,   6 secs]  2 threads:       89613 ops,   12999 (avg:   14934) ops/sec, 789.57KB/sec (avg: 769.47KB/sec),  0.61 (avg:  0.53) msec latency[RUN #1 23%,   7 secs]  2 threads:      100962 ops,   11347 (avg:   14422) ops/sec, 698.20KB/sec (avg: 759.29KB/sec),  0.70 (avg:  0.55) msec latency[RUN #1 27%,   8 secs]  2 threads:      110209 ops,    9246 (avg:   13775) ops/sec, 577.83KB/sec (avg: 736.60KB/sec),  0.86 (avg:  0.58) msec latency[RUN #1 30%,   9 secs]  2 threads:      117576 ops,    7366 (avg:   13062) ops/sec, 465.81KB/sec (avg: 706.51KB/sec),  1.08 (avg:  0.61) msec latency[RUN #1 33%,  10 secs]  2 threads:      125453 ops,    7876 (avg:   12544) ops/sec, 506.94KB/sec (avg: 686.56KB/sec),  1.01 (avg:  0.63) msec latency[RUN #1 37%,  11 secs]  2 threads:      131471 ops,    6017 (avg:   11950) ops/sec, 389.19KB/sec (avg: 659.52KB/sec),  1.32 (avg:  0.66) msec latency[RUN #1 40%,  12 secs]  2 threads:      137475 ops,    6003 (avg:   11455) ops/sec, 391.34KB/sec (avg: 637.17KB/sec),  1.33 (avg:  0.69) msec latency[RUN #1 43%,  13 secs]  2 threads:      139942 ops,    2466 (avg:   10763) ops/sec, 159.98KB/sec (avg: 600.47KB/sec),  3.24 (avg:  0.74) msec latency[RUN #1 47%,  14 secs]  2 threads:      142471 ops,    2528 (avg:   10175) ops/sec, 165.03KB/sec (avg: 569.36KB/sec),  3.16 (avg:  0.78) msec latency[RUN #1 50%,  15 secs]  2 threads:      144905 ops,    2433 (avg:    9659) ops/sec, 159.45KB/sec (avg: 542.04KB/sec),  3.28 (avg:  0.82) msec latency[RUN #1 53%,  16 secs]  2 threads:      147447 ops,    2541 (avg:    9214) ops/sec, 165.63KB/sec (avg: 518.51KB/sec),  3.12 (avg:  0.86) msec latency[RUN #1 57%,  17 secs]  2 threads:      150055 ops,    2607 (avg:    8825) ops/sec, 169.83KB/sec (avg: 498.00KB/sec),  3.08 (avg:  0.90) msec latency[RUN #1 60%,  18 secs]  2 threads:      152740 ops,    2684 (avg:    8484) ops/sec, 176.42KB/sec (avg: 480.13KB/sec),  2.97 (avg:  0.94) msec latency[RUN #1 63%,  19 secs]  2 threads:      155454 ops,    2713 (avg:    8181) ops/sec, 177.72KB/sec (avg: 464.22KB/sec),  2.93 (avg:  0.97) msec latency[RUN #1 67%,  20 secs]  2 threads:      158059 ops,    2604 (avg:    7902) ops/sec, 170.95KB/sec (avg: 449.55KB/sec),  3.05 (avg:  1.01) msec latency[RUN #1 70%,  21 secs]  2 threads:      160765 ops,    2705 (avg:    7654) ops/sec, 177.74KB/sec (avg: 436.61KB/sec),  2.98 (avg:  1.04) msec latency[RUN #1 73%,  22 secs]  2 threads:      163490 ops,    2724 (avg:    7430) ops/sec, 181.08KB/sec (avg: 425.00KB/sec),  2.93 (avg:  1.07) msec latency[RUN #1 77%,  23 secs]  2 threads:      166306 ops,    2815 (avg:    7230) ops/sec, 186.53KB/sec (avg: 414.63KB/sec),  2.84 (avg:  1.10) msec latency[RUN #1 80%,  24 secs]  2 threads:      169067 ops,    2760 (avg:    7043) ops/sec, 182.49KB/sec (avg: 404.95KB/sec),  2.88 (avg:  1.13) msec latency[RUN #1 83%,  25 secs]  2 threads:      171752 ops,    2684 (avg:    6869) ops/sec, 177.56KB/sec (avg: 395.86KB/sec),  2.98 (avg:  1.16) msec latency[RUN #1 87%,  26 secs]  2 threads:      174430 ops,    2677 (avg:    6708) ops/sec, 179.02KB/sec (avg: 387.52KB/sec),  2.96 (avg:  1.19) msec latency[RUN #1 90%,  27 secs]  2 threads:      177118 ops,    2687 (avg:    6559) ops/sec, 178.87KB/sec (avg: 379.79KB/sec),  2.98 (avg:  1.21) msec latency[RUN #1 93%,  28 secs]  2 threads:      179879 ops,    2760 (avg:    6423) ops/sec, 184.12KB/sec (avg: 372.80KB/sec),  2.90 (avg:  1.24) msec latency[RUN #1 97%,  29 secs]  2 threads:      182604 ops,    2724 (avg:    6296) ops/sec, 181.26KB/sec (avg: 366.20KB/sec),  2.93 (avg:  1.26) msec latency[RUN #1 100%,  30 secs]  0 threads:      185234 ops,    2724 (avg:    6174) ops/sec, 181.26KB/sec (avg: 359.87KB/sec),  2.93 (avg:  1.29) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         561.44          ---          ---      1.28800        41.12
Gets        5612.76      3907.66      1705.09      1.29000       318.74
Totals      6174.20      3907.66      1705.09      1.29000       359.87


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.210      0.00059
GET       0.220      0.00356
GET       0.230      0.00831
GET       0.240      0.01960
GET       0.250      0.03801
GET       0.260      0.06117
GET       0.270      0.08552
GET       0.280      0.13184
GET       0.290      0.18410
GET       0.300      0.24348
GET       0.310      0.31771
GET       0.320      0.42758
GET       0.330      0.64731
GET       0.340      1.02738
GET       0.350      1.76673
GET       0.360      2.76026
GET       0.370      3.83455
GET       0.380      4.97832
GET       0.390      6.24028
GET       0.400      7.68751
GET       0.410      9.25174
GET       0.420     10.99531
GET       0.430     12.90694
GET       0.440     15.01692
GET       0.450     17.18867
GET       0.460     19.33191
GET       0.470     21.49950
GET       0.480     23.86781
GET       0.490     26.28660
GET       0.500     28.69588
GET       0.510     31.06717
GET       0.520     33.53821
GET       0.530     36.02470
GET       0.540     38.46250
GET       0.550     40.68234
GET       0.560     42.61951
GET       0.570     44.41297
GET       0.580     45.87921
GET       0.590     47.16788
GET       0.600     48.30988
GET       0.610     49.33903
GET       0.620     50.29634
GET       0.630     51.21741
GET       0.640     52.10701
GET       0.650     52.98652
GET       0.660     53.91650
GET       0.670     54.82689
GET       0.680     55.77528
GET       0.690     56.72843
GET       0.700     57.67029
GET       0.710     58.64184
GET       0.720     59.65319
GET       0.730     60.59564
GET       0.740     61.61708
GET       0.750     62.60407
GET       0.760     63.53881
GET       0.770     64.41772
GET       0.780     65.24081
GET       0.790     66.01639
GET       0.800     66.71952
GET       0.810     67.37573
GET       0.820     67.94881
GET       0.830     68.39005
GET       0.840     68.78081
GET       0.850     69.12049
GET       0.860     69.39189
GET       0.870     69.61280
GET       0.880     69.78799
GET       0.890     69.91805
GET       0.900     70.02554
GET       0.910     70.11343
GET       0.920     70.17459
GET       0.930     70.22745
GET       0.940     70.27436
GET       0.950     70.31593
GET       0.960     70.35038
GET       0.970     70.37710
GET       0.980     70.39907
GET       0.990     70.41926
GET       1.000     70.56892
GET       1.100     71.46624
GET       1.200     74.42307
GET       1.300     78.83722
GET       1.400     83.17418
GET       1.500     86.39705
GET       1.600     88.28790
GET       1.700     89.29093
GET       1.800     90.07483
GET       1.900     90.70966
GET       2.000     91.27977
GET       2.100     91.76495
GET       2.200     92.11592
GET       2.300     92.33030
GET       2.400     92.43601
GET       2.500     92.47521
GET       2.600     92.49777
GET       2.700     92.50965
GET       2.800     92.51321
GET       2.900     92.51618
GET       3.000     92.51915
GET       3.100     92.52212
GET       3.200     92.52450
GET       3.300     92.52747
GET       3.400     92.52984
GET       3.500     92.53340
GET       3.600     92.53637
GET       3.700     92.53816
GET       4.000     92.54291
GET       4.100     92.54409
GET       4.200     92.54647
GET       4.300     92.54825
GET       4.400     92.55122
GET       4.500     92.58685
GET       4.600     92.67237
GET       4.700     92.72582
GET       4.800     92.76798
GET       4.900     92.82024
GET       5.000     92.84696
GET       5.100     92.91169
GET       5.200     93.13558
GET       5.300     93.73359
GET       5.400     94.56975
GET       5.500     95.34058
GET       5.600     95.80141
GET       5.700     96.02827
GET       5.800     96.16604
GET       5.900     96.29610
GET       6.000     96.45882
GET       6.100     96.64172
GET       6.200     96.81335
GET       6.300     96.93212
GET       6.400     97.01764
GET       6.500     97.04733
GET       6.600     97.06515
GET       6.700     97.06871
GET       6.800     97.07287
GET       6.900     97.07524
GET       7.000     97.07702
GET       7.100     97.07821
GET       7.200     97.08177
GET       7.300     97.08356
GET       7.700     97.08415
GET       8.300     97.08831
GET       8.400     97.09543
GET       8.500     97.14175
GET       8.600     97.20470
GET       8.700     97.22311
GET       8.800     97.25696
GET       8.900     97.27656
GET       9.000     97.28784
GET       9.100     97.31279
GET       9.200     97.40305
GET       9.300     97.62456
GET       9.400     97.97078
GET       9.500     98.30216
GET       9.600     98.51654
GET       9.700     98.61334
GET       9.800     98.66322
GET       9.900     98.72558
GET      10.000     99.03438
GET      11.000     99.05398
GET      12.000     99.06645
GET      13.000     99.49997
GET      14.000     99.89014
GET      15.000     99.90142
GET      16.000     99.90439
GET      17.000     99.96793
GET      18.000     99.99169
GET      20.000     99.99584
GET      21.000    100.00000
