[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       14437 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       27115 ops,   12676 (avg:   13557) ops/sec, 553.75KB/sec (avg: 549.00KB/sec),  0.63 (avg:  0.58) msec latency[RUN #1 10%,   3 secs]  2 threads:       39074 ops,   11957 (avg:   13023) ops/sec, 575.05KB/sec (avg: 557.68KB/sec),  0.66 (avg:  0.61) msec latency[RUN #1 13%,   4 secs]  2 threads:       49796 ops,   10720 (avg:   12448) ops/sec, 553.70KB/sec (avg: 556.69KB/sec),  0.73 (avg:  0.63) msec latency[RUN #1 17%,   5 secs]  2 threads:       60013 ops,   10215 (avg:   12001) ops/sec, 558.56KB/sec (avg: 557.06KB/sec),  0.79 (avg:  0.66) msec latency[RUN #1 20%,   6 secs]  2 threads:       66901 ops,    6887 (avg:   11149) ops/sec, 390.65KB/sec (avg: 529.33KB/sec),  1.15 (avg:  0.71) msec latency[RUN #1 23%,   7 secs]  2 threads:       75151 ops,    8249 (avg:   10734) ops/sec, 472.29KB/sec (avg: 521.18KB/sec),  0.97 (avg:  0.74) msec latency[RUN #1 27%,   8 secs]  2 threads:       79203 ops,    4051 (avg:    9899) ops/sec, 235.39KB/sec (avg: 485.45KB/sec),  1.96 (avg:  0.80) msec latency[RUN #1 30%,   9 secs]  2 threads:       82003 ops,    2799 (avg:    9110) ops/sec, 166.01KB/sec (avg: 449.96KB/sec),  2.86 (avg:  0.87) msec latency[RUN #1 33%,  10 secs]  2 threads:       84784 ops,    2780 (avg:    8477) ops/sec, 169.49KB/sec (avg: 421.91KB/sec),  2.88 (avg:  0.94) msec latency[RUN #1 37%,  11 secs]  2 threads:       87624 ops,    2839 (avg:    7965) ops/sec, 173.17KB/sec (avg: 399.30KB/sec),  2.81 (avg:  1.00) msec latency[RUN #1 40%,  12 secs]  2 threads:       90530 ops,    2905 (avg:    7543) ops/sec, 177.65KB/sec (avg: 380.83KB/sec),  2.75 (avg:  1.05) msec latency[RUN #1 43%,  13 secs]  2 threads:       93536 ops,    3005 (avg:    7194) ops/sec, 180.52KB/sec (avg: 365.42KB/sec),  2.65 (avg:  1.11) msec latency[RUN #1 47%,  14 secs]  2 threads:       96456 ops,    2919 (avg:    6889) ops/sec, 177.51KB/sec (avg: 352.00KB/sec),  2.73 (avg:  1.15) msec latency[RUN #1 50%,  15 secs]  2 threads:       99443 ops,    2986 (avg:    6628) ops/sec, 182.64KB/sec (avg: 340.71KB/sec),  2.67 (avg:  1.20) msec latency[RUN #1 53%,  16 secs]  2 threads:      102398 ops,    2954 (avg:    6399) ops/sec, 183.38KB/sec (avg: 330.88KB/sec),  2.71 (avg:  1.24) msec latency[RUN #1 57%,  17 secs]  2 threads:      105305 ops,    2906 (avg:    6193) ops/sec, 178.90KB/sec (avg: 321.94KB/sec),  2.73 (avg:  1.28) msec latency[RUN #1 60%,  18 secs]  2 threads:      108266 ops,    2960 (avg:    6014) ops/sec, 183.07KB/sec (avg: 314.22KB/sec),  2.71 (avg:  1.32) msec latency[RUN #1 63%,  19 secs]  2 threads:      111237 ops,    2970 (avg:    5854) ops/sec, 186.64KB/sec (avg: 307.51KB/sec),  2.68 (avg:  1.36) msec latency[RUN #1 67%,  20 secs]  2 threads:      114190 ops,    2952 (avg:    5708) ops/sec, 186.06KB/sec (avg: 301.43KB/sec),  2.72 (avg:  1.40) msec latency[RUN #1 70%,  21 secs]  2 threads:      117199 ops,    3008 (avg:    5580) ops/sec, 186.99KB/sec (avg: 295.98KB/sec),  2.65 (avg:  1.43) msec latency[RUN #1 73%,  22 secs]  2 threads:      120185 ops,    2985 (avg:    5462) ops/sec, 190.23KB/sec (avg: 291.18KB/sec),  2.66 (avg:  1.46) msec latency[RUN #1 77%,  23 secs]  2 threads:      123187 ops,    3001 (avg:    5355) ops/sec, 191.33KB/sec (avg: 286.83KB/sec),  2.67 (avg:  1.49) msec latency[RUN #1 80%,  24 secs]  2 threads:      126130 ops,    2942 (avg:    5254) ops/sec, 189.33KB/sec (avg: 282.77KB/sec),  2.70 (avg:  1.52) msec latency[RUN #1 83%,  25 secs]  2 threads:      129100 ops,    2969 (avg:    5163) ops/sec, 190.84KB/sec (avg: 279.09KB/sec),  2.68 (avg:  1.54) msec latency[RUN #1 87%,  26 secs]  2 threads:      132912 ops,    3811 (avg:    5111) ops/sec, 246.26KB/sec (avg: 277.83KB/sec),  2.11 (avg:  1.56) msec latency[RUN #1 90%,  27 secs]  2 threads:      138931 ops,    6018 (avg:    5145) ops/sec, 389.88KB/sec (avg: 281.98KB/sec),  1.32 (avg:  1.55) msec latency[RUN #1 93%,  28 secs]  2 threads:      154013 ops,   15080 (avg:    5499) ops/sec, 982.54KB/sec (avg: 307.00KB/sec),  0.52 (avg:  1.45) msec latency[RUN #1 97%,  29 secs]  2 threads:      167673 ops,   13658 (avg:    5781) ops/sec, 896.59KB/sec (avg: 327.33KB/sec),  0.57 (avg:  1.38) msec latency[RUN #1 100%,  30 secs]  0 threads:      180922 ops,   13658 (avg:    6030) ops/sec, 896.59KB/sec (avg: 345.74KB/sec),  0.57 (avg:  1.32) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         548.33          ---          ---      1.32000        40.16
Gets        5482.32      3665.68      1816.64      1.32000       305.58
Totals      6030.65      3665.68      1816.64      1.32000       345.74


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.070      0.00061
GET       0.077      0.00122
GET       0.083      0.00243
GET       0.088      0.00304
GET       0.090      0.00365
GET       0.091      0.00426
GET       0.092      0.00547
GET       0.094      0.00608
GET       0.096      0.00669
GET       0.097      0.00790
GET       0.098      0.00973
GET       0.099      0.01094
GET       0.100      0.01763
GET       0.110      0.02918
GET       0.120      0.04317
GET       0.130      0.06870
GET       0.140      0.10944
GET       0.150      0.16234
GET       0.160      0.20307
GET       0.170      0.23712
GET       0.180      0.27360
GET       0.190      0.32650
GET       0.200      0.38061
GET       0.210      0.42925
GET       0.220      0.49553
GET       0.230      0.60861
GET       0.240      0.84391
GET       0.250      1.18561
GET       0.260      1.62885
GET       0.270      2.19977
GET       0.280      2.85581
GET       0.290      3.57994
GET       0.300      4.21835
GET       0.310      4.68347
GET       0.320      5.01788
GET       0.330      5.31823
GET       0.340      5.59123
GET       0.350      5.91651
GET       0.360      6.37434
GET       0.370      7.11610
GET       0.380      8.21295
GET       0.390      9.68250
GET       0.400     11.49314
GET       0.410     13.57556
GET       0.420     15.75648
GET       0.430     18.05900
GET       0.440     20.30498
GET       0.450     22.40321
GET       0.460     24.32268
GET       0.470     26.17832
GET       0.480     28.04976
GET       0.490     30.07503
GET       0.500     32.08084
GET       0.510     34.14137
GET       0.520     36.22987
GET       0.530     38.28068
GET       0.540     40.22873
GET       0.550     42.08558
GET       0.560     43.57641
GET       0.570     44.86356
GET       0.580     45.97135
GET       0.590     46.83958
GET       0.600     47.54365
GET       0.610     48.06654
GET       0.620     48.52315
GET       0.630     48.93964
GET       0.640     49.29228
GET       0.650     49.71728
GET       0.660     50.17024
GET       0.670     50.67306
GET       0.680     51.27073
GET       0.690     51.88300
GET       0.700     52.56822
GET       0.710     53.35498
GET       0.720     54.21348
GET       0.730     55.20818
GET       0.740     56.15120
GET       0.750     57.11793
GET       0.760     58.07189
GET       0.770     59.02889
GET       0.780     59.95245
GET       0.790     60.87784
GET       0.800     61.77769
GET       0.810     62.59302
GET       0.820     63.31108
GET       0.830     63.95374
GET       0.840     64.53439
GET       0.850     65.02748
GET       0.860     65.45613
GET       0.870     65.81120
GET       0.880     66.09940
GET       0.890     66.32497
GET       0.900     66.50068
GET       0.910     66.67883
GET       0.920     66.80043
GET       0.930     66.89102
GET       0.940     66.97736
GET       0.950     67.03269
GET       0.960     67.08619
GET       0.970     67.13544
GET       0.980     67.17557
GET       0.990     67.21022
GET       1.000     67.55618
GET       1.100     69.73710
GET       1.200     74.85408
GET       1.300     81.29530
GET       1.400     86.21650
GET       1.500     88.84491
GET       1.600     89.93993
GET       1.700     90.32905
GET       1.800     90.55280
GET       1.900     90.76499
GET       2.000     90.96503
GET       2.100     91.09392
GET       2.200     91.17357
GET       2.300     91.22769
GET       2.400     91.25565
GET       2.500     91.27268
GET       2.600     91.27572
GET       2.700     91.28484
GET       2.800     91.29153
GET       2.900     91.29274
GET       3.000     91.29396
GET       3.100     91.29700
GET       3.200     91.29821
GET       3.300     91.30004
GET       3.400     91.30733
GET       3.500     91.30916
GET       3.700     91.30977
GET       3.800     91.31220
GET       3.900     91.31342
GET       4.000     91.31463
GET       4.100     91.31889
GET       4.200     91.32497
GET       4.300     91.37300
GET       4.400     91.43988
GET       4.500     91.63262
GET       4.600     92.02296
GET       4.700     92.14274
GET       4.800     92.34338
GET       4.900     92.56530
GET       5.000     92.68143
GET       5.100     92.89180
GET       5.200     93.52169
GET       5.300     94.53585
GET       5.400     95.46488
GET       5.500     96.06316
GET       5.600     96.33555
GET       5.700     96.46931
GET       5.800     96.53984
GET       5.900     96.59638
GET       6.000     96.66083
GET       6.100     96.70886
GET       6.200     96.74717
GET       6.300     96.76237
GET       6.400     96.77149
GET       6.500     96.77453
GET       6.600     96.77878
GET       6.700     96.77939
GET       7.000     96.78000
GET       7.100     96.78061
GET       7.200     96.78122
GET       7.400     96.78243
GET       7.500     96.78304
GET       7.900     96.78486
GET       8.000     96.78547
GET       8.100     96.78790
GET       8.200     96.79459
GET       8.300     96.81101
GET       8.400     96.84445
GET       8.500     96.91011
GET       8.600     96.99341
GET       8.700     97.02503
GET       8.800     97.09495
GET       8.900     97.14419
GET       9.000     97.16547
GET       9.100     97.22263
GET       9.200     97.42692
GET       9.300     97.83307
GET       9.400     98.30609
GET       9.500     98.62347
GET       9.600     98.75967
GET       9.700     98.82168
GET       9.800     98.85452
GET       9.900     98.88066
GET      10.000     98.97490
GET      11.000     98.98341
GET      12.000     99.07826
GET      13.000     99.68201
GET      14.000     99.89238
GET      15.000     99.89481
GET      16.000     99.90211
GET      17.000     99.96534
GET      18.000     99.98115
GET      21.000     99.99514
GET      25.000    100.00000
