[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       16577 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       32835 ops,   16256 (avg:   16417) ops/sec, 679.68KB/sec (avg: 651.88KB/sec),  0.49 (avg:  0.48) msec latency[RUN #1 10%,   3 secs]  2 threads:       48019 ops,   15181 (avg:   16005) ops/sec, 675.58KB/sec (avg: 659.78KB/sec),  0.52 (avg:  0.50) msec latency[RUN #1 13%,   4 secs]  2 threads:       62568 ops,   14547 (avg:   15641) ops/sec, 684.53KB/sec (avg: 665.97KB/sec),  0.54 (avg:  0.51) msec latency[RUN #1 17%,   5 secs]  2 threads:       75934 ops,   13364 (avg:   15185) ops/sec, 666.41KB/sec (avg: 666.06KB/sec),  0.59 (avg:  0.52) msec latency[RUN #1 20%,   6 secs]  2 threads:       88744 ops,   12808 (avg:   14789) ops/sec, 664.74KB/sec (avg: 665.84KB/sec),  0.62 (avg:  0.54) msec latency[RUN #1 23%,   7 secs]  2 threads:      100680 ops,   11934 (avg:   14381) ops/sec, 629.00KB/sec (avg: 660.58KB/sec),  0.66 (avg:  0.55) msec latency[RUN #1 27%,   8 secs]  2 threads:      112701 ops,   12019 (avg:   14086) ops/sec, 652.67KB/sec (avg: 659.59KB/sec),  0.66 (avg:  0.56) msec latency[RUN #1 30%,   9 secs]  2 threads:      125018 ops,   12315 (avg:   13889) ops/sec, 688.21KB/sec (avg: 662.77KB/sec),  0.64 (avg:  0.57) msec latency[RUN #1 33%,  10 secs]  2 threads:      136999 ops,   11979 (avg:   13698) ops/sec, 688.80KB/sec (avg: 665.37KB/sec),  0.66 (avg:  0.58) msec latency[RUN #1 37%,  11 secs]  2 threads:      149171 ops,   12170 (avg:   13559) ops/sec, 703.02KB/sec (avg: 668.79KB/sec),  0.65 (avg:  0.58) msec latency[RUN #1 40%,  12 secs]  2 threads:      160849 ops,   11676 (avg:   13402) ops/sec, 679.48KB/sec (avg: 669.68KB/sec),  0.68 (avg:  0.59) msec latency[RUN #1 43%,  13 secs]  2 threads:      173269 ops,   12418 (avg:   13327) ops/sec, 740.49KB/sec (avg: 675.13KB/sec),  0.64 (avg:  0.59) msec latency[RUN #1 47%,  14 secs]  2 threads:      185382 ops,   12111 (avg:   13240) ops/sec, 733.05KB/sec (avg: 679.27KB/sec),  0.65 (avg:  0.60) msec latency[RUN #1 50%,  15 secs]  2 threads:      197499 ops,   12115 (avg:   13165) ops/sec, 739.69KB/sec (avg: 683.30KB/sec),  0.65 (avg:  0.60) msec latency[RUN #1 53%,  16 secs]  2 threads:      209784 ops,   12283 (avg:   13110) ops/sec, 758.11KB/sec (avg: 687.97KB/sec),  0.64 (avg:  0.60) msec latency[RUN #1 57%,  17 secs]  2 threads:      222220 ops,   12433 (avg:   13070) ops/sec, 779.65KB/sec (avg: 693.37KB/sec),  0.64 (avg:  0.61) msec latency[RUN #1 60%,  18 secs]  2 threads:      233909 ops,   11687 (avg:   12993) ops/sec, 742.35KB/sec (avg: 696.09KB/sec),  0.68 (avg:  0.61) msec latency[RUN #1 63%,  19 secs]  2 threads:      246003 ops,   12092 (avg:   12946) ops/sec, 770.78KB/sec (avg: 700.02KB/sec),  0.66 (avg:  0.61) msec latency[RUN #1 67%,  20 secs]  2 threads:      257822 ops,   11817 (avg:   12889) ops/sec, 762.80KB/sec (avg: 703.16KB/sec),  0.67 (avg:  0.61) msec latency[RUN #1 70%,  21 secs]  2 threads:      269680 ops,   11856 (avg:   12840) ops/sec, 770.10KB/sec (avg: 706.34KB/sec),  0.67 (avg:  0.62) msec latency[RUN #1 73%,  22 secs]  2 threads:      281649 ops,   11967 (avg:   12800) ops/sec, 780.78KB/sec (avg: 709.73KB/sec),  0.66 (avg:  0.62) msec latency[RUN #1 77%,  23 secs]  2 threads:      293519 ops,   11868 (avg:   12760) ops/sec, 776.27KB/sec (avg: 712.62KB/sec),  0.67 (avg:  0.62) msec latency[RUN #1 80%,  24 secs]  2 threads:      305939 ops,   12418 (avg:   12746) ops/sec, 819.30KB/sec (avg: 717.07KB/sec),  0.64 (avg:  0.62) msec latency[RUN #1 83%,  25 secs]  2 threads:      317662 ops,   11721 (avg:   12705) ops/sec, 779.31KB/sec (avg: 719.56KB/sec),  0.68 (avg:  0.62) msec latency[RUN #1 87%,  26 secs]  2 threads:      329779 ops,   12115 (avg:   12682) ops/sec, 809.97KB/sec (avg: 723.03KB/sec),  0.65 (avg:  0.62) msec latency[RUN #1 90%,  27 secs]  2 threads:      341538 ops,   11757 (avg:   12648) ops/sec, 789.41KB/sec (avg: 725.49KB/sec),  0.67 (avg:  0.63) msec latency[RUN #1 93%,  28 secs]  2 threads:      353740 ops,   12200 (avg:   12632) ops/sec, 820.56KB/sec (avg: 728.89KB/sec),  0.65 (avg:  0.63) msec latency[RUN #1 97%,  29 secs]  2 threads:      365686 ops,   11944 (avg:   12608) ops/sec, 806.10KB/sec (avg: 731.55KB/sec),  0.66 (avg:  0.63) msec latency[RUN #1 100%,  30 secs]  0 threads:      378698 ops,   11944 (avg:   12623) ops/sec, 806.10KB/sec (avg: 736.56KB/sec),  0.66 (avg:  0.63) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1147.70          ---          ---      0.63000        84.54
Gets       11475.54      7873.45      3602.09      0.62700       652.03
Totals     12623.23      7873.45      3602.09      0.62700       736.56


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000    100.00000
---
GET       0.081      0.00029
GET       0.088      0.00058
GET       0.089      0.00087
GET       0.090      0.00116
GET       0.091      0.00203
GET       0.092      0.00261
GET       0.093      0.00290
GET       0.094      0.00320
GET       0.095      0.00378
GET       0.096      0.00523
GET       0.097      0.00552
GET       0.099      0.00610
GET       0.100      0.00900
GET       0.110      0.02062
GET       0.120      0.03486
GET       0.130      0.06826
GET       0.140      0.11357
GET       0.150      0.15889
GET       0.160      0.18677
GET       0.170      0.21611
GET       0.180      0.24806
GET       0.190      0.27508
GET       0.200      0.30500
GET       0.210      0.31923
GET       0.220      0.33317
GET       0.230      0.34218
GET       0.240      0.35147
GET       0.250      0.35670
GET       0.260      0.36338
GET       0.270      0.36687
GET       0.280      0.37064
GET       0.290      0.37558
GET       0.300      0.38400
GET       0.310      0.40724
GET       0.320      0.44065
GET       0.330      0.52227
GET       0.340      0.69510
GET       0.350      0.98586
GET       0.360      1.38759
GET       0.370      1.85118
GET       0.380      2.32349
GET       0.390      2.88003
GET       0.400      3.61231
GET       0.410      4.46078
GET       0.420      5.41295
GET       0.430      6.41508
GET       0.440      7.46543
GET       0.450      8.53785
GET       0.460      9.64164
GET       0.470     10.95458
GET       0.480     12.60127
GET       0.490     14.64880
GET       0.500     17.21716
GET       0.510     20.46842
GET       0.520     24.35726
GET       0.530     29.04141
GET       0.540     34.22518
GET       0.550     39.41156
GET       0.560     44.30398
GET       0.570     48.78365
GET       0.580     52.76341
GET       0.590     56.02076
GET       0.600     58.55020
GET       0.610     60.52483
GET       0.620     62.04080
GET       0.630     63.22041
GET       0.640     64.14498
GET       0.650     64.91560
GET       0.660     65.59008
GET       0.670     66.19862
GET       0.680     66.75429
GET       0.690     67.30241
GET       0.700     67.87261
GET       0.710     68.49596
GET       0.720     69.21285
GET       0.730     70.08165
GET       0.740     71.10557
GET       0.750     72.28459
GET       0.760     73.68757
GET       0.770     75.31567
GET       0.780     77.14797
GET       0.790     79.16356
GET       0.800     81.25670
GET       0.810     83.42275
GET       0.820     85.59635
GET       0.830     87.70315
GET       0.840     89.65890
GET       0.850     91.50427
GET       0.860     93.19859
GET       0.870     94.65705
GET       0.880     95.86919
GET       0.890     96.82746
GET       0.900     97.57456
GET       0.910     98.15812
GET       0.920     98.61416
GET       0.930     98.97260
GET       0.940     99.21282
GET       0.950     99.39233
GET       0.960     99.53989
GET       0.970     99.63110
GET       0.980     99.71214
GET       0.990     99.77430
GET       1.000     99.93581
GET       1.100     99.98722
GET       1.200     99.99158
GET       1.300     99.99216
GET       1.400     99.99390
GET       1.500     99.99564
GET       1.600     99.99710
GET       1.700     99.99884
GET       2.400     99.99913
GET       2.600     99.99971
GET       2.800    100.00000
