[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       17876 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       33515 ops,   15637 (avg:   16757) ops/sec, 644.26KB/sec (avg: 656.99KB/sec),  0.51 (avg:  0.47) msec latency[RUN #1 10%,   3 secs]  2 threads:       47487 ops,   13970 (avg:   15828) ops/sec, 613.58KB/sec (avg: 642.52KB/sec),  0.57 (avg:  0.50) msec latency[RUN #1 13%,   4 secs]  2 threads:       60500 ops,   13010 (avg:   15123) ops/sec, 596.95KB/sec (avg: 631.12KB/sec),  0.61 (avg:  0.52) msec latency[RUN #1 17%,   5 secs]  2 threads:       72924 ops,   12422 (avg:   14583) ops/sec, 602.14KB/sec (avg: 625.33KB/sec),  0.64 (avg:  0.54) msec latency[RUN #1 20%,   6 secs]  2 threads:       85019 ops,   12093 (avg:   14168) ops/sec, 618.88KB/sec (avg: 624.25KB/sec),  0.66 (avg:  0.56) msec latency[RUN #1 23%,   7 secs]  2 threads:       97697 ops,   12676 (avg:   13955) ops/sec, 657.37KB/sec (avg: 628.98KB/sec),  0.63 (avg:  0.57) msec latency[RUN #1 27%,   8 secs]  2 threads:      109899 ops,   12200 (avg:   13736) ops/sec, 651.04KB/sec (avg: 631.74KB/sec),  0.65 (avg:  0.58) msec latency[RUN #1 30%,   9 secs]  2 threads:      121792 ops,   11891 (avg:   13531) ops/sec, 654.44KB/sec (avg: 634.26KB/sec),  0.67 (avg:  0.59) msec latency[RUN #1 33%,  10 secs]  2 threads:      133242 ops,   11448 (avg:   13323) ops/sec, 652.38KB/sec (avg: 636.07KB/sec),  0.69 (avg:  0.59) msec latency[RUN #1 37%,  11 secs]  2 threads:      145483 ops,   12239 (avg:   13224) ops/sec, 701.22KB/sec (avg: 642.00KB/sec),  0.65 (avg:  0.60) msec latency[RUN #1 40%,  12 secs]  2 threads:      157980 ops,   12495 (avg:   13163) ops/sec, 716.53KB/sec (avg: 648.21KB/sec),  0.63 (avg:  0.60) msec latency[RUN #1 43%,  13 secs]  2 threads:      169738 ops,   11756 (avg:   13055) ops/sec, 690.83KB/sec (avg: 651.49KB/sec),  0.67 (avg:  0.61) msec latency[RUN #1 47%,  14 secs]  2 threads:      181485 ops,   11745 (avg:   12962) ops/sec, 704.64KB/sec (avg: 655.28KB/sec),  0.67 (avg:  0.61) msec latency[RUN #1 50%,  15 secs]  2 threads:      193171 ops,   11684 (avg:   12876) ops/sec, 705.32KB/sec (avg: 658.62KB/sec),  0.68 (avg:  0.62) msec latency[RUN #1 53%,  16 secs]  2 threads:      204806 ops,   11633 (avg:   12799) ops/sec, 707.42KB/sec (avg: 661.67KB/sec),  0.68 (avg:  0.62) msec latency[RUN #1 57%,  17 secs]  2 threads:      216820 ops,   12012 (avg:   12752) ops/sec, 741.23KB/sec (avg: 666.35KB/sec),  0.66 (avg:  0.62) msec latency[RUN #1 60%,  18 secs]  2 threads:      228370 ops,   11548 (avg:   12686) ops/sec, 724.92KB/sec (avg: 669.60KB/sec),  0.69 (avg:  0.62) msec latency[RUN #1 63%,  19 secs]  2 threads:      240443 ops,   12071 (avg:   12653) ops/sec, 762.26KB/sec (avg: 674.48KB/sec),  0.66 (avg:  0.63) msec latency[RUN #1 67%,  20 secs]  2 threads:      252102 ops,   11657 (avg:   12603) ops/sec, 742.57KB/sec (avg: 677.88KB/sec),  0.68 (avg:  0.63) msec latency[RUN #1 70%,  21 secs]  2 threads:      263547 ops,   11443 (avg:   12548) ops/sec, 737.51KB/sec (avg: 680.72KB/sec),  0.69 (avg:  0.63) msec latency[RUN #1 73%,  22 secs]  2 threads:      275583 ops,   12034 (avg:   12525) ops/sec, 786.42KB/sec (avg: 685.53KB/sec),  0.66 (avg:  0.63) msec latency[RUN #1 77%,  23 secs]  2 threads:      287933 ops,   12348 (avg:   12517) ops/sec, 798.88KB/sec (avg: 690.46KB/sec),  0.64 (avg:  0.63) msec latency[RUN #1 80%,  24 secs]  2 threads:      299754 ops,   11819 (avg:   12488) ops/sec, 772.03KB/sec (avg: 693.86KB/sec),  0.67 (avg:  0.63) msec latency[RUN #1 83%,  25 secs]  2 threads:      311364 ops,   11608 (avg:   12453) ops/sec, 765.78KB/sec (avg: 696.73KB/sec),  0.68 (avg:  0.64) msec latency[RUN #1 87%,  26 secs]  2 threads:      323284 ops,   11918 (avg:   12432) ops/sec, 793.20KB/sec (avg: 700.44KB/sec),  0.67 (avg:  0.64) msec latency[RUN #1 90%,  27 secs]  2 threads:      335445 ops,   12159 (avg:   12422) ops/sec, 812.12KB/sec (avg: 704.58KB/sec),  0.65 (avg:  0.64) msec latency[RUN #1 93%,  28 secs]  2 threads:      347333 ops,   11886 (avg:   12403) ops/sec, 796.37KB/sec (avg: 707.86KB/sec),  0.67 (avg:  0.64) msec latency[RUN #1 97%,  29 secs]  2 threads:      359368 ops,   12033 (avg:   12390) ops/sec, 810.02KB/sec (avg: 711.38KB/sec),  0.66 (avg:  0.64) msec latency[RUN #1 100%,  30 secs]  0 threads:      371536 ops,   12033 (avg:   12384) ops/sec, 810.02KB/sec (avg: 714.99KB/sec),  0.66 (avg:  0.64) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1125.96          ---          ---      0.64100        82.94
Gets       11258.46      7523.99      3734.46      0.63900       632.06
Totals     12384.41      7523.99      3734.46      0.64000       714.99


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.160      0.00089
GET       0.170      0.00178
GET       0.180      0.00326
GET       0.190      0.00533
GET       0.200      0.00740
GET       0.210      0.00947
GET       0.220      0.01125
GET       0.230      0.01599
GET       0.240      0.02605
GET       0.250      0.04411
GET       0.260      0.06158
GET       0.270      0.08408
GET       0.280      0.10777
GET       0.290      0.13530
GET       0.300      0.16254
GET       0.310      0.18534
GET       0.320      0.21939
GET       0.330      0.28127
GET       0.340      0.39318
GET       0.350      0.57349
GET       0.360      0.86482
GET       0.370      1.29679
GET       0.380      1.87620
GET       0.390      2.54473
GET       0.400      3.15730
GET       0.410      3.71332
GET       0.420      4.28888
GET       0.430      4.94379
GET       0.440      5.65910
GET       0.450      6.41615
GET       0.460      7.24367
GET       0.470      8.23225
GET       0.480      9.48285
GET       0.490     11.13256
GET       0.500     13.28855
GET       0.510     15.91854
GET       0.520     19.15519
GET       0.530     23.23771
GET       0.540     28.01126
GET       0.550     33.08029
GET       0.560     38.32726
GET       0.570     43.53159
GET       0.580     48.50825
GET       0.590     52.85042
GET       0.600     56.42192
GET       0.610     59.28848
GET       0.620     61.50013
GET       0.630     63.11372
GET       0.640     64.29741
GET       0.650     65.15749
GET       0.660     65.82691
GET       0.670     66.37346
GET       0.680     66.84984
GET       0.690     67.29128
GET       0.700     67.76825
GET       0.710     68.26121
GET       0.720     68.83440
GET       0.730     69.51951
GET       0.740     70.34969
GET       0.750     71.31577
GET       0.760     72.48318
GET       0.770     73.79507
GET       0.780     75.28312
GET       0.790     76.94437
GET       0.800     78.71991
GET       0.810     80.67901
GET       0.820     82.67541
GET       0.830     84.72630
GET       0.840     86.73958
GET       0.850     88.67588
GET       0.860     90.45083
GET       0.870     92.13932
GET       0.880     93.64750
GET       0.890     94.90344
GET       0.900     95.99446
GET       0.910     96.89540
GET       0.920     97.62107
GET       0.930     98.19308
GET       0.940     98.63393
GET       0.950     98.98300
GET       0.960     99.23347
GET       0.970     99.40283
GET       0.980     99.54257
GET       0.990     99.63998
GET       1.000     99.89371
GET       1.100     99.98431
GET       1.200     99.99349
GET       1.300     99.99586
GET       1.400     99.99674
GET       1.500     99.99763
GET       2.100     99.99793
GET       2.400     99.99852
GET       2.500     99.99882
GET       4.100     99.99911
GET       4.300     99.99941
GET       4.600    100.00000
