[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  2 threads:        9075 ops,    9074 (avg:    9074) ops/sec, 331.96KB/sec (avg: 331.96KB/sec),  0.88 (avg:  0.88) msec latency[RUN #1 7%,   2 secs]  2 threads:       16911 ops,    7835 (avg:    8454) ops/sec, 305.00KB/sec (avg: 318.48KB/sec),  1.01 (avg:  0.94) msec latency[RUN #1 10%,   3 secs]  2 threads:       22960 ops,    6048 (avg:    7652) ops/sec, 241.42KB/sec (avg: 292.79KB/sec),  1.32 (avg:  1.04) msec latency[RUN #1 13%,   4 secs]  2 threads:       28383 ops,    5422 (avg:    7095) ops/sec, 229.83KB/sec (avg: 277.05KB/sec),  1.47 (avg:  1.12) msec latency[RUN #1 17%,   5 secs]  2 threads:       34194 ops,    5810 (avg:    6838) ops/sec, 256.00KB/sec (avg: 272.84KB/sec),  1.37 (avg:  1.16) msec latency[RUN #1 20%,   6 secs]  2 threads:       41639 ops,    7444 (avg:    6939) ops/sec, 333.33KB/sec (avg: 282.92KB/sec),  1.07 (avg:  1.15) msec latency[RUN #1 23%,   7 secs]  2 threads:       53627 ops,   11986 (avg:    7660) ops/sec, 563.93KB/sec (avg: 323.07KB/sec),  0.66 (avg:  1.04) msec latency[RUN #1 27%,   8 secs]  2 threads:       65279 ops,   11650 (avg:    8159) ops/sec, 557.97KB/sec (avg: 352.43KB/sec),  0.68 (avg:  0.97) msec latency[RUN #1 30%,   9 secs]  2 threads:       77609 ops,   12328 (avg:    8622) ops/sec, 626.08KB/sec (avg: 382.83KB/sec),  0.65 (avg:  0.92) msec latency[RUN #1 33%,  10 secs]  2 threads:       89565 ops,   11954 (avg:    8955) ops/sec, 628.88KB/sec (avg: 407.44KB/sec),  0.66 (avg:  0.89) msec latency[RUN #1 37%,  11 secs]  2 threads:      101860 ops,   12293 (avg:    9259) ops/sec, 667.02KB/sec (avg: 431.04KB/sec),  0.64 (avg:  0.86) msec latency[RUN #1 40%,  12 secs]  2 threads:      114610 ops,   12748 (avg:    9549) ops/sec, 706.95KB/sec (avg: 454.03KB/sec),  0.62 (avg:  0.83) msec latency[RUN #1 43%,  13 secs]  2 threads:      126490 ops,   11878 (avg:    9729) ops/sec, 676.17KB/sec (avg: 471.12KB/sec),  0.66 (avg:  0.82) msec latency[RUN #1 47%,  14 secs]  2 threads:      135034 ops,    8543 (avg:    9644) ops/sec, 491.42KB/sec (avg: 472.57KB/sec),  0.94 (avg:  0.82) msec latency[RUN #1 50%,  15 secs]  2 threads:      144445 ops,    9410 (avg:    9628) ops/sec, 555.55KB/sec (avg: 478.10KB/sec),  0.84 (avg:  0.82) msec latency[RUN #1 53%,  16 secs]  2 threads:      155696 ops,   11249 (avg:    9730) ops/sec, 671.53KB/sec (avg: 490.19KB/sec),  0.71 (avg:  0.82) msec latency[RUN #1 57%,  17 secs]  2 threads:      168065 ops,   12367 (avg:    9885) ops/sec, 752.83KB/sec (avg: 505.64KB/sec),  0.64 (avg:  0.80) msec latency[RUN #1 60%,  18 secs]  2 threads:      179123 ops,   11056 (avg:    9950) ops/sec, 678.35KB/sec (avg: 515.23KB/sec),  0.72 (avg:  0.80) msec latency[RUN #1 63%,  19 secs]  2 threads:      190431 ops,   11306 (avg:   10021) ops/sec, 700.16KB/sec (avg: 524.97KB/sec),  0.70 (avg:  0.79) msec latency[RUN #1 67%,  20 secs]  2 threads:      201466 ops,   11033 (avg:   10072) ops/sec, 693.38KB/sec (avg: 533.39KB/sec),  0.72 (avg:  0.79) msec latency[RUN #1 70%,  21 secs]  2 threads:      213216 ops,   11748 (avg:   10152) ops/sec, 743.60KB/sec (avg: 543.40KB/sec),  0.67 (avg:  0.78) msec latency[RUN #1 73%,  22 secs]  2 threads:      225092 ops,   11874 (avg:   10230) ops/sec, 758.75KB/sec (avg: 553.19KB/sec),  0.67 (avg:  0.78) msec latency[RUN #1 77%,  23 secs]  2 threads:      236648 ops,   11554 (avg:   10288) ops/sec, 748.46KB/sec (avg: 561.68KB/sec),  0.69 (avg:  0.77) msec latency[RUN #1 80%,  24 secs]  2 threads:      247342 ops,   10692 (avg:   10304) ops/sec, 692.53KB/sec (avg: 567.13KB/sec),  0.74 (avg:  0.77) msec latency[RUN #1 83%,  25 secs]  2 threads:      259641 ops,   12297 (avg:   10384) ops/sec, 802.90KB/sec (avg: 576.56KB/sec),  0.64 (avg:  0.76) msec latency[RUN #1 87%,  26 secs]  2 threads:      271512 ops,   11869 (avg:   10441) ops/sec, 783.10KB/sec (avg: 584.50KB/sec),  0.67 (avg:  0.76) msec latency[RUN #1 90%,  27 secs]  2 threads:      282671 ops,   11157 (avg:   10468) ops/sec, 738.42KB/sec (avg: 590.20KB/sec),  0.71 (avg:  0.76) msec latency[RUN #1 93%,  28 secs]  2 threads:      295729 ops,   13056 (avg:   10560) ops/sec, 866.35KB/sec (avg: 600.07KB/sec),  0.61 (avg:  0.75) msec latency[RUN #1 97%,  29 secs]  2 threads:      309166 ops,   13435 (avg:   10659) ops/sec, 893.63KB/sec (avg: 610.19KB/sec),  0.59 (avg:  0.74) msec latency[RUN #1 100%,  30 secs]  0 threads:      324196 ops,   13435 (avg:   10806) ops/sec, 893.63KB/sec (avg: 623.29KB/sec),  0.59 (avg:  0.73) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         982.53          ---          ---      0.73600        72.28
Gets        9823.97      6577.68      3246.29      0.73400       551.01
Totals     10806.50      6577.68      3246.29      0.73400       623.29


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.088      0.00034
GET       0.094      0.00068
GET       0.100      0.00102
GET       0.110      0.00204
GET       0.120      0.00238
GET       0.140      0.00407
GET       0.150      0.00475
GET       0.160      0.00543
GET       0.170      0.00611
GET       0.180      0.00780
GET       0.190      0.01255
GET       0.200      0.01934
GET       0.210      0.02748
GET       0.220      0.03970
GET       0.230      0.06074
GET       0.240      0.11163
GET       0.250      0.21682
GET       0.260      0.32845
GET       0.270      0.45942
GET       0.280      0.62534
GET       0.290      0.83876
GET       0.300      1.02877
GET       0.310      1.15601
GET       0.320      1.26798
GET       0.330      1.35010
GET       0.340      1.44035
GET       0.350      1.53027
GET       0.360      1.66090
GET       0.370      1.83021
GET       0.380      2.11523
GET       0.390      2.51391
GET       0.400      3.05748
GET       0.410      3.68350
GET       0.420      4.43777
GET       0.430      5.37256
GET       0.440      6.44985
GET       0.450      7.74260
GET       0.460      9.24064
GET       0.470     11.07356
GET       0.480     13.29194
GET       0.490     16.07492
GET       0.500     19.29832
GET       0.510     22.85797
GET       0.520     26.85736
GET       0.530     31.24186
GET       0.540     35.77735
GET       0.550     40.12181
GET       0.560     43.97564
GET       0.570     47.37819
GET       0.580     50.24939
GET       0.590     52.60417
GET       0.600     54.44558
GET       0.610     55.90662
GET       0.620     57.06467
GET       0.630     58.00387
GET       0.640     58.77443
GET       0.650     59.47001
GET       0.660     60.13301
GET       0.670     60.81399
GET       0.680     61.56725
GET       0.690     62.36292
GET       0.700     63.26445
GET       0.710     64.22842
GET       0.720     65.40004
GET       0.730     66.68194
GET       0.740     68.05137
GET       0.750     69.51276
GET       0.760     71.05761
GET       0.770     72.71308
GET       0.780     74.39298
GET       0.790     76.14040
GET       0.800     77.83489
GET       0.810     79.48018
GET       0.820     81.02776
GET       0.830     82.48507
GET       0.840     83.81379
GET       0.850     85.00848
GET       0.860     86.05694
GET       0.870     86.94320
GET       0.880     87.73107
GET       0.890     88.36251
GET       0.900     88.92271
GET       0.910     89.38925
GET       0.920     89.80490
GET       0.930     90.14590
GET       0.940     90.46790
GET       0.950     90.75054
GET       0.960     91.00841
GET       0.970     91.24593
GET       0.980     91.44781
GET       0.990     91.62018
GET       1.000     92.32186
GET       1.100     93.11720
GET       1.200     94.00719
GET       1.300     96.00434
GET       1.400     97.89461
GET       1.500     98.63701
GET       1.600     98.77036
GET       1.700     98.81040
GET       1.800     98.86944
GET       1.900     98.94646
GET       2.000     99.02314
GET       2.100     99.07438
GET       2.200     99.09881
GET       2.300     99.10593
GET       2.400     99.10763
GET       2.600     99.10865
GET       2.800     99.10898
GET       3.000     99.10932
GET       4.300     99.11068
GET       4.400     99.11849
GET       4.500     99.15717
GET       4.600     99.29153
GET       4.700     99.34344
GET       4.800     99.40282
GET       4.900     99.46593
GET       5.000     99.48765
GET       5.100     99.49477
GET       5.200     99.50122
GET       5.300     99.50970
GET       5.400     99.52192
GET       5.500     99.52429
GET       5.600     99.52633
GET       5.800     99.52701
GET       6.000     99.52871
GET       6.100     99.53040
GET       6.200     99.53074
GET       6.300     99.53108
GET       6.700     99.53142
GET       6.800     99.53312
GET       6.900     99.53346
GET       8.300     99.53651
GET       8.400     99.54703
GET       8.500     99.58333
GET       8.600     99.67732
GET       8.700     99.71498
GET       8.800     99.75536
GET       8.900     99.80592
GET       9.000     99.81881
GET       9.100     99.82526
GET       9.200     99.82865
GET       9.300     99.83408
GET       9.400     99.84053
GET       9.500     99.84663
GET       9.600     99.84833
GET       9.700     99.84901
GET       9.800     99.85003
GET       9.900     99.85240
GET      10.000     99.85410
GET      12.000     99.85885
GET      13.000     99.95521
GET      14.000     99.96064
GET      16.000     99.97116
GET      17.000     99.99016
GET      21.000    100.00000
