[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       13852 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       26757 ops,   12903 (avg:   13378) ops/sec, 523.75KB/sec (avg: 522.41KB/sec),  0.61 (avg:  0.59) msec latency[RUN #1 10%,   3 secs]  2 threads:       38620 ops,   11861 (avg:   12872) ops/sec, 526.31KB/sec (avg: 523.71KB/sec),  0.66 (avg:  0.61) msec latency[RUN #1 13%,   4 secs]  2 threads:       55090 ops,   16468 (avg:   13771) ops/sec, 774.55KB/sec (avg: 586.43KB/sec),  0.48 (avg:  0.58) msec latency[RUN #1 17%,   5 secs]  2 threads:       60975 ops,    5884 (avg:   12194) ops/sec, 282.68KB/sec (avg: 525.67KB/sec),  1.35 (avg:  0.65) msec latency[RUN #1 20%,   6 secs]  2 threads:       68200 ops,    7224 (avg:   11365) ops/sec, 357.55KB/sec (avg: 497.65KB/sec),  1.10 (avg:  0.70) msec latency[RUN #1 23%,   7 secs]  2 threads:       80334 ops,   12132 (avg:   11475) ops/sec, 624.04KB/sec (avg: 515.71KB/sec),  0.65 (avg:  0.69) msec latency[RUN #1 27%,   8 secs]  2 threads:       85582 ops,    5247 (avg:   10696) ops/sec, 277.96KB/sec (avg: 485.99KB/sec),  1.51 (avg:  0.74) msec latency[RUN #1 30%,   9 secs]  2 threads:       90623 ops,    5040 (avg:   10068) ops/sec, 271.34KB/sec (avg: 462.14KB/sec),  1.58 (avg:  0.79) msec latency[RUN #1 33%,  10 secs]  2 threads:       97368 ops,    6744 (avg:    9735) ops/sec, 369.05KB/sec (avg: 452.83KB/sec),  1.18 (avg:  0.82) msec latency[RUN #1 37%,  11 secs]  2 threads:      108463 ops,   11093 (avg:    9859) ops/sec, 615.73KB/sec (avg: 467.64KB/sec),  0.72 (avg:  0.81) msec latency[RUN #1 40%,  12 secs]  2 threads:      122558 ops,   14092 (avg:   10212) ops/sec, 800.49KB/sec (avg: 495.38KB/sec),  0.56 (avg:  0.78) msec latency[RUN #1 43%,  13 secs]  2 threads:      140786 ops,   18226 (avg:   10828) ops/sec, 1.04MB/sec (avg: 539.15KB/sec),  0.43 (avg:  0.73) msec latency[RUN #1 47%,  14 secs]  2 threads:      150464 ops,    9677 (avg:   10746) ops/sec, 581.75KB/sec (avg: 542.20KB/sec),  0.82 (avg:  0.74) msec latency[RUN #1 50%,  15 secs]  2 threads:      161649 ops,   11183 (avg:   10775) ops/sec, 681.51KB/sec (avg: 551.48KB/sec),  0.71 (avg:  0.74) msec latency[RUN #1 53%,  16 secs]  2 threads:      172678 ops,   11027 (avg:   10791) ops/sec, 682.00KB/sec (avg: 559.64KB/sec),  0.72 (avg:  0.74) msec latency[RUN #1 57%,  17 secs]  2 threads:      179874 ops,    7195 (avg:   10579) ops/sec, 445.64KB/sec (avg: 552.93KB/sec),  1.11 (avg:  0.75) msec latency[RUN #1 60%,  18 secs]  2 threads:      190451 ops,   10576 (avg:   10579) ops/sec, 660.28KB/sec (avg: 558.90KB/sec),  0.75 (avg:  0.75) msec latency[RUN #1 63%,  19 secs]  2 threads:      199694 ops,    9242 (avg:   10509) ops/sec, 585.88KB/sec (avg: 560.32KB/sec),  0.86 (avg:  0.76) msec latency[RUN #1 67%,  20 secs]  2 threads:      207512 ops,    7817 (avg:   10374) ops/sec, 497.58KB/sec (avg: 557.18KB/sec),  1.01 (avg:  0.76) msec latency[RUN #1 70%,  21 secs]  2 threads:      216925 ops,    9411 (avg:   10328) ops/sec, 599.75KB/sec (avg: 559.21KB/sec),  0.84 (avg:  0.77) msec latency[RUN #1 73%,  22 secs]  2 threads:      227453 ops,   10526 (avg:   10337) ops/sec, 679.61KB/sec (avg: 564.68KB/sec),  0.76 (avg:  0.77) msec latency[RUN #1 77%,  23 secs]  2 threads:      235895 ops,    8441 (avg:   10255) ops/sec, 549.66KB/sec (avg: 564.03KB/sec),  0.94 (avg:  0.77) msec latency[RUN #1 80%,  24 secs]  2 threads:      247157 ops,   11260 (avg:   10297) ops/sec, 732.84KB/sec (avg: 571.06KB/sec),  0.70 (avg:  0.77) msec latency[RUN #1 83%,  25 secs]  2 threads:      256246 ops,    9087 (avg:   10248) ops/sec, 595.76KB/sec (avg: 572.05KB/sec),  0.87 (avg:  0.77) msec latency[RUN #1 87%,  26 secs]  2 threads:      267296 ops,   11048 (avg:   10279) ops/sec, 730.84KB/sec (avg: 578.16KB/sec),  0.72 (avg:  0.77) msec latency[RUN #1 90%,  27 secs]  2 threads:      280221 ops,   12923 (avg:   10377) ops/sec, 858.31KB/sec (avg: 588.53KB/sec),  0.61 (avg:  0.76) msec latency[RUN #1 93%,  28 secs]  2 threads:      293709 ops,   13486 (avg:   10488) ops/sec, 897.24KB/sec (avg: 599.56KB/sec),  0.59 (avg:  0.76) msec latency[RUN #1 97%,  29 secs]  2 threads:      308080 ops,   14369 (avg:   10622) ops/sec, 957.99KB/sec (avg: 611.92KB/sec),  0.55 (avg:  0.75) msec latency[RUN #1 100%,  30 secs]  0 threads:      325208 ops,   14369 (avg:   10840) ops/sec, 957.99KB/sec (avg: 629.78KB/sec),  0.55 (avg:  0.73) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         985.56          ---          ---      0.73200        72.50
Gets        9854.68      6717.58      3137.09      0.73100       557.27
Totals     10840.24      6717.58      3137.09      0.73100       629.78


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     98.28525
SET       2.000     98.72831
SET       3.000     98.73169
SET       4.000     99.07667
SET       5.000     99.18152
SET       6.000     99.19167
SET       8.000     99.69561
SET       9.000     99.77678
SET      10.000     99.78354
SET      12.000     99.91545
SET      13.000     99.93574
SET      14.000     99.93912
SET      16.000     99.98647
SET      17.000     99.98985
SET      20.000    100.00000
---
GET       0.075      0.00034
GET       0.078      0.00068
GET       0.081      0.00101
GET       0.082      0.00135
GET       0.086      0.00237
GET       0.087      0.00338
GET       0.088      0.00372
GET       0.089      0.00406
GET       0.090      0.00474
GET       0.091      0.00575
GET       0.092      0.00778
GET       0.093      0.01082
GET       0.094      0.01353
GET       0.095      0.01691
GET       0.096      0.01962
GET       0.097      0.02131
GET       0.098      0.02706
GET       0.099      0.02841
GET       0.100      0.05006
GET       0.110      0.09471
GET       0.120      0.12583
GET       0.130      0.18198
GET       0.140      0.28954
GET       0.150      0.38493
GET       0.160      0.44277
GET       0.170      0.48302
GET       0.180      0.52767
GET       0.190      0.57705
GET       0.200      0.63692
GET       0.210      0.69307
GET       0.220      0.75193
GET       0.230      0.84900
GET       0.240      1.01069
GET       0.250      1.26505
GET       0.260      1.58368
GET       0.270      1.98112
GET       0.280      2.46481
GET       0.290      3.07298
GET       0.300      3.60133
GET       0.310      3.98389
GET       0.320      4.25888
GET       0.330      4.46217
GET       0.340      4.68440
GET       0.350      4.95804
GET       0.360      5.34567
GET       0.370      5.96230
GET       0.380      6.96487
GET       0.390      8.47210
GET       0.400     10.50294
GET       0.410     12.93664
GET       0.420     15.79652
GET       0.430     18.90874
GET       0.440     22.16235
GET       0.450     25.22553
GET       0.460     28.06106
GET       0.470     30.92535
GET       0.480     33.78692
GET       0.490     36.71074
GET       0.500     39.58078
GET       0.510     42.41834
GET       0.520     45.26199
GET       0.530     48.01939
GET       0.540     50.53595
GET       0.550     52.76636
GET       0.560     54.57362
GET       0.570     56.04804
GET       0.580     57.29449
GET       0.590     58.29266
GET       0.600     59.18631
GET       0.610     59.95853
GET       0.620     60.67934
GET       0.630     61.44243
GET       0.640     62.24576
GET       0.650     63.11405
GET       0.660     64.00635
GET       0.670     64.98693
GET       0.680     66.05376
GET       0.690     67.15746
GET       0.700     68.36569
GET       0.710     69.63141
GET       0.720     71.02026
GET       0.730     72.50280
GET       0.740     73.96944
GET       0.750     75.48310
GET       0.760     77.00657
GET       0.770     78.56116
GET       0.780     80.06264
GET       0.790     81.47652
GET       0.800     82.79738
GET       0.810     84.03368
GET       0.820     85.16140
GET       0.830     86.17310
GET       0.840     87.02852
GET       0.850     87.77504
GET       0.860     88.37035
GET       0.870     88.87231
GET       0.880     89.28396
GET       0.890     89.59447
GET       0.900     89.84613
GET       0.910     90.05449
GET       0.920     90.20975
GET       0.930     90.33558
GET       0.940     90.42927
GET       0.950     90.49861
GET       0.960     90.55442
GET       0.970     90.60110
GET       0.980     90.64169
GET       0.990     90.67552
GET       1.000     90.77665
GET       1.100     91.07803
GET       1.200     92.62856
GET       1.300     95.27840
GET       1.400     96.75789
GET       1.500     97.09310
GET       1.600     97.14248
GET       1.700     97.25850
GET       1.800     97.60182
GET       1.900     98.08619
GET       2.000     98.49175
GET       2.100     98.68151
GET       2.200     98.74206
GET       2.300     98.75220
GET       2.400     98.75389
GET       2.900     98.75457
GET       3.000     98.75491
GET       4.100     98.75525
GET       4.200     98.75626
GET       4.300     98.76167
GET       4.400     98.77723
GET       4.500     98.82865
GET       4.600     98.90678
GET       4.700     98.95211
GET       4.800     99.01299
GET       4.900     99.08369
GET       5.000     99.10838
GET       5.100     99.11616
GET       5.200     99.13104
GET       5.300     99.15709
GET       5.400     99.17975
GET       5.500     99.18787
GET       5.600     99.19023
GET       5.700     99.19159
GET       5.800     99.19429
GET       5.900     99.19768
GET       6.000     99.20376
GET       6.100     99.20478
GET       6.200     99.20647
GET       6.300     99.20681
GET       6.600     99.20816
GET       6.700     99.20850
GET       6.800     99.20918
GET       6.900     99.20951
GET       8.300     99.22068
GET       8.400     99.24266
GET       8.500     99.31539
GET       8.600     99.45339
GET       8.700     99.50278
GET       8.800     99.57956
GET       8.900     99.64349
GET       9.000     99.66209
GET       9.100     99.67190
GET       9.200     99.67866
GET       9.300     99.69287
GET       9.400     99.71317
GET       9.500     99.71858
GET       9.600     99.72061
GET       9.700     99.72196
GET       9.800     99.72365
GET       9.900     99.72467
GET      10.000     99.73211
GET      12.000     99.75376
GET      13.000     99.89683
GET      14.000     99.90326
GET      16.000     99.92829
GET      17.000     99.98173
GET      18.000     99.98207
GET      20.000     99.98715
GET      21.000    100.00000
