[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       17493 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       32744 ops,   15249 (avg:   16372) ops/sec, 645.47KB/sec (avg: 648.54KB/sec),  0.52 (avg:  0.48) msec latency[RUN #1 10%,   3 secs]  2 threads:       46672 ops,   13926 (avg:   15556) ops/sec, 642.74KB/sec (avg: 646.61KB/sec),  0.57 (avg:  0.51) msec latency[RUN #1 13%,   4 secs]  2 threads:       59972 ops,   13298 (avg:   14992) ops/sec, 649.77KB/sec (avg: 647.40KB/sec),  0.60 (avg:  0.53) msec latency[RUN #1 17%,   5 secs]  2 threads:       72399 ops,   12425 (avg:   14478) ops/sec, 637.09KB/sec (avg: 645.33KB/sec),  0.64 (avg:  0.55) msec latency[RUN #1 20%,   6 secs]  2 threads:       83665 ops,   11264 (avg:   13943) ops/sec, 603.64KB/sec (avg: 638.38KB/sec),  0.70 (avg:  0.57) msec latency[RUN #1 23%,   7 secs]  2 threads:       95229 ops,   11562 (avg:   13603) ops/sec, 641.43KB/sec (avg: 638.82KB/sec),  0.69 (avg:  0.58) msec latency[RUN #1 27%,   8 secs]  2 threads:      102986 ops,    7756 (avg:   12872) ops/sec, 440.51KB/sec (avg: 614.03KB/sec),  1.02 (avg:  0.62) msec latency[RUN #1 30%,   9 secs]  2 threads:      113894 ops,   10906 (avg:   12653) ops/sec, 624.80KB/sec (avg: 615.23KB/sec),  0.73 (avg:  0.63) msec latency[RUN #1 33%,  10 secs]  2 threads:      122406 ops,    8511 (avg:   12239) ops/sec, 503.54KB/sec (avg: 604.06KB/sec),  0.93 (avg:  0.65) msec latency[RUN #1 37%,  11 secs]  2 threads:      132854 ops,   10446 (avg:   12076) ops/sec, 624.22KB/sec (avg: 605.89KB/sec),  0.75 (avg:  0.66) msec latency[RUN #1 40%,  12 secs]  2 threads:      142842 ops,    9986 (avg:   11902) ops/sec, 608.66KB/sec (avg: 606.12KB/sec),  0.80 (avg:  0.67) msec latency[RUN #1 43%,  13 secs]  2 threads:      153778 ops,   10934 (avg:   11828) ops/sec, 680.47KB/sec (avg: 611.84KB/sec),  0.72 (avg:  0.67) msec latency[RUN #1 47%,  14 secs]  2 threads:      162705 ops,    8925 (avg:   11620) ops/sec, 561.78KB/sec (avg: 608.27KB/sec),  0.89 (avg:  0.68) msec latency[RUN #1 50%,  15 secs]  2 threads:      170405 ops,    7699 (avg:   11359) ops/sec, 483.75KB/sec (avg: 599.97KB/sec),  1.03 (avg:  0.70) msec latency[RUN #1 53%,  16 secs]  2 threads:      180602 ops,   10196 (avg:   11286) ops/sec, 646.59KB/sec (avg: 602.88KB/sec),  0.78 (avg:  0.70) msec latency[RUN #1 57%,  17 secs]  2 threads:      189674 ops,    9071 (avg:   11156) ops/sec, 582.69KB/sec (avg: 601.69KB/sec),  0.87 (avg:  0.71) msec latency[RUN #1 60%,  18 secs]  2 threads:      200670 ops,   10994 (avg:   11147) ops/sec, 710.22KB/sec (avg: 607.72KB/sec),  0.73 (avg:  0.71) msec latency[RUN #1 63%,  19 secs]  2 threads:      205115 ops,    4444 (avg:   10794) ops/sec, 289.95KB/sec (avg: 591.00KB/sec),  1.79 (avg:  0.74) msec latency[RUN #1 67%,  20 secs]  2 threads:      215220 ops,   10103 (avg:   10759) ops/sec, 662.72KB/sec (avg: 594.58KB/sec),  0.79 (avg:  0.74) msec latency[RUN #1 70%,  21 secs]  2 threads:      225113 ops,    9892 (avg:   10718) ops/sec, 648.80KB/sec (avg: 597.16KB/sec),  0.80 (avg:  0.74) msec latency[RUN #1 73%,  22 secs]  2 threads:      236089 ops,   10974 (avg:   10730) ops/sec, 720.01KB/sec (avg: 602.75KB/sec),  0.73 (avg:  0.74) msec latency[RUN #1 77%,  23 secs]  2 threads:      245679 ops,    9588 (avg:   10680) ops/sec, 634.34KB/sec (avg: 604.12KB/sec),  0.83 (avg:  0.74) msec latency[RUN #1 80%,  24 secs]  2 threads:      261392 ops,   15710 (avg:   10890) ops/sec, 1.03MB/sec (avg: 622.75KB/sec),  0.50 (avg:  0.73) msec latency[RUN #1 83%,  25 secs]  2 threads:      272155 ops,   10762 (avg:   10885) ops/sec, 721.72KB/sec (avg: 626.71KB/sec),  0.74 (avg:  0.73) msec latency[RUN #1 87%,  26 secs]  2 threads:      277379 ops,    5223 (avg:   10667) ops/sec, 351.10KB/sec (avg: 616.11KB/sec),  1.52 (avg:  0.74) msec latency[RUN #1 90%,  27 secs]  2 threads:      283973 ops,    6593 (avg:   10516) ops/sec, 443.53KB/sec (avg: 609.71KB/sec),  1.20 (avg:  0.75) msec latency[RUN #1 93%,  28 secs]  2 threads:      293075 ops,    9101 (avg:   10465) ops/sec, 617.58KB/sec (avg: 609.99KB/sec),  0.87 (avg:  0.76) msec latency[RUN #1 97%,  29 secs]  2 threads:      304092 ops,   11015 (avg:   10484) ops/sec, 743.85KB/sec (avg: 614.61KB/sec),  0.72 (avg:  0.76) msec latency[RUN #1 100%,  30 secs]  0 threads:      316294 ops,   11015 (avg:   10543) ops/sec, 743.85KB/sec (avg: 621.75KB/sec),  0.72 (avg:  0.75) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         958.53          ---          ---      0.75500        70.42
Gets        9584.53      6805.18      2779.35      0.75200       551.34
Totals     10543.05      6805.18      2779.35      0.75200       621.76


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.088      0.00035
GET       0.100      0.00070
GET       0.110      0.00104
GET       0.120      0.00139
GET       0.130      0.00487
GET       0.140      0.01287
GET       0.150      0.02887
GET       0.160      0.04695
GET       0.170      0.05808
GET       0.180      0.08416
GET       0.190      0.12068
GET       0.200      0.15198
GET       0.210      0.18398
GET       0.220      0.22397
GET       0.230      0.29944
GET       0.240      0.48028
GET       0.250      0.76825
GET       0.260      1.19393
GET       0.270      1.73994
GET       0.280      2.42716
GET       0.290      3.26670
GET       0.300      4.03773
GET       0.310      4.57470
GET       0.320      4.97499
GET       0.330      5.32521
GET       0.340      5.62152
GET       0.350      5.97278
GET       0.360      6.48714
GET       0.370      7.34025
GET       0.380      8.62947
GET       0.390     10.48870
GET       0.400     12.88178
GET       0.410     15.70262
GET       0.420     18.73179
GET       0.430     21.86111
GET       0.440     24.92471
GET       0.450     27.72816
GET       0.460     30.20888
GET       0.470     32.50979
GET       0.480     34.85244
GET       0.490     37.27299
GET       0.500     39.94324
GET       0.510     42.77939
GET       0.520     45.97166
GET       0.530     49.34061
GET       0.540     52.83754
GET       0.550     56.10841
GET       0.560     59.06002
GET       0.570     61.67672
GET       0.580     63.94946
GET       0.590     65.81982
GET       0.600     67.26172
GET       0.610     68.44556
GET       0.620     69.36927
GET       0.630     70.14099
GET       0.640     70.81499
GET       0.650     71.40621
GET       0.660     71.96301
GET       0.670     72.52050
GET       0.680     73.13329
GET       0.690     73.74469
GET       0.700     74.37834
GET       0.710     75.07634
GET       0.720     75.79416
GET       0.730     76.68134
GET       0.740     77.62835
GET       0.750     78.66334
GET       0.760     79.80302
GET       0.770     81.01642
GET       0.780     82.34529
GET       0.790     83.67798
GET       0.800     84.99224
GET       0.810     86.25886
GET       0.820     87.45557
GET       0.830     88.59212
GET       0.840     89.55373
GET       0.850     90.42074
GET       0.860     91.15073
GET       0.870     91.74266
GET       0.880     92.21842
GET       0.890     92.58533
GET       0.900     92.86668
GET       0.910     93.08544
GET       0.920     93.24959
GET       0.930     93.36957
GET       0.940     93.46591
GET       0.950     93.52642
GET       0.960     93.58346
GET       0.970     93.62519
GET       0.980     93.66206
GET       0.990     93.68883
GET       1.000     93.76604
GET       1.100     93.83768
GET       1.200     94.00914
GET       1.300     94.60245
GET       1.400     95.70179
GET       1.500     96.77782
GET       1.600     97.35722
GET       1.700     97.53598
GET       1.800     97.59475
GET       1.900     97.65040
GET       2.000     97.73143
GET       2.100     97.83750
GET       2.200     97.93766
GET       2.300     98.01348
GET       2.400     98.04548
GET       2.500     98.05869
GET       2.600     98.06321
GET       2.700     98.06530
GET       2.800     98.06599
GET       2.900     98.06669
GET       3.000     98.06704
GET       4.100     98.06739
GET       4.200     98.06773
GET       4.300     98.07260
GET       4.400     98.08234
GET       4.500     98.13625
GET       4.600     98.28684
GET       4.700     98.32266
GET       4.800     98.38804
GET       4.900     98.44994
GET       5.000     98.46942
GET       5.100     98.47498
GET       5.200     98.47951
GET       5.300     98.49203
GET       5.400     98.52854
GET       5.500     98.58175
GET       5.600     98.63288
GET       5.700     98.66626
GET       5.800     98.68261
GET       5.900     98.68956
GET       6.000     98.69374
GET       6.100     98.70591
GET       6.200     98.72191
GET       6.300     98.73686
GET       6.400     98.74312
GET       6.500     98.74973
GET       6.600     98.75356
GET       6.700     98.75495
GET       6.800     98.75599
GET       7.200     98.75634
GET       7.300     98.75808
GET       7.400     98.75877
GET       8.200     98.75947
GET       8.300     98.78034
GET       8.400     98.81442
GET       8.500     98.92292
GET       8.600     99.10655
GET       8.700     99.17541
GET       8.800     99.25575
GET       8.900     99.34409
GET       9.000     99.37087
GET       9.100     99.38060
GET       9.200     99.38304
GET       9.300     99.38930
GET       9.400     99.40947
GET       9.500     99.44042
GET       9.600     99.46894
GET       9.700     99.48598
GET       9.800     99.49224
GET       9.900     99.49572
GET      10.000     99.52528
GET      11.000     99.53397
GET      12.000     99.60423
GET      13.000     99.85080
GET      14.000     99.85498
GET      16.000     99.90366
GET      17.000     99.99270
GET      18.000     99.99478
GET      21.000    100.00000
