[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       13783 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       26320 ops,   12535 (avg:   13159) ops/sec, 511.69KB/sec (avg: 509.34KB/sec),  0.63 (avg:  0.60) msec latency[RUN #1 10%,   3 secs]  2 threads:       35696 ops,    9374 (avg:   11897) ops/sec, 415.35KB/sec (avg: 478.01KB/sec),  0.85 (avg:  0.67) msec latency[RUN #1 13%,   4 secs]  2 threads:       46837 ops,   11139 (avg:   11708) ops/sec, 521.71KB/sec (avg: 488.93KB/sec),  0.71 (avg:  0.68) msec latency[RUN #1 17%,   5 secs]  2 threads:       56960 ops,   10121 (avg:   11390) ops/sec, 494.36KB/sec (avg: 490.02KB/sec),  0.78 (avg:  0.70) msec latency[RUN #1 20%,   6 secs]  2 threads:       65850 ops,    8889 (avg:   10974) ops/sec, 447.76KB/sec (avg: 482.98KB/sec),  0.89 (avg:  0.72) msec latency[RUN #1 23%,   7 secs]  2 threads:       75206 ops,    9355 (avg:   10742) ops/sec, 492.73KB/sec (avg: 484.37KB/sec),  0.85 (avg:  0.74) msec latency[RUN #1 27%,   8 secs]  2 threads:       84441 ops,    9233 (avg:   10554) ops/sec, 499.83KB/sec (avg: 486.30KB/sec),  0.86 (avg:  0.75) msec latency[RUN #1 30%,   9 secs]  2 threads:       90567 ops,    6125 (avg:   10062) ops/sec, 340.81KB/sec (avg: 470.14KB/sec),  1.30 (avg:  0.79) msec latency[RUN #1 33%,  10 secs]  2 threads:       99268 ops,    8700 (avg:    9925) ops/sec, 492.77KB/sec (avg: 472.40KB/sec),  0.91 (avg:  0.80) msec latency[RUN #1 37%,  11 secs]  2 threads:      108205 ops,    8936 (avg:    9835) ops/sec, 513.12KB/sec (avg: 476.10KB/sec),  0.89 (avg:  0.81) msec latency[RUN #1 40%,  12 secs]  2 threads:      116994 ops,    8788 (avg:    9748) ops/sec, 515.08KB/sec (avg: 479.35KB/sec),  0.90 (avg:  0.81) msec latency[RUN #1 43%,  13 secs]  2 threads:      124737 ops,    7742 (avg:    9594) ops/sec, 463.70KB/sec (avg: 478.14KB/sec),  1.03 (avg:  0.83) msec latency[RUN #1 47%,  14 secs]  2 threads:      134305 ops,    9567 (avg:    9592) ops/sec, 576.85KB/sec (avg: 485.20KB/sec),  0.82 (avg:  0.83) msec latency[RUN #1 50%,  15 secs]  2 threads:      144313 ops,   10006 (avg:    9619) ops/sec, 614.59KB/sec (avg: 493.82KB/sec),  0.80 (avg:  0.83) msec latency[RUN #1 53%,  16 secs]  2 threads:      154263 ops,    9949 (avg:    9640) ops/sec, 623.18KB/sec (avg: 501.91KB/sec),  0.80 (avg:  0.82) msec latency[RUN #1 57%,  17 secs]  2 threads:      167562 ops,   13297 (avg:    9855) ops/sec, 838.88KB/sec (avg: 521.73KB/sec),  0.60 (avg:  0.81) msec latency[RUN #1 60%,  18 secs]  2 threads:      176379 ops,    8816 (avg:    9797) ops/sec, 559.19KB/sec (avg: 523.81KB/sec),  0.90 (avg:  0.81) msec latency[RUN #1 63%,  19 secs]  2 threads:      185815 ops,    9435 (avg:    9778) ops/sec, 604.63KB/sec (avg: 528.06KB/sec),  0.84 (avg:  0.81) msec latency[RUN #1 67%,  20 secs]  2 threads:      195863 ops,   10047 (avg:    9792) ops/sec, 649.52KB/sec (avg: 534.14KB/sec),  0.79 (avg:  0.81) msec latency[RUN #1 70%,  21 secs]  2 threads:      206093 ops,   10229 (avg:    9812) ops/sec, 666.66KB/sec (avg: 540.45KB/sec),  0.78 (avg:  0.81) msec latency[RUN #1 73%,  22 secs]  2 threads:      215887 ops,    9792 (avg:    9812) ops/sec, 642.94KB/sec (avg: 545.11KB/sec),  0.81 (avg:  0.81) msec latency[RUN #1 77%,  23 secs]  2 threads:      220288 ops,    4400 (avg:    9576) ops/sec, 290.14KB/sec (avg: 534.02KB/sec),  1.81 (avg:  0.83) msec latency[RUN #1 80%,  24 secs]  2 threads:      230403 ops,   10114 (avg:    9599) ops/sec, 664.48KB/sec (avg: 539.46KB/sec),  0.78 (avg:  0.83) msec latency[RUN #1 83%,  25 secs]  2 threads:      239491 ops,    9087 (avg:    9578) ops/sec, 600.78KB/sec (avg: 541.91KB/sec),  0.87 (avg:  0.83) msec latency[RUN #1 87%,  26 secs]  2 threads:      248511 ops,    9019 (avg:    9557) ops/sec, 600.57KB/sec (avg: 544.17KB/sec),  0.87 (avg:  0.83) msec latency[RUN #1 90%,  27 secs]  2 threads:      261887 ops,   13374 (avg:    9698) ops/sec, 895.62KB/sec (avg: 557.18KB/sec),  0.60 (avg:  0.82) msec latency[RUN #1 93%,  28 secs]  2 threads:      281512 ops,   19623 (avg:   10053) ops/sec, 1.29MB/sec (avg: 584.51KB/sec),  0.40 (avg:  0.79) msec latency[RUN #1 97%,  29 secs]  2 threads:      300982 ops,   19468 (avg:   10377) ops/sec, 1.29MB/sec (avg: 609.84KB/sec),  0.41 (avg:  0.76) msec latency[RUN #1 100%,  30 secs]  0 threads:      320465 ops,   19468 (avg:   10682) ops/sec, 1.29MB/sec (avg: 633.63KB/sec),  0.41 (avg:  0.74) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         971.19          ---          ---      0.74000        71.35
Gets        9710.91      6991.49      2719.42      0.74300       562.29
Totals     10682.11      6991.49      2719.42      0.74300       633.63


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.180      0.00103
GET       0.190      0.00275
GET       0.200      0.00652
GET       0.210      0.01304
GET       0.220      0.02815
GET       0.230      0.07174
GET       0.240      0.20080
GET       0.250      0.45481
GET       0.260      0.85024
GET       0.270      1.43240
GET       0.280      2.26342
GET       0.290      3.40028
GET       0.300      4.54950
GET       0.310      5.47079
GET       0.320      6.15627
GET       0.330      6.66532
GET       0.340      7.08168
GET       0.350      7.39405
GET       0.360      7.69371
GET       0.370      8.11763
GET       0.380      8.77256
GET       0.390      9.83115
GET       0.400     11.30269
GET       0.410     13.21255
GET       0.420     15.54737
GET       0.430     18.20862
GET       0.440     21.04253
GET       0.450     23.85688
GET       0.460     26.48071
GET       0.470     29.03659
GET       0.480     31.56534
GET       0.490     34.12259
GET       0.500     36.84700
GET       0.510     39.72656
GET       0.520     42.80899
GET       0.530     46.10217
GET       0.540     49.42316
GET       0.550     52.50524
GET       0.560     55.25128
GET       0.570     57.60360
GET       0.580     59.60649
GET       0.590     61.21395
GET       0.600     62.43869
GET       0.610     63.34453
GET       0.620     64.01594
GET       0.630     64.54009
GET       0.640     64.96779
GET       0.650     65.37694
GET       0.660     65.76654
GET       0.670     66.20693
GET       0.680     66.72868
GET       0.690     67.31427
GET       0.700     68.00799
GET       0.710     68.85652
GET       0.720     69.86671
GET       0.730     71.01078
GET       0.740     72.34844
GET       0.750     73.86529
GET       0.760     75.49334
GET       0.770     77.29165
GET       0.780     79.11880
GET       0.790     81.05921
GET       0.800     82.95844
GET       0.810     84.75881
GET       0.820     86.50701
GET       0.830     88.13541
GET       0.840     89.55030
GET       0.850     90.78671
GET       0.860     91.86555
GET       0.870     92.73776
GET       0.880     93.46890
GET       0.890     94.05964
GET       0.900     94.53264
GET       0.910     94.85702
GET       0.920     95.11789
GET       0.930     95.31423
GET       0.940     95.46904
GET       0.950     95.58815
GET       0.960     95.67431
GET       0.970     95.74124
GET       0.980     95.79548
GET       0.990     95.84010
GET       1.000     95.96882
GET       1.100     96.02546
GET       1.200     96.07900
GET       1.300     96.29560
GET       1.400     96.84686
GET       1.500     97.44756
GET       1.600     97.81175
GET       1.700     97.93670
GET       1.800     97.97548
GET       1.900     98.00535
GET       2.000     98.04482
GET       2.100     98.09562
GET       2.200     98.14711
GET       2.300     98.17903
GET       2.400     98.19311
GET       2.500     98.19997
GET       2.600     98.20203
GET       2.700     98.20238
GET       4.000     98.20306
GET       4.100     98.20409
GET       4.200     98.20512
GET       4.300     98.20958
GET       4.400     98.21714
GET       4.500     98.27274
GET       4.600     98.42858
GET       4.700     98.49208
GET       4.800     98.59575
GET       4.900     98.70181
GET       5.000     98.73476
GET       5.100     98.74712
GET       5.200     98.75055
GET       5.300     98.75605
GET       5.400     98.76806
GET       5.500     98.79518
GET       5.600     98.83190
GET       5.700     98.84735
GET       5.800     98.85834
GET       5.900     98.86074
GET       6.000     98.86314
GET       6.100     98.86554
GET       6.200     98.86863
GET       6.300     98.87550
GET       6.400     98.88030
GET       6.500     98.88374
GET       6.600     98.88545
GET       8.200     98.88648
GET       8.300     98.88889
GET       8.400     98.89712
GET       8.500     98.95719
GET       8.600     99.15147
GET       8.700     99.22116
GET       8.800     99.31898
GET       8.900     99.44839
GET       9.000     99.48375
GET       9.100     99.49336
GET       9.200     99.49439
GET       9.300     99.49713
GET       9.400     99.50297
GET       9.500     99.51464
GET       9.600     99.52597
GET       9.700     99.53420
GET       9.800     99.54004
GET       9.900     99.54073
GET      10.000     99.54725
GET      11.000     99.55068
GET      12.000     99.58809
GET      13.000     99.89222
GET      14.000     99.89496
GET      16.000     99.91144
GET      17.000     99.99245
GET      21.000     99.99485
GET      22.000     99.99519
GET      25.000    100.00000
