[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       10850 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       19546 ops,    8695 (avg:    9772) ops/sec, 357.26KB/sec (avg: 378.00KB/sec),  0.91 (avg:  0.81) msec latency[RUN #1 10%,   3 secs]  2 threads:       26903 ops,    7356 (avg:    8967) ops/sec, 321.17KB/sec (avg: 359.06KB/sec),  1.08 (avg:  0.89) msec latency[RUN #1 13%,   4 secs]  2 threads:       33208 ops,    6304 (avg:    8301) ops/sec, 286.18KB/sec (avg: 340.84KB/sec),  1.26 (avg:  0.96) msec latency[RUN #1 17%,   5 secs]  2 threads:       39436 ops,    6227 (avg:    7886) ops/sec, 291.06KB/sec (avg: 330.88KB/sec),  1.28 (avg:  1.01) msec latency[RUN #1 20%,   6 secs]  2 threads:       47329 ops,    7892 (avg:    7887) ops/sec, 386.28KB/sec (avg: 340.11KB/sec),  1.01 (avg:  1.01) msec latency[RUN #1 23%,   7 secs]  2 threads:       55237 ops,    7907 (avg:    7890) ops/sec, 395.13KB/sec (avg: 347.97KB/sec),  1.00 (avg:  1.01) msec latency[RUN #1 27%,   8 secs]  2 threads:       65925 ops,   10686 (avg:    8239) ops/sec, 559.55KB/sec (avg: 374.42KB/sec),  0.74 (avg:  0.96) msec latency[RUN #1 30%,   9 secs]  2 threads:       72542 ops,    6616 (avg:    8059) ops/sec, 355.03KB/sec (avg: 372.27KB/sec),  1.20 (avg:  0.99) msec latency[RUN #1 33%,  10 secs]  2 threads:       81139 ops,    8596 (avg:    8113) ops/sec, 472.05KB/sec (avg: 382.24KB/sec),  0.93 (avg:  0.98) msec latency[RUN #1 37%,  11 secs]  2 threads:       88675 ops,    7535 (avg:    8060) ops/sec, 428.35KB/sec (avg: 386.44KB/sec),  1.05 (avg:  0.99) msec latency[RUN #1 40%,  12 secs]  2 threads:       95148 ops,    6472 (avg:    7928) ops/sec, 378.68KB/sec (avg: 385.79KB/sec),  1.23 (avg:  1.00) msec latency[RUN #1 43%,  13 secs]  2 threads:      102946 ops,    7797 (avg:    7918) ops/sec, 456.83KB/sec (avg: 391.25KB/sec),  1.02 (avg:  1.00) msec latency[RUN #1 47%,  14 secs]  2 threads:      108585 ops,    5638 (avg:    7755) ops/sec, 332.65KB/sec (avg: 387.07KB/sec),  1.41 (avg:  1.03) msec latency[RUN #1 50%,  15 secs]  2 threads:      117511 ops,    8925 (avg:    7833) ops/sec, 535.76KB/sec (avg: 396.98KB/sec),  0.89 (avg:  1.01) msec latency[RUN #1 53%,  16 secs]  2 threads:      125830 ops,    8318 (avg:    7863) ops/sec, 508.56KB/sec (avg: 403.95KB/sec),  0.96 (avg:  1.01) msec latency[RUN #1 57%,  17 secs]  2 threads:      133688 ops,    7857 (avg:    7863) ops/sec, 494.27KB/sec (avg: 409.27KB/sec),  1.01 (avg:  1.01) msec latency[RUN #1 60%,  18 secs]  2 threads:      141001 ops,    7312 (avg:    7832) ops/sec, 463.96KB/sec (avg: 412.31KB/sec),  1.09 (avg:  1.02) msec latency[RUN #1 63%,  19 secs]  2 threads:      150941 ops,    9939 (avg:    7943) ops/sec, 629.69KB/sec (avg: 423.75KB/sec),  0.80 (avg:  1.00) msec latency[RUN #1 67%,  20 secs]  2 threads:      161899 ops,   10957 (avg:    8094) ops/sec, 702.68KB/sec (avg: 437.69KB/sec),  0.72 (avg:  0.98) msec latency[RUN #1 70%,  21 secs]  2 threads:      170390 ops,    8490 (avg:    8113) ops/sec, 549.01KB/sec (avg: 443.00KB/sec),  0.94 (avg:  0.98) msec latency[RUN #1 73%,  22 secs]  2 threads:      176516 ops,    6125 (avg:    8022) ops/sec, 400.57KB/sec (avg: 441.07KB/sec),  1.30 (avg:  0.99) msec latency[RUN #1 77%,  23 secs]  2 threads:      183292 ops,    6775 (avg:    7968) ops/sec, 441.75KB/sec (avg: 441.10KB/sec),  1.17 (avg:  1.00) msec latency[RUN #1 80%,  24 secs]  2 threads:      191462 ops,    8169 (avg:    7976) ops/sec, 532.84KB/sec (avg: 444.92KB/sec),  0.97 (avg:  1.00) msec latency[RUN #1 83%,  25 secs]  2 threads:      199767 ops,    8304 (avg:    7989) ops/sec, 545.31KB/sec (avg: 448.93KB/sec),  0.96 (avg:  0.99) msec latency[RUN #1 87%,  26 secs]  2 threads:      211151 ops,   11382 (avg:    8120) ops/sec, 749.83KB/sec (avg: 460.51KB/sec),  0.70 (avg:  0.98) msec latency[RUN #1 90%,  27 secs]  2 threads:      218844 ops,    7692 (avg:    8104) ops/sec, 510.43KB/sec (avg: 462.36KB/sec),  1.03 (avg:  0.98) msec latency[RUN #1 93%,  28 secs]  2 threads:      230045 ops,   11199 (avg:    8215) ops/sec, 745.24KB/sec (avg: 472.46KB/sec),  0.72 (avg:  0.97) msec latency[RUN #1 97%,  29 secs]  2 threads:      242769 ops,   12722 (avg:    8370) ops/sec, 848.82KB/sec (avg: 485.44KB/sec),  0.62 (avg:  0.95) msec latency[RUN #1 100%,  30 secs]  0 threads:      254144 ops,   12722 (avg:    8471) ops/sec, 848.82KB/sec (avg: 494.52KB/sec),  0.62 (avg:  0.94) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         770.26          ---          ---      0.94400        56.50
Gets        7701.17      5357.51      2343.66      0.93700       438.02
Totals      8471.44      5357.51      2343.66      0.93800       494.52


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.190      0.00043
GET       0.200      0.00303
GET       0.210      0.00693
GET       0.220      0.01948
GET       0.230      0.06449
GET       0.240      0.17963
GET       0.250      0.38695
GET       0.260      0.68604
GET       0.270      1.03750
GET       0.280      1.50842
GET       0.290      2.08496
GET       0.300      2.56670
GET       0.310      2.91210
GET       0.320      3.15968
GET       0.330      3.34320
GET       0.340      3.49989
GET       0.350      3.69077
GET       0.360      3.96994
GET       0.370      4.38373
GET       0.380      5.06155
GET       0.390      6.07265
GET       0.400      7.36898
GET       0.410      8.88606
GET       0.420     10.40833
GET       0.430     12.05137
GET       0.440     13.60351
GET       0.450     15.09635
GET       0.460     16.51777
GET       0.470     18.00282
GET       0.480     19.74974
GET       0.490     21.79141
GET       0.500     24.18757
GET       0.510     26.83954
GET       0.520     29.81180
GET       0.530     33.15284
GET       0.540     36.56270
GET       0.550     39.85483
GET       0.560     42.76606
GET       0.570     45.39163
GET       0.580     47.70469
GET       0.590     49.60179
GET       0.600     51.17514
GET       0.610     52.45849
GET       0.620     53.49902
GET       0.630     54.36642
GET       0.640     55.12344
GET       0.650     55.79477
GET       0.660     56.46436
GET       0.670     57.04566
GET       0.680     57.66547
GET       0.690     58.36450
GET       0.700     59.15182
GET       0.710     60.00190
GET       0.720     60.98703
GET       0.730     62.11543
GET       0.740     63.41826
GET       0.750     64.84054
GET       0.760     66.40004
GET       0.770     68.09242
GET       0.780     69.91594
GET       0.790     71.72432
GET       0.800     73.54525
GET       0.810     75.28740
GET       0.820     76.94126
GET       0.830     78.52066
GET       0.840     79.98191
GET       0.850     81.28387
GET       0.860     82.42092
GET       0.870     83.37618
GET       0.880     84.22670
GET       0.890     84.96382
GET       0.900     85.56805
GET       0.910     86.14285
GET       0.920     86.60728
GET       0.930     87.02020
GET       0.940     87.37513
GET       0.950     87.70711
GET       0.960     88.01096
GET       0.970     88.29836
GET       0.980     88.59702
GET       0.990     88.84849
GET       1.000     89.77216
GET       1.100     90.71270
GET       1.200     92.23974
GET       1.300     93.95289
GET       1.400     95.07263
GET       1.500     95.45525
GET       1.600     95.57948
GET       1.700     95.68812
GET       1.800     95.87164
GET       1.900     96.05646
GET       2.000     96.19843
GET       2.100     96.25123
GET       2.200     96.26379
GET       2.300     96.26811
GET       2.400     96.27028
GET       2.500     96.27114
GET       2.600     96.27201
GET       2.900     96.27244
GET       3.000     96.27288
GET       3.100     96.27331
GET       3.200     96.27461
GET       3.400     96.27504
GET       3.500     96.27547
GET       4.000     96.27807
GET       4.100     96.27893
GET       4.200     96.27937
GET       4.300     96.28326
GET       4.400     96.29711
GET       4.500     96.46116
GET       4.600     96.97493
GET       4.700     97.13941
GET       4.800     97.44023
GET       4.900     97.72979
GET       5.000     97.80900
GET       5.100     97.82112
GET       5.200     97.84016
GET       5.300     97.86527
GET       5.400     97.88388
GET       5.500     97.89080
GET       5.600     97.89254
GET       5.700     97.89557
GET       5.800     97.90033
GET       5.900     97.90725
GET       6.000     97.91028
GET       6.100     97.91331
GET       6.300     97.91548
GET       6.500     97.91764
GET       6.600     97.92110
GET       8.200     97.92240
GET       8.300     97.93842
GET       8.400     97.97651
GET       8.500     98.12843
GET       8.600     98.48725
GET       8.700     98.62099
GET       8.800     98.80755
GET       8.900     98.98890
GET       9.000     99.06248
GET       9.100     99.08283
GET       9.200     99.10057
GET       9.300     99.14083
GET       9.400     99.18324
GET       9.500     99.19580
GET       9.600     99.20142
GET       9.700     99.20445
GET       9.800     99.21138
GET       9.900     99.21960
GET      10.000     99.24298
GET      11.000     99.24817
GET      12.000     99.33300
GET      13.000     99.85630
GET      14.000     99.86885
GET      16.000     99.89655
GET      17.000     99.99437
GET      18.000     99.99481
GET      20.000     99.99740
GET      21.000    100.00000
