[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        7955 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       17309 ops,    9352 (avg:    8654) ops/sec, 372.77KB/sec (avg: 331.73KB/sec),  0.85 (avg:  0.92) msec latency[RUN #1 10%,   3 secs]  2 threads:       27184 ops,    9873 (avg:    9060) ops/sec, 419.24KB/sec (avg: 360.90KB/sec),  0.80 (avg:  0.88) msec latency[RUN #1 13%,   4 secs]  2 threads:       37468 ops,   10282 (avg:    9366) ops/sec, 463.06KB/sec (avg: 386.44KB/sec),  0.77 (avg:  0.85) msec latency[RUN #1 17%,   5 secs]  2 threads:       45702 ops,    8233 (avg:    9139) ops/sec, 393.03KB/sec (avg: 387.76KB/sec),  0.96 (avg:  0.87) msec latency[RUN #1 20%,   6 secs]  2 threads:       53577 ops,    7874 (avg:    8928) ops/sec, 388.36KB/sec (avg: 387.86KB/sec),  1.01 (avg:  0.89) msec latency[RUN #1 23%,   7 secs]  2 threads:       61734 ops,    8156 (avg:    8818) ops/sec, 418.23KB/sec (avg: 392.20KB/sec),  0.97 (avg:  0.90) msec latency[RUN #1 27%,   8 secs]  2 threads:       68904 ops,    7169 (avg:    8612) ops/sec, 373.53KB/sec (avg: 389.86KB/sec),  1.11 (avg:  0.92) msec latency[RUN #1 30%,   9 secs]  2 threads:       77713 ops,    8807 (avg:    8634) ops/sec, 475.05KB/sec (avg: 399.33KB/sec),  0.90 (avg:  0.92) msec latency[RUN #1 33%,  10 secs]  2 threads:       87654 ops,    9939 (avg:    8764) ops/sec, 552.97KB/sec (avg: 414.69KB/sec),  0.80 (avg:  0.91) msec latency[RUN #1 37%,  11 secs]  2 threads:      100507 ops,   12851 (avg:    9136) ops/sec, 744.97KB/sec (avg: 444.72KB/sec),  0.62 (avg:  0.87) msec latency[RUN #1 40%,  12 secs]  2 threads:      104194 ops,    3686 (avg:    8681) ops/sec, 215.16KB/sec (avg: 425.59KB/sec),  2.17 (avg:  0.92) msec latency[RUN #1 43%,  13 secs]  2 threads:      110289 ops,    6094 (avg:    8482) ops/sec, 356.47KB/sec (avg: 420.27KB/sec),  1.29 (avg:  0.94) msec latency[RUN #1 47%,  14 secs]  2 threads:      119601 ops,    9311 (avg:    8542) ops/sec, 557.57KB/sec (avg: 430.08KB/sec),  0.86 (avg:  0.93) msec latency[RUN #1 50%,  15 secs]  2 threads:      129679 ops,   10077 (avg:    8644) ops/sec, 615.05KB/sec (avg: 442.41KB/sec),  0.79 (avg:  0.92) msec latency[RUN #1 53%,  16 secs]  2 threads:      139113 ops,    9433 (avg:    8693) ops/sec, 595.58KB/sec (avg: 451.98KB/sec),  0.84 (avg:  0.91) msec latency[RUN #1 57%,  17 secs]  2 threads:      146195 ops,    7081 (avg:    8598) ops/sec, 446.51KB/sec (avg: 451.66KB/sec),  1.12 (avg:  0.92) msec latency[RUN #1 60%,  18 secs]  2 threads:      152561 ops,    6365 (avg:    8474) ops/sec, 401.58KB/sec (avg: 448.88KB/sec),  1.26 (avg:  0.94) msec latency[RUN #1 63%,  19 secs]  2 threads:      156510 ops,    3948 (avg:    8236) ops/sec, 252.30KB/sec (avg: 438.53KB/sec),  2.00 (avg:  0.96) msec latency[RUN #1 67%,  20 secs]  2 threads:      162602 ops,    6091 (avg:    8129) ops/sec, 389.71KB/sec (avg: 436.09KB/sec),  1.32 (avg:  0.98) msec latency[RUN #1 70%,  21 secs]  2 threads:      171514 ops,    8911 (avg:    8166) ops/sec, 574.60KB/sec (avg: 442.69KB/sec),  0.89 (avg:  0.97) msec latency[RUN #1 73%,  22 secs]  2 threads:      182389 ops,   10874 (avg:    8289) ops/sec, 708.50KB/sec (avg: 454.77KB/sec),  0.73 (avg:  0.96) msec latency[RUN #1 77%,  23 secs]  2 threads:      198059 ops,   15668 (avg:    8610) ops/sec, 1018.14KB/sec (avg: 479.26KB/sec),  0.51 (avg:  0.92) msec latency[RUN #1 80%,  24 secs]  2 threads:      217901 ops,   19840 (avg:    9078) ops/sec, 1.27MB/sec (avg: 513.68KB/sec),  0.40 (avg:  0.88) msec latency[RUN #1 83%,  25 secs]  2 threads:      237658 ops,   19755 (avg:    9505) ops/sec, 1.28MB/sec (avg: 545.56KB/sec),  0.40 (avg:  0.84) msec latency[RUN #1 87%,  26 secs]  2 threads:      257359 ops,   19699 (avg:    9897) ops/sec, 1.28MB/sec (avg: 574.92KB/sec),  0.40 (avg:  0.80) msec latency[RUN #1 90%,  27 secs]  2 threads:      277064 ops,   19702 (avg:   10260) ops/sec, 1.29MB/sec (avg: 602.58KB/sec),  0.40 (avg:  0.77) msec latency[RUN #1 93%,  28 secs]  2 threads:      296140 ops,   19073 (avg:   10575) ops/sec, 1.26MB/sec (avg: 627.23KB/sec),  0.42 (avg:  0.75) msec latency[RUN #1 97%,  29 secs]  2 threads:      316673 ops,   20530 (avg:   10918) ops/sec, 1.36MB/sec (avg: 653.72KB/sec),  0.39 (avg:  0.73) msec latency[RUN #1 100%,  30 secs]  0 threads:      339462 ops,   20530 (avg:   11315) ops/sec, 1.36MB/sec (avg: 683.74KB/sec),  0.39 (avg:  0.70) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1028.83          ---          ---      0.70700        75.47
Gets       10286.55      7765.42      2521.13      0.70100       608.27
Totals     11315.38      7765.42      2521.13      0.70100       683.74


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.110      0.00065
GET       0.120      0.00227
GET       0.130      0.00875
GET       0.140      0.03338
GET       0.150      0.10272
GET       0.160      0.17823
GET       0.170      0.26993
GET       0.180      0.35127
GET       0.190      0.41413
GET       0.200      0.45593
GET       0.210      0.49223
GET       0.220      0.56481
GET       0.230      0.73980
GET       0.240      1.03825
GET       0.250      1.53534
GET       0.260      2.24792
GET       0.270      3.26380
GET       0.280      4.65397
GET       0.290      6.52275
GET       0.300      8.77714
GET       0.310     11.55164
GET       0.320     14.85724
GET       0.330     17.92078
GET       0.340     19.76170
GET       0.350     20.81226
GET       0.360     21.68297
GET       0.370     22.57896
GET       0.380     23.80872
GET       0.390     25.51289
GET       0.400     27.73553
GET       0.410     30.41507
GET       0.420     33.46792
GET       0.430     36.80690
GET       0.440     40.32994
GET       0.450     43.85914
GET       0.460     47.22923
GET       0.470     50.55623
GET       0.480     53.72087
GET       0.490     56.70211
GET       0.500     59.51386
GET       0.510     62.16846
GET       0.520     64.66848
GET       0.530     67.15555
GET       0.540     69.52206
GET       0.550     71.69642
GET       0.560     73.60668
GET       0.570     75.25219
GET       0.580     76.63295
GET       0.590     77.75254
GET       0.600     78.63686
GET       0.610     79.31963
GET       0.620     79.85074
GET       0.630     80.24187
GET       0.640     80.56041
GET       0.650     80.83585
GET       0.660     81.08634
GET       0.670     81.34493
GET       0.680     81.63527
GET       0.690     81.95284
GET       0.700     82.31966
GET       0.710     82.76684
GET       0.720     83.28305
GET       0.730     83.85694
GET       0.740     84.51411
GET       0.750     85.21275
GET       0.760     85.97653
GET       0.770     86.74679
GET       0.780     87.53974
GET       0.790     88.31972
GET       0.800     89.08706
GET       0.810     89.82297
GET       0.820     90.51773
GET       0.830     91.14573
GET       0.840     91.69013
GET       0.850     92.14672
GET       0.860     92.57187
GET       0.870     92.90563
GET       0.880     93.19598
GET       0.890     93.43934
GET       0.900     93.63215
GET       0.910     93.77765
GET       0.920     93.89851
GET       0.930     93.99216
GET       0.940     94.07480
GET       0.950     94.13637
GET       0.960     94.18497
GET       0.970     94.21705
GET       0.980     94.25043
GET       0.990     94.27635
GET       1.000     94.34829
GET       1.100     94.51842
GET       1.200     95.09166
GET       1.300     96.02621
GET       1.400     96.69504
GET       1.500     96.98053
GET       1.600     97.07191
GET       1.700     97.13834
GET       1.800     97.23004
GET       1.900     97.35642
GET       2.000     97.45979
GET       2.100     97.52331
GET       2.200     97.55571
GET       2.300     97.56511
GET       2.400     97.56673
GET       2.500     97.56705
GET       2.600     97.56803
GET       3.000     97.56835
GET       3.100     97.56932
GET       3.300     97.56965
GET       3.400     97.57062
GET       4.100     97.57224
GET       4.200     97.57256
GET       4.300     97.58779
GET       4.400     97.60886
GET       4.500     97.74496
GET       4.600     98.03012
GET       4.700     98.10983
GET       4.800     98.26246
GET       4.900     98.37296
GET       5.000     98.40050
GET       5.100     98.41217
GET       5.200     98.43226
GET       5.300     98.48216
GET       5.400     98.54632
GET       5.500     98.57840
GET       5.600     98.59720
GET       5.700     98.60498
GET       5.800     98.61081
GET       5.900     98.61729
GET       6.000     98.62604
GET       6.100     98.63447
GET       6.200     98.63997
GET       6.300     98.64127
GET       6.400     98.64224
GET       6.500     98.64257
GET       6.600     98.64321
GET       6.800     98.64451
GET       6.900     98.64483
GET       8.200     98.64548
GET       8.300     98.66849
GET       8.400     98.69798
GET       8.500     98.79908
GET       8.600     99.01457
GET       8.700     99.08586
GET       8.800     99.17303
GET       8.900     99.25113
GET       9.000     99.28094
GET       9.100     99.28872
GET       9.200     99.30784
GET       9.300     99.33992
GET       9.400     99.37394
GET       9.500     99.40311
GET       9.600     99.41315
GET       9.700     99.41672
GET       9.800     99.41996
GET       9.900     99.42449
GET      10.000     99.44491
GET      11.000     99.44523
GET      12.000     99.50324
GET      13.000     99.90894
GET      14.000     99.93325
GET      16.000     99.93908
GET      17.000     99.99384
GET      18.000     99.99741
GET      24.000     99.99935
GET      25.000    100.00000
