[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       13796 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       25807 ops,   12009 (avg:   12903) ops/sec, 510.83KB/sec (avg: 515.97KB/sec),  0.66 (avg:  0.61) msec latency[RUN #1 10%,   3 secs]  2 threads:       36595 ops,   10786 (avg:   12197) ops/sec, 487.76KB/sec (avg: 506.57KB/sec),  0.74 (avg:  0.65) msec latency[RUN #1 13%,   4 secs]  2 threads:       45930 ops,    9334 (avg:   11481) ops/sec, 452.09KB/sec (avg: 492.95KB/sec),  0.85 (avg:  0.69) msec latency[RUN #1 17%,   5 secs]  2 threads:       53159 ops,    7228 (avg:   10630) ops/sec, 360.22KB/sec (avg: 466.40KB/sec),  1.10 (avg:  0.75) msec latency[RUN #1 20%,   6 secs]  2 threads:       62327 ops,    9167 (avg:   10386) ops/sec, 474.70KB/sec (avg: 467.78KB/sec),  0.87 (avg:  0.76) msec latency[RUN #1 23%,   7 secs]  2 threads:       69055 ops,    6727 (avg:    9864) ops/sec, 356.83KB/sec (avg: 451.93KB/sec),  1.17 (avg:  0.80) msec latency[RUN #1 27%,   8 secs]  2 threads:       77911 ops,    8854 (avg:    9737) ops/sec, 483.57KB/sec (avg: 455.89KB/sec),  0.90 (avg:  0.81) msec latency[RUN #1 30%,   9 secs]  2 threads:       85819 ops,    7907 (avg:    9534) ops/sec, 447.56KB/sec (avg: 454.96KB/sec),  1.01 (avg:  0.83) msec latency[RUN #1 33%,  10 secs]  2 threads:       95461 ops,    9640 (avg:    9545) ops/sec, 564.36KB/sec (avg: 465.90KB/sec),  0.82 (avg:  0.83) msec latency[RUN #1 37%,  11 secs]  2 threads:      104511 ops,    9049 (avg:    9500) ops/sec, 533.23KB/sec (avg: 472.02KB/sec),  0.88 (avg:  0.84) msec latency[RUN #1 40%,  12 secs]  2 threads:      119639 ops,   15126 (avg:    9968) ops/sec, 911.05KB/sec (avg: 508.61KB/sec),  0.52 (avg:  0.80) msec latency[RUN #1 43%,  13 secs]  2 threads:      132281 ops,   12640 (avg:   10174) ops/sec, 787.34KB/sec (avg: 530.05KB/sec),  0.63 (avg:  0.78) msec latency[RUN #1 47%,  14 secs]  2 threads:      140746 ops,    8464 (avg:   10052) ops/sec, 536.52KB/sec (avg: 530.51KB/sec),  0.94 (avg:  0.79) msec latency[RUN #1 50%,  15 secs]  2 threads:      146810 ops,    6063 (avg:    9786) ops/sec, 384.88KB/sec (avg: 520.80KB/sec),  1.30 (avg:  0.81) msec latency[RUN #1 53%,  16 secs]  2 threads:      153862 ops,    7051 (avg:    9615) ops/sec, 447.54KB/sec (avg: 516.22KB/sec),  1.14 (avg:  0.83) msec latency[RUN #1 57%,  17 secs]  2 threads:      159016 ops,    5153 (avg:    9352) ops/sec, 332.21KB/sec (avg: 505.40KB/sec),  1.55 (avg:  0.85) msec latency[RUN #1 60%,  18 secs]  2 threads:      163402 ops,    4385 (avg:    9076) ops/sec, 281.91KB/sec (avg: 492.98KB/sec),  1.82 (avg:  0.88) msec latency[RUN #1 63%,  19 secs]  2 threads:      167241 ops,    3838 (avg:    8801) ops/sec, 247.55KB/sec (avg: 480.07KB/sec),  2.06 (avg:  0.90) msec latency[RUN #1 67%,  20 secs]  2 threads:      173418 ops,    6176 (avg:    8670) ops/sec, 402.74KB/sec (avg: 476.20KB/sec),  1.29 (avg:  0.92) msec latency[RUN #1 70%,  21 secs]  2 threads:      179639 ops,    6220 (avg:    8553) ops/sec, 406.90KB/sec (avg: 472.90KB/sec),  1.29 (avg:  0.93) msec latency[RUN #1 73%,  22 secs]  2 threads:      186272 ops,    6632 (avg:    8466) ops/sec, 431.08KB/sec (avg: 471.00KB/sec),  1.20 (avg:  0.94) msec latency[RUN #1 77%,  23 secs]  2 threads:      194963 ops,    8689 (avg:    8475) ops/sec, 567.95KB/sec (avg: 475.21KB/sec),  0.91 (avg:  0.94) msec latency[RUN #1 80%,  24 secs]  2 threads:      202502 ops,    7538 (avg:    8436) ops/sec, 496.15KB/sec (avg: 476.09KB/sec),  1.06 (avg:  0.94) msec latency[RUN #1 83%,  25 secs]  2 threads:      210276 ops,    7773 (avg:    8410) ops/sec, 510.91KB/sec (avg: 477.48KB/sec),  1.02 (avg:  0.94) msec latency[RUN #1 87%,  26 secs]  2 threads:      217147 ops,    6870 (avg:    8350) ops/sec, 456.18KB/sec (avg: 476.66KB/sec),  1.16 (avg:  0.95) msec latency[RUN #1 90%,  27 secs]  2 threads:      227570 ops,   10421 (avg:    8427) ops/sec, 691.37KB/sec (avg: 484.61KB/sec),  0.76 (avg:  0.94) msec latency[RUN #1 93%,  28 secs]  2 threads:      239734 ops,   12162 (avg:    8561) ops/sec, 812.14KB/sec (avg: 496.31KB/sec),  0.65 (avg:  0.93) msec latency[RUN #1 97%,  29 secs]  2 threads:      252535 ops,   12799 (avg:    8707) ops/sec, 851.86KB/sec (avg: 508.57KB/sec),  0.62 (avg:  0.91) msec latency[RUN #1 100%,  30 secs]  0 threads:      265757 ops,   12799 (avg:    8858) ops/sec, 851.86KB/sec (avg: 521.13KB/sec),  0.62 (avg:  0.90) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         805.43          ---          ---      0.88600        59.08
Gets        8053.09      5707.87      2345.22      0.89700       462.05
Totals      8858.52      5707.87      2345.22      0.89600       521.13


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.170      0.00083
GET       0.180      0.00166
GET       0.200      0.00290
GET       0.210      0.00704
GET       0.220      0.01987
GET       0.230      0.06085
GET       0.240      0.16308
GET       0.250      0.31665
GET       0.260      0.56127
GET       0.270      0.84688
GET       0.280      1.18422
GET       0.290      1.55550
GET       0.300      1.92141
GET       0.310      2.20742
GET       0.320      2.41148
GET       0.330      2.59609
GET       0.340      2.80636
GET       0.350      3.06051
GET       0.360      3.42807
GET       0.370      3.95871
GET       0.380      4.76254
GET       0.390      5.92357
GET       0.400      7.35821
GET       0.410      9.03375
GET       0.420     10.85540
GET       0.430     12.76853
GET       0.440     14.70566
GET       0.450     16.59644
GET       0.460     18.46859
GET       0.470     20.47071
GET       0.480     22.80189
GET       0.490     25.41454
GET       0.500     28.34839
GET       0.510     31.60261
GET       0.520     35.16975
GET       0.530     38.90328
GET       0.540     42.60371
GET       0.550     46.07772
GET       0.560     49.10801
GET       0.570     51.70575
GET       0.580     53.86226
GET       0.590     55.57257
GET       0.600     56.86772
GET       0.610     57.86071
GET       0.620     58.64094
GET       0.630     59.27300
GET       0.640     59.78998
GET       0.650     60.28295
GET       0.660     60.76807
GET       0.670     61.30699
GET       0.680     61.93200
GET       0.690     62.64063
GET       0.700     63.50116
GET       0.710     64.46352
GET       0.720     65.64194
GET       0.730     66.96400
GET       0.740     68.42678
GET       0.750     70.05224
GET       0.760     71.79938
GET       0.770     73.63097
GET       0.780     75.56810
GET       0.790     77.47750
GET       0.800     79.33848
GET       0.810     81.11708
GET       0.820     82.88409
GET       0.830     84.43339
GET       0.840     85.78442
GET       0.850     86.96449
GET       0.860     87.91982
GET       0.870     88.75841
GET       0.880     89.43268
GET       0.890     89.98733
GET       0.900     90.44678
GET       0.910     90.78578
GET       0.920     91.04986
GET       0.930     91.25599
GET       0.940     91.42818
GET       0.950     91.53952
GET       0.960     91.62314
GET       0.970     91.69143
GET       0.980     91.74607
GET       0.990     91.79657
GET       1.000     91.93440
GET       1.100     92.10659
GET       1.200     92.74030
GET       1.300     93.92617
GET       1.400     94.90136
GET       1.500     95.38399
GET       1.600     95.52514
GET       1.700     95.60337
GET       1.800     95.74120
GET       1.900     95.92374
GET       2.000     96.12118
GET       2.100     96.27516
GET       2.200     96.35049
GET       2.300     96.38443
GET       2.400     96.38981
GET       2.500     96.39354
GET       2.600     96.39436
GET       2.700     96.39768
GET       2.800     96.40016
GET       2.900     96.40140
GET       3.000     96.40264
GET       3.100     96.40306
GET       3.200     96.40430
GET       3.700     96.40513
GET       3.800     96.40554
GET       3.900     96.40637
GET       4.100     96.40720
GET       4.300     96.41175
GET       4.400     96.43037
GET       4.500     96.61581
GET       4.600     97.05912
GET       4.700     97.20978
GET       4.800     97.54092
GET       4.900     97.85342
GET       5.000     97.94200
GET       5.100     97.96311
GET       5.200     97.98132
GET       5.300     98.02437
GET       5.400     98.07239
GET       5.500     98.10964
GET       5.600     98.13033
GET       5.700     98.13861
GET       5.800     98.14399
GET       5.900     98.15351
GET       6.000     98.16552
GET       6.100     98.17711
GET       6.200     98.18332
GET       6.300     98.19615
GET       6.400     98.20153
GET       6.500     98.20567
GET       6.600     98.20691
GET       8.300     98.21726
GET       8.400     98.24251
GET       8.500     98.34516
GET       8.600     98.56371
GET       8.700     98.65642
GET       8.800     98.79798
GET       8.900     98.95776
GET       9.000     99.00080
GET       9.100     99.01239
GET       9.200     99.02647
GET       9.300     99.04965
GET       9.400     99.09021
GET       9.500     99.11711
GET       9.600     99.13243
GET       9.700     99.13947
GET       9.800     99.14319
GET       9.900     99.15064
GET      10.000     99.18375
GET      11.000     99.18748
GET      12.000     99.31290
GET      13.000     99.84188
GET      14.000     99.87086
GET      16.000     99.89900
GET      17.000     99.99007
GET      18.000     99.99710
GET      21.000    100.00000
