[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       16504 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       31686 ops,   15180 (avg:   15842) ops/sec, 674.85KB/sec (avg: 658.55KB/sec),  0.52 (avg:  0.50) msec latency[RUN #1 10%,   3 secs]  2 threads:       46571 ops,   14882 (avg:   15522) ops/sec, 722.14KB/sec (avg: 679.75KB/sec),  0.53 (avg:  0.51) msec latency[RUN #1 13%,   4 secs]  2 threads:       60550 ops,   13977 (avg:   15136) ops/sec, 724.93KB/sec (avg: 691.04KB/sec),  0.57 (avg:  0.52) msec latency[RUN #1 17%,   5 secs]  2 threads:       73815 ops,   13263 (avg:   14761) ops/sec, 724.56KB/sec (avg: 697.75KB/sec),  0.60 (avg:  0.54) msec latency[RUN #1 20%,   6 secs]  2 threads:       85997 ops,   12180 (avg:   14331) ops/sec, 695.63KB/sec (avg: 697.40KB/sec),  0.65 (avg:  0.55) msec latency[RUN #1 23%,   7 secs]  2 threads:       97890 ops,   11891 (avg:   13983) ops/sec, 703.71KB/sec (avg: 698.30KB/sec),  0.67 (avg:  0.57) msec latency[RUN #1 27%,   8 secs]  2 threads:      107099 ops,    9208 (avg:   13386) ops/sec, 550.63KB/sec (avg: 679.84KB/sec),  0.86 (avg:  0.59) msec latency[RUN #1 30%,   9 secs]  2 threads:      114593 ops,    7493 (avg:   12731) ops/sec, 453.82KB/sec (avg: 654.72KB/sec),  1.06 (avg:  0.62) msec latency[RUN #1 33%,  10 secs]  2 threads:      123453 ops,    8859 (avg:   12344) ops/sec, 548.05KB/sec (avg: 644.06KB/sec),  0.90 (avg:  0.64) msec latency[RUN #1 37%,  11 secs]  2 threads:      131213 ops,    7758 (avg:   11927) ops/sec, 489.09KB/sec (avg: 629.97KB/sec),  1.02 (avg:  0.67) msec latency[RUN #1 40%,  12 secs]  2 threads:      141184 ops,    9969 (avg:   11764) ops/sec, 635.85KB/sec (avg: 630.46KB/sec),  0.79 (avg:  0.67) msec latency[RUN #1 43%,  13 secs]  2 threads:      147653 ops,    6468 (avg:   11356) ops/sec, 412.48KB/sec (avg: 613.69KB/sec),  1.23 (avg:  0.70) msec latency[RUN #1 47%,  14 secs]  2 threads:      156913 ops,    9259 (avg:   11206) ops/sec, 595.45KB/sec (avg: 612.39KB/sec),  0.86 (avg:  0.71) msec latency[RUN #1 50%,  15 secs]  2 threads:      165187 ops,    8273 (avg:   11011) ops/sec, 535.79KB/sec (avg: 607.28KB/sec),  0.96 (avg:  0.72) msec latency[RUN #1 53%,  16 secs]  2 threads:      173481 ops,    8293 (avg:   10841) ops/sec, 541.02KB/sec (avg: 603.14KB/sec),  0.96 (avg:  0.73) msec latency[RUN #1 57%,  17 secs]  2 threads:      181873 ops,    8391 (avg:   10697) ops/sec, 550.97KB/sec (avg: 600.07KB/sec),  0.95 (avg:  0.74) msec latency[RUN #1 60%,  18 secs]  2 threads:      189120 ops,    7246 (avg:   10505) ops/sec, 474.57KB/sec (avg: 593.10KB/sec),  1.10 (avg:  0.76) msec latency[RUN #1 63%,  19 secs]  2 threads:      199143 ops,   10022 (avg:   10480) ops/sec, 662.37KB/sec (avg: 596.75KB/sec),  0.79 (avg:  0.76) msec latency[RUN #1 67%,  20 secs]  2 threads:      206502 ops,    7358 (avg:   10324) ops/sec, 485.65KB/sec (avg: 591.19KB/sec),  1.08 (avg:  0.77) msec latency[RUN #1 70%,  21 secs]  2 threads:      217374 ops,   10870 (avg:   10350) ops/sec, 722.62KB/sec (avg: 597.45KB/sec),  0.73 (avg:  0.77) msec latency[RUN #1 73%,  22 secs]  2 threads:      223430 ops,    6055 (avg:   10154) ops/sec, 402.82KB/sec (avg: 588.60KB/sec),  1.30 (avg:  0.78) msec latency[RUN #1 77%,  23 secs]  2 threads:      228765 ops,    5334 (avg:    9945) ops/sec, 356.09KB/sec (avg: 578.49KB/sec),  1.49 (avg:  0.80) msec latency[RUN #1 80%,  24 secs]  2 threads:      241294 ops,   12527 (avg:   10052) ops/sec, 836.43KB/sec (avg: 589.24KB/sec),  0.64 (avg:  0.79) msec latency[RUN #1 83%,  25 secs]  2 threads:      248242 ops,    6947 (avg:    9928) ops/sec, 463.83KB/sec (avg: 584.22KB/sec),  1.14 (avg:  0.80) msec latency[RUN #1 87%,  26 secs]  2 threads:      255058 ops,    6815 (avg:    9808) ops/sec, 456.14KB/sec (avg: 579.30KB/sec),  1.17 (avg:  0.81) msec latency[RUN #1 90%,  27 secs]  2 threads:      259788 ops,    4729 (avg:    9620) ops/sec, 318.68KB/sec (avg: 569.64KB/sec),  1.68 (avg:  0.83) msec latency[RUN #1 93%,  28 secs]  2 threads:      266536 ops,    6747 (avg:    9518) ops/sec, 455.43KB/sec (avg: 565.57KB/sec),  1.18 (avg:  0.83) msec latency[RUN #1 97%,  29 secs]  2 threads:      274242 ops,    7705 (avg:    9455) ops/sec, 522.36KB/sec (avg: 564.08KB/sec),  1.03 (avg:  0.84) msec latency[RUN #1 100%,  30 secs]  0 threads:      279109 ops,    7705 (avg:    9303) ops/sec, 522.36KB/sec (avg: 556.33KB/sec),  1.03 (avg:  0.85) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         845.86          ---          ---      0.85300        62.05
Gets        8457.71      6231.49      2226.22      0.85300       494.28
Totals      9303.57      6231.49      2226.22      0.85300       556.33


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.200      0.00079
GET       0.210      0.00276
GET       0.220      0.00670
GET       0.230      0.02601
GET       0.240      0.06385
GET       0.250      0.15095
GET       0.260      0.26997
GET       0.270      0.43747
GET       0.280      0.65029
GET       0.290      0.93326
GET       0.300      1.17880
GET       0.310      1.39083
GET       0.320      1.58710
GET       0.330      1.86062
GET       0.340      2.26853
GET       0.350      2.82226
GET       0.360      3.36614
GET       0.370      4.00066
GET       0.380      4.88545
GET       0.390      6.10602
GET       0.400      7.58474
GET       0.410      9.18643
GET       0.420     10.79087
GET       0.430     12.47768
GET       0.440     14.12272
GET       0.450     15.65740
GET       0.460     17.19918
GET       0.470     18.77131
GET       0.480     20.53891
GET       0.490     22.58122
GET       0.500     24.90807
GET       0.510     27.48086
GET       0.520     30.36893
GET       0.530     33.63023
GET       0.540     36.81862
GET       0.550     39.94080
GET       0.560     42.77410
GET       0.570     45.51596
GET       0.580     48.10766
GET       0.590     50.55314
GET       0.600     52.65259
GET       0.610     54.55538
GET       0.620     56.23983
GET       0.630     57.68662
GET       0.640     58.90680
GET       0.650     59.97013
GET       0.660     60.93689
GET       0.670     61.87843
GET       0.680     62.79711
GET       0.690     63.76230
GET       0.700     64.72355
GET       0.710     65.77032
GET       0.720     66.89591
GET       0.730     68.10781
GET       0.740     69.46633
GET       0.750     70.88987
GET       0.760     72.40682
GET       0.770     74.01520
GET       0.780     75.66142
GET       0.790     77.34469
GET       0.800     78.96765
GET       0.810     80.54609
GET       0.820     82.13122
GET       0.830     83.62649
GET       0.840     84.96333
GET       0.850     86.17326
GET       0.860     87.27166
GET       0.870     88.20689
GET       0.880     89.01483
GET       0.890     89.69034
GET       0.900     90.24526
GET       0.910     90.69731
GET       0.920     91.07645
GET       0.930     91.38622
GET       0.940     91.61914
GET       0.950     91.81778
GET       0.960     91.96163
GET       0.970     92.06370
GET       0.980     92.16657
GET       0.990     92.24106
GET       1.000     92.48383
GET       1.100     92.81410
GET       1.200     93.59878
GET       1.300     94.71176
GET       1.400     95.66198
GET       1.500     96.06910
GET       1.600     96.23541
GET       1.700     96.36665
GET       1.800     96.56844
GET       1.900     96.78599
GET       2.000     96.99290
GET       2.100     97.11587
GET       2.200     97.18720
GET       2.300     97.21164
GET       2.400     97.22346
GET       2.500     97.22937
GET       2.600     97.23449
GET       2.700     97.23607
GET       2.800     97.23765
GET       2.900     97.23844
GET       3.000     97.23962
GET       3.100     97.24001
GET       3.400     97.24041
GET       3.500     97.24159
GET       3.700     97.24198
GET       3.900     97.24277
GET       4.000     97.24317
GET       4.100     97.24514
GET       4.200     97.24711
GET       4.300     97.24829
GET       4.400     97.25814
GET       4.500     97.36416
GET       4.600     97.65344
GET       4.700     97.74172
GET       4.800     97.95730
GET       4.900     98.14963
GET       5.000     98.21426
GET       5.100     98.23042
GET       5.200     98.24855
GET       5.300     98.28796
GET       5.400     98.33171
GET       5.500     98.35693
GET       5.600     98.36560
GET       5.700     98.37112
GET       5.800     98.37625
GET       5.900     98.38689
GET       6.000     98.40186
GET       6.100     98.41132
GET       6.200     98.41408
GET       6.300     98.41526
GET       6.400     98.41645
GET       6.500     98.41763
GET       6.600     98.41842
GET       6.700     98.41960
GET       6.900     98.42078
GET       7.200     98.42157
GET       7.300     98.42196
GET       7.600     98.42354
GET       7.700     98.42512
GET       7.800     98.42551
GET       8.200     98.42590
GET       8.300     98.43457
GET       8.400     98.44758
GET       8.500     98.54966
GET       8.600     98.79204
GET       8.700     98.89924
GET       8.800     99.08289
GET       8.900     99.25473
GET       9.000     99.33197
GET       9.100     99.35247
GET       9.200     99.36350
GET       9.300     99.38439
GET       9.400     99.40410
GET       9.500     99.41710
GET       9.600     99.42302
GET       9.700     99.42538
GET       9.800     99.43011
GET       9.900     99.43839
GET      10.000     99.45336
GET      12.000     99.48292
GET      13.000     99.87664
GET      14.000     99.89162
GET      16.000     99.93024
GET      17.000    100.00000
