[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       15821 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       30718 ops,   14895 (avg:   15358) ops/sec, 4.08MB/sec (avg: 3.92MB/sec),  0.40 (avg:  0.39) msec latency[RUN #1 10%,   3 secs]  2 threads:       44605 ops,   13885 (avg:   14867) ops/sec, 4.41MB/sec (avg: 4.08MB/sec),  0.43 (avg:  0.40) msec latency[RUN #1 13%,   4 secs]  2 threads:       57308 ops,   12701 (avg:   14326) ops/sec, 4.51MB/sec (avg: 4.19MB/sec),  0.47 (avg:  0.41) msec latency[RUN #1 17%,   5 secs]  2 threads:       68778 ops,   11468 (avg:   13754) ops/sec, 4.68MB/sec (avg: 4.29MB/sec),  0.52 (avg:  0.43) msec latency[RUN #1 20%,   6 secs]  2 threads:       77186 ops,    8407 (avg:   12863) ops/sec, 3.50MB/sec (avg: 4.16MB/sec),  0.71 (avg:  0.46) msec latency[RUN #1 23%,   7 secs]  2 threads:       85381 ops,    8193 (avg:   12196) ops/sec, 3.70MB/sec (avg: 4.09MB/sec),  0.73 (avg:  0.49) msec latency[RUN #1 27%,   8 secs]  2 threads:       93128 ops,    7746 (avg:   11640) ops/sec, 3.79MB/sec (avg: 4.05MB/sec),  0.77 (avg:  0.51) msec latency[RUN #1 30%,   9 secs]  2 threads:      102321 ops,    9192 (avg:   11368) ops/sec, 4.19MB/sec (avg: 4.07MB/sec),  0.65 (avg:  0.52) msec latency[RUN #1 33%,  10 secs]  2 threads:      110529 ops,    8207 (avg:   11051) ops/sec, 3.84MB/sec (avg: 4.05MB/sec),  0.72 (avg:  0.54) msec latency[RUN #1 37%,  11 secs]  2 threads:      117944 ops,    7414 (avg:   10721) ops/sec, 3.76MB/sec (avg: 4.02MB/sec),  0.80 (avg:  0.55) msec latency[RUN #1 40%,  12 secs]  2 threads:      125295 ops,    7350 (avg:   10440) ops/sec, 3.91MB/sec (avg: 4.01MB/sec),  0.81 (avg:  0.57) msec latency[RUN #1 43%,  13 secs]  2 threads:      132816 ops,    7520 (avg:   10215) ops/sec, 3.95MB/sec (avg: 4.01MB/sec),  0.79 (avg:  0.58) msec latency[RUN #1 47%,  14 secs]  2 threads:      139510 ops,    6693 (avg:    9964) ops/sec, 3.75MB/sec (avg: 3.99MB/sec),  0.89 (avg:  0.60) msec latency[RUN #1 50%,  15 secs]  2 threads:      145963 ops,    6452 (avg:    9730) ops/sec, 3.65MB/sec (avg: 3.97MB/sec),  0.92 (avg:  0.61) msec latency[RUN #1 53%,  16 secs]  2 threads:      152166 ops,    6202 (avg:    9509) ops/sec, 3.51MB/sec (avg: 3.94MB/sec),  0.96 (avg:  0.62) msec latency[RUN #1 57%,  17 secs]  2 threads:      158274 ops,    6107 (avg:    9309) ops/sec, 3.66MB/sec (avg: 3.92MB/sec),  0.98 (avg:  0.64) msec latency[RUN #1 60%,  18 secs]  2 threads:      164253 ops,    5978 (avg:    9124) ops/sec, 3.72MB/sec (avg: 3.91MB/sec),  1.00 (avg:  0.65) msec latency[RUN #1 63%,  19 secs]  2 threads:      169849 ops,    5595 (avg:    8938) ops/sec, 3.83MB/sec (avg: 3.91MB/sec),  1.07 (avg:  0.67) msec latency[RUN #1 67%,  20 secs]  2 threads:      175231 ops,    5381 (avg:    8760) ops/sec, 3.61MB/sec (avg: 3.89MB/sec),  1.11 (avg:  0.68) msec latency[RUN #1 70%,  21 secs]  2 threads:      180519 ops,    5287 (avg:    8595) ops/sec, 3.48MB/sec (avg: 3.87MB/sec),  1.13 (avg:  0.69) msec latency[RUN #1 73%,  22 secs]  2 threads:      185714 ops,    5194 (avg:    8440) ops/sec, 3.54MB/sec (avg: 3.86MB/sec),  1.15 (avg:  0.70) msec latency[RUN #1 77%,  23 secs]  2 threads:      190734 ops,    5019 (avg:    8292) ops/sec, 3.56MB/sec (avg: 3.84MB/sec),  1.19 (avg:  0.72) msec latency[RUN #1 80%,  24 secs]  2 threads:      195556 ops,    4821 (avg:    8147) ops/sec, 3.61MB/sec (avg: 3.83MB/sec),  1.24 (avg:  0.73) msec latency[RUN #1 83%,  25 secs]  2 threads:      200262 ops,    4705 (avg:    8009) ops/sec, 3.50MB/sec (avg: 3.82MB/sec),  1.27 (avg:  0.74) msec latency[RUN #1 87%,  26 secs]  2 threads:      204901 ops,    4638 (avg:    7880) ops/sec, 3.49MB/sec (avg: 3.81MB/sec),  1.29 (avg:  0.76) msec latency[RUN #1 90%,  27 secs]  2 threads:      209503 ops,    4601 (avg:    7758) ops/sec, 3.49MB/sec (avg: 3.80MB/sec),  1.30 (avg:  0.77) msec latency[RUN #1 93%,  28 secs]  2 threads:      213988 ops,    4484 (avg:    7641) ops/sec, 3.55MB/sec (avg: 3.79MB/sec),  1.33 (avg:  0.78) msec latency[RUN #1 97%,  29 secs]  2 threads:      218583 ops,    4594 (avg:    7536) ops/sec, 3.73MB/sec (avg: 3.79MB/sec),  1.30 (avg:  0.79) msec latency[RUN #1 100%,  30 secs]  0 threads:      223738 ops,    4594 (avg:    7457) ops/sec, 3.73MB/sec (avg: 3.80MB/sec),  1.30 (avg:  0.80) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         678.09          ---          ---      0.83100      1386.56
Gets        6779.73      1141.88      5637.85      0.79500      2504.95
Totals      7457.82      1141.88      5637.85      0.79800      3891.51


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.180      0.00049
GET       0.190      0.00590
GET       0.200      0.01770
GET       0.210      0.04474
GET       0.220      0.12291
GET       0.230      0.23845
GET       0.240      0.46658
GET       0.250      0.79992
GET       0.260      1.22619
GET       0.270      1.78077
GET       0.280      2.37616
GET       0.290      3.03154
GET       0.300      3.67069
GET       0.310      4.24937
GET       0.320      4.82116
GET       0.330      5.43130
GET       0.340      6.13879
GET       0.350      6.91905
GET       0.360      7.87679
GET       0.370      8.98940
GET       0.380     10.26967
GET       0.390     11.74562
GET       0.400     13.43888
GET       0.410     15.17884
GET       0.420     17.04221
GET       0.430     18.84805
GET       0.440     20.69176
GET       0.450     22.45139
GET       0.460     24.12301
GET       0.470     25.73465
GET       0.480     27.28287
GET       0.490     28.75784
GET       0.500     30.13053
GET       0.510     31.39949
GET       0.520     32.63453
GET       0.530     33.75058
GET       0.540     34.85091
GET       0.550     35.92370
GET       0.560     36.94830
GET       0.570     37.89769
GET       0.580     38.82593
GET       0.590     39.73303
GET       0.600     40.59343
GET       0.610     41.41006
GET       0.620     42.22277
GET       0.630     42.99762
GET       0.640     43.76115
GET       0.650     44.50208
GET       0.660     45.22284
GET       0.670     45.94312
GET       0.680     46.64520
GET       0.690     47.34482
GET       0.700     48.04690
GET       0.710     48.71506
GET       0.720     49.37978
GET       0.730     50.06711
GET       0.740     50.76477
GET       0.750     51.43588
GET       0.760     52.14140
GET       0.770     52.83906
GET       0.780     53.51361
GET       0.790     54.21225
GET       0.800     54.90499
GET       0.810     55.61051
GET       0.820     56.31358
GET       0.830     57.02746
GET       0.840     57.71479
GET       0.850     58.41147
GET       0.860     59.14796
GET       0.870     59.87414
GET       0.880     60.61260
GET       0.890     61.37467
GET       0.900     62.10477
GET       0.910     62.87421
GET       0.920     63.63431
GET       0.930     64.36933
GET       0.940     65.10337
GET       0.950     65.89788
GET       0.960     66.68355
GET       0.970     67.47953
GET       0.980     68.23226
GET       0.990     68.98252
GET       1.000     73.31154
GET       1.100     80.66816
GET       1.200     87.12014
GET       1.300     92.21416
GET       1.400     95.65771
GET       1.500     97.72364
GET       1.600     98.74727
GET       1.700     99.20647
GET       1.800     99.46016
GET       1.900     99.61995
GET       2.000     99.71484
GET       2.100     99.78662
GET       2.200     99.82104
GET       2.300     99.85054
GET       2.400     99.86775
GET       2.500     99.87659
GET       2.600     99.88790
GET       2.700     99.89675
GET       2.800     99.91150
GET       2.900     99.92035
GET       3.000     99.92871
GET       3.100     99.93264
GET       3.200     99.93707
GET       3.300     99.94149
GET       3.400     99.94592
GET       3.500     99.94985
GET       3.600     99.95378
GET       3.700     99.95919
GET       3.800     99.96018
GET       3.900     99.96263
GET       4.000     99.96608
GET       4.100     99.97001
GET       4.200     99.97443
GET       4.300     99.97738
GET       4.400     99.98083
GET       4.500     99.98328
GET       4.600     99.98673
GET       4.700     99.98968
GET       4.800     99.99164
GET       4.900     99.99312
GET       5.000     99.99459
GET       5.100     99.99558
GET       5.200     99.99607
GET       5.300     99.99656
GET       5.700     99.99754
GET       6.300     99.99803
GET       6.400     99.99902
GET       6.500     99.99951
GET       6.600    100.00000
