[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       16236 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       29400 ops,   13162 (avg:   14699) ops/sec, 6.68MB/sec (avg: 6.83MB/sec),  0.45 (avg:  0.40) msec latency[RUN #1 10%,   3 secs]  2 threads:       40573 ops,   11171 (avg:   13523) ops/sec, 6.36MB/sec (avg: 6.67MB/sec),  0.53 (avg:  0.44) msec latency[RUN #1 13%,   4 secs]  2 threads:       49746 ops,    9172 (avg:   12435) ops/sec, 5.85MB/sec (avg: 6.47MB/sec),  0.65 (avg:  0.48) msec latency[RUN #1 17%,   5 secs]  2 threads:       57608 ops,    7861 (avg:   11520) ops/sec, 5.61MB/sec (avg: 6.29MB/sec),  0.76 (avg:  0.52) msec latency[RUN #1 20%,   6 secs]  2 threads:       64546 ops,    6937 (avg:   10756) ops/sec, 5.26MB/sec (avg: 6.12MB/sec),  0.86 (avg:  0.55) msec latency[RUN #1 23%,   7 secs]  2 threads:       70432 ops,    5885 (avg:   10060) ops/sec, 4.75MB/sec (avg: 5.92MB/sec),  1.01 (avg:  0.59) msec latency[RUN #1 27%,   8 secs]  2 threads:       76334 ops,    5901 (avg:    9540) ops/sec, 4.50MB/sec (avg: 5.75MB/sec),  1.01 (avg:  0.62) msec latency[RUN #1 30%,   9 secs]  2 threads:       82223 ops,    5888 (avg:    9135) ops/sec, 5.11MB/sec (avg: 5.68MB/sec),  1.01 (avg:  0.65) msec latency[RUN #1 33%,  10 secs]  2 threads:       88111 ops,    5887 (avg:    8810) ops/sec, 5.27MB/sec (avg: 5.64MB/sec),  1.01 (avg:  0.68) msec latency[RUN #1 37%,  11 secs]  2 threads:       93991 ops,    5879 (avg:    8543) ops/sec, 5.67MB/sec (avg: 5.64MB/sec),  1.01 (avg:  0.70) msec latency[RUN #1 40%,  12 secs]  2 threads:       99867 ops,    5875 (avg:    8321) ops/sec, 4.95MB/sec (avg: 5.58MB/sec),  1.01 (avg:  0.72) msec latency[RUN #1 43%,  13 secs]  2 threads:      105728 ops,    5860 (avg:    8132) ops/sec, 5.13MB/sec (avg: 5.55MB/sec),  1.02 (avg:  0.73) msec latency[RUN #1 47%,  14 secs]  2 threads:      111218 ops,    5489 (avg:    7943) ops/sec, 5.01MB/sec (avg: 5.51MB/sec),  1.09 (avg:  0.75) msec latency[RUN #1 50%,  15 secs]  2 threads:      116529 ops,    5310 (avg:    7767) ops/sec, 5.27MB/sec (avg: 5.49MB/sec),  1.12 (avg:  0.77) msec latency[RUN #1 53%,  16 secs]  2 threads:      121528 ops,    4998 (avg:    7594) ops/sec, 5.16MB/sec (avg: 5.47MB/sec),  1.19 (avg:  0.78) msec latency[RUN #1 57%,  17 secs]  2 threads:      126151 ops,    4622 (avg:    7419) ops/sec, 4.70MB/sec (avg: 5.43MB/sec),  1.29 (avg:  0.80) msec latency[RUN #1 60%,  18 secs]  2 threads:      130678 ops,    4526 (avg:    7259) ops/sec, 4.83MB/sec (avg: 5.39MB/sec),  1.32 (avg:  0.82) msec latency[RUN #1 63%,  19 secs]  2 threads:      135111 ops,    4432 (avg:    7110) ops/sec, 4.65MB/sec (avg: 5.35MB/sec),  1.35 (avg:  0.84) msec latency[RUN #1 67%,  20 secs]  2 threads:      139334 ops,    4222 (avg:    6966) ops/sec, 4.50MB/sec (avg: 5.31MB/sec),  1.41 (avg:  0.86) msec latency[RUN #1 70%,  21 secs]  2 threads:      143374 ops,    4039 (avg:    6826) ops/sec, 4.63MB/sec (avg: 5.28MB/sec),  1.48 (avg:  0.87) msec latency[RUN #1 73%,  22 secs]  2 threads:      147340 ops,    3965 (avg:    6696) ops/sec, 4.60MB/sec (avg: 5.25MB/sec),  1.51 (avg:  0.89) msec latency[RUN #1 77%,  23 secs]  2 threads:      151205 ops,    3864 (avg:    6573) ops/sec, 4.58MB/sec (avg: 5.22MB/sec),  1.55 (avg:  0.91) msec latency[RUN #1 80%,  24 secs]  2 threads:      154980 ops,    3774 (avg:    6456) ops/sec, 4.29MB/sec (avg: 5.18MB/sec),  1.58 (avg:  0.92) msec latency[RUN #1 83%,  25 secs]  2 threads:      158688 ops,    3707 (avg:    6346) ops/sec, 4.51MB/sec (avg: 5.15MB/sec),  1.61 (avg:  0.94) msec latency[RUN #1 87%,  26 secs]  2 threads:      162220 ops,    3531 (avg:    6238) ops/sec, 4.31MB/sec (avg: 5.12MB/sec),  1.69 (avg:  0.96) msec latency[RUN #1 90%,  27 secs]  2 threads:      165726 ops,    3505 (avg:    6137) ops/sec, 4.44MB/sec (avg: 5.09MB/sec),  1.70 (avg:  0.97) msec latency[RUN #1 93%,  28 secs]  2 threads:      169155 ops,    3428 (avg:    6040) ops/sec, 4.36MB/sec (avg: 5.07MB/sec),  1.74 (avg:  0.99) msec latency[RUN #1 97%,  29 secs]  2 threads:      172477 ops,    3321 (avg:    5946) ops/sec, 4.55MB/sec (avg: 5.05MB/sec),  1.80 (avg:  1.00) msec latency[RUN #1 100%,  30 secs]  0 threads:      175678 ops,    3321 (avg:    5855) ops/sec, 4.55MB/sec (avg: 5.03MB/sec),  1.80 (avg:  1.02) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         532.45          ---          ---      1.06900      2153.66
Gets        5323.32       706.28      4617.04      1.01300      2997.11
Totals      5855.77       706.28      4617.04      1.01800      5150.77


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.160      0.00250
GET       0.170      0.00501
GET       0.180      0.01878
GET       0.190      0.04947
GET       0.200      0.10269
GET       0.210      0.19286
GET       0.220      0.35879
GET       0.230      0.61489
GET       0.240      0.92484
GET       0.250      1.28989
GET       0.260      1.68249
GET       0.270      2.07697
GET       0.280      2.44452
GET       0.290      2.82898
GET       0.300      3.25039
GET       0.310      3.69308
GET       0.320      4.24285
GET       0.330      4.91660
GET       0.340      5.68990
GET       0.350      6.57905
GET       0.360      7.59968
GET       0.370      8.67042
GET       0.380      9.70733
GET       0.390     10.74613
GET       0.400     11.81624
GET       0.410     12.87319
GET       0.420     13.82245
GET       0.430     14.67026
GET       0.440     15.47613
GET       0.450     16.26321
GET       0.460     17.02963
GET       0.470     17.78853
GET       0.480     18.50235
GET       0.490     19.20741
GET       0.500     19.85173
GET       0.510     20.47601
GET       0.520     21.10905
GET       0.530     21.73333
GET       0.540     22.32818
GET       0.550     22.92241
GET       0.560     23.53166
GET       0.570     24.13715
GET       0.580     24.71447
GET       0.590     25.31871
GET       0.600     25.89165
GET       0.610     26.44079
GET       0.620     26.97803
GET       0.630     27.55160
GET       0.640     28.12390
GET       0.650     28.71750
GET       0.660     29.26915
GET       0.670     29.81829
GET       0.680     30.44132
GET       0.690     31.03554
GET       0.700     31.64730
GET       0.710     32.27095
GET       0.720     32.85390
GET       0.730     33.46441
GET       0.740     34.11499
GET       0.750     34.80439
GET       0.760     35.40613
GET       0.770     36.07925
GET       0.780     36.79620
GET       0.790     37.50501
GET       0.800     38.21069
GET       0.810     38.89946
GET       0.820     39.58135
GET       0.830     40.30707
GET       0.840     41.05470
GET       0.850     41.80046
GET       0.860     42.54872
GET       0.870     43.31388
GET       0.880     44.10910
GET       0.890     44.92060
GET       0.900     45.72710
GET       0.910     46.53734
GET       0.920     47.32129
GET       0.930     48.11777
GET       0.940     48.90297
GET       0.950     49.71259
GET       0.960     50.51408
GET       0.970     51.34123
GET       0.980     52.14647
GET       0.990     52.94858
GET       1.000     57.27283
GET       1.100     64.32650
GET       1.200     70.46098
GET       1.300     75.50468
GET       1.400     79.88028
GET       1.500     83.76622
GET       1.600     87.18129
GET       1.700     90.18058
GET       1.800     92.70901
GET       1.900     94.77659
GET       2.000     96.45407
GET       2.100     97.69386
GET       2.200     98.56610
GET       2.300     99.16345
GET       2.400     99.51347
GET       2.500     99.73701
GET       2.600     99.86788
GET       2.700     99.93488
GET       2.800     99.96556
GET       2.900     99.98059
GET       3.000     99.98748
GET       3.100     99.99374
GET       3.200     99.99562
GET       3.300     99.99750
GET       3.400     99.99875
GET       3.600    100.00000
