[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        6004 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       11913 ops,    5908 (avg:    5957) ops/sec, 2.54MB/sec (avg: 2.49MB/sec),  1.01 (avg:  1.00) msec latency[RUN #1 10%,   2 secs]  2 threads:       17870 ops,    5956 (avg:    5956) ops/sec, 2.85MB/sec (avg: 2.61MB/sec),  1.00 (avg:  1.00) msec latency[RUN #1 13%,   3 secs]  2 threads:       23810 ops,    5939 (avg:    5952) ops/sec, 2.94MB/sec (avg: 2.69MB/sec),  1.00 (avg:  1.00) msec latency[RUN #1 17%,   5 secs]  2 threads:       29704 ops,    5893 (avg:    5940) ops/sec, 3.01MB/sec (avg: 2.75MB/sec),  1.01 (avg:  1.00) msec latency[RUN #1 20%,   6 secs]  2 threads:       35520 ops,    5815 (avg:    5919) ops/sec, 3.27MB/sec (avg: 2.84MB/sec),  1.02 (avg:  1.01) msec latency[RUN #1 23%,   7 secs]  2 threads:       41259 ops,    5738 (avg:    5893) ops/sec, 3.40MB/sec (avg: 2.92MB/sec),  1.04 (avg:  1.01) msec latency[RUN #1 27%,   8 secs]  2 threads:       46575 ops,    5315 (avg:    5821) ops/sec, 3.49MB/sec (avg: 2.99MB/sec),  1.12 (avg:  1.02) msec latency[RUN #1 30%,   9 secs]  2 threads:       51677 ops,    5101 (avg:    5741) ops/sec, 3.38MB/sec (avg: 3.03MB/sec),  1.17 (avg:  1.04) msec latency[RUN #1 33%,  10 secs]  2 threads:       56503 ops,    4825 (avg:    5649) ops/sec, 3.73MB/sec (avg: 3.10MB/sec),  1.24 (avg:  1.05) msec latency[RUN #1 37%,  11 secs]  2 threads:       60923 ops,    4419 (avg:    5538) ops/sec, 3.58MB/sec (avg: 3.15MB/sec),  1.35 (avg:  1.08) msec latency[RUN #1 40%,  12 secs]  2 threads:       65252 ops,    4328 (avg:    5437) ops/sec, 3.51MB/sec (avg: 3.18MB/sec),  1.38 (avg:  1.10) msec latency[RUN #1 43%,  13 secs]  2 threads:       69505 ops,    4252 (avg:    5346) ops/sec, 3.55MB/sec (avg: 3.21MB/sec),  1.40 (avg:  1.12) msec latency[RUN #1 47%,  14 secs]  2 threads:       73542 ops,    4036 (avg:    5252) ops/sec, 3.57MB/sec (avg: 3.23MB/sec),  1.48 (avg:  1.14) msec latency[RUN #1 50%,  15 secs]  2 threads:       77436 ops,    3893 (avg:    5162) ops/sec, 3.30MB/sec (avg: 3.24MB/sec),  1.53 (avg:  1.16) msec latency[RUN #1 53%,  16 secs]  2 threads:       81249 ops,    3812 (avg:    5077) ops/sec, 3.52MB/sec (avg: 3.25MB/sec),  1.57 (avg:  1.17) msec latency[RUN #1 57%,  17 secs]  2 threads:       84960 ops,    3710 (avg:    4997) ops/sec, 3.53MB/sec (avg: 3.27MB/sec),  1.61 (avg:  1.19) msec latency[RUN #1 60%,  18 secs]  2 threads:       88583 ops,    3622 (avg:    4920) ops/sec, 3.35MB/sec (avg: 3.27MB/sec),  1.65 (avg:  1.21) msec latency[RUN #1 63%,  19 secs]  2 threads:       92136 ops,    3552 (avg:    4848) ops/sec, 3.48MB/sec (avg: 3.29MB/sec),  1.68 (avg:  1.23) msec latency[RUN #1 67%,  20 secs]  2 threads:       95532 ops,    3395 (avg:    4776) ops/sec, 3.65MB/sec (avg: 3.30MB/sec),  1.76 (avg:  1.25) msec latency[RUN #1 70%,  21 secs]  2 threads:       98901 ops,    3368 (avg:    4709) ops/sec, 3.51MB/sec (avg: 3.31MB/sec),  1.77 (avg:  1.27) msec latency[RUN #1 73%,  22 secs]  2 threads:      102202 ops,    3300 (avg:    4645) ops/sec, 3.51MB/sec (avg: 3.32MB/sec),  1.81 (avg:  1.28) msec latency[RUN #1 77%,  23 secs]  2 threads:      105420 ops,    3217 (avg:    4583) ops/sec, 3.22MB/sec (avg: 3.32MB/sec),  1.86 (avg:  1.30) msec latency[RUN #1 80%,  24 secs]  2 threads:      108503 ops,    3082 (avg:    4520) ops/sec, 3.16MB/sec (avg: 3.31MB/sec),  1.94 (avg:  1.32) msec latency[RUN #1 83%,  25 secs]  2 threads:      112161 ops,    3657 (avg:    4486) ops/sec, 3.85MB/sec (avg: 3.33MB/sec),  1.63 (avg:  1.33) msec latency[RUN #1 87%,  26 secs]  2 threads:      116485 ops,    4323 (avg:    4479) ops/sec, 4.66MB/sec (avg: 3.38MB/sec),  1.38 (avg:  1.33) msec latency[RUN #1 90%,  27 secs]  2 threads:      121837 ops,    5351 (avg:    4512) ops/sec, 6.04MB/sec (avg: 3.48MB/sec),  1.12 (avg:  1.32) msec latency[RUN #1 93%,  28 secs]  2 threads:      129257 ops,    7419 (avg:    4615) ops/sec, 8.79MB/sec (avg: 3.67MB/sec),  0.80 (avg:  1.29) msec latency[RUN #1 97%,  29 secs]  2 threads:      139318 ops,   10060 (avg:    4803) ops/sec, 11.92MB/sec (avg: 3.96MB/sec),  0.59 (avg:  1.24) msec latency[RUN #1 100%,  30 secs]  0 threads:      152543 ops,   10060 (avg:    5084) ops/sec, 11.92MB/sec (avg: 4.37MB/sec),  0.59 (avg:  1.17) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         462.33          ---          ---      1.23300      1870.04
Gets        4622.41       613.20      4009.21      1.16700      2602.13
Totals      5084.74       613.20      4009.21      1.17300      4472.17


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     91.70151
SET       2.000     99.96395
SET       3.000    100.00000
---
GET       0.100      0.00072
GET       0.130      0.00288
GET       0.140      0.00433
GET       0.150      0.01082
GET       0.160      0.01731
GET       0.170      0.03173
GET       0.180      0.04832
GET       0.190      0.08004
GET       0.200      0.11394
GET       0.210      0.15648
GET       0.220      0.20119
GET       0.230      0.28196
GET       0.240      0.37066
GET       0.250      0.48027
GET       0.260      0.61223
GET       0.270      0.76367
GET       0.280      0.95260
GET       0.290      1.15235
GET       0.300      1.38095
GET       0.310      1.60666
GET       0.320      1.86915
GET       0.330      2.17418
GET       0.340      2.49291
GET       0.350      2.87295
GET       0.360      3.30634
GET       0.370      3.76209
GET       0.380      4.22288
GET       0.390      4.67647
GET       0.400      5.16611
GET       0.410      5.72642
GET       0.420      6.21967
GET       0.430      6.66965
GET       0.440      7.11602
GET       0.450      7.57465
GET       0.460      8.01382
GET       0.470      8.47389
GET       0.480      8.89358
GET       0.490      9.33058
GET       0.500      9.79138
GET       0.510     10.23271
GET       0.520     10.65528
GET       0.530     11.12978
GET       0.540     11.64610
GET       0.550     12.09897
GET       0.560     12.50496
GET       0.570     12.90446
GET       0.580     13.35949
GET       0.590     13.79721
GET       0.600     14.24574
GET       0.610     14.66255
GET       0.620     15.06710
GET       0.630     15.49112
GET       0.640     15.93461
GET       0.650     16.39252
GET       0.660     16.84466
GET       0.670     17.29825
GET       0.680     17.75472
GET       0.690     18.25662
GET       0.700     18.74337
GET       0.710     19.28494
GET       0.720     19.81568
GET       0.730     20.36013
GET       0.740     20.92765
GET       0.750     21.53772
GET       0.760     22.17014
GET       0.770     22.83862
GET       0.780     23.45518
GET       0.790     24.14890
GET       0.800     24.82098
GET       0.810     25.54282
GET       0.820     26.25745
GET       0.830     26.98218
GET       0.840     27.78551
GET       0.850     28.55639
GET       0.860     29.29554
GET       0.870     30.06497
GET       0.880     30.89715
GET       0.890     31.71057
GET       0.900     32.56510
GET       0.910     33.40593
GET       0.920     34.26767
GET       0.930     35.13590
GET       0.940     36.05893
GET       0.950     36.92644
GET       0.960     37.80981
GET       0.970     38.71554
GET       0.980     39.61189
GET       0.990     40.51185
GET       1.000     45.41043
GET       1.100     53.48986
GET       1.200     60.45806
GET       1.300     66.42677
GET       1.400     71.92027
GET       1.500     76.80226
GET       1.600     81.14125
GET       1.700     85.22423
GET       1.800     88.92575
GET       1.900     92.02584
GET       2.000     94.47982
GET       2.100     96.35690
GET       2.200     97.80563
GET       2.300     98.73227
GET       2.400     99.32070
GET       2.500     99.65314
GET       2.600     99.81828
GET       2.700     99.89976
GET       2.800     99.94087
GET       2.900     99.96106
GET       3.000     99.97260
GET       3.100     99.97981
GET       3.200     99.98558
GET       3.300     99.99135
GET       3.400     99.99351
GET       3.500     99.99639
GET       3.600     99.99928
GET       3.800    100.00000
