[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       13992 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       26852 ops,   12858 (avg:   13425) ops/sec, 421.19KB/sec (avg: 438.48KB/sec),  0.46 (avg:  0.44) msec latency[RUN #1 10%,   3 secs]  2 threads:       39829 ops,   12975 (avg:   13275) ops/sec, 427.53KB/sec (avg: 434.83KB/sec),  0.46 (avg:  0.45) msec latency[RUN #1 13%,   4 secs]  2 threads:       52717 ops,   12886 (avg:   13178) ops/sec, 426.94KB/sec (avg: 432.86KB/sec),  0.46 (avg:  0.45) msec latency[RUN #1 17%,   5 secs]  2 threads:       65577 ops,   12857 (avg:   13114) ops/sec, 430.15KB/sec (avg: 432.31KB/sec),  0.46 (avg:  0.45) msec latency[RUN #1 20%,   6 secs]  2 threads:       78400 ops,   12821 (avg:   13065) ops/sec, 430.48KB/sec (avg: 432.01KB/sec),  0.46 (avg:  0.45) msec latency[RUN #1 23%,   7 secs]  2 threads:       91125 ops,   12722 (avg:   13016) ops/sec, 430.17KB/sec (avg: 431.75KB/sec),  0.47 (avg:  0.45) msec latency[RUN #1 27%,   8 secs]  2 threads:      103979 ops,   12852 (avg:   12995) ops/sec, 434.45KB/sec (avg: 432.08KB/sec),  0.46 (avg:  0.46) msec latency[RUN #1 30%,   9 secs]  2 threads:      116775 ops,   12794 (avg:   12973) ops/sec, 433.94KB/sec (avg: 432.29KB/sec),  0.46 (avg:  0.46) msec latency[RUN #1 33%,  10 secs]  2 threads:      129450 ops,   12673 (avg:   12943) ops/sec, 432.19KB/sec (avg: 432.28KB/sec),  0.47 (avg:  0.46) msec latency[RUN #1 37%,  11 secs]  2 threads:      142272 ops,   12820 (avg:   12932) ops/sec, 439.14KB/sec (avg: 432.90KB/sec),  0.46 (avg:  0.46) msec latency[RUN #1 40%,  12 secs]  2 threads:      155037 ops,   12763 (avg:   12918) ops/sec, 437.39KB/sec (avg: 433.28KB/sec),  0.46 (avg:  0.46) msec latency[RUN #1 43%,  13 secs]  2 threads:      167719 ops,   12680 (avg:   12900) ops/sec, 439.86KB/sec (avg: 433.78KB/sec),  0.47 (avg:  0.46) msec latency[RUN #1 47%,  14 secs]  2 threads:      180406 ops,   12685 (avg:   12884) ops/sec, 439.66KB/sec (avg: 434.20KB/sec),  0.47 (avg:  0.46) msec latency[RUN #1 50%,  15 secs]  2 threads:      193248 ops,   12840 (avg:   12881) ops/sec, 448.31KB/sec (avg: 435.14KB/sec),  0.46 (avg:  0.46) msec latency[RUN #1 53%,  16 secs]  2 threads:      205974 ops,   12724 (avg:   12872) ops/sec, 447.23KB/sec (avg: 435.90KB/sec),  0.47 (avg:  0.46) msec latency[RUN #1 57%,  17 secs]  2 threads:      218846 ops,   12870 (avg:   12871) ops/sec, 454.50KB/sec (avg: 436.99KB/sec),  0.46 (avg:  0.46) msec latency[RUN #1 60%,  18 secs]  2 threads:      231602 ops,   12754 (avg:   12865) ops/sec, 450.28KB/sec (avg: 437.73KB/sec),  0.46 (avg:  0.46) msec latency[RUN #1 63%,  19 secs]  2 threads:      244329 ops,   12725 (avg:   12858) ops/sec, 452.06KB/sec (avg: 438.49KB/sec),  0.47 (avg:  0.46) msec latency[RUN #1 67%,  20 secs]  2 threads:      257026 ops,   12695 (avg:   12849) ops/sec, 451.63KB/sec (avg: 439.14KB/sec),  0.47 (avg:  0.46) msec latency[RUN #1 70%,  21 secs]  2 threads:      269717 ops,   12689 (avg:   12842) ops/sec, 450.86KB/sec (avg: 439.70KB/sec),  0.47 (avg:  0.46) msec latency[RUN #1 73%,  22 secs]  2 threads:      282411 ops,   12692 (avg:   12835) ops/sec, 455.64KB/sec (avg: 440.43KB/sec),  0.47 (avg:  0.46) msec latency[RUN #1 77%,  23 secs]  2 threads:      295197 ops,   12784 (avg:   12833) ops/sec, 459.42KB/sec (avg: 441.25KB/sec),  0.46 (avg:  0.46) msec latency[RUN #1 80%,  24 secs]  2 threads:      307859 ops,   12660 (avg:   12826) ops/sec, 455.35KB/sec (avg: 441.84KB/sec),  0.47 (avg:  0.46) msec latency[RUN #1 83%,  25 secs]  2 threads:      320447 ops,   12586 (avg:   12816) ops/sec, 454.05KB/sec (avg: 442.33KB/sec),  0.47 (avg:  0.46) msec latency[RUN #1 87%,  26 secs]  2 threads:      333433 ops,   12984 (avg:   12823) ops/sec, 469.54KB/sec (avg: 443.37KB/sec),  0.46 (avg:  0.46) msec latency[RUN #1 90%,  27 secs]  2 threads:      346642 ops,   13207 (avg:   12837) ops/sec, 479.90KB/sec (avg: 444.73KB/sec),  0.45 (avg:  0.46) msec latency[RUN #1 93%,  28 secs]  2 threads:      361119 ops,   14475 (avg:   12895) ops/sec, 528.13KB/sec (avg: 447.71KB/sec),  0.41 (avg:  0.46) msec latency[RUN #1 97%,  29 secs]  2 threads:      376367 ops,   15246 (avg:   12976) ops/sec, 557.00KB/sec (avg: 451.47KB/sec),  0.39 (avg:  0.46) msec latency[RUN #1 100%,  30 secs]  0 threads:      392768 ops,   15246 (avg:   13092) ops/sec, 557.00KB/sec (avg: 456.52KB/sec),  0.39 (avg:  0.45) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1190.26          ---          ---      0.45400        54.50
Gets       11901.95      3211.12      8690.83      0.45100       402.02
Totals     13092.22      3211.12      8690.83      0.45200       456.52


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.130      0.00028
GET       0.140      0.00084
GET       0.150      0.00392
GET       0.160      0.01008
GET       0.170      0.01736
GET       0.180      0.02969
GET       0.190      0.06301
GET       0.200      0.10783
GET       0.210      0.14143
GET       0.220      0.17868
GET       0.230      0.23497
GET       0.240      0.35316
GET       0.250      0.57049
GET       0.260      0.92982
GET       0.270      1.54764
GET       0.280      2.51498
GET       0.290      4.05394
GET       0.300      5.93122
GET       0.310      8.00594
GET       0.320     10.35148
GET       0.330     13.16445
GET       0.340     16.50871
GET       0.350     19.51913
GET       0.360     22.04615
GET       0.370     24.14188
GET       0.380     26.08105
GET       0.390     27.91968
GET       0.400     29.63339
GET       0.410     31.36420
GET       0.420     33.30505
GET       0.430     35.69400
GET       0.440     38.69406
GET       0.450     42.21895
GET       0.460     46.42217
GET       0.470     51.17291
GET       0.480     56.72240
GET       0.490     62.70067
GET       0.500     68.73607
GET       0.510     74.44995
GET       0.520     79.76335
GET       0.530     84.52809
GET       0.540     88.45768
GET       0.550     91.56248
GET       0.560     93.96992
GET       0.570     95.73153
GET       0.580     96.98566
GET       0.590     97.85274
GET       0.600     98.43696
GET       0.610     98.83885
GET       0.620     99.10071
GET       0.630     99.29004
GET       0.640     99.42839
GET       0.650     99.53593
GET       0.660     99.61435
GET       0.670     99.67765
GET       0.680     99.73394
GET       0.690     99.77819
GET       0.700     99.81852
GET       0.710     99.85913
GET       0.720     99.89161
GET       0.730     99.91626
GET       0.740     99.93587
GET       0.750     99.95015
GET       0.760     99.96331
GET       0.770     99.97283
GET       0.780     99.97815
GET       0.790     99.98236
GET       0.800     99.98768
GET       0.810     99.98964
GET       0.820     99.99216
GET       0.830     99.99328
GET       0.840     99.99440
GET       0.850     99.99468
GET       0.860     99.99496
GET       0.870     99.99552
GET       0.880     99.99636
GET       0.890     99.99664
GET       0.920     99.99692
GET       0.930     99.99720
GET       0.980     99.99748
GET       1.000     99.99804
GET       1.100     99.99832
GET       1.300     99.99972
GET       1.400    100.00000
