[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       20348 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       40655 ops,   20304 (avg:   20327) ops/sec, 1.30MB/sec (avg: 1.24MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 10%,   3 secs]  2 threads:       60838 ops,   20180 (avg:   20278) ops/sec, 1.49MB/sec (avg: 1.32MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 13%,   4 secs]  2 threads:       81086 ops,   20246 (avg:   20270) ops/sec, 1.62MB/sec (avg: 1.40MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 17%,   5 secs]  2 threads:      101269 ops,   20181 (avg:   20252) ops/sec, 1.77MB/sec (avg: 1.47MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 20%,   6 secs]  2 threads:      121385 ops,   20114 (avg:   20229) ops/sec, 1.83MB/sec (avg: 1.53MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 23%,   7 secs]  2 threads:      141431 ops,   20043 (avg:   20202) ops/sec, 1.92MB/sec (avg: 1.59MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 27%,   8 secs]  2 threads:      161567 ops,   20134 (avg:   20194) ops/sec, 2.02MB/sec (avg: 1.64MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 30%,   9 secs]  2 threads:      181652 ops,   20082 (avg:   20181) ops/sec, 2.21MB/sec (avg: 1.70MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 33%,  10 secs]  2 threads:      201687 ops,   20032 (avg:   20166) ops/sec, 2.32MB/sec (avg: 1.77MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 37%,  11 secs]  2 threads:      221645 ops,   19955 (avg:   20147) ops/sec, 2.48MB/sec (avg: 1.83MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 40%,  12 secs]  2 threads:      241581 ops,   19934 (avg:   20129) ops/sec, 2.50MB/sec (avg: 1.89MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 43%,  13 secs]  2 threads:      261480 ops,   19896 (avg:   20112) ops/sec, 2.60MB/sec (avg: 1.94MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 47%,  14 secs]  2 threads:      281357 ops,   19874 (avg:   20095) ops/sec, 2.68MB/sec (avg: 1.99MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 50%,  15 secs]  2 threads:      301211 ops,   19851 (avg:   20078) ops/sec, 2.78MB/sec (avg: 2.05MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 53%,  16 secs]  2 threads:      321050 ops,   19836 (avg:   20063) ops/sec, 2.85MB/sec (avg: 2.10MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 57%,  17 secs]  2 threads:      340850 ops,   19798 (avg:   20048) ops/sec, 2.88MB/sec (avg: 2.14MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 60%,  18 secs]  2 threads:      360677 ops,   19825 (avg:   20035) ops/sec, 3.00MB/sec (avg: 2.19MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 63%,  19 secs]  2 threads:      380470 ops,   19790 (avg:   20022) ops/sec, 3.08MB/sec (avg: 2.24MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 67%,  20 secs]  2 threads:      400255 ops,   19782 (avg:   20010) ops/sec, 3.17MB/sec (avg: 2.28MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 70%,  21 secs]  2 threads:      420002 ops,   19744 (avg:   19998) ops/sec, 3.26MB/sec (avg: 2.33MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 73%,  22 secs]  2 threads:      439689 ops,   19684 (avg:   19983) ops/sec, 3.30MB/sec (avg: 2.38MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 77%,  23 secs]  2 threads:      459355 ops,   19664 (avg:   19969) ops/sec, 3.39MB/sec (avg: 2.42MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 80%,  24 secs]  2 threads:      479020 ops,   19662 (avg:   19957) ops/sec, 3.40MB/sec (avg: 2.46MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 83%,  25 secs]  2 threads:      498561 ops,   19538 (avg:   19940) ops/sec, 3.46MB/sec (avg: 2.50MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 87%,  26 secs]  2 threads:      518008 ops,   19444 (avg:   19921) ops/sec, 3.56MB/sec (avg: 2.54MB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 90%,  27 secs]  2 threads:      537390 ops,   19380 (avg:   19901) ops/sec, 3.49MB/sec (avg: 2.58MB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 93%,  28 secs]  2 threads:      556633 ops,   19241 (avg:   19877) ops/sec, 3.56MB/sec (avg: 2.61MB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 97%,  29 secs]  2 threads:      575527 ops,   18892 (avg:   19843) ops/sec, 3.52MB/sec (avg: 2.64MB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 100%,  30 secs]  0 threads:      594736 ops,   18892 (avg:   19824) ops/sec, 3.52MB/sec (avg: 2.68MB/sec),  0.31 (avg:  0.30) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1802.33          ---          ---      0.30000       529.59
Gets       18022.17      6414.49     11607.68      0.29600      2214.99
Totals     19824.50      6414.49     11607.68      0.29600      2744.59


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.086      0.00018
GET       0.087      0.00037
GET       0.091      0.00055
GET       0.094      0.00074
GET       0.095      0.00111
GET       0.096      0.00129
GET       0.097      0.00148
GET       0.100      0.00203
GET       0.110      0.00425
GET       0.120      0.00814
GET       0.130      0.01517
GET       0.140      0.02404
GET       0.150      0.04365
GET       0.160      0.08730
GET       0.170      0.19032
GET       0.180      0.38675
GET       0.190      0.80512
GET       0.200      1.40845
GET       0.210      2.10500
GET       0.220      3.01425
GET       0.230      4.40216
GET       0.240      7.01783
GET       0.250     11.37782
GET       0.260     17.70631
GET       0.270     26.10484
GET       0.280     36.74968
GET       0.290     49.08798
GET       0.300     61.11592
GET       0.310     71.46945
GET       0.320     79.98413
GET       0.330     86.55251
GET       0.340     91.35326
GET       0.350     94.43945
GET       0.360     96.34284
GET       0.370     97.49235
GET       0.380     98.20795
GET       0.390     98.65351
GET       0.400     98.95000
GET       0.410     99.15419
GET       0.420     99.29716
GET       0.430     99.41942
GET       0.440     99.51449
GET       0.450     99.59309
GET       0.460     99.65616
GET       0.470     99.71147
GET       0.480     99.75771
GET       0.490     99.79488
GET       0.500     99.82799
GET       0.510     99.86017
GET       0.520     99.88533
GET       0.530     99.90623
GET       0.540     99.92232
GET       0.550     99.93619
GET       0.560     99.94655
GET       0.570     99.95487
GET       0.580     99.96264
GET       0.590     99.96837
GET       0.600     99.97503
GET       0.610     99.97910
GET       0.620     99.98243
GET       0.630     99.98650
GET       0.640     99.98872
GET       0.650     99.99038
GET       0.660     99.99260
GET       0.670     99.99482
GET       0.680     99.99630
GET       0.690     99.99778
GET       0.700     99.99834
GET       0.710     99.99871
GET       0.720     99.99889
GET       0.730     99.99926
GET       0.750     99.99945
GET       0.780     99.99963
GET       2.000    100.00000
