[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 5%,   0 secs]  8 threads:       74844 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 10%,   1 secs]  8 threads:      154214 ops,   79353 (avg:   77120) ops/sec, 2.99MB/sec (avg: 2.91MB/sec),  4.03 (avg:  4.13) msec latency[RUN #1 15%,   2 secs]  8 threads:      233501 ops,   79272 (avg:   77838) ops/sec, 2.99MB/sec (avg: 2.94MB/sec),  4.04 (avg:  4.10) msec latency[RUN #1 20%,   3 secs]  8 threads:      313793 ops,   80281 (avg:   78449) ops/sec, 3.03MB/sec (avg: 2.96MB/sec),  3.97 (avg:  4.06) msec latency[RUN #1 25%,   5 secs]  8 threads:      392564 ops,   78759 (avg:   78511) ops/sec, 2.97MB/sec (avg: 2.96MB/sec),  4.08 (avg:  4.07) msec latency[RUN #1 30%,   6 secs]  8 threads:      471096 ops,   78521 (avg:   78513) ops/sec, 2.96MB/sec (avg: 2.96MB/sec),  4.05 (avg:  4.06) msec latency[RUN #1 35%,   7 secs]  8 threads:      549586 ops,   78479 (avg:   78508) ops/sec, 2.96MB/sec (avg: 2.96MB/sec),  4.09 (avg:  4.07) msec latency[RUN #1 40%,   8 secs]  8 threads:      628730 ops,   79133 (avg:   78586) ops/sec, 2.98MB/sec (avg: 2.96MB/sec),  4.02 (avg:  4.06) msec latency[RUN #1 45%,   9 secs]  8 threads:      707790 ops,   79049 (avg:   78637) ops/sec, 2.98MB/sec (avg: 2.97MB/sec),  4.05 (avg:  4.06) msec latency[RUN #1 50%,  10 secs]  8 threads:      787530 ops,   79727 (avg:   78746) ops/sec, 3.01MB/sec (avg: 2.97MB/sec),  4.02 (avg:  4.06) msec latency[RUN #1 55%,  11 secs]  8 threads:      865379 ops,   77837 (avg:   78664) ops/sec, 2.93MB/sec (avg: 2.97MB/sec),  4.09 (avg:  4.06) msec latency[RUN #1 60%,  12 secs]  8 threads:      944018 ops,   78625 (avg:   78660) ops/sec, 2.96MB/sec (avg: 2.97MB/sec),  4.08 (avg:  4.06) msec latency[RUN #1 65%,  13 secs]  8 threads:     1023712 ops,   79683 (avg:   78739) ops/sec, 3.00MB/sec (avg: 2.97MB/sec),  4.00 (avg:  4.06) msec latency[RUN #1 70%,  14 secs]  8 threads:     1103310 ops,   79587 (avg:   78800) ops/sec, 3.00MB/sec (avg: 2.97MB/sec),  4.03 (avg:  4.05) msec latency[RUN #1 75%,  15 secs]  8 threads:     1182126 ops,   78805 (avg:   78800) ops/sec, 2.97MB/sec (avg: 2.97MB/sec),  4.05 (avg:  4.05) msec latency[RUN #1 80%,  16 secs]  8 threads:     1260005 ops,   77868 (avg:   78742) ops/sec, 2.94MB/sec (avg: 2.97MB/sec),  4.10 (avg:  4.06) msec latency[RUN #1 85%,  17 secs]  8 threads:     1337996 ops,   77979 (avg:   78697) ops/sec, 2.94MB/sec (avg: 2.97MB/sec),  4.10 (avg:  4.06) msec latency[RUN #1 90%,  18 secs]  8 threads:     1416738 ops,   78730 (avg:   78699) ops/sec, 2.97MB/sec (avg: 2.97MB/sec),  4.07 (avg:  4.06) msec latency[RUN #1 95%,  19 secs]  8 threads:     1496699 ops,   79949 (avg:   78764) ops/sec, 3.02MB/sec (avg: 2.97MB/sec),  4.00 (avg:  4.06) msec latency[RUN #1 100%,  20 secs]  8 threads:     1575014 ops,   79949 (avg:   78743) ops/sec, 3.02MB/sec (avg: 2.97MB/sec),  4.00 (avg:  4.06) msec latency[RUN #1 100%,  20 secs]  0 threads:     1575248 ops,   79949 (avg:   78722) ops/sec, 3.02MB/sec (avg: 2.97MB/sec),  4.00 (avg:  4.06) msec latency

8         Threads
40        Connections per thread
20        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        7163.58          ---          ---      4.21600       531.00
Gets       71557.90      2510.10     69047.81      4.04500      2509.24
Totals     78721.48      2510.10     69047.81      4.06000      3040.24


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     70.21821
SET       2.000     73.48792
SET       3.000     75.83748
SET       4.000     77.98822
SET       5.000     79.93387
SET       6.000     81.63674
SET       7.000     83.15265
SET       8.000     84.58764
SET       9.000     86.09448
SET      10.000     87.37949
SET      11.000     88.43846
SET      12.000     89.52953
SET      13.000     90.64711
SET      14.000     91.51912
SET      15.000     92.27464
SET      16.000     93.03713
SET      17.000     93.81008
SET      18.000     94.41980
SET      19.000     94.92626
SET      20.000     95.43273
SET      21.000     95.91269
SET      22.000     96.30475
SET      23.000     96.63541
SET      24.000     96.95771
SET      25.000     97.28489
SET      26.000     97.53185
SET      27.000     97.73904
SET      28.000     97.95320
SET      29.000     98.12621
SET      30.000     98.29224
SET      31.000     98.43525
SET      32.000     98.56780
SET      33.000     98.68988
SET      34.000     98.78197
SET      35.000     98.87126
SET      36.000     98.94730
SET      37.000     99.02892
SET      38.000     99.10775
SET      39.000     99.17682
SET      40.000     99.23821
SET      41.000     99.29541
SET      42.000     99.33657
SET      43.000     99.37494
SET      44.000     99.42447
SET      45.000     99.46423
SET      46.000     99.51097
SET      47.000     99.54585
SET      48.000     99.57236
SET      49.000     99.60166
SET      50.000     99.62678
SET      51.000     99.65398
SET      52.000     99.68049
SET      53.000     99.70003
SET      54.000     99.71747
SET      55.000     99.73979
SET      56.000     99.75653
SET      57.000     99.76909
SET      58.000     99.77607
SET      59.000     99.79002
SET      60.000     99.80327
SET      61.000     99.80955
SET      62.000     99.82002
SET      63.000     99.83467
SET      64.000     99.84792
SET      65.000     99.85699
SET      66.000     99.86606
SET      67.000     99.87094
SET      68.000     99.88001
SET      69.000     99.88629
SET      70.000     99.89187
SET      71.000     99.89815
SET      72.000     99.90373
SET      73.000     99.91280
SET      74.000     99.91977
SET      75.000     99.93024
SET      76.000     99.93233
SET      77.000     99.93791
SET      78.000     99.94419
SET      79.000     99.94698
SET      80.000     99.94907
SET      81.000     99.95117
SET      82.000     99.95466
SET      83.000     99.95954
SET      85.000     99.96303
SET      86.000     99.96442
SET      87.000     99.96512
SET      88.000     99.96582
SET      89.000     99.96861
SET      90.000     99.97000
SET      92.000     99.97140
SET      93.000     99.97489
SET      94.000     99.97628
SET      95.000     99.97837
SET      96.000     99.98116
SET      97.000     99.98395
SET      99.000     99.98535
SET     100.000     99.98954
SET     110.000     99.99512
SET     120.000     99.99581
SET     130.000    100.00000
---
GET       0.082      0.00007
GET       0.089      0.00021
GET       0.092      0.00028
GET       0.094      0.00035
GET       0.095      0.00042
GET       0.096      0.00070
GET       0.097      0.00098
GET       0.098      0.00119
GET       0.099      0.00140
GET       0.100      0.00175
GET       0.110      0.00265
GET       0.120      0.00398
GET       0.130      0.00608
GET       0.140      0.00936
GET       0.150      0.01369
GET       0.160      0.01669
GET       0.170      0.01928
GET       0.180      0.02179
GET       0.190      0.02528
GET       0.200      0.02982
GET       0.210      0.03247
GET       0.220      0.03478
GET       0.230      0.03771
GET       0.240      0.04204
GET       0.250      0.04616
GET       0.260      0.05063
GET       0.270      0.05608
GET       0.280      0.06118
GET       0.290      0.06774
GET       0.300      0.07389
GET       0.310      0.08143
GET       0.320      0.09023
GET       0.330      0.09896
GET       0.340      0.11125
GET       0.350      0.12557
GET       0.360      0.14310
GET       0.370      0.16335
GET       0.380      0.18695
GET       0.390      0.22124
GET       0.400      0.26224
GET       0.410      0.31867
GET       0.420      0.39758
GET       0.430      0.52029
GET       0.440      0.71709
GET       0.450      1.01320
GET       0.460      1.47342
GET       0.470      2.15909
GET       0.480      3.21440
GET       0.490      4.78015
GET       0.500      6.86946
GET       0.510      9.45665
GET       0.520     12.59500
GET       0.530     16.29169
GET       0.540     20.37458
GET       0.550     24.26947
GET       0.560     27.75232
GET       0.570     30.71956
GET       0.580     33.25758
GET       0.590     35.38161
GET       0.600     37.06825
GET       0.610     38.39411
GET       0.620     39.45535
GET       0.630     40.37127
GET       0.640     41.15023
GET       0.650     41.81683
GET       0.660     42.40660
GET       0.670     42.91718
GET       0.680     43.37511
GET       0.690     43.78268
GET       0.700     44.14806
