[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 2%,   0 secs]  8 threads:       54064 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 6%,   1 secs]  8 threads:      120132 ops,       0 (avg:  103909) ops/sec, 0.00KB/sec (avg: 3.92MB/sec),  0.00 (avg:  2.99) msec latency[RUN #1 9%,   1 secs]  8 threads:      187359 ops,       0 (avg:   99151) ops/sec, 0.00KB/sec (avg: 3.74MB/sec),  0.00 (avg:  3.13) msec latency[RUN #1 14%,   2 secs]  8 threads:      264173 ops,       0 (avg:   91425) ops/sec, 0.00KB/sec (avg: 3.45MB/sec),  0.00 (avg:  3.43) msec latency[RUN #1 19%,   3 secs]  8 threads:      344773 ops,   80589 (avg:   88639) ops/sec, 3.04MB/sec (avg: 3.34MB/sec),  3.99 (avg:  3.56) msec latency[RUN #1 24%,   4 secs]  8 threads:      425470 ops,   80685 (avg:   87012) ops/sec, 3.04MB/sec (avg: 3.28MB/sec),  3.91 (avg:  3.63) msec latency[RUN #1 29%,   5 secs]  8 threads:      505960 ops,   80479 (avg:   85902) ops/sec, 3.03MB/sec (avg: 3.24MB/sec),  4.12 (avg:  3.71) msec latency[RUN #1 34%,   6 secs]  8 threads:      585767 ops,   79796 (avg:   85016) ops/sec, 3.01MB/sec (avg: 3.21MB/sec),  4.01 (avg:  3.75) msec latency[RUN #1 39%,   7 secs]  8 threads:      665806 ops,   80028 (avg:   84384) ops/sec, 3.02MB/sec (avg: 3.18MB/sec),  3.99 (avg:  3.78) msec latency[RUN #1 44%,   8 secs]  8 threads:      744727 ops,   78910 (avg:   83768) ops/sec, 2.98MB/sec (avg: 3.16MB/sec),  4.06 (avg:  3.81) msec latency[RUN #1 49%,   9 secs]  8 threads:      823473 ops,   78735 (avg:   83259) ops/sec, 2.97MB/sec (avg: 3.14MB/sec),  3.98 (avg:  3.82) msec latency[RUN #1 54%,  10 secs]  8 threads:      903799 ops,   80314 (avg:   82988) ops/sec, 3.03MB/sec (avg: 3.13MB/sec),  4.05 (avg:  3.84) msec latency[RUN #1 59%,  11 secs]  8 threads:      983446 ops,   79633 (avg:   82706) ops/sec, 3.00MB/sec (avg: 3.12MB/sec),  4.05 (avg:  3.86) msec latency[RUN #1 64%,  12 secs]  8 threads:     1062979 ops,   79520 (avg:   82459) ops/sec, 3.00MB/sec (avg: 3.11MB/sec),  4.00 (avg:  3.87) msec latency[RUN #1 69%,  13 secs]  8 threads:     1143216 ops,   80222 (avg:   82298) ops/sec, 3.03MB/sec (avg: 3.10MB/sec),  4.00 (avg:  3.88) msec latency[RUN #1 74%,  14 secs]  8 threads:     1222580 ops,   79352 (avg:   82100) ops/sec, 2.99MB/sec (avg: 3.10MB/sec),  4.02 (avg:  3.89) msec latency[RUN #1 79%,  15 secs]  8 threads:     1301845 ops,   79253 (avg:   81921) ops/sec, 2.99MB/sec (avg: 3.09MB/sec),  4.07 (avg:  3.90) msec latency[RUN #1 84%,  16 secs]  8 threads:     1382473 ops,   80616 (avg:   81844) ops/sec, 3.04MB/sec (avg: 3.09MB/sec),  3.91 (avg:  3.90) msec latency[RUN #1 89%,  17 secs]  8 threads:     1461304 ops,   78819 (avg:   81675) ops/sec, 2.97MB/sec (avg: 3.08MB/sec),  4.09 (avg:  3.91) msec latency[RUN #1 94%,  18 secs]  8 threads:     1547225 ops,   78819 (avg:   81900) ops/sec, 2.97MB/sec (avg: 3.09MB/sec),  4.09 (avg:  3.90) msec latency[RUN #1 97%,  19 secs]  5 threads:     1662260 ops,   78819 (avg:   85327) ops/sec, 2.97MB/sec (avg: 3.22MB/sec),  4.09 (avg:  3.74) msec latency[RUN #1 99%,  19 secs]  3 threads:     1790646 ops,   78819 (avg:   90657) ops/sec, 2.97MB/sec (avg: 3.42MB/sec),  4.09 (avg:  3.53) msec latency[RUN #1 100%,  20 secs]  1 threads:     1905833 ops,   78819 (avg:   95205) ops/sec, 2.97MB/sec (avg: 3.59MB/sec),  4.09 (avg:  3.36) msec latency[RUN #1 100%,  20 secs]  0 threads:     1905835 ops,   78819 (avg:   95205) ops/sec, 2.97MB/sec (avg: 3.59MB/sec),  4.09 (avg:  3.36) msec latency

8         Threads
40        Connections per thread
20        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        8670.11          ---          ---      4.11200       642.69
Gets       86620.70      4115.76     82504.94      3.28100      3037.43
Totals     95290.81      4115.76     82504.94      3.35700      3680.12


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     81.67978
SET       2.000     84.51362
SET       3.000     85.94438
SET       4.000     87.02740
SET       5.000     87.71770
SET       6.000     88.35206
SET       7.000     88.84628
SET       8.000     89.32262
SET       9.000     89.71881
SET      10.000     90.11672
SET      11.000     90.57000
SET      12.000     90.96099
SET      13.000     91.31162
SET      14.000     91.58209
SET      15.000     91.90330
SET      16.000     92.21010
SET      17.000     92.45000
SET      18.000     92.68471
SET      19.000     92.91077
SET      20.000     93.17144
SET      21.000     93.49496
SET      22.000     93.68757
SET      23.000     93.93728
SET      24.000     94.18237
SET      25.000     94.43208
SET      26.000     94.62469
SET      27.000     94.78789
SET      28.000     94.95340
SET      29.000     95.11488
SET      30.000     95.30230
SET      31.000     95.45570
SET      32.000     95.63217
SET      33.000     95.79133
SET      34.000     95.91763
SET      35.000     96.04161
SET      36.000     96.16503
SET      37.000     96.29420
SET      38.000     96.43722
SET      39.000     96.55429
SET      40.000     96.68635
SET      41.000     96.80515
SET      42.000     96.90492
SET      43.000     97.00411
SET      44.000     97.13213
SET      45.000     97.23536
SET      46.000     97.32071
SET      47.000     97.41125
SET      48.000     97.48506
SET      49.000     97.56753
SET      50.000     97.64365
SET      51.000     97.70363
SET      52.000     97.77917
SET      53.000     97.83742
SET      54.000     97.92738
SET      55.000     97.99889
SET      56.000     98.07848
SET      57.000     98.14710
SET      58.000     98.21688
SET      59.000     98.26417
SET      60.000     98.31261
SET      61.000     98.36970
SET      62.000     98.41238
SET      63.000     98.47178
SET      64.000     98.50407
SET      65.000     98.56866
SET      66.000     98.61307
SET      67.000     98.64536
SET      68.000     98.68169
SET      69.000     98.70649
SET      70.000     98.72667
SET      71.000     98.74974
SET      72.000     98.78780
SET      73.000     98.82644
SET      74.000     98.85758
SET      75.000     98.88180
SET      76.000     98.90891
SET      77.000     98.93774
SET      78.000     98.95619
SET      79.000     98.97177
SET      80.000     98.98503
SET      81.000     99.01329
SET      82.000     99.03347
SET      83.000     99.04673
SET      84.000     99.05942
SET      85.000     99.07442
SET      86.000     99.08710
SET      87.000     99.10613
SET      88.000     99.11190
SET      89.000     99.12805
SET      90.000     99.15342
SET      91.000     99.16092
SET      92.000     99.18168
SET      93.000     99.20475
SET      94.000     99.21686
SET      95.000     99.22435
SET      96.000     99.23762
SET      97.000     99.25665
SET      98.000     99.27222
SET      99.000     99.28721
SET     100.000     99.36276
SET     110.000     99.44350
SET     120.000     99.48386
SET     130.000     99.51847
SET     140.000     99.54326
SET     150.000     99.61477
SET     160.000     99.62458
SET     170.000     99.71627
SET     180.000     99.76759
SET     190.000     99.78201
SET     200.000     99.80623
SET     210.000     99.82526
SET     220.000     99.83737
SET     230.000     99.83910
SET     240.000     99.85064
SET     250.000     99.87486
SET     260.000     99.88928
SET     270.000     99.89274
SET     280.000     99.89504
SET     290.000     99.89735
SET     300.000     99.90888
SET     310.000     99.91753
SET     320.000     99.92849
SET     330.000     99.93310
SET     340.000     99.94521
SET     350.000     99.96425
SET     360.000     99.97117
SET     460.000     99.97174
SET    3000.000     99.99020
SET    3100.000    100.00000
---
GET       0.054      0.00006
GET       0.059      0.00029
GET       0.060      0.00058
GET       0.061      0.00063
GET       0.062      0.00092
GET       0.063      0.00139
GET       0.064      0.00179
GET       0.065      0.00231
GET       0.066      0.00317
GET       0.067      0.00444
GET       0.068      0.00514
GET       0.069      0.00600
GET       0.070      0.00762
GET       0.071      0.00906
GET       0.072      0.01079
GET       0.073      0.01264
GET       0.074      0.01553
GET       0.075      0.01847
GET       0.076      0.02292
GET       0.077      0.02800
GET       0.078      0.03319
GET       0.079      0.03931
GET       0.080      0.04779
GET       0.081      0.05720
GET       0.082      0.06748
GET       0.083      0.08122
GET       0.084      0.09720
GET       0.085      0.11689
GET       0.086      0.13882
GET       0.087      0.16797
GET       0.088      0.20237
GET       0.089      0.24203
GET       0.090      0.29369
GET       0.091      0.35343
GET       0.092      0.42564
GET       0.093      0.50957
GET       0.094      0.61145
GET       0.095      0.72522
GET       0.096      0.84275
GET       0.097      0.95213
GET       0.098      1.05961
GET       0.099      1.16172
GET       0.100      1.65553
GET       0.110      2.34110
GET       0.120      2.87532
GET       0.130      3.65025
GET       0.140      5.50556
GET       0.150      7.58293
GET       0.160      9.10934
GET       0.170     10.58668
GET       0.180     12.84992
GET       0.190     17.64803
GET       0.200     22.98752
GET       0.210     27.24235
GET       0.220     31.09567
GET       0.230     35.57365
GET       0.240     41.94788
GET       0.250     47.10369
GET       0.260     50.52628
GET       0.270     53.11144
GET       0.280     55.39996
GET       0.290     57.82943
GET       0.300     59.72174
