[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  8 threads:       10720 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  8 threads:       21286 ops,   10564 (avg:   10645) ops/sec, 369.75KB/sec (avg: 377.30KB/sec), 30.27 (avg: 29.82) msec latency[RUN #1 10%,   2 secs]  8 threads:       31869 ops,   10581 (avg:   10624) ops/sec, 389.13KB/sec (avg: 381.25KB/sec), 30.25 (avg: 29.96) msec latency[RUN #1 13%,   3 secs]  8 threads:       42420 ops,   10549 (avg:   10605) ops/sec, 375.92KB/sec (avg: 379.91KB/sec), 30.31 (avg: 30.05) msec latency[RUN #1 17%,   4 secs]  8 threads:       52970 ops,   10548 (avg:   10594) ops/sec, 372.38KB/sec (avg: 378.41KB/sec), 30.34 (avg: 30.11) msec latency[RUN #1 20%,   6 secs]  8 threads:       63524 ops,   10552 (avg:   10587) ops/sec, 370.81KB/sec (avg: 377.14KB/sec), 30.30 (avg: 30.14) msec latency[RUN #1 23%,   7 secs]  8 threads:       74071 ops,   10545 (avg:   10581) ops/sec, 372.01KB/sec (avg: 376.41KB/sec), 30.37 (avg: 30.17) msec latency[RUN #1 27%,   8 secs]  8 threads:       84631 ops,   10558 (avg:   10578) ops/sec, 371.19KB/sec (avg: 375.75KB/sec), 30.31 (avg: 30.19) msec latency[RUN #1 30%,   9 secs]  8 threads:       95182 ops,   10549 (avg:   10575) ops/sec, 372.81KB/sec (avg: 375.43KB/sec), 30.33 (avg: 30.20) msec latency[RUN #1 33%,  10 secs]  8 threads:      105721 ops,   10537 (avg:   10571) ops/sec, 383.63KB/sec (avg: 376.25KB/sec), 30.35 (avg: 30.22) msec latency[RUN #1 37%,  11 secs]  8 threads:      116247 ops,   10524 (avg:   10567) ops/sec, 368.27KB/sec (avg: 375.52KB/sec), 30.39 (avg: 30.23) msec latency[RUN #1 40%,  12 secs]  8 threads:      126781 ops,   10532 (avg:   10564) ops/sec, 379.38KB/sec (avg: 375.84KB/sec), 30.37 (avg: 30.25) msec latency[RUN #1 43%,  13 secs]  8 threads:      137327 ops,   10544 (avg:   10562) ops/sec, 406.45KB/sec (avg: 378.20KB/sec), 30.35 (avg: 30.25) msec latency[RUN #1 47%,  14 secs]  8 threads:      147905 ops,   10576 (avg:   10563) ops/sec, 371.71KB/sec (avg: 377.73KB/sec), 30.27 (avg: 30.25) msec latency[RUN #1 50%,  15 secs]  8 threads:      158464 ops,   10557 (avg:   10563) ops/sec, 370.34KB/sec (avg: 377.24KB/sec), 30.31 (avg: 30.26) msec latency[RUN #1 53%,  16 secs]  8 threads:      169021 ops,   10555 (avg:   10562) ops/sec, 369.82KB/sec (avg: 376.78KB/sec), 30.31 (avg: 30.26) msec latency[RUN #1 57%,  17 secs]  8 threads:      179582 ops,   10559 (avg:   10562) ops/sec, 372.83KB/sec (avg: 376.54KB/sec), 30.31 (avg: 30.26) msec latency[RUN #1 60%,  18 secs]  8 threads:      190147 ops,   10563 (avg:   10562) ops/sec, 369.71KB/sec (avg: 376.17KB/sec), 30.27 (avg: 30.26) msec latency[RUN #1 63%,  19 secs]  8 threads:      200699 ops,   10550 (avg:   10561) ops/sec, 369.35KB/sec (avg: 375.81KB/sec), 30.30 (avg: 30.27) msec latency[RUN #1 67%,  20 secs]  8 threads:      211277 ops,   10576 (avg:   10562) ops/sec, 371.88KB/sec (avg: 375.61KB/sec), 30.30 (avg: 30.27) msec latency[RUN #1 70%,  21 secs]  8 threads:      221817 ops,   10538 (avg:   10561) ops/sec, 378.89KB/sec (avg: 375.77KB/sec), 30.30 (avg: 30.27) msec latency[RUN #1 73%,  22 secs]  8 threads:      232357 ops,   10538 (avg:   10560) ops/sec, 381.21KB/sec (avg: 376.01KB/sec), 30.40 (avg: 30.28) msec latency[RUN #1 77%,  23 secs]  8 threads:      242920 ops,   10561 (avg:   10560) ops/sec, 370.49KB/sec (avg: 375.77KB/sec), 30.28 (avg: 30.28) msec latency[RUN #1 80%,  24 secs]  8 threads:      253482 ops,   10560 (avg:   10560) ops/sec, 371.15KB/sec (avg: 375.58KB/sec), 30.28 (avg: 30.28) msec latency[RUN #1 83%,  25 secs]  8 threads:      264002 ops,   10518 (avg:   10558) ops/sec, 382.01KB/sec (avg: 375.84KB/sec), 30.44 (avg: 30.28) msec latency[RUN #1 87%,  26 secs]  8 threads:      274501 ops,   10497 (avg:   10556) ops/sec, 380.01KB/sec (avg: 376.00KB/sec), 30.45 (avg: 30.29) msec latency[RUN #1 90%,  27 secs]  8 threads:      285039 ops,   10536 (avg:   10555) ops/sec, 382.06KB/sec (avg: 376.22KB/sec), 30.42 (avg: 30.29) msec latency[RUN #1 93%,  28 secs]  8 threads:      295562 ops,   10521 (avg:   10554) ops/sec, 380.67KB/sec (avg: 376.38KB/sec), 30.40 (avg: 30.30) msec latency[RUN #1 97%,  29 secs]  8 threads:      306105 ops,   10541 (avg:   10553) ops/sec, 369.99KB/sec (avg: 376.16KB/sec), 30.33 (avg: 30.30) msec latency[RUN #1 100%,  30 secs]  8 threads:      316933 ops,   10541 (avg:   10563) ops/sec, 369.99KB/sec (avg: 376.77KB/sec), 30.33 (avg: 30.28) msec latency[RUN #1 100%,  30 secs]  0 threads:      317182 ops,   10541 (avg:   10569) ops/sec, 369.99KB/sec (avg: 377.03KB/sec), 30.33 (avg: 30.27) msec latency

8         Threads
40        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         966.47          ---          ---     30.12100        71.64
Gets        9603.70       160.06      9443.64     30.28300       305.41
Totals     10570.17       160.06      9443.64     30.26900       377.04


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET      15.000      0.03793
SET      16.000      0.08276
SET      17.000      0.31033
SET      18.000      0.74480
SET      19.000      1.00341
SET      20.000      1.22754
SET      21.000      1.44823
SET      22.000      1.47236
SET      23.000      1.48616
SET      24.000      1.52064
SET      25.000      1.54822
SET      26.000      6.42736
SET      27.000     21.21306
SET      28.000     35.15051
SET      29.000     45.75015
SET      30.000     60.45654
SET      31.000     73.93883
SET      32.000     84.86604
SET      33.000     99.02072
SET      34.000    100.00000
---
GET      15.000      0.00868
GET      16.000      0.03539
GET      17.000      0.07356
GET      18.000      0.11278
GET      19.000      0.17558
GET      20.000      0.25123
GET      21.000      0.31924
GET      22.000      0.37581
GET      23.000      0.43029
GET      24.000      0.47435
GET      25.000      0.51808
GET      26.000      0.77764
GET      27.000     14.15881
GET      28.000     24.85903
GET      29.000     39.74828
GET      30.000     53.29914
GET      31.000     64.10936
GET      32.000     79.23111
GET      33.000     92.54809
GET      34.000     99.92817
GET      35.000     99.99861
GET      36.000    100.00000
