[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 5%,   1 secs] 16 threads:       14805 ops,   14804 (avg:   14804) ops/sec, 533.50KB/sec (avg: 533.50KB/sec), 10.69 (avg: 10.69) msec latency[RUN #1 10%,   2 secs] 16 threads:       23605 ops,    8797 (avg:   11800) ops/sec, 314.58KB/sec (avg: 424.03KB/sec), 18.19 (avg: 13.49) msec latency[RUN #1 15%,   3 secs] 16 threads:       32382 ops,    8775 (avg:   10792) ops/sec, 308.16KB/sec (avg: 385.41KB/sec), 18.25 (avg: 14.78) msec latency[RUN #1 20%,   4 secs] 16 threads:       41205 ops,    8821 (avg:   10299) ops/sec, 309.68KB/sec (avg: 366.47KB/sec), 18.15 (avg: 15.50) msec latency[RUN #1 25%,   5 secs] 16 threads:       49984 ops,    8777 (avg:    9995) ops/sec, 316.13KB/sec (avg: 356.41KB/sec), 18.21 (avg: 15.98) msec latency[RUN #1 30%,   6 secs] 16 threads:       58745 ops,    8759 (avg:    9789) ops/sec, 311.11KB/sec (avg: 348.86KB/sec), 18.24 (avg: 16.31) msec latency[RUN #1 35%,   7 secs] 16 threads:       67543 ops,    8796 (avg:    9647) ops/sec, 333.00KB/sec (avg: 346.59KB/sec), 18.26 (avg: 16.57) msec latency[RUN #1 40%,   8 secs] 16 threads:       76245 ops,    8700 (avg:    9529) ops/sec, 305.73KB/sec (avg: 341.48KB/sec), 18.24 (avg: 16.76) msec latency[RUN #1 45%,   9 secs] 16 threads:       85045 ops,    8798 (avg:    9448) ops/sec, 308.40KB/sec (avg: 337.81KB/sec), 18.21 (avg: 16.91) msec latency[RUN #1 50%,  10 secs] 16 threads:       93845 ops,    8798 (avg:    9383) ops/sec, 308.61KB/sec (avg: 334.89KB/sec), 18.23 (avg: 17.03) msec latency[RUN #1 55%,  11 secs] 16 threads:      102645 ops,    8798 (avg:    9330) ops/sec, 308.33KB/sec (avg: 332.47KB/sec), 18.17 (avg: 17.13) msec latency[RUN #1 60%,  12 secs] 16 threads:      111445 ops,    8798 (avg:    9285) ops/sec, 315.67KB/sec (avg: 331.07KB/sec), 18.21 (avg: 17.21) msec latency[RUN #1 65%,  13 secs] 16 threads:      120245 ops,    8798 (avg:    9248) ops/sec, 313.46KB/sec (avg: 329.72KB/sec), 18.20 (avg: 17.29) msec latency[RUN #1 70%,  14 secs] 16 threads:      129016 ops,    8769 (avg:    9214) ops/sec, 308.23KB/sec (avg: 328.18KB/sec), 18.19 (avg: 17.35) msec latency[RUN #1 75%,  15 secs] 16 threads:      137785 ops,    8767 (avg:    9184) ops/sec, 319.65KB/sec (avg: 327.62KB/sec), 18.21 (avg: 17.40) msec latency[RUN #1 80%,  16 secs] 16 threads:      146585 ops,    8798 (avg:    9160) ops/sec, 320.66KB/sec (avg: 327.18KB/sec), 18.20 (avg: 17.45) msec latency[RUN #1 85%,  17 secs] 16 threads:      155385 ops,    8798 (avg:    9139) ops/sec, 314.95KB/sec (avg: 326.46KB/sec), 18.22 (avg: 17.49) msec latency[RUN #1 90%,  18 secs] 16 threads:      164185 ops,    8798 (avg:    9120) ops/sec, 308.45KB/sec (avg: 325.46KB/sec), 18.16 (avg: 17.53) msec latency[RUN #1 95%,  19 secs] 16 threads:      172985 ops,    8798 (avg:    9103) ops/sec, 326.80KB/sec (avg: 325.53KB/sec), 18.23 (avg: 17.57) msec latency[RUN #1 100%,  20 secs] 15 threads:      181771 ops,    8798 (avg:    9087) ops/sec, 326.80KB/sec (avg: 325.17KB/sec), 18.23 (avg: 17.60) msec latency[RUN #1 100%,  20 secs]  0 threads:      181845 ops,    8798 (avg:    9089) ops/sec, 326.80KB/sec (avg: 325.26KB/sec), 18.23 (avg: 17.60) msec latency

16        Threads
10        Connections per thread
20        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         874.06          ---          ---     17.50100        64.80
Gets        8695.64       174.66      8520.97     17.60600       277.63
Totals      9569.69       174.66      8520.97     17.59700       342.43


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000      1.30050
SET       2.000      2.48660
SET       3.000      3.90752
SET       4.000      4.31694
SET       5.000      4.38317
SET       8.000      4.43133
SET      10.000      4.49154
SET      13.000      4.59389
SET      14.000      4.59992
SET      16.000      4.64206
SET      17.000     33.18081
SET      18.000     98.56704
SET      19.000     99.77723
SET      20.000     99.99398
SET      23.000    100.00000
---
GET       1.100      0.00363
GET       1.200      0.01876
GET       1.300      0.04478
GET       1.400      0.08110
GET       1.500      0.17430
GET       1.600      0.33104
GET       1.700      0.52047
GET       1.800      0.70324
GET       1.900      0.91566
GET       2.000      1.11840
GET       2.100      1.29754
GET       2.200      1.47426
GET       2.300      1.61466
GET       2.400      1.74538
GET       2.500      1.92028
GET       2.600      2.06916
GET       2.700      2.23438
GET       2.800      2.33726
GET       2.900      2.45467
GET       3.000      2.58842
GET       3.100      2.74456
GET       3.200      2.90494
GET       3.300      3.02295
GET       3.400      3.13612
GET       3.500      3.24142
GET       3.600      3.32857
GET       3.700      3.41572
GET       3.800      3.46837
GET       3.900      3.51981
GET       4.000      3.57610
GET       4.100      3.64388
GET       4.200      3.70379
GET       4.300      3.73889
GET       4.400      3.76129
GET       4.500      3.76734
GET       4.600      3.78186
GET       4.700      3.79094
GET       4.800      3.79457
GET       4.900      3.80002
GET       5.000      3.80789
GET       5.100      3.81091
GET       5.200      3.82544
GET       5.300      3.83331
GET       5.400      3.84117
GET       5.500      3.84541
GET       5.700      3.84662
GET       5.800      3.84722
GET       5.900      3.84843
GET       6.000      3.85328
GET       6.100      3.85449
GET       6.200      3.85872
GET       6.300      3.86235
GET       6.400      3.86296
GET       6.700      3.86417
GET       6.800      3.86599
GET       6.900      3.86659
GET       7.000      3.87143
GET       8.100      3.87446
GET       8.200      3.88838
GET       8.300      3.91501
GET       8.400      3.91864
GET      10.000      3.93437
GET      11.000      3.95374
GET      12.000      3.95737
GET      13.000      4.00336
GET      14.000      4.01849
GET      15.000      4.02334
GET      16.000      4.03302
GET      17.000      5.37716
GET      18.000     80.62166
GET      19.000     99.70648
GET      20.000     99.95945
GET      21.000     99.98426
GET      22.000     99.98850
GET      23.000     99.99516
GET      24.000    100.00000
