[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 5%,   1 secs] 16 threads:       17555 ops,   17469 (avg:   17469) ops/sec, 628.71KB/sec (avg: 628.71KB/sec),  7.30 (avg:  7.30) msec latency[RUN #1 10%,   2 secs] 16 threads:       34820 ops,   17262 (avg:   17366) ops/sec, 614.25KB/sec (avg: 621.49KB/sec),  7.40 (avg:  7.35) msec latency[RUN #1 15%,   3 secs] 16 threads:       51980 ops,   17156 (avg:   17296) ops/sec, 617.14KB/sec (avg: 620.04KB/sec),  7.47 (avg:  7.39) msec latency[RUN #1 20%,   4 secs] 16 threads:       69067 ops,   17085 (avg:   17243) ops/sec, 615.43KB/sec (avg: 618.89KB/sec),  7.48 (avg:  7.41) msec latency[RUN #1 25%,   5 secs] 16 threads:       86208 ops,   17138 (avg:   17222) ops/sec, 605.55KB/sec (avg: 616.23KB/sec),  7.47 (avg:  7.42) msec latency[RUN #1 30%,   6 secs] 16 threads:      103228 ops,   17017 (avg:   17188) ops/sec, 601.85KB/sec (avg: 613.83KB/sec),  7.51 (avg:  7.44) msec latency[RUN #1 35%,   7 secs] 16 threads:      120231 ops,   17000 (avg:   17161) ops/sec, 620.26KB/sec (avg: 614.75KB/sec),  7.52 (avg:  7.45) msec latency[RUN #1 40%,   8 secs] 16 threads:      137244 ops,   17011 (avg:   17142) ops/sec, 619.89KB/sec (avg: 615.39KB/sec),  7.53 (avg:  7.46) msec latency[RUN #1 45%,   9 secs] 16 threads:      154187 ops,   16940 (avg:   17120) ops/sec, 604.32KB/sec (avg: 614.16KB/sec),  7.55 (avg:  7.47) msec latency[RUN #1 50%,  10 secs] 16 threads:      171161 ops,   16971 (avg:   17105) ops/sec, 599.75KB/sec (avg: 612.72KB/sec),  7.53 (avg:  7.48) msec latency[RUN #1 55%,  11 secs] 16 threads:      188107 ops,   16944 (avg:   17090) ops/sec, 604.28KB/sec (avg: 611.95KB/sec),  7.55 (avg:  7.48) msec latency[RUN #1 60%,  12 secs] 16 threads:      205076 ops,   16966 (avg:   17080) ops/sec, 606.86KB/sec (avg: 611.53KB/sec),  7.54 (avg:  7.49) msec latency[RUN #1 65%,  13 secs] 16 threads:      221944 ops,   16865 (avg:   17064) ops/sec, 603.97KB/sec (avg: 610.95KB/sec),  7.58 (avg:  7.49) msec latency[RUN #1 70%,  14 secs] 16 threads:      238840 ops,   16894 (avg:   17051) ops/sec, 600.99KB/sec (avg: 610.24KB/sec),  7.57 (avg:  7.50) msec latency[RUN #1 75%,  15 secs] 16 threads:      255630 ops,   16788 (avg:   17034) ops/sec, 627.72KB/sec (avg: 611.40KB/sec),  7.63 (avg:  7.51) msec latency[RUN #1 80%,  16 secs] 16 threads:      272435 ops,   16802 (avg:   17019) ops/sec, 599.71KB/sec (avg: 610.67KB/sec),  7.60 (avg:  7.51) msec latency[RUN #1 85%,  17 secs] 16 threads:      289281 ops,   16843 (avg:   17009) ops/sec, 608.07KB/sec (avg: 610.52KB/sec),  7.60 (avg:  7.52) msec latency[RUN #1 90%,  18 secs] 16 threads:      306061 ops,   16777 (avg:   16996) ops/sec, 623.88KB/sec (avg: 611.26KB/sec),  7.62 (avg:  7.52) msec latency[RUN #1 95%,  19 secs] 16 threads:      322944 ops,   16880 (avg:   16990) ops/sec, 602.05KB/sec (avg: 610.78KB/sec),  7.58 (avg:  7.53) msec latency[RUN #1 100%,  20 secs]  3 threads:      339905 ops,   16880 (avg:   16992) ops/sec, 602.05KB/sec (avg: 610.57KB/sec),  7.58 (avg:  7.53) msec latency[RUN #1 100%,  20 secs]  0 threads:      339921 ops,   16880 (avg:   16993) ops/sec, 602.05KB/sec (avg: 610.59KB/sec),  7.58 (avg:  7.53) msec latency

16        Threads
8         Connections per thread
20        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1473.28          ---          ---      7.52700       109.19
Gets       14710.20       365.16     14345.03      7.52700       472.30
Totals     16183.47       365.16     14345.03      7.52700       581.49


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000      0.02585
SET       2.000      0.26499
SET       3.000      0.63661
SET       4.000      0.96623
SET       5.000      1.50590
SET       6.000      2.09727
SET       7.000     99.08871
SET       8.000     99.50881
SET       9.000     99.56374
SET      10.000     99.61222
SET      11.000     99.73825
SET      12.000     99.76087
SET      13.000     99.79641
SET      14.000     99.82227
SET      20.000     99.84812
SET      23.000     99.85458
SET      27.000     99.90305
SET      28.000     99.92567
SET      31.000     99.92891
SET      33.000     99.96445
SET      42.000     99.99354
SET      43.000    100.00000
---
GET       1.400      0.00032
GET       1.800      0.00065
GET       1.900      0.00259
GET       2.000      0.00939
GET       2.100      0.01554
GET       2.200      0.02492
GET       2.300      0.03884
GET       2.400      0.06052
GET       2.500      0.07573
GET       2.600      0.08188
GET       2.700      0.08868
GET       2.800      0.11004
GET       2.900      0.14014
GET       3.000      0.20649
GET       3.100      0.29387
GET       3.200      0.35796
GET       3.300      0.39194
GET       3.400      0.42463
GET       3.500      0.44858
GET       3.600      0.46670
GET       3.700      0.47835
GET       3.800      0.49616
GET       3.900      0.50748
GET       4.000      0.51978
GET       4.100      0.52787
GET       4.200      0.55506
GET       4.300      0.57221
GET       4.400      0.60523
GET       4.500      0.65377
GET       4.600      0.70976
GET       4.700      0.75896
GET       4.800      0.80459
GET       4.900      0.84084
GET       5.000      0.89166
GET       5.100      0.93664
GET       5.200      0.98875
GET       5.300      1.02629
GET       5.400      1.06222
GET       5.500      1.09750
GET       5.600      1.13180
GET       5.700      1.18067
GET       5.800      1.20560
GET       5.900      1.22469
GET       6.000      1.23958
GET       6.100      1.25770
GET       6.200      1.29589
GET       6.300      1.39914
GET       6.400      1.45513
GET       6.500      1.48458
GET       6.600      1.53022
GET       6.700      1.57682
GET       6.800      1.65385
GET       6.900      1.75030
GET       7.000      1.89723
GET       7.100      2.25325
GET       7.200      3.69187
GET       7.300      9.06640
GET       7.400     25.79974
GET       7.500     58.77382
GET       7.600     83.07312
GET       7.700     92.69458
GET       7.800     97.41274
GET       7.900     98.78599
GET       8.000     99.16919
GET       8.100     99.30836
GET       8.200     99.37730
GET       8.300     99.43232
GET       8.400     99.45238
GET       8.500     99.46921
GET       8.600     99.48054
GET       8.700     99.49284
GET       8.800     99.49931
GET       8.900     99.50805
GET       9.000     99.52456
GET       9.100     99.54139
GET       9.200     99.55336
GET       9.300     99.56922
GET       9.400     99.58184
GET       9.500     99.58508
GET       9.600     99.58799
GET       9.700     99.59511
GET       9.800     99.59738
GET       9.900     99.59835
GET      10.000     99.65855
GET      11.000     99.77992
GET      12.000     99.80969
GET      13.000     99.82588
GET      14.000     99.88575
GET      15.000     99.88834
GET      16.000     99.89352
GET      20.000     99.90517
GET      21.000     99.91326
GET      23.000     99.91456
GET      27.000     99.91909
GET      28.000     99.92459
GET      29.000     99.92653
GET      31.000     99.93236
GET      32.000     99.94207
GET      33.000     99.96958
GET      34.000     99.97929
GET      40.000     99.98123
GET      42.000     99.98802
GET      43.000     99.99806
GET      44.000    100.00000
