[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 5%,   1 secs] 16 threads:        1920 ops,    1919 (avg:    1919) ops/sec, 70.60KB/sec (avg: 70.60KB/sec), 65.64 (avg: 65.64) msec latency[RUN #1 10%,   2 secs] 16 threads:        3712 ops,    1791 (avg:    1855) ops/sec, 61.37KB/sec (avg: 65.98KB/sec), 69.41 (avg: 67.46) msec latency[RUN #1 15%,   3 secs] 16 threads:        5632 ops,    1919 (avg:    1876) ops/sec, 65.24KB/sec (avg: 65.74KB/sec), 69.22 (avg: 68.06) msec latency[RUN #1 20%,   4 secs] 16 threads:        7424 ops,    1791 (avg:    1855) ops/sec, 66.87KB/sec (avg: 66.02KB/sec), 69.49 (avg: 68.41) msec latency[RUN #1 25%,   5 secs] 16 threads:        9216 ops,    1791 (avg:    1842) ops/sec, 61.12KB/sec (avg: 65.04KB/sec), 69.40 (avg: 68.60) msec latency[RUN #1 30%,   6 secs] 16 threads:       11136 ops,    1919 (avg:    1855) ops/sec, 65.12KB/sec (avg: 65.05KB/sec), 69.37 (avg: 68.73) msec latency[RUN #1 35%,   7 secs] 16 threads:       12928 ops,    1791 (avg:    1846) ops/sec, 66.74KB/sec (avg: 65.29KB/sec), 69.23 (avg: 68.80) msec latency[RUN #1 40%,   8 secs] 16 threads:       15468 ops,    2539 (avg:    1933) ops/sec, 84.74KB/sec (avg: 67.72KB/sec), 52.55 (avg: 66.13) msec latency[RUN #1 45%,   9 secs] 16 threads:       17263 ops,    1794 (avg:    1917) ops/sec, 66.83KB/sec (avg: 67.62KB/sec), 69.35 (avg: 66.47) msec latency[RUN #1 50%,  10 secs] 16 threads:       19067 ops,    1803 (avg:    1906) ops/sec, 61.62KB/sec (avg: 67.02KB/sec), 69.34 (avg: 66.74) msec latency[RUN #1 55%,  11 secs] 16 threads:       20975 ops,    1907 (avg:    1906) ops/sec, 64.99KB/sec (avg: 66.84KB/sec), 69.44 (avg: 66.98) msec latency[RUN #1 60%,  12 secs] 16 threads:       22779 ops,    1803 (avg:    1897) ops/sec, 67.24KB/sec (avg: 66.87KB/sec), 69.60 (avg: 67.19) msec latency[RUN #1 65%,  13 secs] 16 threads:       24684 ops,    1904 (avg:    1898) ops/sec, 65.02KB/sec (avg: 66.73KB/sec), 69.48 (avg: 67.37) msec latency[RUN #1 70%,  14 secs] 16 threads:       26479 ops,    1794 (avg:    1891) ops/sec, 61.46KB/sec (avg: 66.35KB/sec), 69.34 (avg: 67.50) msec latency[RUN #1 75%,  15 secs] 16 threads:       28283 ops,    1803 (avg:    1885) ops/sec, 66.90KB/sec (avg: 66.39KB/sec), 69.38 (avg: 67.62) msec latency[RUN #1 80%,  16 secs] 16 threads:       30191 ops,    1907 (avg:    1886) ops/sec, 65.33KB/sec (avg: 66.32KB/sec), 69.28 (avg: 67.73) msec latency[RUN #1 85%,  17 secs] 16 threads:       31995 ops,    1803 (avg:    1881) ops/sec, 61.87KB/sec (avg: 66.06KB/sec), 69.17 (avg: 67.81) msec latency[RUN #1 90%,  18 secs] 16 threads:       33903 ops,    1907 (avg:    1883) ops/sec, 69.97KB/sec (avg: 66.28KB/sec), 69.30 (avg: 67.89) msec latency[RUN #1 95%,  19 secs] 16 threads:       35707 ops,    1803 (avg:    1879) ops/sec, 62.51KB/sec (avg: 66.08KB/sec), 69.03 (avg: 67.95) msec latency[RUN #1 100%,  20 secs]  0 threads:       39793 ops,    1803 (avg:    1989) ops/sec, 62.51KB/sec (avg: 69.98KB/sec), 69.03 (avg: 64.33) msec latency

16        Threads
8         Connections per thread
20        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         195.36          ---          ---     63.71000        14.47
Gets        1898.90         0.00      1898.90     64.39300        59.20
Totals      2094.26         0.00      1898.90     64.33000        73.66


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.000      0.13470
SET       4.000      0.43103
SET       5.000      3.44828
SET       6.000      3.50216
SET       7.000      6.49246
SET       8.000      7.19289
SET       9.000      9.94073
SET      16.000     10.21013
SET      40.000     10.29095
SET      66.000     11.36853
SET      67.000     15.94828
SET      68.000     29.82220
SET      69.000     62.93103
SET      70.000     88.76616
SET      71.000     96.47091
SET      72.000     96.49784
SET      73.000     96.55172
SET      79.000     96.92888
SET      80.000     98.03341
SET      81.000     98.78772
SET      82.000     99.35345
SET      83.000     99.94612
SET      84.000    100.00000
---
GET       2.300      0.00277
GET       2.400      0.08869
GET       2.500      0.20232
GET       2.600      0.29655
GET       2.700      0.32704
GET       3.000      0.32981
GET       3.100      0.34921
GET       3.200      0.35476
GET       3.900      0.43513
GET       4.000      0.50442
GET       4.100      0.56539
GET       4.200      0.65131
GET       4.300      0.66517
GET       4.400      0.66794
GET       4.800      0.67348
GET       4.900      0.68457
GET       5.000      0.80098
GET       5.100      1.11416
GET       5.200      1.40794
GET       5.300      1.44952
GET       5.400      1.63798
GET       5.500      2.08697
GET       5.600      2.13409
GET       5.800      2.18397
GET       5.900      2.43896
GET       6.000      2.45559
GET       6.300      2.54428
GET       6.400      2.79649
GET       6.500      2.81589
GET       6.600      2.84083
GET       6.700      2.86300
GET       6.800      3.01267
GET       6.900      3.19836
GET       7.000      3.25102
GET       7.100      3.45888
GET       7.200      3.54480
GET       7.300      3.61963
GET       7.400      3.66952
GET       7.500      4.06585
GET       7.600      4.15177
GET       7.700      4.17949
GET       7.800      4.20720
GET       7.900      4.22660
GET       8.000      4.30143
GET       8.100      4.48713
GET       8.200      4.81971
GET       8.300      4.86406
GET       8.400      4.86683
GET       8.500      4.86960
GET       8.700      4.88623
GET       8.800      4.90563
GET       8.900      5.09687
GET       9.000      5.23821
GET       9.100      5.24099
GET       9.200      5.24653
GET       9.500      5.25761
GET       9.600      5.26593
GET       9.700      5.27979
GET       9.900      5.28533
GET      10.000      5.45162
GET      11.000      6.37455
GET      12.000      6.39118
GET      15.000      6.39949
GET      16.000      6.57687
GET      17.000      6.71267
GET      19.000      6.77919
GET      20.000      6.92885
GET      21.000      6.98706
GET      22.000      7.06743
GET      24.000      7.07297
GET      25.000      7.10069
GET      31.000      7.11455
GET      32.000      7.18938
GET      33.000      7.31410
GET      34.000      7.71043
GET      35.000      7.76863
GET      43.000      7.77695
GET      44.000      7.99590
GET      45.000      8.09013
GET      54.000      8.09567
GET      55.000      8.12339
GET      56.000      8.15110
GET      57.000      8.33403
GET      58.000      8.50863
GET      59.000      9.09897
GET      60.000      9.80849
GET      61.000      9.92489
GET      62.000     10.05793
GET      63.000     10.27688
GET      64.000     10.39328
GET      65.000     11.03074
GET      66.000     12.54677
GET      67.000     17.13921
GET      68.000     33.44420
GET      69.000     60.88246
GET      70.000     85.77368
GET      71.000     98.32599
GET      72.000     99.78382
GET      73.000     99.96951
GET      74.000    100.00000
