[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 5%,   1 secs] 16 threads:       18934 ops,   18919 (avg:   18919) ops/sec, 686.65KB/sec (avg: 686.65KB/sec),  5.90 (avg:  5.90) msec latency[RUN #1 10%,   2 secs] 16 threads:       35624 ops,   16687 (avg:   17803) ops/sec, 602.33KB/sec (avg: 644.50KB/sec),  6.70 (avg:  6.27) msec latency[RUN #1 15%,   3 secs] 16 threads:       52267 ops,   16640 (avg:   17415) ops/sec, 605.28KB/sec (avg: 631.43KB/sec),  6.73 (avg:  6.42) msec latency[RUN #1 20%,   4 secs] 16 threads:       68947 ops,   16677 (avg:   17231) ops/sec, 584.74KB/sec (avg: 619.76KB/sec),  6.71 (avg:  6.49) msec latency[RUN #1 25%,   5 secs] 16 threads:       85318 ops,   16368 (avg:   17058) ops/sec, 582.79KB/sec (avg: 612.37KB/sec),  6.83 (avg:  6.56) msec latency[RUN #1 30%,   6 secs] 16 threads:      101879 ops,   16559 (avg:   16975) ops/sec, 601.61KB/sec (avg: 610.58KB/sec),  6.76 (avg:  6.59) msec latency[RUN #1 35%,   7 secs] 16 threads:      118418 ops,   16536 (avg:   16912) ops/sec, 597.45KB/sec (avg: 608.70KB/sec),  6.77 (avg:  6.61) msec latency[RUN #1 40%,   8 secs] 16 threads:      134994 ops,   16573 (avg:   16870) ops/sec, 593.77KB/sec (avg: 606.83KB/sec),  6.75 (avg:  6.63) msec latency[RUN #1 45%,   9 secs] 16 threads:      151550 ops,   16553 (avg:   16835) ops/sec, 589.38KB/sec (avg: 604.90KB/sec),  6.76 (avg:  6.65) msec latency[RUN #1 50%,  10 secs] 16 threads:      161783 ops,   10231 (avg:   16175) ops/sec, 363.98KB/sec (avg: 580.81KB/sec),  9.46 (avg:  6.82) msec latency[RUN #1 55%,  11 secs] 16 threads:      162301 ops,     517 (avg:   14751) ops/sec, 17.57KB/sec (avg: 529.61KB/sec), 223.22 (avg:  7.51) msec latency[RUN #1 60%,  12 secs] 16 threads:      162788 ops,     486 (avg:   13563) ops/sec, 17.62KB/sec (avg: 486.95KB/sec), 221.20 (avg:  8.15) msec latency[RUN #1 65%,  13 secs] 16 threads:      163297 ops,     508 (avg:   12559) ops/sec, 18.58KB/sec (avg: 450.92KB/sec), 231.72 (avg:  8.85) msec latency[RUN #1 70%,  14 secs] 16 threads:      163767 ops,     469 (avg:   11695) ops/sec, 18.36KB/sec (avg: 420.02KB/sec), 228.02 (avg:  9.48) msec latency[RUN #1 75%,  15 secs] 16 threads:      164253 ops,     485 (avg:   10948) ops/sec, 18.10KB/sec (avg: 393.23KB/sec), 225.27 (avg: 10.12) msec latency[RUN #1 80%,  16 secs] 16 threads:      164781 ops,     527 (avg:   10297) ops/sec, 18.19KB/sec (avg: 369.79KB/sec), 217.04 (avg: 10.78) msec latency[RUN #1 85%,  17 secs] 16 threads:      165319 ops,     537 (avg:    9723) ops/sec, 19.40KB/sec (avg: 349.18KB/sec), 218.11 (avg: 11.46) msec latency[RUN #1 90%,  18 secs] 16 threads:      165800 ops,     480 (avg:    9209) ops/sec, 16.36KB/sec (avg: 330.69KB/sec), 222.52 (avg: 12.07) msec latency[RUN #1 95%,  19 secs] 16 threads:      166307 ops,     506 (avg:    8751) ops/sec, 18.34KB/sec (avg: 314.25KB/sec), 225.37 (avg: 12.72) msec latency[RUN #1 100%,  20 secs] 16 threads:      167603 ops,     506 (avg:    8378) ops/sec, 18.34KB/sec (avg: 301.01KB/sec), 225.37 (avg: 13.36) msec latency[RUN #1 100%,  20 secs]  0 threads:      167693 ops,     506 (avg:    8381) ops/sec, 18.34KB/sec (avg: 301.11KB/sec), 225.37 (avg: 13.36) msec latency

16        Threads
7         Connections per thread
20        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         764.78          ---          ---     13.28600        56.68
Gets        7616.32       184.32      7432.00     13.36400       244.41
Totals      8381.10       184.32      7432.00     13.35700       301.09


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000      0.58816
SET       2.000      1.69259
SET       3.000      2.28075
SET       4.000      2.37224
SET       5.000      2.81663
SET       6.000     93.20350
SET       7.000     95.42543
SET       8.000     95.47118
SET       9.000     95.59535
SET      10.000     95.64763
SET      11.000     95.75219
SET      12.000     95.81101
SET      13.000     96.17044
SET      14.000     96.36649
SET      15.000     96.37956
SET      16.000     96.38609
SET      17.000     96.45798
SET      18.000     96.59522
SET      19.000     96.62789
SET      23.000     96.63443
SET      24.000     96.64096
SET      27.000     96.64750
SET      28.000     96.67364
SET      29.000     96.69324
SET      30.000     96.77166
SET      31.000     96.84355
SET      32.000     96.86316
SET      33.000     96.86969
SET      36.000     96.88276
SET      39.000     96.90890
SET      40.000     96.92197
SET      57.000     96.92851
SET      58.000     96.93504
SET      60.000     96.94158
SET      61.000     96.94811
SET      62.000     96.95465
SET      95.000     96.96118
SET     100.000     96.97425
SET     120.000     96.98732
SET     130.000     97.00039
SET     140.000     97.00693
SET     150.000     97.03307
SET     160.000     97.03960
SET     180.000     97.07228
SET     190.000     97.19644
SET     200.000     97.37289
SET     210.000     98.04601
SET     220.000     98.55574
SET     230.000     99.25500
SET     240.000     99.69939
SET     250.000     99.92811
SET     260.000     99.98693
SET     270.000    100.00000
---
GET       0.640      0.00066
GET       0.670      0.00131
GET       0.750      0.00197
GET       0.840      0.00262
GET       0.860      0.00328
GET       0.900      0.00394
GET       0.940      0.00459
GET       0.950      0.00525
GET       0.960      0.00656
GET       0.970      0.00787
GET       0.980      0.00919
GET       0.990      0.00984
GET       1.000      0.01706
GET       1.100      0.02887
GET       1.200      0.04922
GET       1.300      0.07350
GET       1.400      0.13583
GET       1.500      0.23427
GET       1.600      0.28939
GET       1.700      0.31826
GET       1.800      0.34516
GET       1.900      0.38191
GET       2.000      0.41932
GET       2.100      0.47969
GET       2.200      0.58074
GET       2.300      0.79007
GET       2.400      1.04402
GET       2.500      1.16608
GET       2.600      1.24482
GET       2.700      1.30454
GET       2.800      1.31569
GET       2.900      1.32947
GET       3.000      1.37541
GET       3.100      1.39181
GET       3.200      1.43644
GET       3.300      1.55324
GET       3.400      1.76979
GET       3.500      1.90234
GET       3.600      1.94828
GET       3.700      1.99881
GET       3.800      2.01193
GET       3.900      2.01915
GET       4.000      2.03227
GET       4.100      2.03621
GET       4.200      2.04540
GET       4.300      2.05327
GET       4.400      2.05393
GET       4.500      2.05590
GET       4.600      2.06443
GET       4.700      2.06968
GET       4.800      2.07624
GET       4.900      2.07952
GET       5.000      2.08608
GET       5.100      2.09592
GET       5.200      2.10314
GET       5.300      2.14317
GET       5.400      2.19107
GET       5.500      2.25276
GET       5.600      2.29147
GET       5.700      2.33872
GET       5.800      2.37481
GET       5.900      2.42337
GET       6.000      2.47784
GET       6.100      2.56183
GET       6.200      2.78232
GET       6.300      3.20360
GET       6.400      4.47402
GET       6.500     10.46190
GET       6.600     41.28328
GET       6.700     75.59042
GET       6.800     86.87980
GET       6.900     92.11961
GET       7.000     93.76866
GET       7.100     94.46227
GET       7.200     94.80875
GET       7.300     95.09682
GET       7.400     95.19854
GET       7.500     95.24447
GET       7.600     95.26284
GET       7.700     95.27662
GET       7.800     95.30287
GET       7.900     95.32584
GET       8.000     95.34093
GET       8.100     95.35537
GET       8.200     95.36259
GET       8.300     95.36915
GET       8.400     95.37243
GET       8.500     95.37374
GET       8.800     95.37440
GET       8.900     95.37571
GET       9.000     95.37768
GET       9.100     95.38227
GET       9.200     95.38555
GET       9.300     95.39015
GET       9.400     95.39080
GET       9.600     95.39999
GET       9.700     95.40655
GET       9.800     95.42361
GET       9.900     95.46889
GET      10.000     95.53976
GET      11.000     95.63819
GET      12.000     95.68347
GET      13.000     95.76156
GET      14.000     96.34165
GET      15.000     96.35740
GET      17.000     96.40924
GET      18.000     96.47748
GET      19.000     96.54507
GET      20.000     96.54901
GET      21.000     96.56082
GET      22.000     96.56279
GET      23.000     96.56607
GET      24.000     96.57591
GET      25.000     96.57788
GET      26.000     96.57985
GET      27.000     96.58444
GET      28.000     96.59232
GET      29.000     96.60675
GET      30.000     96.61791
GET      31.000     96.70912
GET      32.000     96.75440
GET      33.000     96.77409
GET      34.000     96.77868
GET      35.000     96.78065
GET      36.000     96.78656
GET      37.000     96.79443
GET      38.000     96.81018
GET      39.000     96.81084
GET      40.000     96.81937
GET      42.000     96.82002
GET      43.000     96.82133
GET      45.000     96.82330
GET      46.000     96.82396
GET      48.000     96.82462
GET      49.000     96.82921
GET      50.000     96.83315
GET      51.000     96.83708
GET      52.000     96.84233
GET      54.000     96.85152
GET      56.000     96.85283
GET      57.000     96.86005
GET      58.000     96.87580
GET      59.000     96.88630
GET      60.000     96.91780
