[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 5%,   1 secs] 16 threads:       15874 ops,   15869 (avg:   15869) ops/sec, 574.91KB/sec (avg: 574.91KB/sec),  6.99 (avg:  6.99) msec latency[RUN #1 10%,   2 secs] 16 threads:       32039 ops,   16162 (avg:   16016) ops/sec, 580.89KB/sec (avg: 577.90KB/sec),  6.96 (avg:  6.97) msec latency[RUN #1 15%,   3 secs] 16 threads:       48226 ops,   16185 (avg:   16072) ops/sec, 593.48KB/sec (avg: 583.09KB/sec),  6.92 (avg:  6.96) msec latency[RUN #1 20%,   4 secs] 16 threads:       64690 ops,   16461 (avg:   16169) ops/sec, 581.40KB/sec (avg: 582.67KB/sec),  6.80 (avg:  6.92) msec latency[RUN #1 25%,   5 secs] 16 threads:       80952 ops,   16259 (avg:   16187) ops/sec, 577.34KB/sec (avg: 581.60KB/sec),  6.87 (avg:  6.91) msec latency[RUN #1 30%,   6 secs] 16 threads:       97445 ops,   16491 (avg:   16238) ops/sec, 593.17KB/sec (avg: 583.53KB/sec),  6.79 (avg:  6.89) msec latency[RUN #1 35%,   7 secs] 16 threads:      113917 ops,   16469 (avg:   16271) ops/sec, 593.49KB/sec (avg: 584.95KB/sec),  6.79 (avg:  6.87) msec latency[RUN #1 40%,   8 secs] 16 threads:      130435 ops,   16516 (avg:   16302) ops/sec, 599.39KB/sec (avg: 586.76KB/sec),  6.78 (avg:  6.86) msec latency[RUN #1 45%,   9 secs] 16 threads:      146909 ops,   16472 (avg:   16320) ops/sec, 583.22KB/sec (avg: 586.37KB/sec),  6.79 (avg:  6.85) msec latency[RUN #1 50%,  10 secs] 16 threads:      155149 ops,    8238 (avg:   15512) ops/sec, 295.10KB/sec (avg: 557.24KB/sec), 12.37 (avg:  7.15) msec latency[RUN #1 55%,  11 secs] 16 threads:      155642 ops,     492 (avg:   14147) ops/sec, 17.60KB/sec (avg: 508.18KB/sec), 224.96 (avg:  7.84) msec latency[RUN #1 60%,  12 secs] 16 threads:      156152 ops,     509 (avg:   13010) ops/sec, 18.31KB/sec (avg: 467.36KB/sec), 223.80 (avg:  8.54) msec latency[RUN #1 65%,  13 secs] 16 threads:      156630 ops,     477 (avg:   12046) ops/sec, 17.42KB/sec (avg: 432.75KB/sec), 231.28 (avg:  9.22) msec latency[RUN #1 70%,  14 secs] 16 threads:      157098 ops,     467 (avg:   11219) ops/sec, 16.52KB/sec (avg: 403.02KB/sec), 228.04 (avg:  9.87) msec latency[RUN #1 75%,  15 secs] 16 threads:      157613 ops,     514 (avg:   10506) ops/sec, 18.12KB/sec (avg: 377.36KB/sec), 225.36 (avg: 10.58) msec latency[RUN #1 80%,  16 secs] 16 threads:      158117 ops,     503 (avg:    9881) ops/sec, 18.01KB/sec (avg: 354.90KB/sec), 216.65 (avg: 11.24) msec latency[RUN #1 85%,  17 secs] 16 threads:      158657 ops,     539 (avg:    9331) ops/sec, 18.98KB/sec (avg: 335.14KB/sec), 215.29 (avg: 11.93) msec latency[RUN #1 90%,  18 secs] 16 threads:      159148 ops,     490 (avg:    8840) ops/sec, 17.55KB/sec (avg: 317.50KB/sec), 225.85 (avg: 12.59) msec latency[RUN #1 95%,  19 secs] 16 threads:      159648 ops,     499 (avg:    8401) ops/sec, 17.42KB/sec (avg: 301.70KB/sec), 225.60 (avg: 13.26) msec latency[RUN #1 100%,  20 secs]  0 threads:      164748 ops,     499 (avg:    8237) ops/sec, 17.42KB/sec (avg: 295.82KB/sec), 225.60 (avg: 13.59) msec latency

16        Threads
7         Connections per thread
20        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         751.29          ---          ---     13.60600        55.68
Gets        7485.99       178.95      7307.04     13.59000       240.14
Totals      8237.28       178.95      7307.04     13.59100       295.83


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000      1.27779
SET       2.000      1.51071
SET       3.000      1.54399
SET       4.000      1.81020
SET       5.000      1.90337
SET       6.000     89.01238
SET       7.000     91.41488
SET       8.000     92.07374
SET       9.000     94.30321
SET      10.000     95.44789
SET      11.000     95.55437
SET      12.000     95.58099
SET      13.000     95.94037
SET      14.000     96.22654
SET      15.000     96.23985
SET      16.000     96.27313
SET      17.000     96.34633
SET      18.000     96.45282
SET      19.000     96.46613
SET      20.000     96.47278
SET      21.000     96.47944
SET      25.000     96.49275
SET      26.000     96.51271
SET      27.000     96.51937
SET      30.000     96.55264
SET      31.000     96.60588
SET      32.000     96.67243
SET      34.000     96.67909
SET      35.000     96.69240
SET      36.000     96.69905
SET      41.000     96.71902
SET      50.000     96.74564
SET      51.000     96.75230
SET      55.000     96.76561
SET      56.000     96.77226
SET      57.000     96.81885
SET      59.000     96.87874
SET      60.000     96.91867
SET      61.000     96.92533
SET      64.000     96.93198
SET      67.000     96.93864
SET      70.000     96.95195
SET     130.000     96.98523
SET     140.000     96.99188
SET     180.000     97.00519
SET     190.000     97.07174
SET     200.000     97.30467
SET     210.000     97.83708
SET     220.000     98.48929
SET     230.000     99.30787
SET     240.000     99.64728
SET     250.000     99.89352
SET     260.000     99.94676
SET     270.000     99.98003
SET     280.000    100.00000
---
GET       1.000      0.00267
GET       1.200      0.00401
GET       1.300      0.01002
GET       1.400      0.11889
GET       1.500      0.45150
GET       1.600      0.91369
GET       1.700      1.15214
GET       1.800      1.25099
GET       1.900      1.29306
GET       2.000      1.31110
GET       2.100      1.32112
GET       2.200      1.33982
GET       2.300      1.40661
GET       2.400      1.46672
GET       2.500      1.48742
GET       2.600      1.50279
GET       2.700      1.50679
GET       2.800      1.51414
GET       3.000      1.52149
GET       3.100      1.52549
GET       3.200      1.52616
GET       3.300      1.52750
GET       3.500      1.53017
GET       3.600      1.53418
GET       3.700      1.53484
GET       3.800      1.53885
GET       3.900      1.54954
GET       4.100      1.55154
GET       4.200      1.56156
GET       4.300      1.56490
GET       4.400      1.57091
GET       4.500      1.57959
GET       4.600      1.58694
GET       4.700      1.60164
GET       4.800      1.66108
GET       4.900      1.73856
GET       5.000      1.83340
GET       5.100      1.87548
GET       5.200      1.88817
GET       5.300      1.89685
GET       5.500      1.90553
GET       5.600      1.92223
GET       5.700      1.92490
GET       5.800      1.93158
GET       5.900      1.94360
GET       6.000      1.96498
GET       6.100      2.01640
GET       6.200      2.12060
GET       6.300      2.42049
GET       6.400      3.44839
GET       6.500      8.73085
GET       6.600     38.36444
GET       6.700     72.67669
GET       6.800     83.27701
GET       6.900     88.66499
GET       7.000     90.35947
GET       7.100     91.17965
GET       7.200     91.54433
GET       7.300     91.80014
GET       7.400     91.90834
GET       7.500     91.96310
GET       7.600     92.02054
GET       7.700     92.07798
GET       7.800     92.11004
GET       7.900     92.13142
GET       8.000     92.14878
GET       8.100     92.16815
GET       8.200     92.17349
GET       8.400     92.17550
GET       8.500     92.17817
GET       8.600     92.19086
GET       8.700     92.20689
GET       8.800     92.24029
GET       8.900     92.25965
GET       9.000     92.26967
GET       9.100     92.29706
GET       9.200     92.34047
GET       9.300     92.39791
GET       9.400     92.47338
GET       9.500     92.59494
GET       9.600     92.78797
GET       9.700     93.08318
GET       9.800     93.52333
GET       9.900     94.12311
GET      10.000     95.39480
GET      11.000     95.55710
GET      12.000     95.61120
GET      13.000     95.63792
GET      14.000     96.21499
GET      15.000     96.22634
GET      16.000     96.25372
GET      17.000     96.32920
GET      18.000     96.40066
GET      19.000     96.46345
GET      20.000     96.47881
GET      21.000     96.49016
GET      22.000     96.49350
GET      24.000     96.49417
GET      25.000     96.50820
GET      26.000     96.51287
GET      27.000     96.52690
GET      28.000     96.53424
GET      29.000     96.53491
GET      30.000     96.55161
GET      31.000     96.63042
GET      32.000     96.67851
